"Feature","Gain","Cover","Frequency"
"X25",0.160033301933552,0.0698670129189725,0.0399113082039911
"X30",0.0973899273018816,0.0691592278850902,0.0620842572062084
"X32",0.0654051625651362,0.0634217784787346,0.0288248337028825
"X6",0.0614837585944088,0.274045767332267,0.0465631929046563
"X36",0.0399901679062792,0.00414825187150086,0.0266075388026608
"X19",0.0398725622735647,0.0347458603740424,0.0354767184035477
"X34",0.0373076415787308,0.00357008676584509,0.0221729490022173
"X17",0.0366313396190828,0.0481618290071787,0.0354767184035477
"X5",0.0356381125399877,0.0367228696204762,0.0376940133037694
"X7",0.035429699993616,0.00641658540046766,0.0376940133037694
"X26",0.0296714385128851,0.00290077325389498,0.0155210643015521
"X18",0.0261539823592309,0.0236065166427985,0.0376940133037694
"X14",0.0235014609878296,0.031282170965602,0.0399113082039911
"X1",0.0226517867524368,0.00425508293641724,0.0332594235033259
"X8",0.0221509406469389,0.243833361249288,0.0443458980044346
"X12",0.0213234722197577,0.0224179351209065,0.0266075388026608
"X15",0.0206953946347337,0.00191640278577423,0.024390243902439
"X9",0.0206685531024214,0.00394138491977283,0.0399113082039911
"X21",0.0192244477433329,0.00244481789214054,0.0288248337028825
"X27",0.0190283118978057,0.00240309660686991,0.024390243902439
"X28",0.0187258457659464,0.0229967610379335,0.0266075388026608
"X16",0.0186704703884958,0.00247752613312386,0.0266075388026608
"X35",0.017414331868047,0.0019233803836928,0.0266075388026608
"X20",0.0173746915510317,0.00243375130364518,0.0221729490022173
"X33",0.0165883167130184,0.00423967094459536,0.0332594235033259
"X4",0.0124106647083606,0.00268619470073056,0.0288248337028825
"X10",0.0120458922087842,0.00342895917434944,0.0221729490022173
"X3",0.0114436131776127,0.00267169464781997,0.024390243902439
"X22",0.00975573865914209,0.0016397097254472,0.0221729490022173
"X23",0.00903598065113515,0.00229122841678684,0.0221729490022173
"X31",0.00604131001760437,0.000668181275888749,0.00886917960088692
"X13",0.00550593858979547,0.00111389966691398,0.0177383592017738
"X29",0.00460053457834199,0.000314068341679126,0.00665188470066519
"X11",0.00310268193474648,0.00141661958228617,0.0177383592017738
"X24",0.00262760494898839,0.000378069748786131,0.00443458980044346
"X2",0.000404921075336629,5.94728882809013e-05,0.00221729490022173
