"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","mitochondrial protein-containing complex","262/10919","273/12707",3.15586704720751e-08,2.18070412962039e-05,2.11609190428546e-05,"54998/55052/55735/440567/6390/440574/64960/4725/7388/387338/51253/1629/515/54460/65005/4580/79590/4720/84134/6391/25874/63931/10440/128308/9804/509/100287932/100652748/6832/10367/90550/51021/118487/10105/4714/84545/84833/6150/26515/63875/8050/4722/26519/54948/1351/740/65003/4723/4728/219927/51642/4718/1737/26521/6392/10632/55572/4704/51258/11331/60488/517/506/28977/55967/1337/78988/221154/10240/29103/122704/9692/26520/4707/9556/51103/10845/9377/3419/26589/64963/5428/10573/65993/4716/51025/7385/4706/10295/1339/1327/6687/29928/84311/124995/516/5245/5164/51264/51649/11232/3396/10476/51081/64978/6182/4729/498/29090/5442/513/374291/10975/26517/116541/125988/126328/10469/51073/90580/90480/4713/64981/84769/51079/7386/1340/6183/92609/593/10452/4696/3030/3032/9553/9167/87178/9801/8802/55037/10989/51318/64969/1329/51263/64965/5163/518/10651/4709/4719/617/65080/4705/130916/3420/64949/9054/140823/514/54148/522/539/64968/4731/64976/400916/29796/56993/91689/4700/25813/64432/7384/5162/8801/63899/9868/54931/4710/11222/56945/55669/57129/4711/131118/56922/521/80273/65008/51023/55013/4717/291/6389/64979/4726/10884/4724/92259/23107/1350/27089/7416/3313/4695/134266/29093/57128/28973/100188893/55173/51069/55168/64928/1347/594/29074/51660/4697/54543/64983/64951/51373/9551/9512/1738/83943/4698/54927/4708/51650/55750/286097/29088/28957/7381/1345/28998/4715/1537/4712/401505/158234/2395/54534/4702/51116/23203/64975/293/5160/79135/54539/10245/3028/1349/139322/1678/292/4694/3421",262
"GO:0044391","ribosomal subunit","176/10919","181/12707",2.25932487966386e-07,7.80596745923865e-05,7.57468393866254e-05,"54998/55052/6146/6135/51538/64960/6202/387338/51253/6125/54460/65005/6232/79590/63931/128308/51021/118487/6229/84545/6181/6150/63875/6157/6207/54948/2197/740/65003/219927/51642/6188/6230/51258/60488/6231/6171/28977/6128/6175/78988/6144/10240/122704/6235/6166/6124/6176/55272/6218/26589/64963/10573/65993/6187/26156/6210/6137/6154/6147/84311/9349/6143/6155/124995/51264/51649/6169/3396/51081/64978/6182/6139/6209/116541/25873/6234/51073/90480/64981/6142/84769/7311/388524/6183/6217/6141/23521/6205/6203/6158/6193/6201/9553/6233/9801/55037/51318/64969/51263/6160/64965/6168/65080/130916/64949/6227/54148/64968/64976/6122/4809/6161/64432/6138/3921/9045/6159/63899/6152/11222/56945/83939/57129/6165/6133/65008/51023/6164/6189/64979/6167/10884/54505/23107/6228/6208/29093/4869/51121/55651/10399/28973/6222/6204/4736/55173/285855/51069/55168/64928/6206/29074/64983/64951/51373/51650/29088/6224/6129/28957/6156/28998/6132/6194/54534/11224/6136/6130/51116/64975/6191/6173/6170/6134/6192",176
"GO:0005743","mitochondrial inner membrane","406/10919","437/12707",2.81110425928796e-06,0.000647491014389326,0.000628306460760151,"54998/55052/83858/55210/55735/84275/284723/440567/6390/440574/65018/7780/64960/4725/7388/51253/115209/29957/515/54460/65005/4580/79590/5498/4720/6391/25874/63931/10440/28982/5664/128308/23456/116228/509/10730/100287932/100652748/8034/10367/90550/51021/118487/27069/5832/81894/1355/4714/84545/118980/84833/119559/92170/79751/6150/26515/63875/114971/4722/26519/54948/790955/79064/1351/740/283130/65003/4723/4728/219927/51642/7351/6188/4718/55863/84233/26521/6392/10632/55572/4704/51258/11331/3945/60488/25875/517/93058/506/6472/28977/55967/5250/728568/80024/23409/1337/84274/192111/78988/221154/10240/10166/29103/253512/5018/122704/89874/27109/3958/26520/51241/5663/51004/57143/4707/123096/84334/9556/51103/1159/548596/2628/58472/10845/1583/1543/9377/26589/64963/7190/10573/283951/65993/4716/51025/25880/10229/7385/4706/83985/1339/57017/1723/197257/1327/6687/29928/8402/37/399512/6341/1352/54902/8834/26284/84311/1267/28958/51629/124995/516/5245/51264/1353/51649/3396/10476/51081/60386/64978/9489/6182/7298/4729/498/2235/29090/513/374291/10975/26517/116541/125988/126328/79085/100131801/10469/51073/90580/51295/90480/4713/64981/84769/284439/51079/7386/1340/6183/92609/10452/54958/56848/4696/112724/3030/3032/9553/9167/9801/55037/10989/51318/64969/1329/51263/64965/205251/80775/2820/8604/518/10651/80219/79568/4709/4719/617/1593/65080/80303/4705/666/64949/8760/54675/79133/598/55245/140823/55969/6714/5770/514/26164/54148/522/539/64968/4731/6576/64976/400916/29796/51537/150290/23761/23464/91689/4700/25813/9997/132001/64432/54977/25994/79714/7384/788/25915/211/440957/55349/115286/200895/51300/4710/54946/28976/11222/84129/56945/55186/57129/4711/131118/55486/4976/622/521/3954/80273/389203/60558/84273/285521/441024/65008/27235/51023/133308/113612/55013/4717/2110/291/6389/64979/4726/134145/10884/4724/91942/92259/23107/1160/1350/27089/3313/4695/9812/134266/29093/94081/192286/63933/28973/84300/55173/51069/55168/64928/9481/1347/29078/51805/729515/29074/51660/4697/54205/64983/55744/64951/51373/84277/81554/10165/9551/9512/83943/4698/54927/647087/4708/51650/55750/11194/286097/51312/1191/137994/29088/4067/54968/28957/137682/7381/1345/81034/28998/157378/4715/1537/90871/4712/30968/158234/92014/54534/4702/2356/114789/51117/2021/1384/51116/23203/64975/293/3052/79135/54539/10245/22/1349/139322/1678/401612/203427/292/4694/9131/9016/6901",406
"GO:0015934","large ribosomal subunit","110/10919","112/12707",7.35100482033366e-06,0.00126988608271264,0.00123226054488225,"55052/6146/6135/51538/387338/51253/6125/65005/79590/128308/84545/6181/6150/63875/6157/54948/740/65003/219927/51642/51258/6171/28977/6128/6175/78988/6144/122704/6166/6124/6176/26589/10573/26156/6137/6154/6147/84311/9349/6143/6155/124995/51264/6169/3396/64978/6182/6139/116541/25873/51073/90480/64981/6142/84769/7311/6141/23521/6158/9553/9801/51318/51263/6160/6168/65080/130916/54148/64976/6122/4809/6161/6138/9045/6159/63899/6152/11222/57129/6165/6133/65008/6164/64979/6167/10884/29093/4869/51121/55651/4736/285855/51069/55168/64928/29074/64983/29088/6129/6156/28998/6132/54534/11224/6136/6130/64975/6173/6170/6134",110
"GO:0030684","preribosome","107/10919","109/12707",1.10453368583465e-05,0.00152646555382349,0.00148123780605616,"26155/5394/51154/51118/10969/6202/80135/30836/10885/6232/51018/128061/55127/9790/6229/22984/6207/55226/54663/10436/11103/27340/57647/79050/9724/25983/161424/51077/55272/6218/10607/26156/6210/84916/51388/28987/55720/55813/26574/51096/117246/8780/6234/56342/65095/6217/2091/6205/6203/6193/6201/79954/23160/6233/56902/10199/92856/84128/51602/55759/7520/10528/3692/102724159/23076/8568/5822/85395/23481/91582/4809/27341/91695/9136/8602/57050/6189/90441/27292/84135/10412/6228/55781/134430/153443/6208/345630/83732/51406/9277/705/88745/23195/6206/84946/84549/5591/23212/25879/84294/23246/10171/6194/65083/81887/6191/10813",107
"GO:0005840","ribosome","210/10919","222/12707",2.60422837766862e-05,0.00299920301494836,0.00291033943258756,"54998/55052/6146/6135/51538/64960/6202/387338/51253/6125/54460/65005/6232/79590/63931/1660/128308/23185/51182/51021/118487/6229/84545/92170/6181/6150/63875/6157/6207/54948/2197/740/65003/219927/51642/6188/6230/51258/60488/6231/6171/28977/6128/10985/6175/9921/78988/6144/10240/328/122704/6235/6166/9147/83694/440275/51187/6124/6176/55272/6218/26589/64963/10573/65993/6187/90850/26156/2935/6210/6137/6154/6147/57532/84311/9349/6143/6155/124995/51264/51649/6169/3396/51081/64978/6730/6182/6139/6209/116541/25873/6234/51073/90480/64981/6142/84769/7311/388524/6183/6217/6141/23521/6205/6203/6158/6193/6201/9553/5610/6233/87178/9801/55037/51318/64969/51263/6160/64965/6168/65080/130916/64949/6238/26164/6227/54148/26046/64968/64976/84164/6122/4809/6161/64432/6138/3921/9045/6159/63899/6152/11222/4690/56945/27230/83939/57129/6165/6133/65008/51023/6164/6059/6189/64979/134218/6167/10884/54505/23107/689/6228/2107/9604/6208/23367/29093/4869/51121/55651/10399/28973/6222/6204/4736/55173/285855/51069/55168/64928/1915/6206/10767/29074/64983/64951/51373/100216546/51650/29088/6224/6129/28957/6156/8667/28998/6132/6194/54534/11224/6136/8939/6130/51116/64975/6191/6173/6170/6134/6192",210
"GO:0019866","organelle inner membrane","441/10919","481/12707",5.70735720306325e-05,0.00563397689616672,0.00546704742609217,"54998/55052/83858/55210/55735/84275/199953/284723/440567/6390/440574/65018/7780/64960/4725/10269/7388/51253/115209/29957/515/54460/65005/4580/79590/5498/4720/6391/25874/63931/10440/28982/5664/128308/23456/116228/509/10730/100287932/100652748/23411/8034/10367/90550/51021/118487/27069/5832/81894/1355/4714/84545/118980/84833/119559/92170/79751/6150/26515/63875/114971/4722/26519/54948/790955/79064/1351/740/283130/65003/4723/4728/219927/51642/7351/6188/4718/55863/84233/26521/6392/10632/55572/4704/51258/25900/11331/3945/60488/25875/517/93058/506/6472/283417/23592/28977/55967/5250/728568/80024/23409/1337/84274/192111/78988/221154/10240/10166/29103/253512/5018/122704/89874/27109/3958/26520/51241/5663/51004/57143/4707/123096/84334/9556/51103/1159/548596/2628/58472/10845/4088/1583/1543/9377/26589/64963/7190/10573/283951/65993/4716/51025/25880/10229/7385/4706/83985/1339/57017/10204/1723/197257/1327/6687/29928/8402/37/399512/6341/1352/54902/8834/26284/84311/1267/28958/51629/124995/516/5245/51264/1353/51649/2081/3396/10476/51081/60386/64978/9489/6182/7298/4729/498/2235/29090/513/374291/10975/26517/116541/125988/126328/79085/100131801/10469/51073/90580/51295/90480/4713/64981/84769/284439/51079/7386/147991/1340/6183/92609/10452/54958/56848/4696/112724/3030/3032/9553/9167/10128/9801/55037/10989/51318/64969/1329/25972/51263/64965/205251/80775/151188/2820/8604/518/10651/100131211/80219/79568/4709/4719/617/1593/65080/80303/4705/666/64949/8760/54675/56255/79133/598/55245/6676/140823/55969/6714/5770/514/26164/54148/522/539/64968/4731/6576/64976/400916/29796/51537/150290/23761/23464/25777/91689/4700/25813/9997/3708/132001/79188/64432/54977/25994/79714/7384/788/25915/211/440957/55349/115286/200895/51300/4710/54946/28976/11222/84129/56945/55186/11342/57129/4711/131118/23200/55486/4976/622/521/3954/10227/80273/389203/60558/84273/285521/441024/65008/27235/51023/133308/113612/55013/4717/4086/2110/291/6389/64979/4726/134145/10884/4724/91942/92259/23107/26049/1160/1350/4001/27089/3313/9782/4695/9812/134266/29093/94081/192286/63933/28973/84300/221496/55173/51069/55168/64928/9481/1347/29078/51805/729515/29074/51660/23353/4697/54205/23333/64983/55744/64951/51373/84277/81554/83862/10165/9551/349152/9512/83943/4698/54927/647087/4708/51650/55750/11194/286097/51312/1191/137994/29088/4067/54968/28957/286148/137682/7381/1345/81034/28998/157378/4715/1537/90871/4712/10280/30968/158234/92014/54534/4702/2356/114789/51117/2021/1384/51116/23203/64975/293/3052/79135/54539/10245/22/1349/139322/1678/401612/203427/292/4694/23439/9131/9016/2010/6901",441
"GO:0005844","polysome","63/10919","63/12707",6.91576997905472e-05,0.00597349631940852,0.00579650720612876,"6135/26523/1660/23185/26019/7431/5682/6188/10445/6231/6171/6311/6128/10985/4440/5687/6235/1965/440275/55323/9513/4628/57532/6143/124540/6169/85451/55364/1938/25873/6234/811/6142/6141/87178/6160/129563/3069/6227/4733/6161/6152/8087/1981/51574/689/6228/23367/4736/51389/7458/6156/8667/27161/6132/6194/6130/6191/6173/6170/2332/7411/6192",63
"GO:0005759","mitochondrial matrix","417/10919","456/12707",0.000172473624985474,0.0132421416516625,0.0128497893702628,"54998/55052/55210/11315/8659/51102/54936/64960/54802/387338/51253/26027/25973/205/34/1629/515/10352/51205/54460/80222/65005/10456/6464/80308/128240/79590/844/4720/55157/63931/6041/51022/55699/29920/128308/200205/2271/64216/10531/509/55526/23590/55753/8505/7019/6832/25961/51021/118487/7417/10105/2746/112817/84795/4714/84545/56652/10935/36/4942/1892/92170/23410/6150/63875/196074/8050/4722/54948/54949/25824/402/740/65003/5091/4728/219927/51642/387787/6188/79731/38/2230/1737/83875/84881/27034/4704/51258/60488/254013/51067/60314/2647/6821/1431/506/6472/10102/79611/28977/160428/80298/326625/160760/80724/217/23409/84274/35/80324/78988/4285/10240/29103/8803/5095/55739/79587/91875/64745/5018/122704/5106/80224/9692/57570/384/55218/10965/4329/122961/1743/80017/4287/51218/3712/51103/10845/1583/2108/3419/10588/26589/64963/5428/3418/4350/10573/65993/3029/81889/1632/51025/9093/18/124454/4706/7284/10295/84706/2806/7084/57546/55794/55066/3735/2653/23417/197322/55178/37/7157/60528/56953/2310/26073/26284/79736/79922/84311/80347/162417/124995/5164/51264/55379/80221/51649/11232/3396/51081/64978/6182/5831/7298/64863/498/10449/4200/2235/5442/513/374291/116541/9361/8192/84266/10469/51073/112812/84971/2639/90480/64981/84769/644096/54938/6183/593/23474/587/2109/3030/3032/9553/55006/55471/10128/87178/84693/1716/388962/10797/9801/8802/55037/51318/64969/51601/51263/64965/79675/5163/26275/2744/92935/205327/79568/4719/22868/1593/65080/4705/130916/728294/3420/64949/60493/598/55902/9054/5770/514/26164/54148/6647/64968/64976/10587/25828/4357/50/91689/27349/9997/51095/4968/285367/64432/686/23395/22907/5859/275/211/201626/5162/8801/200895/63899/54931/55347/11222/5096/56945/349565/85476/57129/131118/56922/622/339983/80273/11019/60558/2926/441024/65008/51023/53343/152926/27068/3033/6059/2110/84869/51166/64979/79072/133686/5019/10884/92259/23107/84340/90624/7416/3313/23438/2908/134266/29093/57128/10667/23408/7915/55856/28973/3305/7923/84300/55173/51069/55168/64928/4594/135154/594/57038/51805/51250/57107/2309/25902/54516/51106/6648/29074/29960/115416/11112/2617/64983/64951/4967/9238/51373/51657/4191/7978/5166/57001/9512/1738/10157/51650/6742/373156/10922/57805/2936/29088/137872/51110/28957/1666/10247/28998/116447/50808/2731/318/2395/81689/549/54534/92399/2356/26995/1757/51116/23203/64975/11238/5160/23597/5165/3028/5303/140886/79979/292/2747/3421/55217",417
"GO:0098800","inner mitochondrial membrane protein complex","128/10919","134/12707",0.0002673615900274,0.0184746858708933,0.0179272981944688,"55735/440567/6390/440574/4725/7388/515/4580/4720/6391/25874/10440/509/100287932/100652748/10367/90550/4714/84833/26515/4722/26519/1351/4723/4728/4718/6392/10632/55572/4704/11331/517/506/55967/1337/221154/29103/26520/4707/9556/51103/9377/4716/51025/7385/4706/1339/1327/6687/29928/516/5245/10476/4729/498/29090/513/374291/10975/125988/126328/10469/90580/4713/51079/7386/1340/92609/4696/9167/10989/1329/518/10651/4709/4719/617/4705/140823/514/522/539/4731/400916/29796/91689/4700/25813/7384/4710/4711/131118/521/80273/55013/4717/6389/4726/4724/1350/27089/3313/4695/134266/1347/51660/4697/9551/83943/4698/54927/4708/55750/286097/7381/1345/4715/1537/4712/158234/4702/293/79135/54539/10245/1349/139322/4694",128
