"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","202/4414","373/12185",5.98701159234712e-13,3.24915119116678e-09,2.83532264778628e-09,"CEP85/NUDC/AGO4/CDCA8/CDC20/KIF2C/STIL/ITGB3BP/SASS6/GPSM2/PSRC1/PMF1/NUF2/FIRRM/CENPL/ASPM/NEK7/KIF14/ARL8A/NEK2/CENPF/ZWINT/CDK1/PTEN/KIF11/MMS19/LZTS2/SMC3/MKI67/KIF18A/DDB1/INCENP/SAC3D1/CDCA5/KAT5/MRE11/ATM/NCAPD3/NCAPD2/ARID2/RACGAP1/SMARCD1/ESPL1/AAAS/SMARCC2/DCTN2/KNTC1/RAN/CHFR/SKA3/CENPJ/RB1/MZT1/TUBGCP3/HAUS4/REC8/DLGAP5/DPF3/XRCC3/GOLGA8A/GOLGA8B/BUB1B/KNSTRN/KNL1/OIP5/NUSAP1/HAUS2/CCNB2/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/CENPT/VPS4A/SYCE1L/CENPN/CDT1/HASPIN/AURKB/TOP3A/POLDIP2/SPAG5/CDC6/TOP2A/SMARCE1/TUBG1/TUBG2/BECN1/BRCA1/MEIOC/KIF18B/CDC27/KPNB1/TEX14/SKA2/BRIP1/BIRC5/CENPX/CSNK1D/NDC80/CHMP1B/CEP192/RIOK3/HAUS1/SKA1/SMARCA4/SPC24/SYCE2/HAUS8/HAUS5/DPF1/ERCC2/CCDC61/NUP62/GEN1/CENPO/ACTR2/NCAPH/BUB1/ANAPC1/SPC25/TLK1/MAP3K20/SGO2/HJURP/TPX2/KIF3B/DSN1/FAM83D/MYBL2/UBE2C/AURKA/TUBB1/MIS18A/CHEK2/DMC1/CENPM/RAD18/FANCD2/SGO1/TOP2B/SMARCC1/SPICE1/STAG1/SMC4/ECT2/TACC3/HAUS3/NCAPG/CENPC/CENPE/MAD2L1/MND1/MAP9/CENPU/TRIP13/CENPK/CCNB1/CENPH/RIOK2/CCDC69/PTTG1/SPDL1/DUSP1/TUBB/EHMT2/KIFC1/CENPQ/SENP6/TTK/CENPW/NUP43/FBXO5/ARID1B/BAZ1B/BCL7B/SMARCD3/NCAPG2/PINX1/CDCA2/ESCO2/RRS1/CHMP4C/GEM/CCNE2/RAD21/MAPK15/HAUS6/CHMP5/SMC2/CDK5RAP2/GOLGA2/ANAPC2/DDX3X/SMC1A/KIF4A/CENPI/BEX4/HAUS7/FLNA",202
"GO:0045930","negative regulation of mitotic cell cycle","120/4414","209/12185",2.69542660962016e-10,6.28414395488118e-07,5.48376318272389e-07,"SYF2/RPA2/CLSPN/CDCA8/CDC20/PLK3/ORC1/INTS3/MUC1/NUF2/BRINP3/BTG2/DTL/CENPF/ZWINT/CDK1/PTEN/PIDD1/CDKN1C/STK33/INCENP/RAD9A/CDK2AP2/CCND1/MRE11/ATM/CHEK1/CDK2/NABP2/MDM2/E2F7/BTG1/TAOK3/TRIAP1/KNTC1/CHFR/RGCC/RB1/BMP4/ZFP36L1/XRCC3/BUB1B/KNL1/RPS27L/TIPIN/ZWILCH/PML/TICRR/BLM/DCUN1D3/PLK1/TAOK2/RBL2/NAE1/VPS4A/RFWD3/MBTPS1/HASPIN/AURKB/CRLF3/NLE1/CDC6/BRCA1/MEIOC/CDK5RAP3/EME1/TOM1L1/TEX14/NHERF1/BIRC5/NDC80/SPC24/GEN1/MSH2/BUB1/SPC25/MAP3K20/NABP1/BARD1/CTDSP1/RBL1/BTG3/CHEK2/GTSE1/FANCD2/XPC/CTDSPL/CTNNB1/NME6/NEK11/TOPBP1/BCL6/MAD2L1/TRIP13/PLK2/CCNB1/CCNG1/SPDL1/DUSP1/FOXC1/MDC1/IER3/CDKN1A/TTK/FBXO5/GPNMB/CASP2/PINX1/TRIM35/CHMP4C/NBN/RAD21/MTBP/SCRIB/CDKN2B/GAS1/CDC14B/PTPN3/CDK5RAP2/NACC2",120
"GO:0000280","nuclear division","183/4414","350/12185",3.65757256064059e-10,6.28414395488118e-07,5.48376318272389e-07,"WNT4/CEP85/NUDC/AGO4/CDCA8/CDC20/KIF2C/NFIA/HFM1/PSRC1/TDRKH/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/PTEN/KIF20B/KIF11/SMC3/MKI67/PSMD13/IGF2/CDKN1C/KIF18A/DDB1/INCENP/CDCA5/KAT5/BANF1/TOP6BL/LRP5/TESMIN/MRE11/ATM/CHEK1/NCAPD3/RAD51AP1/NCAPD2/PHB2/RACGAP1/ESPL1/AAAS/DCTN2/KNTC1/RAN/CHFR/BRCA2/CCNA1/RGCC/RB1/MZT1/BORA/PRMT5/REC8/FANCM/BMP4/DLGAP5/HSPA2/RAD51B/XRCC3/BUB1B/KNSTRN/KNL1/RAD51/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/PKMYT1/SLX4/PLK1/KIF22/SMPD3/VPS4A/SYCE1L/CDT1/FANCA/SPIRE2/HASPIN/AURKB/POLDIP2/SPAG5/RAD51D/TOP2A/TUBG1/TUBG2/BECN1/MEIOC/KIF18B/KPNB1/EME1/TOM1L1/TEX14/RAD51C/BRIP1/SPHK1/BIRC5/CENPX/NDC80/CHMP1B/CEP192/SPC24/SYCE2/CCDC61/NUP62/UBE2S/GEN1/ACTR2/NCAPH/BUB1/ORC4/SPC25/CDC25B/TPX2/KIF3B/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/LIF/PDXP/DMC1/PDGFB/FANCD2/SGO1/TOP2B/NME6/WNT5A/SPICE1/STAG1/SMC4/NCAPG/CENPC/CENPE/MAD2L1/MND1/MAP9/TRIP13/CENPK/CCNB1/CDC25C/PTTG1/SPDL1/DUSP1/MSX2/EHMT2/KIFC1/KLHDC3/PHIP/TTK/FBXO5/ANLN/BAZ1B/CAV2/NCAPG2/PINX1/REEP4/CDCA2/RRS1/CHMP4C/RAD54B/CCNE2/RAD21/MTBP/MAPK15/NFIB/CHMP5/RMI1/CDC14B/SMC2/CDK5RAP2/GOLGA2/FBXW5/SMC1A/KIF4A/CENPI/FLNA",183
"GO:0006261","DNA-templated DNA replication","93/4414","153/12185",4.65120463791116e-10,6.28414395488118e-07,5.48376318272389e-07,"ORC1/CDC7/PARP1/MCM10/DNA2/RRM1/E2F8/FEN1/POLA2/POLD4/POLD3/MRE11/DDX11/CDK2/TIMELESS/PRIM1/E2F7/RFC5/POLE/BRCA2/RFC3/FANCM/POLE2/WDHD1/RAD51/TIPIN/TICRR/BLM/CHTF18/ORC6/GINS3/CHTF8/RFWD3/GINS2/CDT1/ATAD5/CDC6/BRCA1/DBF4B/KAT7/EME1/TK1/CENPX/THOC1/WDR18/CARM1/LIG1/POLD1/GEN1/ZRANB3/MCM6/ORC4/ORC2/BARD1/SMARCAL1/PCNA/MCM8/GINS1/SAMHD1/CDC45/MCM5/TRAIP/POLQ/MCM2/TOPBP1/RFC4/BCL6/POLN/BOD1L1/RFC1/PRIMPOL/GMNN/MCM3/PRIM2/ORC3/MMS22L/FBXO5/POLD2/RFC2/DBF4/MCM7/LRWD1/WRN/GINS4/MCM4/NBN/CCNE2/RRM2B/DSCC1/TONSL/RECQL4/CDK9/POLA1",93
"GO:0098813","nuclear chromosome segregation","146/4414","268/12185",5.78970329360713e-10,6.28414395488118e-07,5.48376318272389e-07,"NUDC/AGO4/CDCA8/CDC20/KIF2C/PSRC1/PMF1/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/PTEN/KIF11/SMC3/KIF18A/DDB1/INCENP/CDCA5/KAT5/MRE11/ATM/NCAPD3/NCAPD2/ARID2/RACGAP1/SMARCD1/ESPL1/AAAS/SMARCC2/DCTN2/KNTC1/RAN/CHFR/RB1/MZT1/REC8/DLGAP5/DPF3/XRCC3/BUB1B/KNSTRN/KNL1/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/VPS4A/SYCE1L/CDT1/HASPIN/AURKB/POLDIP2/SPAG5/CDC6/TOP2A/SMARCE1/TUBG1/TUBG2/BECN1/MEIOC/KIF18B/CDC27/KPNB1/TEX14/BRIP1/BIRC5/NDC80/CHMP1B/CEP192/SMARCA4/SPC24/SYCE2/DPF1/CCDC61/NUP62/GEN1/ACTR2/NCAPH/BUB1/ANAPC1/SPC25/MAP3K20/TPX2/KIF3B/DSN1/FAM83D/MYBL2/UBE2C/AURKA/CHEK2/DMC1/FANCD2/SGO1/TOP2B/SMARCC1/SPICE1/STAG1/SMC4/ECT2/TACC3/NCAPG/CENPC/CENPE/MAD2L1/MND1/MAP9/TRIP13/CENPK/CCNB1/RIOK2/PTTG1/SPDL1/DUSP1/EHMT2/KIFC1/CENPQ/TTK/FBXO5/ARID1B/BAZ1B/BCL7B/SMARCD3/NCAPG2/PINX1/RRS1/CHMP4C/GEM/CCNE2/RAD21/MAPK15/CHMP5/SMC2/CDK5RAP2/GOLGA2/ANAPC2/SMC1A/KIF4A/CENPI/FLNA",146
"GO:0045786","negative regulation of cell cycle","175/4414","334/12185",7.20310497190775e-10,6.51520844709056e-07,5.68539811730052e-07,"SYF2/RPA2/CLSPN/CDCA8/CDC20/PLK3/ORC1/INTS3/MUC1/NUF2/METTL13/BRINP3/BTG2/NEK2/INTS7/DTL/CENPF/ERCC6/ZWINT/CDK1/DNA2/PTEN/PIDD1/CDKN1C/STK33/IPO7/E2F8/INCENP/SIPA1/RAD9A/CDK2AP2/CCND1/MRE11/ATM/USP28/H2AX/CHEK1/RHNO1/NR4A1/ESPL1/CDK2/NABP2/TIMELESS/MDM2/E2F7/BTG1/TAOK3/TRIAP1/KNTC1/CHFR/LATS2/BRCA2/RGCC/RB1/RNASEH2B/CUL4A/BMP4/ZFP36L1/XRCC3/PPP1R13B/BUB1B/KNL1/RAD51/TP53BP1/WDR76/RPS27L/TIPIN/ZWILCH/PML/TICRR/BLM/TELO2/CCNF/PKMYT1/NUBP1/CCP110/DCUN1D3/PLK1/TAOK2/RBL2/NAE1/VPS4A/RFWD3/MBTPS1/CDT1/HASPIN/INCA1/AURKB/MYOCD/TP53I13/CRLF3/NLE1/CDC6/BRCA1/MEIOC/HEXIM2/CDK5RAP3/EME1/TOM1L1/TEX14/BRIP1/NHERF1/BIRC5/THOC1/NDC80/SPC24/TGFB1/ATF5/GEN1/MSH2/HTRA2/BUB1/SPC25/MAP3K20/NABP1/BARD1/CTDSP1/INHA/BMP2/E2F1/RBL1/BTG3/CDC45/CHEK2/LIF/GTSE1/MAPK12/FANCD2/XPC/CTDSPL/CTNNB1/NME6/NEK11/TOPBP1/BCL6/MAD2L1/CASP3/TRIP13/PLK2/CCNB1/MACROH2A1/CCNG1/SPDL1/DUSP1/FOXC1/GMNN/MDC1/IER3/MAPK14/CDKN1A/TTK/UFL1/PTPRK/FBXO5/GPER1/GPNMB/BAZ1B/CASP2/CDK5/PINX1/TRIM35/CHMP4C/NBN/RAD21/MTBP/SCRIB/CDKN2A/CDKN2B/GAS1/CDC14B/PTPN3/CDK5RAP2/NACC2/SUV39H1/TSPYL2",175
"GO:0000819","sister chromatid segregation","121/4414","215/12185",1.25269093880483e-09,9.71193389270548e-07,8.47497223110217e-07,"NUDC/CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/SMC3/KIF18A/INCENP/CDCA5/KAT5/ATM/NCAPD3/NCAPD2/ARID2/RACGAP1/SMARCD1/ESPL1/AAAS/SMARCC2/DCTN2/KNTC1/RAN/CHFR/RB1/MZT1/DLGAP5/DPF3/XRCC3/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/VPS4A/CDT1/HASPIN/AURKB/POLDIP2/SPAG5/CDC6/TOP2A/SMARCE1/TUBG1/TUBG2/BECN1/KIF18B/CDC27/KPNB1/TEX14/BIRC5/NDC80/CHMP1B/CEP192/SMARCA4/SPC24/DPF1/CCDC61/NUP62/GEN1/NCAPH/BUB1/ANAPC1/SPC25/MAP3K20/TPX2/KIF3B/DSN1/MYBL2/UBE2C/CHEK2/TOP2B/SMARCC1/SPICE1/STAG1/SMC4/TACC3/NCAPG/CENPC/CENPE/MAD2L1/MAP9/TRIP13/CENPK/CCNB1/RIOK2/SPDL1/DUSP1/KIFC1/TTK/FBXO5/ARID1B/BAZ1B/BCL7B/SMARCD3/NCAPG2/PINX1/RRS1/CHMP4C/RAD21/MAPK15/CHMP5/SMC2/CDK5RAP2/GOLGA2/ANAPC2/SMC1A/KIF4A/CENPI/FLNA",121
"GO:0006260","DNA replication","141/4414","260/12185",1.71363573639822e-09,1.16248764267914e-06,1.01442726027047e-06,"ID3/RPA2/NASP/ORC1/NFIA/CDC7/DTL/PARP1/MCM10/CDK1/DNA2/POLL/SMC3/ADRA2A/RRM1/E2F8/SSRP1/FAM111B/FEN1/POLA2/POLD4/POLD3/MRE11/CHEK1/PTMS/DDX11/ATF1/CDK2/TIMELESS/PRIM1/NAP1L1/E2F7/RFC5/POLE/BRCA2/RFC3/OBI1/SUPT16H/FANCM/POLE2/WDHD1/CINP/RAD51/DUT/PCLAF/PIF1/TIPIN/TICRR/BLM/CHTF18/SLX4/RMI2/ORC6/GINS3/CHTF8/RFWD3/GINS2/CDT1/TNFAIP1/ATAD5/CDC6/BRCA1/DBF4B/KAT7/EME1/TK1/CENPX/THOC1/INO80C/WDR18/NFIC/CHAF1A/CARM1/RNASEH2A/NFIX/LIG1/RUVBL2/POLD1/RNASEH1/RRM2/GEN1/UCN/ZRANB3/MCM6/ORC4/ORC2/BARD1/SMARCAL1/PCNA/MCM8/GINS1/SAMHD1/CHAF1B/CDC45/MCM5/TRAIP/POLQ/MCM2/TOPBP1/ZBTB38/RFC4/BCL6/POLN/BOD1L1/RFC1/PDS5A/CCNA2/PRIMPOL/GMNN/EHMT2/BRPF3/POLH/MCM3/PRIM2/ORC3/MMS22L/FBXO5/RPA3/POLD2/EGFR/RFC2/DBF4/MCM7/LRWD1/ESCO2/WRN/GINS4/MCM4/NBN/CCNE2/RRM2B/DSCC1/TONSL/RECQL4/NFIB/RMI1/CDK9/TTF1/RBBP7/POLA1/TSPYL2",141
"GO:0007093","mitotic cell cycle checkpoint signaling","83/4414","138/12185",8.06216439766394e-09,4.86148513179135e-06,4.24230147661872e-06,"SYF2/RPA2/CLSPN/CDCA8/CDC20/PLK3/ORC1/INTS3/MUC1/NUF2/DTL/CENPF/ZWINT/CDK1/PIDD1/STK33/INCENP/RAD9A/CCND1/MRE11/ATM/CHEK1/CDK2/NABP2/MDM2/TAOK3/TRIAP1/KNTC1/CHFR/XRCC3/BUB1B/KNL1/RPS27L/TIPIN/ZWILCH/PML/TICRR/BLM/PLK1/TAOK2/NAE1/VPS4A/RFWD3/MBTPS1/HASPIN/AURKB/CDC6/BRCA1/CDK5RAP3/EME1/TEX14/BIRC5/NDC80/SPC24/GEN1/MSH2/BUB1/SPC25/MAP3K20/NABP1/BARD1/CHEK2/GTSE1/FANCD2/XPC/NEK11/TOPBP1/MAD2L1/TRIP13/PLK2/CCNB1/CCNG1/SPDL1/DUSP1/MDC1/IER3/CDKN1A/TTK/CASP2/CHMP4C/NBN/CDC14B/CDK5RAP2",83
"GO:0007346","regulation of mitotic cell cycle","215/4414","439/12185",1.76023698143865e-08,9.55280609826757e-06,8.33611176788684e-06,"SYF2/RPA2/CLSPN/CDCA8/CDC20/PLK3/STIL/CDKN2C/ORC1/CDC7/SASS6/INTS3/CKS1B/MUC1/DDR2/NUF2/PBX1/BRINP3/NEK7/KIF14/BTG2/NEK2/DTL/CENPF/ZWINT/CDK1/PTEN/KIF20B/MKI67/PIDD1/IGF2/CDKN1C/RRM1/STK33/DDB1/INCENP/CDCA5/RAD9A/CDK2AP2/LRP5/CCND1/MRE11/ATM/CHEK1/PHB2/ARID2/SMARCD1/ESPL1/CDK2/SMARCC2/NABP2/CDK4/MDM2/E2F7/BTG1/TAOK3/TRIAP1/KNTC1/CHFR/CENPJ/BRCA2/RGCC/RB1/RNASEH2B/BORA/CUL4A/PRMT5/BMP4/DLGAP5/HSPA2/RAD51B/ZFP36L1/DPF3/LGMN/XRCC3/MEIS2/BUB1B/KNL1/NUSAP1/RPS27L/TIPIN/ZWILCH/PML/TICRR/IQGAP1/BLM/PKMYT1/DCUN1D3/PLK1/TAOK2/CYLD/RBL2/NAE1/SMPD3/VPS4A/RFWD3/MBTPS1/HASPIN/AURKB/POLDIP2/CRLF3/ATAD5/NLE1/CDC6/SMARCE1/BRCA1/MEIOC/DBF4B/CDC27/CDK5RAP3/EME1/TOM1L1/TEX14/RAD51C/PRKCA/NHERF1/SPHK1/BIRC5/NDC80/SMARCA4/SPC24/DPF1/ERCC2/NUP62/ID2/CPSF3/ADAM17/RRM2/GEN1/MSH2/BUB1/ANAPC1/SPC25/MAP3K20/NABP1/BARD1/CTDSP1/CDC25B/E2F1/RBL1/UBE2C/AURKA/BTG3/SIK1/TTC28/CHEK2/PDXP/PDGFB/GTSE1/FANCD2/XPC/UBE2E2/CTDSPL/CTNNB1/SMARCC1/CDC25A/NME6/NEK11/TOPBP1/BCL6/CENPE/MAD2L1/TRIP13/PLK2/CCNB1/RIOK2/CDC25C/SRA1/CCNG1/SPDL1/DUSP1/FOXC1/GMNN/MDC1/IER3/CDKN1A/PHIP/TTK/FBXO5/ARID1B/RPA3/GPNMB/ANLN/EGFR/BCL7B/MBLAC1/KMT2E/CAV2/CASP2/SMARCD3/PINX1/NKX3-1/CDCA2/TRIM35/EIF4EBP1/CHMP4C/NBN/RRM2B/RAD21/MTBP/SCRIB/CDKN2A/CDKN2B/TMEM8B/SHB/GAS1/CDC14B/PTPN3/CDK5RAP2/NACC2/FBXW5/ANAPC2/DYNLT3/DDX3X/PIM2",215
