ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Category
GO:0007059,chromosome segregation,100/348,373/12185,1.85E-71,4.28E-68,3.66E-68,10459/55143/991/11004/6491/23421/163786/29899/84722/83540/55732/91687/259266/9928/4751/1063/11130/983/3832/4288/81930/3619/113130/23310/9918/29127/9700/9735/221150/55835/440145/9787/701/90417/57082/11339/51203/9133/55055/9493/9055/116028/5347/3835/81620/83903/9212/10615/990/7153/672/146909/348235/83990/332/10403/115106/220134/147841/348654/79172/23397/699/57405/151246/55355/22974/79980/81610/4605/11065/6790/54069/11200/79019/2177/151648/10051/1894/10460/64151/1062/4085/84057/79682/9319/64105/891/64946/9232/54908/3833/7272/387103/26271/54892/157313/157570/24137/2491,100,Biological Process
GO:0000280,nuclear division,92/348,350/12185,1.48E-64,1.72E-61,1.47E-61,10459/55143/991/11004/8438/84722/83540/259266/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/9633/1111/23310/10635/9918/29127/9700/9735/675/440145/79866/9787/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/5347/3835/81620/2175/83903/9212/10615/7153/146909/146956/83990/332/10403/147841/27338/348654/23397/699/57405/994/22974/79980/4605/11065/6790/5902/11200/2177/151648/10051/64151/1062/4085/84057/9319/64105/891/995/9232/54908/3833/7272/26271/54443/54892/157313/4603/25788/27085/24137/2491,92,Biological Process
GO:0048285,organelle fission,93/348,393/12185,8.64E-61,6.66E-58,5.71E-58,10459/55143/991/11004/8438/84722/83540/259266/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/9633/1111/23310/10635/9918/29127/9700/9735/675/440145/79866/9787/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/5347/3835/81620/2175/83903/9212/10615/7153/146909/146956/83990/332/10403/147841/27338/348654/23397/699/57405/994/22974/79980/4605/11065/6790/5902/11200/2177/151648/10051/64151/1062/4085/84057/9319/64105/891/995/9232/54908/3833/7272/113115/26271/54443/54892/157313/4603/25788/27085/24137/2491,93,Biological Process
GO:0140014,mitotic nuclear division,74/348,250/12185,1.39E-55,6.48E-53,5.56E-53,10459/55143/991/11004/84722/83540/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/1111/23310/9918/29127/9700/9735/440145/79866/9787/701/90417/57082/51203/55055/9493/9055/9088/5347/3835/81620/83903/9212/10615/146909/332/10403/147841/27338/348654/23397/699/57405/22974/79980/4605/11065/6790/5902/11200/10051/64151/1062/4085/9319/64105/891/995/54908/3833/7272/26271/54443/54892/157313/27085/24137/2491,74,Biological Process
GO:0098813,nuclear chromosome segregation,76/348,268/12185,1.40E-55,6.48E-53,5.56E-53,10459/55143/991/11004/84722/83540/259266/9928/4751/1063/11130/983/3832/81930/3619/113130/23310/9918/29127/9700/9735/440145/9787/701/90417/57082/51203/9133/55055/9493/9055/116028/5347/3835/81620/83903/9212/10615/990/7153/146909/83990/332/10403/147841/348654/23397/699/57405/22974/79980/81610/4605/11065/6790/11200/2177/151648/10051/1894/10460/64151/1062/4085/84057/9319/64105/891/9232/54908/3833/7272/26271/54892/24137/2491,76,Biological Process
GO:0044770,cell cycle phase transition,94/348,496/12185,3.11E-52,1.20E-49,1.03E-49,10459/1870/63967/55143/991/6491/1031/4998/8317/163786/1163/128239/83540/9928/51514/1063/11130/983/1763/6240/3619/113130/3014/1111/2305/83695/9700/1017/8914/9735/5426/55835/675/79621/1033/9787/701/57082/5888/79968/9133/54962/55055/90381/641/899/9088/5347/81620/83903/9212/990/672/146956/83990/332/10403/5932/147841/27338/6241/348654/4436/699/57405/994/1869/5933/81610/11065/6790/29980/8318/11200/51512/2177/993/11073/10460/1062/4085/890/9319/891/995/54908/1026/7272/26271/54443/10926/2146/27085/9833,94,Biological Process
GO:0000070,mitotic sister chromatid segregation,62/348,176/12185,1.09E-51,3.60E-49,3.08E-49,10459/55143/991/11004/84722/83540/9928/4751/1063/11130/983/3832/81930/3619/113130/23310/9918/29127/9700/9735/440145/9787/701/90417/57082/51203/55055/9493/9055/5347/3835/81620/83903/9212/10615/146909/332/10403/147841/348654/23397/699/57405/22974/79980/4605/11065/11200/10051/64151/1062/4085/9319/64105/891/54908/3833/7272/26271/54892/24137/2491,62,Biological Process
GO:0000819,sister chromatid segregation,66/348,215/12185,1.36E-50,3.83E-48,3.28E-48,10459/55143/991/11004/84722/83540/9928/4751/1063/11130/983/3832/81930/3619/113130/23310/9918/29127/9700/9735/440145/9787/701/90417/57082/51203/55055/9493/9055/116028/5347/3835/81620/83903/9212/10615/990/7153/146909/332/10403/147841/348654/23397/699/57405/22974/79980/4605/11065/11200/10051/10460/64151/1062/4085/9319/64105/891/54908/3833/7272/26271/54892/24137/2491,66,Biological Process
GO:0006260,DNA replication,71/348,260/12185,1.49E-50,3.83E-48,3.28E-48,4678/4998/8317/51514/55388/983/1763/6240/374393/2237/23649/10714/1111/1663/1017/8914/5557/5985/5426/675/5983/5427/11169/5888/1854/9768/80119/54962/90381/641/63922/116028/23594/51659/81620/990/672/146956/7083/5932/10036/10535/10856/6241/348654/4175/9837/29980/8208/8318/4174/10293/10721/4171/11073/5984/890/51053/3159/4172/5558/253714/26271/5982/10926/4176/157570/84296/4173/79075/9401,71,Biological Process
GO:1901987,regulation of cell cycle phase transition,82/348,388/12185,4.20E-49,9.73E-47,8.34E-47,10459/63967/55143/991/6491/1031/4998/8317/163786/83540/9928/51514/1063/11130/983/1763/6240/3619/113130/3014/1111/83695/9700/1017/8914/9735/55835/675/79621/9787/701/57082/5888/79968/54962/55055/90381/641/9088/5347/81620/83903/9212/990/672/146956/83990/332/10403/5932/147841/6241/348654/4436/699/57405/994/1869/5933/81610/11065/6790/29980/8318/11200/51512/2177/993/11073/1062/4085/9319/891/995/54908/1026/7272/26271/54443/10926/2146/27085,82,Biological Process
