"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0007059","chromosome segregation","100/348","373/12185",1.8467848207928e-71,4.27530686013532e-68,3.66440988125728e-68,"MAD2L2/CDCA8/CDC20/KIF2C/STIL/ITGB3BP/SASS6/GPSM2/PSRC1/NUF2/FIRRM/CENPL/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/MKI67/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/SKA3/CENPJ/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/OIP5/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/CDC6/TOP2A/BRCA1/KIF18B/SKA2/BRIP1/BIRC5/NDC80/HAUS1/SKA1/SPC24/GEN1/CENPO/NCAPH/BUB1/SPC25/SGO2/HJURP/TPX2/DSN1/FAM83D/MYBL2/UBE2C/AURKA/MIS18A/CHEK2/CENPM/FANCD2/SGO1/SMC4/ECT2/TACC3/NCAPG/CENPE/MAD2L1/MND1/CENPU/TRIP13/CENPK/CCNB1/CENPH/PTTG1/SPDL1/KIFC1/TTK/CENPW/FBXO5/NCAPG2/CDCA2/ESCO2/KIF4A/CENPI",100,"BP"
"GO:0000280","nuclear division","92/348","350/12185",1.48407582918503e-64,1.71781777228167e-61,1.47235944105989e-61,"MAD2L2/CDCA8/CDC20/KIF2C/RAD54L/PSRC1/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF20B/KIF11/MKI67/KIF18A/INCENP/CDCA5/TESMIN/CHEK1/NCAPD3/RAD51AP1/NCAPD2/RACGAP1/ESPL1/KNTC1/BRCA2/MZT1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/RAD51/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/PKMYT1/PLK1/KIF22/CDT1/FANCA/HASPIN/AURKB/SPAG5/TOP2A/KIF18B/EME1/BRIP1/BIRC5/NDC80/SPC24/UBE2S/GEN1/NCAPH/BUB1/SPC25/CDC25B/TPX2/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/FANCD2/SGO1/SMC4/NCAPG/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/CDC25C/PTTG1/SPDL1/KIFC1/TTK/FBXO5/ANLN/NCAPG2/CDCA2/MYBL1/RAD54B/MTBP/KIF4A/CENPI",92,"BP"
"GO:0048285","organelle fission","93/348","393/12185",8.63705147002531e-61,6.66492471770286e-58,5.71257614771849e-58,"MAD2L2/CDCA8/CDC20/KIF2C/RAD54L/PSRC1/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF20B/KIF11/MKI67/KIF18A/INCENP/CDCA5/TESMIN/CHEK1/NCAPD3/RAD51AP1/NCAPD2/RACGAP1/ESPL1/KNTC1/BRCA2/MZT1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/RAD51/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/PKMYT1/PLK1/KIF22/CDT1/FANCA/HASPIN/AURKB/SPAG5/TOP2A/KIF18B/EME1/BRIP1/BIRC5/NDC80/SPC24/UBE2S/GEN1/NCAPH/BUB1/SPC25/CDC25B/TPX2/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/FANCD2/SGO1/SMC4/NCAPG/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/CDC25C/PTTG1/SPDL1/KIFC1/TTK/MTFR2/FBXO5/ANLN/NCAPG2/CDCA2/MYBL1/RAD54B/MTBP/KIF4A/CENPI",93,"BP"
"GO:0140014","mitotic nuclear division","74/348","250/12185",1.38519457566517e-55,6.4827831521529e-53,5.55646072152243e-53,"MAD2L2/CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF20B/KIF11/MKI67/KIF18A/INCENP/CDCA5/CHEK1/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/MZT1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/PKMYT1/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/KIF18B/BIRC5/NDC80/SPC24/UBE2S/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/SMC4/NCAPG/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/CDC25C/SPDL1/KIFC1/TTK/FBXO5/ANLN/NCAPG2/CDCA2/MTBP/KIF4A/CENPI",74,"BP"
"GO:0098813","nuclear chromosome segregation","76/348","268/12185",1.40016914733324e-55,6.4827831521529e-53,5.55646072152243e-53,"MAD2L2/CDCA8/CDC20/KIF2C/PSRC1/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/CDC6/TOP2A/KIF18B/BRIP1/BIRC5/NDC80/SPC24/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/FAM83D/MYBL2/UBE2C/AURKA/CHEK2/FANCD2/SGO1/SMC4/ECT2/TACC3/NCAPG/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/PTTG1/SPDL1/KIFC1/TTK/FBXO5/NCAPG2/KIF4A/CENPI",76,"BP"
"GO:0044770","cell cycle phase transition","94/348","496/12185",3.1132528693591e-52,1.20119673209439e-49,1.0295581857442e-49,"MAD2L2/E2F2/CLSPN/CDCA8/CDC20/STIL/CDKN2C/ORC1/CDC7/SASS6/CKS1B/IQGAP3/NUF2/KIF14/DTL/CENPF/ZWINT/CDK1/DNA2/RRM1/INCENP/CDCA5/H2AX/CHEK1/FOXM1/RHNO1/ESPL1/CDK2/TIMELESS/KNTC1/POLE/CENPJ/BRCA2/RNASEH2B/CDKN3/DLGAP5/BUB1B/KNL1/RAD51/WDR76/CCNB2/TIPIN/ZWILCH/TICRR/BLM/CCNF/PKMYT1/PLK1/CDT1/HASPIN/AURKB/CDC6/BRCA1/EME1/BRIP1/BIRC5/NDC80/RBBP8/SPC24/UBE2S/RRM2/GEN1/MSH2/BUB1/SPC25/CDC25B/E2F1/RBL1/FAM83D/UBE2C/AURKA/DONSON/CDC45/CHEK2/GTSE1/FANCD2/CDC25A/TOPBP1/TACC3/CENPE/MAD2L1/CCNA2/TRIP13/CCNB1/CDC25C/SPDL1/CDKN1A/TTK/FBXO5/ANLN/DBF4/EZH2/MTBP/MELK",94,"BP"
"GO:0000070","mitotic sister chromatid segregation","62/348","176/12185",1.0879963397017e-51,3.59815932344204e-49,3.08401969975594e-49,"MAD2L2/CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/KIF18B/BIRC5/NDC80/SPC24/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/NCAPG/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/KIFC1/TTK/FBXO5/NCAPG2/KIF4A/CENPI",62,"BP"
"GO:0000819","sister chromatid segregation","66/348","215/12185",1.36229249701212e-50,3.83141977673985e-48,3.28394965518e-48,"MAD2L2/CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/CDC6/TOP2A/KIF18B/BIRC5/NDC80/SPC24/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/TACC3/NCAPG/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/KIFC1/TTK/FBXO5/NCAPG2/KIF4A/CENPI",66,"BP"
"GO:0006260","DNA replication","71/348","260/12185",1.48953684624875e-50,3.83141977673985e-48,3.28394965518e-48,"NASP/ORC1/CDC7/DTL/MCM10/CDK1/DNA2/RRM1/FAM111B/FEN1/POLA2/POLD3/CHEK1/DDX11/CDK2/TIMELESS/PRIM1/RFC5/POLE/BRCA2/RFC3/POLE2/WDHD1/RAD51/DUT/PCLAF/PIF1/TIPIN/TICRR/BLM/CHTF18/RMI2/ORC6/GINS2/CDT1/CDC6/BRCA1/EME1/TK1/RBBP8/CHAF1A/RNASEH2A/RUVBL2/RRM2/GEN1/MCM6/GINS1/DONSON/CHAF1B/CDC45/MCM5/TRAIP/POLQ/MCM2/TOPBP1/RFC4/CCNA2/GMNN/HMGA1/MCM3/PRIM2/MMS22L/FBXO5/RFC2/DBF4/MCM7/ESCO2/GINS4/MCM4/DSCC1/RECQL4",71,"BP"
"GO:1901987","regulation of cell cycle phase transition","82/348","388/12185",4.20144124541539e-49,9.72633648313664e-47,8.33654394485055e-47,"MAD2L2/CLSPN/CDCA8/CDC20/STIL/CDKN2C/ORC1/CDC7/SASS6/NUF2/KIF14/DTL/CENPF/ZWINT/CDK1/DNA2/RRM1/INCENP/CDCA5/H2AX/CHEK1/RHNO1/ESPL1/CDK2/TIMELESS/KNTC1/CENPJ/BRCA2/RNASEH2B/DLGAP5/BUB1B/KNL1/RAD51/WDR76/TIPIN/ZWILCH/TICRR/BLM/PKMYT1/PLK1/CDT1/HASPIN/AURKB/CDC6/BRCA1/EME1/BRIP1/BIRC5/NDC80/RBBP8/SPC24/RRM2/GEN1/MSH2/BUB1/SPC25/CDC25B/E2F1/RBL1/FAM83D/UBE2C/AURKA/DONSON/CDC45/CHEK2/GTSE1/FANCD2/CDC25A/TOPBP1/CENPE/MAD2L1/TRIP13/CCNB1/CDC25C/SPDL1/CDKN1A/TTK/FBXO5/ANLN/DBF4/EZH2/MTBP",82,"BP"
"GO:0006261","DNA-templated DNA replication","55/348","153/12185",2.29043156716819e-46,4.82031734363123e-44,4.13154402307372e-44,"ORC1/CDC7/MCM10/DNA2/RRM1/FEN1/POLA2/POLD3/DDX11/CDK2/TIMELESS/PRIM1/RFC5/POLE/BRCA2/RFC3/POLE2/WDHD1/RAD51/TIPIN/TICRR/BLM/CHTF18/ORC6/GINS2/CDT1/CDC6/BRCA1/EME1/TK1/RBBP8/GEN1/MCM6/GINS1/DONSON/CDC45/MCM5/TRAIP/POLQ/MCM2/TOPBP1/RFC4/GMNN/HMGA1/MCM3/PRIM2/MMS22L/FBXO5/RFC2/DBF4/MCM7/GINS4/MCM4/DSCC1/RECQL4",55,"BP"
