"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0048738","cardiac muscle tissue development","173/8718","206/12185",1.91956019418871e-05,0.0617728613064304,0.0591269225509635,"SKI/MTOR/NPPA/NPPB/CDC42/SLC9A1/ZMPSTE24/ACADM/TGFBR3/S1PR1/COL11A1/NOTCH2/GJA5/LMNA/RGS4/RGS2/TNNT2/TNNI1/PROX1/TGFB2/ACTN2/RYR2/NEBL/DKK1/CDK1/BMPR1A/ANKRD1/NRAP/FGFR2/LRRC27/KCNJ11/CSRP3/MYBPC3/TENM4/NOX4/YAP1/PKP2/PRICKLE1/ARID2/ERBB3/FRS2/LRRC10/MYL2/TBX5/TBX3/SGCG/POU4F1/EFNB2/ADPRHL1/PARP2/MYH6/MYH7/AKAP6/SAV1/BMP4/ASB2/YY1/GREM1/ACTC1/TPM1/HCN4/ALPK3/AKAP13/FES/NPRL3/MYH11/MYLK3/IRX3/NDRG4/FOXC2/ZFPM1/KDM6B/MAP2K4/MYOCD/IFT20/TCAP/RARA/KAT2A/GJC1/NOG/TBX2/NDUFV2/GATA6/FHOD3/SMAD7/ALPK2/CTDP1/SIRT6/CALR/TGFB1/GSK3A/PRMT1/TNNI3/ID2/SLC8A1/BMP10/FHL2/NEB/ACVR1/XIRP2/LRP2/TTN/FZD7/ERBB4/OBSL1/FKBP1A/JPH2/BMP7/GATA5/CXADR/RUNX1/SIK1/MYO18B/CBY1/PPARA/MAPK11/CAV3/RARB/SCN5A/MYL3/TREX1/TNNC1/WNT5A/ADAMTS9/FOXP1/TOMM70/HEG1/DIPK2A/MSX1/RBPJ/SGCB/PDGFRA/HOPX/PDLIM5/FGF2/SMAD1/EDNRA/SORBS2/PTCD2/MEF2C/SMAD5/PDGFRB/HAND1/SGCD/NKX2-5/MSX2/MAML1/FOXC1/EDN1/MAPK14/PIM1/SRF/BMP5/BVES/PLN/GJA1/HEY2/CITED2/SYNE1/DLL1/TBX20/MYL7/GATA4/NKX2-6/NRG1/CHD7/ZFPM2/PLEC/ENG/ABL1/NOTCH1/TAFAZZIN/G6PD",173,"BP"
"GO:0014706","striated muscle tissue development","182/8718","218/12185",2.46331572627001e-05,0.0617728613064304,0.0591269225509635,"SKI/MTOR/NPPA/NPPB/CDC42/SLC9A1/ZMPSTE24/ACADM/TGFBR3/S1PR1/COL11A1/NOTCH2/GJA5/LMNA/RGS4/RGS2/TNNT2/TNNI1/PROX1/CENPF/TGFB2/ACTN2/RYR2/NEBL/DKK1/CDK1/BMPR1A/ANKRD1/NRAP/FGFR2/LRRC27/KCNJ11/CSRP3/MYBPC3/TENM4/NOX4/YAP1/PKP2/PRICKLE1/ARID2/ERBB3/FRS2/LRRC10/MYL2/TBX5/TBX3/SGCG/POU4F1/EFNB2/ADPRHL1/PARP2/MYH6/MYH7/AKAP6/SAV1/BMP4/ASB2/YY1/GREM1/ACTC1/TPM1/SMAD3/HCN4/ALPK3/AKAP13/FES/NPRL3/MYH11/MYLK3/IRX3/NDRG4/FOXC2/ZFPM1/KDM6B/MAP2K4/MYOCD/IFT20/TCAP/RARA/KAT2A/GJC1/NOG/TBX2/NDUFV2/GATA6/FHOD3/SMAD7/ALPK2/CTDP1/SIRT6/CALR/SIRT2/TGFB1/GSK3A/PRMT1/TNNI3/ID2/SLC8A1/BMP10/FHL2/NEB/ACVR1/XIRP2/LRP2/TTN/FZD7/ERBB4/OBSL1/FKBP1A/JPH2/BMP7/GATA5/CXADR/RUNX1/SIK1/MYO18B/CBY1/PPARA/MAPK11/CAV3/RARB/SCN5A/MYL3/TREX1/TNNC1/WNT5A/ADAMTS9/FOXP1/TOMM70/HEG1/DIPK2A/MSX1/RBPJ/SGCB/PDGFRA/HOPX/PDLIM5/LEF1/FGF2/SMAD1/EDNRA/SORBS2/PTCD2/MEF2C/LOX/SMAD5/PDGFRB/HAND1/SGCD/NKX2-5/MSX2/MAML1/FOXC1/EDN1/MAPK14/PIM1/SRF/BMP5/BVES/PLN/GJA1/HEY2/CITED2/SYNE1/DLL1/TWIST1/TBX20/MYL7/IFRD1/GATA4/NKX2-6/NRG1/CHD7/EYA1/ZFPM2/PLEC/PGM5/ENG/ABL1/NOTCH1/TAFAZZIN/G6PD",182,"BP"
"GO:0006942","regulation of striated muscle contraction","74/8718","82/12185",3.40909830609439e-05,0.0617728613064304,0.0591269225509635,"RNF207/NPPA/SLC9A1/ZC3H12A/PDE4B/TNNI3K/GSTM2/CASQ2/ATP1A1/GJA5/ATP1A2/CASQ1/ATP1B1/RGS2/TNNI1/ADORA1/RYR2/CTNNA3/GSTO1/KCNQ1/MYBPC3/GRK2/CACNA1C/C12orf57/PKP2/NR4A1/TRPV4/ATP2A2/MYL2/P2RX4/MYH7/PRKD1/SLC8A3/CALM1/KBTBD13/HCN4/ATP2A1/RANGRF/JUP/KCNJ2/DSC2/SMAD7/PRKACA/TMEM38A/DMPK/CALM3/HRC/TRPM4/TNNI3/FKBP1B/UCN/EHD3/SLC8A1/CALM2/BMP10/SUMO1/CAV3/SCN5A/MYL3/DLG1/ANK2/CAMK2D/PDE5A/ADRA1B/NKX2-5/PLN/SRI/AKAP9/CAV1/GATA4/STC1/ACE2/DMD/FGF13",74,"BP"
"GO:0055082","intracellular chemical homeostasis","384/8718","486/12185",8.1279908996354e-05,0.0691342506241651,0.0661729988837086,"C1QTNF12/SCNN1D/NADK/ATP13A2/SLC66A1/CLIC4/SELENON/SLC30A2/SLC9A1/WDTC1/PPT1/ATP6V0B/PRKAA2/MCOLN3/LRRC8D/GCLM/FRRS1/SLC30A7/STXBP3/SYPL2/GSTM2/CASQ2/ATP1A1/GPR89A/HJV/GPR89B/SV2A/SNAPIN/ATP1A2/CASQ1/TMCO1/CREG1/MPC2/ATP1B1/XPR1/CACNA1S/ADORA1/ATP2B4/ZBED6/SLC41A1/SLC30A1/ARF1/RYR2/CACNB2/CXCL12/NCOA4/GDF2/SIRT1/HKDC1/HK1/MICU1/PPP3CB/KCNMA1/GHITM/SLC35G1/PLCE1/TWNK/GSTO1/ADRA2A/CCDC186/PDZD8/RAB11FIP2/BNIP3/BRSK2/KCNQ1/STIM1/CSRP3/OSBP/CYB561A3/FTH1/BAD/GSTP1/TCIRG1/LRP5/TESMIN/TPCN2/P2RY2/AQP11/PICALM/NOX4/SIDT2/C2CD2L/THY1/UBASH3B/CACNA1C/PTPN6/ITPR2/SLC11A2/SLC4A8/ORMDL2/ATP5F1B/DDIT3/ATP2B1/HSP90B1/ISCU/TRPV4/ATP2A2/TPCN1/SLC8B1/VPS33A/MICU2/TRPC4/FOXO1/LACC1/ATP7B/TMTC4/TPP2/IRS2/GAS6/RASA3/SLC22A17/PRKD1/AKAP6/ATP6V1D/SLC39A9/SLC8A3/PSEN1/CALM1/ANKRD9/PACS2/UBE3A/SLC12A6/PLCB2/RMDN3/CAPN3/B2M/DMXL2/SLC24A1/CLN6/NEO1/NPTN/PML/SIN3A/CEMIP/IGF1R/BAIAP3/ATP6V0C/PDPK1/NUBP1/ABCC6/PRKCB/CLN3/ATP2A1/SPNS1/MAPK3/MT2A/MT1E/MT1X/HERPUD1/NOL3/SLC9A5/ATP6V0D1/CALB2/PLCG2/CYBA/YWHAE/TRPV1/P2RX1/ATP2A3/RNASEK/ATP1B2/SCO1/TMEM199/NR1D1/HAP1/ATP6V0A1/GRN/ITGB3/COX11/STXBP4/TSPOAP1/CYB561/ACE/KCNJ2/NHERF1/TMC8/AFG3L2/SLC39A6/SLC25A23/MCOLN1/RAB11B/ICAM1/SMARCA4/CALR/PRKACA/CHERP/TMEM38A/F2RL3/PIK3R2/ATP13A1/C19orf12/ATP1A3/DMPK/CALM3/BAX/FTL/HRC/TRPM4/TNNI3/FKBP1B/TMEM178A/SLC8A1/THADA/PRKCE/TTC7A/CALM2/RTN4/VPS54/RAB11FIP5/BOLA3/IMMT/CNNM4/SLC9A2/MTLN/CCDC115/STK39/ORMDL1/GLS/SLC39A10/MAIP1/ABCA12/ABCB6/PTPRN/SLC4A3/BOK/FKBP1A/SLC4A11/PRNP/PLCB4/SLC24A3/TM9SF4/TGM2/PLCG1/JPH2/FITM2/SLC12A5/SLC9A8/ADNP/LIME1/SOD1/MAPK1/SMARCB1/XBP1/HMOX1/KCTD17/PLA2G6/ATF4/SMDT1/ITPR1/CAV3/ATP2B2/RAF1/SLC4A7/PLCD1/PTH1R/GPX1/SLC38A3/SELENOK/WNT5A/ERC2/GPR27/ATP6V1A/ZBTB20/ADCY5/KLF15/RAB7A/ATP2C1/PIK3CB/SLC9A9/P2RY1/SLC2A2/ATP13A3/TFRC/LETM1/WFS1/PPARGC1A/SLC34A2/STIM2/SLC30A9/TMEM165/EPHA5/SLC4A4/PKD2/RAP1GDS1/PPP3CA/SLC39A8/SLC9B2/BDH2/ANK2/CAMK2D/FGF2/SLC7A11/EDNRA/CLCN3/SLC9A3/SLC12A7/SLC45A2/SLC1A3/PRKAA1/NNT/PIK3R1/SLC30A5/HEXB/F2R/PDE8B/AP3B1/EFNA5/DMXL1/SLC12A2/DIAPH1/NDFIP1/ANXA6/ATOX1/GRIA1/ATP6V0E1/BNIP1/RACK1/BMP6/EDN1/SOX4/GPLD1/AGER/SLC39A7/ITPR3/SRF/SLC29A1/GCLC/IBTK/GRIK2/PLN/TRDN/ENPP1/GPER1/FOXK1/TMEM106B/AQP1/GCK/ASL/KCTD7/FZD9/SRI/FIS1/CAV1/ATP6V1F/ATP6V0E2/SLC4A2/GATA4/MICU3/ATP6V1B2/SLC39A14/STC1/PTK2B/ATP6V1H/LYN/CHD7/CA2/CALB1/TMEM64/ENY2/MYC/ADCY8/GRINA/SLC39A4/SLC1A1/ACO1/STOML2/UNC13B/FXN/SLC31A2/SLC31A1/ATP6V1G1/ABL1/CLTRN/DMD/ATP6AP2/SLC9A7/RGN/CDK16/ABCB7/ATP7A/NOX1/SLC9A6/BCAP31/FUNDC2",384,"BP"
"GO:0006937","regulation of muscle contraction","113/8718","132/12185",0.000101206180584124,0.0691342506241651,0.0661729988837086,"RNF207/ENO1/NPPA/SLC9A1/ZC3H12A/PDE4B/TNNI3K/GSTM2/CASQ2/ATP1A1/GJA5/ATP1A2/CASQ1/ATP1B1/RGS2/CACNA1S/TNNT2/TNNI1/PPP1R12B/ADORA1/RYR2/CTNNA3/TACR2/PLCE1/GSTO1/ADRA2A/KCNQ1/MYBPC3/GRK2/CTTN/ARHGAP42/CACNA1C/C12orf57/SPX/PKP2/NR4A1/ATP2B1/TRPV4/ATP2A2/MYL2/P2RX4/MYH7/PRKD1/SLC8A3/CALM1/TPM1/KBTBD13/HCN4/ABAT/ATP2A1/P2RX1/RANGRF/MYOCD/ADORA2B/CACNB1/JUP/KCNJ2/SPHK1/DSC2/SMAD7/TBXA2R/DAPK3/CNN1/PRKACA/TMEM38A/DMPK/CALM3/HRC/TRPM4/TNNT1/TNNI3/FKBP1B/UCN/EHD3/SLC8A1/CALM2/BMP10/SUMO1/MYL9/ADA/SOD1/CAV3/SCN5A/MYL3/TNNC1/DLG1/MYL5/ADRA2C/KIT/NPNT/ANK2/CAMK2D/PDE5A/GUCY1A1/F2R/ANXA6/ADRA1B/NKX2-5/EDN1/SRF/PLN/GPER1/SRI/AKAP9/DOCK4/CAV1/CHRM2/GATA4/STC1/ZDHHC21/ACE2/DMD/FGF13",113,"BP"
"GO:0003015","heart process","173/8718","209/12185",0.000102660613295984,0.0691342506241651,0.0661729988837086,"RNF207/MTOR/NPPA/HSPB7/CDC42/SLC9A1/ZC3H12A/ZMPSTE24/PPCS/CYP2J2/PDE4B/TNNI3K/GSTM2/CASQ2/ATP1A1/GJA5/ATP1A2/RGS4/ATP1B1/RGS2/TNNT2/TNNI1/ADORA1/ATP2B4/TGFB2/AGT/RYR2/CELF2/CACNB2/CTNNA3/KCNIP2/GSTO1/KCNQ1/CSRP3/MYBPC3/VEGFB/GRK2/NOX4/YAP1/SCN4B/SCN2B/SCN3B/KCNJ5/CACNA1C/KCNA5/SPX/DNM1L/PKP2/MDM2/ATP2B1/ATP2A2/MYL2/TBX5/P2RX4/SGCG/MYH6/MYH7/GCH1/SLC8A3/CALM1/ACTC1/TPM1/HCN4/AKAP13/CACNA1H/ATP2A1/IRX3/YWHAE/TRPV1/ATP2A3/ATP1B2/RANGRF/SREBF1/MAP2K3/TCAP/THRA/GJD3/JUP/GJC1/MYL4/TBX2/ACE/MAP2K6/KCNJ2/GAA/GATA6/DSC2/SMAD7/PRKACA/TMEM38A/SCN1B/FXYD1/SPTBN4/ATP1A3/GSK3A/DMPK/CALM3/HRC/TRPM4/TNNI3/FKBP1B/UCN/EHD3/SLC8A1/EPAS1/CALM2/BMP10/CXCR4/KCNJ3/TTN/SUMO1/DES/SLC4A3/KCNE4/SNTA1/SRC/ADA/CXADR/SOD1/KCNE1/CAV3/ATP2B2/THRB/GPD1L/SCN5A/MYL3/TREX1/GPX1/GNAI2/TNNC1/POPDC2/FGF12/DLG1/CORIN/HOPX/RAP1GDS1/ANK2/CAMK2D/PDE5A/EDNRA/TMEM161B/KCNN2/SMAD5/SGCD/ADRA1B/NKX2-5/EDN1/GLP1R/BVES/PLN/GJA1/TRDN/HEY2/MYL7/CACNA2D1/SRI/AKAP9/ZNHIT1/CAV1/KCND2/CHRM2/KCNH2/NOS3/GATA4/STC1/EXT1/SLC1A1/GSN/ACE2/DMD/APLN/FGF13/TAFAZZIN",173,"BP"
"GO:0030003","intracellular monoatomic cation homeostasis","286/8718","357/12185",0.000109471889858744,0.0691342506241651,0.0661729988837086,"SCNN1D/ATP13A2/CLIC4/SELENON/SLC30A2/SLC9A1/PPT1/ATP6V0B/MCOLN3/FRRS1/SLC30A7/SYPL2/GSTM2/CASQ2/ATP1A1/GPR89A/HJV/GPR89B/SV2A/SNAPIN/ATP1A2/CASQ1/TMCO1/CREG1/ATP1B1/CACNA1S/ADORA1/ATP2B4/SLC41A1/SLC30A1/ARF1/RYR2/CACNB2/CXCL12/NCOA4/GDF2/MICU1/KCNMA1/GHITM/SLC35G1/PLCE1/GSTO1/PDZD8/BNIP3/STIM1/CSRP3/CYB561A3/FTH1/TCIRG1/TESMIN/TPCN2/AQP11/PICALM/THY1/UBASH3B/CACNA1C/PTPN6/ITPR2/SLC11A2/SLC4A8/ATP5F1B/DDIT3/ATP2B1/HSP90B1/ISCU/TRPV4/ATP2A2/TPCN1/SLC8B1/VPS33A/MICU2/TRPC4/LACC1/ATP7B/TMTC4/RASA3/SLC22A17/PRKD1/AKAP6/ATP6V1D/SLC39A9/SLC8A3/PSEN1/CALM1/ANKRD9/PACS2/UBE3A/PLCB2/RMDN3/CAPN3/B2M/DMXL2/SLC24A1/CLN6/NEO1/NPTN/PML/CEMIP/ATP6V0C/PDPK1/NUBP1/PRKCB/CLN3/ATP2A1/SPNS1/MAPK3/MT2A/MT1E/MT1X/HERPUD1/NOL3/SLC9A5/ATP6V0D1/CALB2/PLCG2/CYBA/YWHAE/TRPV1/P2RX1/ATP2A3/RNASEK/ATP1B2/SCO1/TMEM199/HAP1/ATP6V0A1/GRN/ITGB3/COX11/TSPOAP1/CYB561/KCNJ2/TMC8/AFG3L2/SLC39A6/SLC25A23/MCOLN1/CALR/PRKACA/CHERP/TMEM38A/F2RL3/ATP13A1/C19orf12/ATP1A3/DMPK/CALM3/BAX/FTL/HRC/TNNI3/FKBP1B/TMEM178A/SLC8A1/THADA/PRKCE/TTC7A/CALM2/VPS54/BOLA3/IMMT/CNNM4/SLC9A2/MTLN/CCDC115/SLC39A10/MAIP1/ABCB6/SLC4A3/BOK/FKBP1A/SLC4A11/PRNP/PLCB4/SLC24A3/TM9SF4/TGM2/PLCG1/JPH2/SLC12A5/SLC9A8/LIME1/SOD1/MAPK1/HMOX1/KCTD17/ATF4/SMDT1/ITPR1/CAV3/ATP2B2/SLC4A7/PLCD1/PTH1R/SELENOK/WNT5A/ERC2/ATP6V1A/RAB7A/ATP2C1/PIK3CB/SLC9A9/P2RY1/ATP13A3/TFRC/LETM1/WFS1/STIM2/SLC30A9/TMEM165/SLC4A4/PKD2/RAP1GDS1/SLC39A8/BDH2/ANK2/CAMK2D/FGF2/EDNRA/CLCN3/SLC9A3/SLC45A2/SLC1A3/SLC30A5/HEXB/F2R/AP3B1/DMXL1/SLC12A2/DIAPH1/NDFIP1/ANXA6/ATOX1/GRIA1/ATP6V0E1/BNIP1/BMP6/EDN1/SLC39A7/ITPR3/IBTK/GRIK2/PLN/TRDN/GPER1/TMEM106B/KCTD7/FZD9/SRI/FIS1/CAV1/ATP6V1F/ATP6V0E2/SLC4A2/MICU3/ATP6V1B2/SLC39A14/STC1/PTK2B/ATP6V1H/LYN/CHD7/CA2/CALB1/TMEM64/MYC/ADCY8/GRINA/SLC39A4/SLC1A1/ACO1/STOML2/FXN/SLC31A2/SLC31A1/ATP6V1G1/ABL1/DMD/ATP6AP2/SLC9A7/RGN/ABCB7/ATP7A/NOX1/SLC9A6/BCAP31",286,"BP"
"GO:0060047","heart contraction","164/8718","198/12185",0.000144441716413588,0.0691342506241651,0.0661729988837086,"RNF207/MTOR/NPPA/HSPB7/CDC42/SLC9A1/ZC3H12A/ZMPSTE24/CYP2J2/PDE4B/TNNI3K/GSTM2/CASQ2/ATP1A1/GJA5/ATP1A2/RGS4/ATP1B1/RGS2/TNNT2/TNNI1/ADORA1/ATP2B4/TGFB2/AGT/RYR2/CELF2/CACNB2/CTNNA3/KCNIP2/GSTO1/KCNQ1/CSRP3/MYBPC3/VEGFB/GRK2/SCN4B/SCN2B/SCN3B/KCNJ5/CACNA1C/KCNA5/SPX/DNM1L/PKP2/MDM2/ATP2B1/ATP2A2/MYL2/TBX5/P2RX4/SGCG/MYH6/MYH7/GCH1/SLC8A3/CALM1/ACTC1/TPM1/HCN4/CACNA1H/ATP2A1/IRX3/YWHAE/TRPV1/ATP2A3/ATP1B2/RANGRF/SREBF1/MAP2K3/TCAP/THRA/GJD3/JUP/GJC1/MYL4/TBX2/ACE/MAP2K6/KCNJ2/GAA/GATA6/DSC2/SMAD7/PRKACA/TMEM38A/SCN1B/FXYD1/SPTBN4/ATP1A3/GSK3A/DMPK/CALM3/HRC/TRPM4/TNNI3/FKBP1B/UCN/EHD3/SLC8A1/EPAS1/CALM2/BMP10/CXCR4/KCNJ3/TTN/SUMO1/DES/SLC4A3/KCNE4/SNTA1/ADA/CXADR/SOD1/KCNE1/CAV3/ATP2B2/THRB/GPD1L/SCN5A/MYL3/GPX1/TNNC1/POPDC2/FGF12/DLG1/CORIN/HOPX/ANK2/CAMK2D/PDE5A/EDNRA/TMEM161B/KCNN2/SMAD5/SGCD/ADRA1B/NKX2-5/EDN1/GLP1R/BVES/PLN/GJA1/TRDN/HEY2/MYL7/CACNA2D1/SRI/AKAP9/CAV1/KCND2/CHRM2/KCNH2/NOS3/GATA4/STC1/EXT1/SLC1A1/GSN/ACE2/DMD/APLN/FGF13/TAFAZZIN",164,"BP"
"GO:0016236","macroautophagy","252/8718","313/12185",0.000149501008545332,0.0691342506241651,0.0661729988837086,"MTOR/MFN2/VPS13D/ATP13A2/PINK1/EPHB2/STX12/SESN2/ATP6V0B/PRKAA2/ATG4C/ELAPOR1/SEC22B/LIX1L/SNAPIN/UBQLN4/UFC1/PIK3C2B/YOD1/EXOC8/LGALS8/OPTN/PIP4K2A/WAC/MAPK8/SIRT1/VPS26A/TBC1D12/VTI1A/BAG3/BNIP3/TMEM41B/TSG101/ATG13/ATG2A/CAPN1/SNX32/TCIRG1/ATG16L2/UVRAG/SESN3/ATM/PAFAH1B2/FEZ1/EI24/VPS26B/TIGAR/GAPDH/PHB2/PEX5/ATG101/RNF41/PIP4K2C/TBK1/DCN/CRY1/USP30/ATP2A2/MAP1LC3B2/HSPB8/VPS33A/VPS37B/ULK1/PGAM5/UFM1/TRIM13/VPS36/RNF31/CHMP4A/SNX6/ATG14/ATP6V1D/ZFYVE1/PSEN1/SPTLC2/CALM1/ATG2B/AKT1/PACS2/VPS39/NEDD4/WDR24/ATP6V0C/CLEC16A/CLN3/MAPK3/VPS35/ATP6V0D1/VPS4A/GABARAPL2/MAP1LC3B/CHMP1A/SPATA33/WDR81/EMC6/GABARAP/TP53/SMCR8/ULK2/IFT20/POLDIP2/CDK5R1/PIP4K2B/ATP6V0A1/RETREG3/VPS25/BECN1/NBR1/PLEKHM1/CALCOCO2/WIPI1/EXOC7/USP36/GAA/RNF213/CHMP6/HGS/WDR45B/CHMP1B/NPC1/PIK3C3/EPG5/VPS4B/MCOLN1/CDC37/CALR/PRKACA/MVB12A/CERS1/CAPNS1/SUPT5H/TGFB1/ATP6V1C2/FEZ2/ATP6V1E2/RAB1A/AUP1/HTRA2/VAMP8/RALB/RAB3GAP1/PJVK/RETREG2/ATG9A/ATG16L1/NSFL1C/DDRGK1/CHMP4B/MAP1LC3A/TP53INP2/SRC/ATP6V1E1/TOM1/HMOX1/ARL8B/MTMR14/VHL/TBC1D5/RAB5A/PDCD6IP/FYCO1/TEX264/CHMP2B/ATG3/ATP6V1A/TMEM39A/SNX4/RAB7A/RAB43/UBA5/RUBCN/TBC1D14/UCHL1/EXOC1/STBD1/WDFY3/MFSD8/RAB33B/SCOC/LRBA/CASP3/SLC25A4/RETREG1/SNX18/ATG10/LIX1/ATG12/KLHL3/STING1/LARP1/ATP6V0E1/SQSTM1/ATP6V1G2/EHMT2/RNF5/ILRUN/RAB23/SNX14/MAP3K7/UFL1/SESN1/VTA1/EPM2A/PRKN/WIPI2/TOMM7/NOD1/VPS41/VPS37D/SMURF1/AP4M1/EXOC4/ATP6V0E2/CDK5/RHEB/VPS37A/ATP6V1B2/LZTS1/CHMP7/BNIP3L/RB1CC1/ATP6V1H/UBXN2B/PEX2/TP53INP1/STK3/ATP6V1C1/TMEM74/NRBP2/VPS28/PLAA/C9orf72/CHMP5/VCP/UBQLN1/SPTLC1/SNX30/ATP6V1G1/LRSAM1/GPSM1/TBC1D25/PIM2/WDR45/HUWE1/UBQLN2/EFNB1/OGT/ATG4A/SLC25A5/MTM1/TAFAZZIN/IKBKG",252,"BP"
"GO:0071214","cellular response to abiotic stimulus","213/8718","262/12185",0.000160612155471864,0.0691342506241651,0.0661729988837086,"NOC2L/SCNN1D/MTOR/SLC9A1/ZMPSTE24/GADD45A/BCL10/LRRC8C/LRRC8D/AQP10/ARHGEF2/IFI16/ATP1A2/F11R/RCSD1/INTS7/SDE2/PARP1/H2AC25/OPN3/ADSS2/NMT2/MAPK8/SIRT1/MICU1/PTEN/FAS/ANKRD1/BAG3/BNIP3/HRAS/USP47/DDB2/TNKS1BP1/TMEM109/DDB1/BAD/SIPA1/FADD/POLD3/WNT11/YAP1/MMP1/ATM/CRYAB/USP28/H2AX/CHEK1/RHNO1/CCND2/RAD51AP1/LTBR/YBX3/ASIC1/USP15/MDM2/CRY1/TRPV4/TRIAP1/BRCA2/METTL3/NFATC4/EIF2S1/RDH11/ZFP36L1/BDKRB2/YY1/ADSS1/CRIP1/NSMCE3/SLC12A6/EIF2AK4/BMF/RAD51/CAPN3/TP53BP1/NEDD4/ST20/BLM/IGF1R/MLST8/CREBBP/CLN3/MAPK3/MMP2/NFAT5/PIEZO1/MC1R/TRPV1/NLRP1/SLC2A4/TP53/AURKB/RPL26/MAP2K4/MFAP4/NLK/ASIC2/BRCA1/NMT1/ITGB3/COL1A1/TLK2/RGS9/KCNJ2/SOX9/GRB2/RPTOR/PALM/CNN2/STK11/GNA11/SLC25A23/MCOLN1/LRRC8E/RAB11B/CALR/CERS1/TMEM161A/AKT2/RELB/ERCC1/BAX/POLD1/BABAM2/CAMKMT/RAB11FIP5/MAP3K2/TANK/STK39/MAP3K20/BARD1/XRCC5/RHBDD1/CAB39/EFHD1/COPS9/SLC4A11/PCNA/BCL2L1/KCNE1/CHEK2/ATF4/EP300/XRCC6/TSPO/MAPK11/XPC/OXSR1/CDC25A/TREX1/DAG1/SLC38A3/HYAL3/PRKCD/MYLK/ATR/MME/ECT2/LETM1/CLOCK/REST/PKD2/FGF2/SFRP2/PPID/CASP3/RAD1/NIPBL/FBXO4/MAP3K1/PIK3R1/POLK/IRF1/EGR1/NPM1/SERPINB6/BMP6/GPLD1/MAPK14/MAPK13/CDKN1A/POLH/OPN5/GCLC/CASP8AP2/PTPRK/GTF2H5/AQP1/HUS1/FIGNL1/TNFRSF10B/TNFRSF10A/PBK/WRN/SFRP1/TP53INP1/TSPYL5/MYC/EEF1D/PLEC/HABP4/XPA/TLR4/ENG/SWI5/PIERCE1/NSMF/DDX3X/ELK1/WNK3/NOX1/CUL4B",213,"BP"
