"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","109/389","373/12185",5.0399641646036e-77,1.19799948192628e-73,1.03080530229735e-73,"CDCA8/CDC20/KIF2C/STIL/NDC1/SASS6/GPSM2/PSRC1/NUF2/FIRRM/CENPL/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/MKI67/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/SKA3/CENPJ/MZT1/TUBGCP3/DLGAP5/BUB1B/KNSTRN/KNL1/OIP5/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/RMI2/NDE1/PLK1/KIF22/CENPN/CDT1/HASPIN/AURKB/SPAG5/CDC6/TOP2A/PSMC3IP/BRCA1/KIF18B/SKA2/BRIP1/BIRC5/NDC80/SKA1/SPC24/HAUS8/DPF1/GEN1/CENPO/NCAPH/BUB1/SPC25/SGO2/HJURP/TPX2/DSN1/FAM83D/MYBL2/UBE2C/AURKA/MIS18A/CHEK2/CENPM/FANCD2/SGO1/SMC4/ECT2/TACC3/NCAPG/CENPE/MAD2L1/MND1/CENPU/TRIP13/CENPK/CCNB1/CENPH/PTTG1/SPDL1/TUBB/KIFC1/CENPQ/TTK/CENPW/FBXO5/NCAPG2/CDCA2/ESCO2/CCNE2/SMC2/KIF4A/CENPI",109
"GO:0000280","nuclear division","100/389","350/12185",3.19654560490179e-69,3.79909445142577e-66,3.26888847911799e-66,"CDCA8/CDC20/KIF2C/RAD54L/NDC1/PSRC1/NUF2/ASPM/KIF14/NEK2/CENPF/MASTL/ZWINT/CDK1/KIF20B/KIF11/MKI67/KIF18A/INCENP/CDCA5/TESMIN/CHEK1/NCAPD3/RAD51AP1/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/BRCA2/MZT1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/RAD51/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/PKMYT1/NDE1/PLK1/KIF22/CDT1/FANCA/HASPIN/AURKB/SPAG5/TOP2A/PSMC3IP/KIF18B/EME1/BRIP1/BIRC5/NDC80/SPC24/UBE2S/GEN1/NCAPH/BUB1/SPC25/CDC25B/TPX2/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/FANCD2/SGO1/SMC4/NCAPG/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/CDC25C/PTTG1/SPDL1/KIFC1/TTK/FBXO5/ANLN/NCAPG2/CDCA2/MYBL1/RAD54B/CCNE2/MTBP/RMI1/CKS2/SMC2/KIF4A/CENPI",100
"GO:0048285","organelle fission","101/389","393/12185",5.82411529746745e-65,4.61464068736004e-62,3.97061614841377e-62,"CDCA8/CDC20/KIF2C/RAD54L/NDC1/PSRC1/NUF2/ASPM/KIF14/NEK2/CENPF/MASTL/ZWINT/CDK1/KIF20B/KIF11/MKI67/KIF18A/INCENP/CDCA5/TESMIN/CHEK1/NCAPD3/RAD51AP1/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/BRCA2/MZT1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/RAD51/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/PKMYT1/NDE1/PLK1/KIF22/CDT1/FANCA/HASPIN/AURKB/SPAG5/TOP2A/PSMC3IP/KIF18B/EME1/BRIP1/BIRC5/NDC80/SPC24/UBE2S/GEN1/NCAPH/BUB1/SPC25/CDC25B/TPX2/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/FANCD2/SGO1/SMC4/NCAPG/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/CDC25C/PTTG1/SPDL1/KIFC1/TTK/MTFR2/FBXO5/ANLN/NCAPG2/CDCA2/MYBL1/RAD54B/CCNE2/MTBP/RMI1/CKS2/SMC2/KIF4A/CENPI",101
"GO:0098813","nuclear chromosome segregation","82/389","268/12185",6.23298673021332e-59,3.70395236442927e-56,3.18702453073802e-56,"CDCA8/CDC20/KIF2C/NDC1/PSRC1/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/CCNB2/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/CDC6/TOP2A/PSMC3IP/KIF18B/BRIP1/BIRC5/NDC80/SPC24/DPF1/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/FAM83D/MYBL2/UBE2C/AURKA/CHEK2/FANCD2/SGO1/SMC4/ECT2/TACC3/NCAPG/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/PTTG1/SPDL1/KIFC1/CENPQ/TTK/FBXO5/NCAPG2/CCNE2/SMC2/KIF4A/CENPI",82
"GO:0140014","mitotic nuclear division","76/389","250/12185",2.91673176549437e-54,1.38661428131602e-51,1.19309680428538e-51,"CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF20B/KIF11/MKI67/KIF18A/INCENP/CDCA5/CHEK1/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/MZT1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/PKMYT1/NDE1/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/KIF18B/BIRC5/NDC80/SPC24/UBE2S/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/AURKA/RANBP1/CHEK2/SMC4/NCAPG/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/CDC25C/SPDL1/KIFC1/TTK/FBXO5/ANLN/NCAPG2/CDCA2/MTBP/SMC2/KIF4A/CENPI",76
"GO:0006260","DNA replication","76/389","260/12185",7.666985272425e-53,3.03740399875904e-50,2.61350041830207e-50,"NASP/ORC1/CDC7/DTL/MCM10/CDK1/DNA2/RRM1/FAM111B/FEN1/POLA2/POLD3/CHEK1/CDK2/TIMELESS/PRIM1/RFC5/POLE/BRCA2/RFC3/POLE2/WDHD1/RAD51/DUT/PCLAF/PIF1/TIPIN/TICRR/BLM/CHTF18/RMI2/ORC6/GINS3/RFWD3/GINS2/CDT1/ATAD5/CDC6/BRCA1/EME1/TK1/CHAF1A/RNASEH2A/LIG1/POLD1/RRM2/GEN1/MCM6/PCNA/MCM8/GINS1/CHAF1B/CDC45/MCM5/TRAIP/POLQ/MCM2/TOPBP1/RFC4/CCNA2/GMNN/MCM3/PRIM2/MMS22L/FBXO5/RFC2/DBF4/MCM7/ESCO2/GINS4/MCM4/CCNE2/RRM2B/DSCC1/RECQL4/RMI1",76
"GO:0044770","cell cycle phase transition","99/389","496/12185",1.77868205050071e-52,6.03989604862885e-50,5.19696123928253e-50,"E2F2/CLSPN/CDCA8/CDC20/STIL/CDKN2C/ORC1/CDC7/SASS6/CKS1B/IQGAP3/NUF2/KIF14/DTL/CENPF/MASTL/ZWINT/CDK1/DNA2/RRM1/INCENP/CDCA5/H2AX/CHEK1/FOXM1/ESPL1/CDK2/TIMELESS/MDM2/KNTC1/POLE/CENPJ/BRCA2/TFDP1/CDKN3/DLGAP5/BUB1B/KNL1/RAD51/WDR76/CCNB2/TIPIN/ZWILCH/TICRR/BLM/CCNF/PKMYT1/PLK1/RFWD3/CDT1/HASPIN/AURKB/ATAD5/CDC6/BRCA1/EME1/BRIP1/BIRC5/NDC80/SPC24/DPF1/UBE2S/RRM2/GEN1/MSH2/BUB1/SPC25/CDC25B/E2F1/RBL1/FAM83D/UBE2C/AURKA/CDC45/CHEK2/GTSE1/FANCD2/CDC25A/TOPBP1/TACC3/CENPE/MAD2L1/CCNA2/TRIP13/CCNB1/CDC25C/SPDL1/MDC1/CDKN1A/TTK/FBXO5/ANLN/DBF4/EZH2/CCNE2/RRM2B/MTBP/MELK/CKS2",99
"GO:0006261","DNA-templated DNA replication","60/389","153/12185",2.80483005616272e-50,8.33385130437349e-48,7.17076947253181e-48,"ORC1/CDC7/MCM10/DNA2/RRM1/FEN1/POLA2/POLD3/CDK2/TIMELESS/PRIM1/RFC5/POLE/BRCA2/RFC3/POLE2/WDHD1/RAD51/TIPIN/TICRR/BLM/CHTF18/ORC6/GINS3/RFWD3/GINS2/CDT1/ATAD5/CDC6/BRCA1/EME1/TK1/LIG1/POLD1/GEN1/MCM6/PCNA/MCM8/GINS1/CDC45/MCM5/TRAIP/POLQ/MCM2/TOPBP1/RFC4/GMNN/MCM3/PRIM2/MMS22L/FBXO5/RFC2/DBF4/MCM7/GINS4/MCM4/CCNE2/RRM2B/DSCC1/RECQL4",60
"GO:0000070","mitotic sister chromatid segregation","63/389","176/12185",7.08579205763353e-50,1.87143641344388e-47,1.61025660444233e-47,"CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/KIF18B/BIRC5/NDC80/SPC24/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/NCAPG/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/KIFC1/TTK/FBXO5/NCAPG2/SMC2/KIF4A/CENPI",63
"GO:0000819","sister chromatid segregation","68/389","215/12185",9.84901010295105e-50,2.34110970147147e-47,2.01438175052988e-47,"CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/CENPF/ZWINT/CDK1/KIF11/KIF18A/INCENP/CDCA5/NCAPD3/NCAPD2/RACGAP1/ESPL1/KNTC1/KMT5A/MZT1/DLGAP5/BUB1B/KNSTRN/KNL1/NUSAP1/ZWILCH/KIF23/PRC1/RMI2/PLK1/KIF22/CDT1/HASPIN/AURKB/SPAG5/CDC6/TOP2A/KIF18B/BIRC5/NDC80/SPC24/DPF1/GEN1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/TACC3/NCAPG/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/KIFC1/TTK/FBXO5/NCAPG2/SMC2/KIF4A/CENPI",68
