"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","72/211","373/12185",9.13956954315905e-57,1.7584531801038e-53,1.43731756815575e-53,"CDC20/KIF2C/SASS6/GPSM2/NUF2/FIRRM/ASPM/KIF14/NEK2/CENPF/ZWINT/KIF11/MKI67/KIF18A/INCENP/NCAPD3/RACGAP1/SKA3/CENPJ/TUBGCP3/DLGAP5/BUB1B/KNSTRN/KNL1/CCNB2/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/CDC6/TOP2A/BRCA1/KIF18B/BRIP1/BIRC5/NDC80/SKA1/SPC24/HAUS5/DPF1/NCAPH/BUB1/SPC25/HJURP/TPX2/DSN1/MYBL2/UBE2C/MIS18A/CHEK2/CENPM/FANCD2/SMC4/ECT2/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/PTTG1/SPDL1/TTK/NCAPG2/CENPP/SMC2/KIF4A/CENPI/HAUS7",72
"GO:0000280","nuclear division","65/211","350/12185",9.38855169771625e-50,9.03178673320303e-47,7.38236644020425e-47,"CDC20/KIF2C/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/KIF20B/KIF11/MKI67/KIF18A/INCENP/TESMIN/CHEK1/NCAPD3/RAD51AP1/RACGAP1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/RAD51/CCNB2/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/TOP2A/KIF18B/BRIP1/BIRC5/NDC80/SPC24/UBE2S/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/LIF/FANCD2/SMC4/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/PTTG1/SPDL1/TTK/ANLN/NCAPG2/RAD54B/SMC2/KIF4A/CENPI",65
"GO:0098813","nuclear chromosome segregation","57/211","268/12185",7.40532543907424e-47,4.74928204825961e-44,3.88194954595681e-44,"CDC20/KIF2C/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/KIF11/KIF18A/INCENP/NCAPD3/RACGAP1/DLGAP5/BUB1B/KNSTRN/KNL1/CCNB2/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/CDC6/TOP2A/KIF18B/BRIP1/BIRC5/NDC80/SPC24/DPF1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/FANCD2/SMC4/ECT2/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/PTTG1/SPDL1/TTK/NCAPG2/SMC2/KIF4A/CENPI",57
"GO:0048285","organelle fission","65/211","393/12185",2.165184355162e-46,1.04145367483292e-43,8.51259322792638e-44,"CDC20/KIF2C/NUF2/ASPM/KIF14/NEK2/CENPF/ZWINT/KIF20B/KIF11/MKI67/KIF18A/INCENP/TESMIN/CHEK1/NCAPD3/RAD51AP1/RACGAP1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/RAD51/CCNB2/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/TOP2A/KIF18B/BRIP1/BIRC5/NDC80/SPC24/UBE2S/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/LIF/FANCD2/SMC4/CENPE/MAD2L1/MND1/TRIP13/CENPK/CCNB1/PTTG1/SPDL1/TTK/ANLN/NCAPG2/RAD54B/SMC2/KIF4A/CENPI",65
"GO:0000070","mitotic sister chromatid segregation","47/211","176/12185",1.87976329066802e-43,7.18987849165e-41,5.8768347010204e-41,"CDC20/KIF2C/NUF2/KIF14/NEK2/CENPF/ZWINT/KIF11/KIF18A/INCENP/NCAPD3/RACGAP1/DLGAP5/BUB1B/KNSTRN/KNL1/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/KIF18B/BIRC5/NDC80/SPC24/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/TTK/NCAPG2/SMC2/KIF4A/CENPI",47
"GO:0140014","mitotic nuclear division","53/211","250/12185",2.2421658497869e-43,7.18987849165e-41,5.8768347010204e-41,"CDC20/KIF2C/NUF2/KIF14/NEK2/CENPF/ZWINT/KIF20B/KIF11/MKI67/KIF18A/INCENP/CHEK1/NCAPD3/RACGAP1/BORA/DLGAP5/BUB1B/KNSTRN/KNL1/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/KIF18B/BIRC5/NDC80/SPC24/UBE2S/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/TTK/ANLN/NCAPG2/SMC2/KIF4A/CENPI",53
"GO:0000819","sister chromatid segregation","50/211","215/12185",5.32078361106141e-43,1.46245538109745e-40,1.19537604735726e-40,"CDC20/KIF2C/NUF2/KIF14/NEK2/CENPF/ZWINT/KIF11/KIF18A/INCENP/NCAPD3/RACGAP1/DLGAP5/BUB1B/KNSTRN/KNL1/ZWILCH/KIF23/PRC1/PLK1/KIF22/AURKB/SPAG5/CDC6/TOP2A/KIF18B/BIRC5/NDC80/SPC24/DPF1/NCAPH/BUB1/SPC25/TPX2/DSN1/MYBL2/UBE2C/CHEK2/SMC4/CENPE/MAD2L1/TRIP13/CENPK/CCNB1/SPDL1/TTK/NCAPG2/SMC2/KIF4A/CENPI",50
"GO:0000075","cell cycle checkpoint signaling","40/211","185/12185",5.91765815639142e-33,1.42319678661214e-30,1.16328701126958e-30,"CDC20/NUF2/DTL/CENPF/ZWINT/INCENP/H2AX/CHEK1/TIMELESS/MDM2/BUB1B/KNL1/RAD51/WDR76/TIPIN/ZWILCH/BLM/PLK1/AURKB/CDC6/BRCA1/BRIP1/BIRC5/NDC80/SPC24/MSH2/BUB1/SPC25/E2F1/CDC45/CHEK2/GTSE1/FANCD2/MAD2L1/TRIP13/CCNB1/SPDL1/MDC1/CDKN1A/TTK",40
"GO:1901987","regulation of cell cycle phase transition","51/211","388/12185",5.75803188003948e-31,1.23093925968844e-28,1.00614030745953e-28,"CDC20/SASS6/NUF2/KIF14/DTL/CENPF/ZWINT/INCENP/H2AX/CHEK1/TIMELESS/MDM2/CENPJ/DLGAP5/BUB1B/KNL1/RAD51/WDR76/TIPIN/ZWILCH/BLM/PLK1/AURKB/CDC6/BRCA1/BRIP1/BIRC5/NDC80/SPC24/DPF1/RRM2/MSH2/BUB1/SPC25/E2F1/RBL1/UBE2C/CDC45/CHEK2/GTSE1/FANCD2/CENPE/MAD2L1/TRIP13/CCNB1/SPDL1/MDC1/CDKN1A/TTK/ANLN/RRM2B",51
"GO:0044770","cell cycle phase transition","56/211","496/12185",1.42734383943893e-30,2.74620954708051e-28,2.24468599591765e-28,"CDC20/SASS6/IQGAP3/NUF2/KIF14/DTL/CENPF/ZWINT/INCENP/H2AX/CHEK1/TIMELESS/MDM2/CENPJ/CDKN3/DLGAP5/BUB1B/KNL1/RAD51/WDR76/CCNB2/TIPIN/ZWILCH/BLM/PLK1/AURKB/CDC6/BRCA1/BRIP1/BIRC5/NDC80/SPC24/DPF1/UBE2S/RRM2/MSH2/BUB1/SPC25/E2F1/RBL1/UBE2C/CDC45/CHEK2/GTSE1/FANCD2/CENPE/MAD2L1/TRIP13/CCNB1/SPDL1/MDC1/CDKN1A/TTK/ANLN/RRM2B/MELK",56
