"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0040008","regulation of growth","79/1337","476/12185",0.000100590253638538,0.145978943453711,0.138815176112517,"RPS6KA1/PTCH2/TGFBR3/CSF1/NGF/SEMA4A/TGFB2/DUSP10/MYOZ1/PLCE1/KAZALD1/IGF2/PRDM11/CCDC85B/EI24/CLSTN3/YBX3/CAPRIN2/DUSP6/BTG1/TCHP/ATP8A2/PARP2/AKAP6/SEMA6D/PML/RGMA/SYT17/DCUN1D3/MT2A/MT1E/ERBB2/MAPT/KAT7/H3-3B/RNF157/SPHK1/AFG3L2/GDF15/SPTBN4/TGFB1/DACT3/UCN/FOSL2/BCL11A/MAP2/ERBB4/SERPINE2/TP53TG5/ADNP/N6AMT1/RUNX1/PPARA/MAPK11/CAV3/TKT/FOXP1/ZNF639/EXOSC9/NPY1R/SELENOP/SLIT3/FOXC1/DDR1/PIM1/HEY2/PRKN/TBX20/EGFR/NRCAM/PLXNA4/WRN/CHD7/ZFPM2/CCN3/EPPK1/IGFBPL1/NOTCH1/AR",79
"GO:0060419","heart growth","19/1337","70/12185",0.000134945575281139,0.145978943453711,0.138815176112517,"TGFBR3/TGFB2/ARID2/DUSP6/ADPRHL1/PARP2/AKAP6/ERBB4/RUNX1/PPARA/MAPK11/CAV3/FOXP1/FOXC1/PIM1/HEY2/TBX20/ZFPM2/NOTCH1",19
"GO:0060420","regulation of heart growth","15/1337","49/12185",0.000157595116493544,0.145978943453711,0.138815176112517,"TGFBR3/DUSP6/PARP2/AKAP6/ERBB4/RUNX1/PPARA/MAPK11/CAV3/FOXP1/PIM1/HEY2/TBX20/ZFPM2/NOTCH1",15
"GO:0035265","organ growth","29/1337","131/12185",0.000161289580465637,0.145978943453711,0.138815176112517,"TGFBR3/ECM1/TGFB2/IGF2/TSKU/YBX3/ARID2/DUSP6/ADPRHL1/PARP2/AKAP6/SOX9/FOSL2/ERBB4/RUNX1/PPARA/MAPK11/CAV3/FOXP1/PSAPL1/MSX2/FOXC1/PIM1/HEY2/TBX20/ZFPM2/COL27A1/NOTCH1/AR",29
"GO:0055021","regulation of cardiac muscle tissue growth","14/1337","44/12185",0.00016411176418016,0.145978943453711,0.138815176112517,"TGFBR3/PARP2/AKAP6/ERBB4/RUNX1/PPARA/MAPK11/CAV3/FOXP1/PIM1/HEY2/TBX20/ZFPM2/NOTCH1",14
"GO:0014029","neural crest formation","7/1337","13/12185",0.000177820234790434,0.145978943453711,0.138815176112517,"KLHL12/NOLC1/SOX9/KBTBD8/EDNRA/PDCD6/TCOF1",7
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","38/1337","192/12185",0.00021187187429184,0.145978943453711,0.138815176112517,"PIK3CD/EPHA2/PLK3/THEM4/PHLDA3/TGFB2/SFRP5/IGF2/BTBD10/ERBB3/RNF41/P2RX4/GAS6/MAZ/MC1R/INPP5K/C1QBP/FLCN/ERBB2/SOX9/PIK3R2/GDF15/TGFB1/MERTK/PDGFB/PPARA/CAV3/GPX1/DAG1/KIT/PDCD6/GCNT2/DDR1/TPBG/GPER1/EGFR/HIP1/ROR2",38
"GO:0034350","regulation of glial cell apoptotic process","6/1337","10/12185",0.000245140925471187,0.145978943453711,0.138815176112517,"GAS6/PRKCD/PRKCI/AKAP12/RAD21/TRAF2",6
"GO:0060537","muscle tissue development","60/1337","349/12185",0.000261194928644811,0.145978943453711,0.138815176112517,"TGFBR3/LMNA/CACNA1S/BTG2/ATF3/TGFB2/RYR2/EGR2/PPP3CB/MYOZ1/LRRC27/IGF2/BMAL1/CSRP3/CDON/YBX3/ARID2/ERBB3/KLF5/ADPRHL1/PARP2/MYH7/AKAP6/FBXO22/AKAP13/FLCN/SOX9/FHOD3/TGFB1/FOSL2/SLC8A1/SMYD1/FHL2/ERBB4/RCAN1/RUNX1/MAFF/PPARA/MAPK11/CAV3/SCN5A/MYL3/TREX1/GPX1/ADAMTS9/FOXP1/EDNRA/MEGF10/MSX2/FOXC1/PIM1/POPDC3/HEY2/TBX20/MYL7/CAV2/NRG1/CHD7/ZFPM2/NOTCH1",60
"GO:0060444","branching involved in mammary gland duct morphogenesis","8/1337","18/12185",0.000327342287790935,0.161770068370035,0.153831367724901,"EPHA2/CSF1/PML/CAV3/AREG/MSX2/DDR1/AR",8
"GO:0055017","cardiac muscle tissue growth","17/1337","64/12185",0.000395855825671193,0.161770068370035,0.153831367724901,"TGFBR3/TGFB2/ARID2/PARP2/AKAP6/ERBB4/RUNX1/PPARA/MAPK11/CAV3/FOXP1/FOXC1/PIM1/HEY2/TBX20/ZFPM2/NOTCH1",17
"GO:0050673","epithelial cell proliferation","54/1337","311/12185",0.000406145064765815,0.161770068370035,0.153831367724901,"PIK3CD/EPHA2/RAP1GAP/RPS6KA1/TGFBR3/ECM1/NCSTN/TGFB2/DUSP10/HRAS/IGF2/BTBD10/LGR4/POLD4/SIDT2/CDK4/LGR5/IRS2/RASGRF1/FLCN/ERBB2/GRN/NME2/SOX9/TGFB1/BAX/SGPP2/JAG1/SULF2/PDGFB/WNT7A/SCN5A/GPX1/CLDN1/KIT/AREG/PDCD6/FGF1/SCAND3/BAK1/CD109/PTPRK/EGFR/CAV2/PEX2/CCN3/EPPK1/NFIB/KLF9/NOTCH1/PRKX/AR/BTK/PLXNB3",54
"GO:0022612","gland morphogenesis","22/1337","94/12185",0.000426812734843598,0.161770068370035,0.153831367724901,"EPHA2/RPS6KA1/CSF1/TGFB2/CAPN1/TGFB3/PML/SOX9/TGFB1/BAX/SULF2/CAV3/DAG1/AREG/FGF1/MSX2/DDR1/EGFR/NFIB/NOTCH1/AR/EDA",22
"GO:0046620","regulation of organ growth","18/1337","71/12185",0.000501514372648449,0.161770068370035,0.153831367724901,"TGFBR3/IGF2/YBX3/DUSP6/PARP2/AKAP6/ERBB4/RUNX1/PPARA/MAPK11/CAV3/FOXP1/FOXC1/PIM1/HEY2/TBX20/ZFPM2/NOTCH1",18
"GO:0014033","neural crest cell differentiation","19/1337","77/12185",0.000511458873709467,0.161770068370035,0.153831367724901,"SEMA4A/KLHL12/NOLC1/KITLG/SEMA6D/SOX9/NRTN/ERBB4/JAG1/KBTBD8/EDNRA/PDCD6/GDNF/FBXL17/TCOF1/FOXC1/RADIL/NRG1/OTUD5",19
