"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007186","G protein-coupled receptor signaling pathway","216/5454","389/12185",9.58516018091962e-06,0.0277281649442285,0.0257116834593813,"AGRN/TAS1R3/GPR153/AGTRAP/NPPB/ADGRB2/PDE4B/ADGRL4/ADGRL2/GNG5/BCAR3/S1PR1/CELSR2/SORT1/GNAT2/AHCYL1/RGS4/RGS5/GPR161/RGS2/ADORA1/ATP2B4/ACTN2/NMT2/FZD8/PSAP/HTR7/PLCE1/SORCS3/ADRA2A/ATRNL1/RIC8A/KCNQ1/TUB/LGR4/DGKZ/CHRM4/DAGLA/GRK2/GAL/P2RY2/ARRB1/SORL1/APLP2/GPR162/PTHLH/ADCY6/NXPH4/FRS2/LGR5/RIC8B/CRY1/CMKLR1/ORAI1/DGKH/KCTD12/GPR180/GPR183/LTB4R/GNG2/GPR135/RDH11/RGS6/BDKRB2/AKT1/SCG5/GPR176/PLCB2/TYRO3/TMOD2/NMB/AKAP13/RGS11/NPW/PRKCB/RPGRIP1L/ADGRG1/NECAB2/MC1R/INPP5K/SPNS2/ADORA2B/RASD1/GIT1/CDK5R1/CCL2/RAMP2/FZD2/NMT1/ITGB3/NXPH3/PPP1R9B/DGKE/GNA13/RGS9/GPRC5C/NHERF1/NPB/GNAL/GNG7/GNA11/TBXA2R/INSR/PDE4A/PRKACA/ADGRE5/GIPC1/F2RL3/APLP1/ARHGEF1/GSK3A/GIPR/SPHK2/CGB7/VN1R1/ADCY3/UCN/VPS54/GPR17/CXCR4/NXPH2/CALCRL/FZD7/CMKLR2/FZD5/ECEL1/ACKR3/GPR35/ADRA1D/PLCB4/SRC/TGM2/ADA/GNAS/RGS19/CRKL/GNAZ/CELSR1/ITPR1/PPARG/ACKR2/ZDHHC3/GNAI2/ABHD6/GAP43/ADCY5/PIK3CB/P2RY14/GPR87/P2RY1/GNB4/ECE2/ADRA2C/TAPT1/ADGRA3/KCTD8/ADGRL3/RAP1GDS1/EDNRA/GLRB/RAPGEF2/NPY1R/CPE/LMBRD2/IQGAP2/F2RL1/ADGRV1/NPY6R/KCTD16/ADRA1B/HRH2/GRK6/EDN1/GABBR1/ITPR3/ADGRF5/OPN5/MRAP2/PLN/AKAP12/EZR/IGF2R/GPR146/GPER1/DGKB/NPY/ADCY1/FZD9/GNAI1/GNG11/GPR22/GPR85/MET/GPR37/GRM8/CHRM2/SLC39A14/PTK2B/RGS20/CA2/RIMS2/ADCY8/GPR20/ZDHHC21/FRMPD1/GNAQ/ABCA1/GNG10/USP20/GPR143/ADGRG2/DGKK/GPR173/UBQLN2/AR/APLN",216
"GO:0009084","glutamine family amino acid biosynthetic process","14/5454","14/12185",1.28365053680638e-05,0.0277281649442285,0.0257116834593813,"GLUL/PYCR2/GLUD1/ALDH18A1/OAT/GLS2/CLN3/NAGS/PYCR1/GLS/ASL/PYCR3/ASS1/GLUD2",14
"GO:0048738","cardiac muscle tissue development","122/5454","206/12185",1.8330764723584e-05,0.0277281649442285,0.0257116834593813,"SKI/NPPB/SLC9A1/S1PR1/GJA5/LMNA/RGS4/RGS2/TNNT2/ACTN2/RYR2/NEBL/BMPR1A/NRAP/FGFR2/LRRC27/KCNJ11/MYBPC3/TENM4/YAP1/PKP2/PRICKLE1/ERBB3/FRS2/LRRC10/TBX5/TBX3/POU4F1/EFNB2/ADPRHL1/PARP2/MYH6/MYH7/AKAP6/SAV1/BMP4/ASB2/YY1/GREM1/ACTC1/TPM1/AKAP13/NPRL3/MYLK3/IRX3/KDM6B/MAP2K4/MYOCD/IFT20/TCAP/GJC1/NOG/TBX2/NDUFV2/FHOD3/ALPK2/CTDP1/CALR/TGFB1/GSK3A/PRMT1/TNNI3/ID2/SLC8A1/FHL2/XIRP2/LRP2/TTN/FZD7/ERBB4/OBSL1/FKBP1A/JPH2/BMP7/GATA5/RUNX1/SIK1/MYO18B/MAPK11/CAV3/RARB/SCN5A/TREX1/TNNC1/WNT5A/ADAMTS9/FOXP1/MSX1/RBPJ/PDGFRA/HOPX/PDLIM5/FGF2/SMAD1/EDNRA/SORBS2/PTCD2/SMAD5/HAND1/SGCD/NKX2-5/MSX2/FOXC1/EDN1/MAPK14/PIM1/BMP5/BVES/PLN/GJA1/HEY2/CITED2/DLL1/TBX20/MYL7/NKX2-6/NRG1/PLEC/ENG/NOTCH1/TAFAZZIN/G6PD",122
"GO:0014706","striated muscle tissue development","128/5454","218/12185",2.06469323920991e-05,0.0277281649442285,0.0257116834593813,"SKI/NPPB/SLC9A1/S1PR1/GJA5/LMNA/RGS4/RGS2/TNNT2/ACTN2/RYR2/NEBL/BMPR1A/NRAP/FGFR2/LRRC27/KCNJ11/MYBPC3/TENM4/YAP1/PKP2/PRICKLE1/ERBB3/FRS2/LRRC10/TBX5/TBX3/POU4F1/EFNB2/ADPRHL1/PARP2/MYH6/MYH7/AKAP6/SAV1/BMP4/ASB2/YY1/GREM1/ACTC1/TPM1/SMAD3/AKAP13/NPRL3/MYLK3/IRX3/KDM6B/MAP2K4/MYOCD/IFT20/TCAP/GJC1/NOG/TBX2/NDUFV2/FHOD3/ALPK2/CTDP1/CALR/SIRT2/TGFB1/GSK3A/PRMT1/TNNI3/ID2/SLC8A1/FHL2/XIRP2/LRP2/TTN/FZD7/ERBB4/OBSL1/FKBP1A/JPH2/BMP7/GATA5/RUNX1/SIK1/MYO18B/MAPK11/CAV3/RARB/SCN5A/TREX1/TNNC1/WNT5A/ADAMTS9/FOXP1/MSX1/RBPJ/PDGFRA/HOPX/PDLIM5/LEF1/FGF2/SMAD1/EDNRA/SORBS2/PTCD2/SMAD5/HAND1/SGCD/NKX2-5/MSX2/FOXC1/EDN1/MAPK14/PIM1/BMP5/BVES/PLN/GJA1/HEY2/CITED2/DLL1/TWIST1/TBX20/MYL7/IFRD1/NKX2-6/NRG1/PLEC/PGM5/ENG/NOTCH1/TAFAZZIN/G6PD",128
"GO:0099084","postsynaptic specialization organization","26/5454","32/12185",2.55182817451026e-05,0.0277281649442285,0.0257116834593813,"C1QL3/PTEN/SPTBN2/LRFN4/CRK/NLGN2/CNTNAP1/ITGB3/CDH2/PTPRS/LRRC4B/SHANK1/CRKL/SHANK3/GAP43/TMEM108/NLGN1/IL1RAP/DLG1/SYNGAP1/LRRC4/PTK2B/PTPRD/ZDHHC12/ARHGEF9/OPHN1",26
"GO:0099173","postsynapse organization","95/5454","156/12185",3.3230470547558e-05,0.0300901910808137,0.0279019354457215,"RER1/EPHB2/DNM3/ARF1/C1QL3/ARHGAP22/PTEN/INA/CAPRIN1/CFL1/SPTBN2/LRFN4/CTTN/CAPRIN2/HIP1R/FARP1/SIPA1L1/PSEN1/RPS6KA5/AKT1/ABHD17C/MESD/IGF1R/VPS35/CRK/DLG4/NLGN2/CHRNB1/ARHGEF15/ARHGAP44/NF1/CDK5R1/CNTNAP1/ITGB3/TANC2/BAIAP2/ACTG1/RAC3/CDH2/PTPRS/INSR/LRRC4B/SHANK1/POTEI/POTEJ/POTEE/TANC1/NRP2/KIF1A/PRNP/LAMA5/DIP2A/CRKL/NEFH/SHANK3/WNT7A/COLQ/SEMA3F/WNT5A/ARF4/CHMP2B/GAP43/TMEM108/NLGN1/IL1RAP/DLG1/PDLIM5/SLC7A11/GLRB/CTNND2/ACTBL2/DBN1/SYNGAP1/STK38/EPHA7/EZR/ACTB/FZD9/NRCAM/LRRC4/CDK5/ZDHHC2/NEFL/PTK2B/ASAP1/PTPRD/ABHD17B/ROR2/ZDHHC12/CNKSR2/IL1RAPL1/ARHGEF9/OPHN1/ZDHHC15/GPRASP3",95
"GO:0045598","regulation of fat cell differentiation","67/5454","104/12185",3.95576366158935e-05,0.0307023771048785,0.0284696013298747,"FNDC5/ZC3H12A/SORT1/SOX13/DUSP10/CCDC3/ANKRD26/SIRT1/BMAL1/LRP5/YAP1/LMO3/ZNF385A/DDIT3/CMKLR1/TRPV4/FOXO1/WDFY2/KLF5/SAV1/FERMT2/JDP2/AKT1/SMAD3/AXIN1/TGFB1I1/FTO/GPS2/FLCN/NR1D1/AXIN2/ZBTB7C/MEX3C/CARM1/CEBPA/SIRT2/ZFP36/TGFB1/TRPM4/ID2/ASXL2/ZFP36L2/TRIB3/STK4/CEBPB/BMP7/XBP1/PPARG/WNT5A/GATA2/CDS1/BBS12/NOCT/SFRP2/MSX2/ID4/MAPK14/PIM1/DLK2/ENPP1/GPER1/NAPEPLD/LPL/SFRP1/TMEM64/SYAP1/TFE3",67
"GO:0046486","glycerolipid metabolic process","168/5454","300/12185",4.96022795797994e-05,0.0336861481196313,0.0312363829038053,"PIK3CD/LYPLA2/PIGV/FABP3/FAAH/SLC44A3/ACP6/PI4KB/PIGM/PRDX6/ETNK2/PIK3C2B/LPGAT1/BPNT1/ITPKB/PIP4K2A/IPMK/SIRT1/PTEN/PLCE1/PI4K2A/GPAM/PNPLA2/OSBPL5/PGAP2/FAR1/PIK3C2A/DGKZ/PTPMT1/DAGLA/PITPNM1/CPT1A/INPPL1/UVRAG/ATM/SORL1/LPCAT3/ETNK1/PIP4K2C/AVIL/OSBPL8/CHPT1/SCARB1/MTMR6/DGKH/PIP4P1/ABHD4/PCK2/SOCS4/ATG14/PIGH/TTC7B/PLCB2/PIGB/ABHD2/LMF1/PGP/ABCA3/SOCS1/CLN3/CDIPT/PLA2G15/INPP5K/PIGL/PEMT/DHRS7B/SOCS7/PIP4K2B/BECN1/DGKE/GDPD1/SOCS3/LPIN2/ABHD3/PIK3C3/LIPG/SOCS6/PIP5K1C/PLIN5/PNPLA6/SLC44A2/LDLR/SLC27A1/PIK3R2/ITPKC/MBOAT7/TMEM86B/SH3YL1/EFR3B/PLB1/PIGF/TTC7A/INSIG2/DBI/SMPD4/INPP1/CPS1/PANK2/CDS2/GPCPD1/CRLS1/ABHD12/PIGU/LPIN3/FITM2/PIGT/DPM1/SYNJ1/SIK1/AGPAT3/HDHD5/PI4KAP2/INPP5J/PISD/PLA2G6/PDGFB/PNPLA3/CAV3/MTMR14/TAMM41/OSBPL10/PLCD1/ABHD5/GPX1/ABHD6/PLA1A/PIK3CB/GK5/PLSCR1/PLD1/TBL1XR1/DNAJC19/PIGZ/PIGG/CDS1/FGF2/INPP4B/FBXW7/ACSL1/SLC30A5/SERINC5/SLC22A4/ABHD16A/AGPAT4/DAGLB/DGKB/NAPEPLD/PNPLA8/AGK/MTMR7/LPL/DDHD2/GPAT4/FABP5/PTDSS1/ENPP2/GPAA1/DGAT1/PIGO/PIP5K1B/SLC44A1/PIGA/PCYT1B/RGN/DGKK/MTM1/MTMR1/TAFAZZIN",168
"GO:0003013","circulatory system process","237/5454","440/12185",5.89792558443936e-05,0.0356038107780656,0.0330145869557038,"SCNN1D/RNF207/CTNNBIP1/AGTRAP/NPPB/HSPB7/SLC9A1/ZC3H12A/SLC6A9/FAAH/CYP2J2/PDE4B/TNNI3K/DDAH1/GCLM/SLC16A1/GJA5/ATP1A2/RGS4/ATP1B1/RGS2/TNNT2/ADORA1/ATP2B4/RYR2/CACNB2/VSTM4/CTNNA3/SLC16A12/HTR7/FGFBP3/KCNIP2/ADRA2A/KCNQ1/PIK3C2A/MYBPC3/SLC29A2/GRK2/LRP5/P2RY2/YAP1/SCN4B/SCN2B/SCN3B/KCNJ5/CACNA1C/OLR1/DNM1L/PKP2/ADCY6/SLC4A8/SLC16A7/KCNMB4/ATP2B1/TRPV4/ATP2A2/TBX5/SLC7A1/SLC7A8/MYH6/MYH7/FERMT2/SLC8A3/BDKRB2/TJP1/ACTC1/TPM1/SMAD3/CORO2B/BBS4/AKAP13/SLCO3A1/ABAT/EMP2/ATP2A1/MYLK3/IRX3/TRPV1/P2RX1/ATP2A3/SLC2A4/ATP1B2/RANGRF/ADORA2B/MAP2K3/SLC6A4/ASIC2/RASL10B/TCAP/THRA/GJD3/JUP/RAMP2/GJC1/MYL4/ABCC3/TBX2/ACE/GNA13/MAP2K6/NHERF1/GAA/YES1/DSC2/GNA11/TBXA2R/INSR/PRKACA/SLC27A1/SCN1B/SPTBN4/TGFB1/ATP1A3/GSK3A/SLC1A5/TRPM4/TNNI3/ID2/FKBP1B/UCN/SLC8A1/EPAS1/CXCR4/STK39/LRP2/TTN/STAT1/CPS1/DES/SLC4A3/KCNE4/PER2/ADRA1D/MKKS/SLC24A3/SNTA1/SRC/ADA/SLC13A3/SLC2A10/LOC102724560/SOD1/KCNE1/CBS/SLC19A1/SLC5A1/PDGFB/CAV3/SLC6A1/PPARG/GRIP2/KAT2B/THRB/GPD1L/SCN5A/SLC6A20/TREX1/GPX1/SLC38A3/GNAI2/TNNC1/POPDC2/P2RY1/FGF12/TFRC/DLG1/ADRA2C/CORIN/HOPX/SLC4A4/RAP1GDS1/ADH5/ANK2/CAMK2D/EDNRA/GUCY1A1/NPY1R/SLC1A3/F2RL1/TMEM161B/ERAP1/SLC12A2/SMAD5/SGCD/ADRA1B/KCNMB1/NKX2-5/HRH2/FOXC1/EDN1/SLC29A1/GCLC/BVES/PLN/GJA1/TRDN/HEY2/SGK1/AKAP12/DLL1/GPER1/NPY/TBX20/MYL7/CD36/ABCB1/SRI/AKAP9/PLOD3/ZNHIT1/KCND2/CHRM2/KCNH2/NOS3/SLC7A2/FABP5/NCALD/ANGPT1/EXT1/PLEC/SLC1A1/ZDHHC21/SH3GL2/TEK/TJP2/PCSK5/SLC44A1/GSN/PTGS1/DMD/ATP6AP2/AR/SLC16A2/NOX1/APLN/RENBP/TAFAZZIN",237
"GO:0045444","fat cell differentiation","110/5454","187/12185",6.89329816630755e-05,0.0374512889375489,0.0347277105515242,"SDF4/PRDM16/FABP3/FNDC5/ZC3H12A/LRRC8C/SORT1/RGS2/SOX13/LAMB3/DUSP10/CCDC3/ANKRD26/EGR2/SIRT1/CTBP2/BMAL1/BBS1/LRP5/CCND1/YAP1/LMO3/NR4A1/ZNF385A/DDIT3/OSBPL8/CMKLR1/TRPV4/TMEM120B/FOXO1/WDFY2/KLF5/SAV1/FERMT2/JDP2/TTC8/AKT1/SMAD3/BBS4/AXIN1/SOCS1/TGFB1I1/FTO/SLC2A4/GPS2/FLCN/DHRS7B/NR1D1/AXIN2/ZBTB7C/MEX3C/ZNF516/ZBTB7A/CARM1/CEBPA/CLIP3/SIRT2/ZFP36/TGFB1/TRPM4/ID2/ASXL2/FOSL2/ZFP36L2/NR4A2/PER2/TRIB3/MKKS/STK4/CEBPB/BMP7/XBP1/PNPLA3/PPARG/GPX1/WNT5A/GATA2/TBL1XR1/PPARGC1A/PDGFRA/CDS1/BBS7/BBS12/NOCT/SFRP2/RETREG1/FGF10/ERAP1/MSX2/ID4/PSMB8/MAPK14/PIM1/DLK2/ADGRF5/ENPP1/GPER1/ARL4A/BBS9/SH2B2/NAPEPLD/LPL/SFRP1/CEBPD/TMEM64/GDF6/NR4A3/KLF4/SYAP1/TFE3",110
