"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042789","mRNA transcription by RNA polymerase II","5/155","42/12185",0.000181674432049039,0.307705734372421,0.291670515181614,"RARA/NCOA1/CREB1/TAF8/RXRA",5
"GO:0009299","mRNA transcription","5/155","45/12185",0.000253047478924688,0.307705734372421,0.291670515181614,"RARA/NCOA1/CREB1/TAF8/RXRA",5
"GO:0019751","polyol metabolic process","6/155","81/12185",0.000568859293694071,0.3278798287655,0.310793293367575,"GCH1/GALR2/SPHK1/SLC5A3/HRH1/IP6K3",6
"GO:0010799","regulation of peptidyl-threonine phosphorylation","4/155","35/12185",0.000970161198359584,0.3278798287655,0.310793293367575,"SPRY2/SPHK1/RPTOR/SMAD7",4
"GO:0048538","thymus development","4/155","36/12185",0.00108072993877808,0.3278798287655,0.310793293367575,"MAFB/EPHB3/HES1/HAND2",4
"GO:0003215","cardiac right ventricle morphogenesis","3/155","18/12185",0.00143172905901594,0.3278798287655,0.310793293367575,"HAND2/GATA4/ZFPM2",3
"GO:1902106","negative regulation of leukocyte differentiation","5/155","66/12185",0.00149444028060606,0.3278798287655,0.310793293367575,"ZBTB7B/RARA/SMAD7/MAFB/TRIB1",5
"GO:0008584","male gonad development","6/155","98/12185",0.0015462830376415,0.3278798287655,0.310793293367575,"ARID4B/RARA/NCOA1/PATZ1/GATA4/ZFPM2",6
"GO:0046546","development of primary male sexual characteristics","6/155","99/12185",0.00162905799924153,0.3278798287655,0.310793293367575,"ARID4B/RARA/NCOA1/PATZ1/GATA4/ZFPM2",6
"GO:0030856","regulation of epithelial cell differentiation","6/155","100/12185",0.00171516112801135,0.3278798287655,0.310793293367575,"MYCL/SPRY2/RPTOR/GRHL1/HES1/GDNF",6
"GO:0045637","regulation of myeloid cell differentiation","7/155","137/12185",0.00182170843304607,0.3278798287655,0.310793293367575,"RAB7B/RNF41/RARA/RPTOR/CREB1/MAFB/TRIB1",7
