"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0006260","DNA replication","40/126","260/12185",1.70063003153188e-36,1.96252705638778e-33,1.56636976588462e-33,"ORC1/CDC7/CDK1/DNA2/RRM1/FEN1/POLA2/CDK2/RFC5/POLE/BRCA2/WDHD1/PCLAF/TICRR/RMI2/ORC6/GINS3/CDT1/ATAD5/EME1/TK1/RNASEH2A/GEN1/MCM6/MCM8/DONSON/CHAF1B/RFC4/CCNA2/GMNN/PRIM2/MMS22L/FBXO5/RFC2/DBF4/MCM7/ESCO2/MCM4/CCNE2/RECQL4",40,"BP"
"GO:0006261","DNA-templated DNA replication","33/126","153/12185",4.43149481938833e-35,2.55697251078706e-32,2.04081998261304e-32,"ORC1/CDC7/DNA2/RRM1/FEN1/POLA2/CDK2/RFC5/POLE/BRCA2/WDHD1/TICRR/ORC6/GINS3/CDT1/ATAD5/EME1/TK1/GEN1/MCM6/MCM8/DONSON/RFC4/GMNN/PRIM2/MMS22L/FBXO5/RFC2/DBF4/MCM7/MCM4/CCNE2/RECQL4",33,"BP"
"GO:0044770","cell cycle phase transition","40/126","496/12185",2.47855396842192e-25,9.53417093186299e-23,7.60959551708485e-23,"E2F2/CLSPN/CDCA8/STIL/CDKN2C/ORC1/CDC7/CKS1B/MASTL/CDK1/DNA2/RRM1/CDCA5/FOXM1/ESPL1/CDK2/KNTC1/POLE/BRCA2/XRCC3/TICRR/CCNF/PKMYT1/CDT1/HASPIN/ATAD5/EME1/GEN1/CDC25B/FAM83D/AURKA/DONSON/CDC25A/TACC3/CCNA2/CDC25C/FBXO5/DBF4/CCNE2/MTBP",40,"BP"
"GO:0007059","chromosome segregation","34/126","373/12185",3.76656373619873e-23,1.08665363789333e-20,8.67300860308919e-21,"CDCA8/STIL/NDC1/CENPL/CDK1/CDCA5/NCAPD2/ESPL1/KNTC1/MZT1/XRCC3/OIP5/NUSAP1/RMI2/NDE1/CENPN/CDT1/HASPIN/PSMC3IP/GEN1/CENPO/SGO2/FAM83D/AURKA/SGO1/TACC3/CENPU/CENPH/CENPQ/CENPW/FBXO5/CDCA2/ESCO2/CCNE2",34,"BP"
"GO:0044772","mitotic cell cycle phase transition","35/126","409/12185",6.35949794181958e-23,1.46777212497196e-20,1.17148646296677e-20,"E2F2/CLSPN/CDCA8/STIL/CDKN2C/ORC1/CDC7/CKS1B/MASTL/CDK1/RRM1/CDCA5/FOXM1/ESPL1/CDK2/KNTC1/POLE/XRCC3/TICRR/CCNF/PKMYT1/HASPIN/ATAD5/GEN1/CDC25B/AURKA/DONSON/CDC25A/TACC3/CCNA2/CDC25C/FBXO5/DBF4/CCNE2/MTBP",35,"BP"
"GO:0000280","nuclear division","31/126","350/12185",1.01934945933392e-20,1.96054879345225e-18,1.56479083669681e-18,"CDCA8/RAD54L/NDC1/MASTL/CDK1/CDCA5/NCAPD2/ESPL1/KNTC1/BRCA2/MZT1/XRCC3/NUSAP1/PKMYT1/NDE1/CDT1/FANCA/HASPIN/PSMC3IP/EME1/GEN1/CDC25B/AURKA/SGO1/CDC25C/FBXO5/FIGNL1/CDCA2/MYBL1/CCNE2/MTBP",31,"BP"
"GO:0048285","organelle fission","32/126","393/12185",2.82496033244212e-20,4.65714889091173e-18,3.71705306900279e-18,"CDCA8/RAD54L/NDC1/MASTL/CDK1/CDCA5/NCAPD2/ESPL1/KNTC1/BRCA2/MZT1/XRCC3/NUSAP1/PKMYT1/NDE1/CDT1/FANCA/HASPIN/PSMC3IP/EME1/GEN1/CDC25B/AURKA/SGO1/CDC25C/MTFR2/FBXO5/FIGNL1/CDCA2/MYBL1/CCNE2/MTBP",32,"BP"
"GO:1901987","regulation of cell cycle phase transition","31/126","388/12185",2.12463568378694e-19,3.06478697386266e-17,2.44612660962312e-17,"CLSPN/CDCA8/STIL/CDKN2C/ORC1/CDC7/CDK1/DNA2/RRM1/CDCA5/ESPL1/CDK2/KNTC1/BRCA2/XRCC3/TICRR/PKMYT1/CDT1/HASPIN/ATAD5/EME1/GEN1/CDC25B/FAM83D/AURKA/DONSON/CDC25A/CDC25C/FBXO5/DBF4/MTBP",31,"BP"
"GO:0044786","cell cycle DNA replication","14/126","42/12185",3.15906018461485e-18,4.0506171700506e-16,3.2329563292842e-16,"CDC7/DNA2/FEN1/BRCA2/GINS3/CDT1/ATAD5/TK1/MCM6/DONSON/GMNN/FBXO5/DBF4/MCM4",14,"BP"
"GO:0007346","regulation of mitotic cell cycle","31/126","439/12185",7.5934522076768e-18,8.76284384765903e-16,6.99396913864968e-16,"CLSPN/CDCA8/STIL/CDKN2C/ORC1/CDC7/CKS1B/CDK1/RRM1/CDCA5/ESPL1/CDK2/KNTC1/BRCA2/XRCC3/NUSAP1/TICRR/PKMYT1/HASPIN/ATAD5/EME1/GEN1/CDC25B/AURKA/DONSON/CDC25A/CDC25C/GMNN/FBXO5/CDCA2/MTBP",31,"BP"
"GO:0006270","DNA replication initiation","13/126","35/12185",1.00021912223819e-17,1.04932078823897e-15,8.37504049720972e-16,"ORC1/POLA2/CDK2/TICRR/ORC6/GINS3/CDT1/MCM6/GMNN/PRIM2/MCM7/MCM4/CCNE2",13,"BP"
"GO:0033260","nuclear DNA replication","13/126","38/12185",3.57450171990878e-17,3.43747915397895e-15,2.74358684642122e-15,"CDC7/DNA2/FEN1/BRCA2/GINS3/CDT1/ATAD5/TK1/MCM6/DONSON/GMNN/DBF4/MCM4",13,"BP"
"GO:0006275","regulation of DNA replication","18/126","111/12185",5.6022604199916e-17,4.97308348051562e-15,3.96921284817218e-15,"CDC7/CDK1/DNA2/CDK2/RFC5/TICRR/CDT1/ATAD5/MCM6/RFC4/CCNA2/GMNN/FBXO5/RFC2/DBF4/MCM7/ESCO2/MCM4",18,"BP"
"GO:1903046","meiotic cell cycle process","19/126","138/12185",1.71975919017381e-16,1.41757293247184e-14,1.13142051985119e-14,"RAD54L/NDC1/MASTL/NCAPD2/ESPL1/BRCA2/PKMYT1/FANCA/PSMC3IP/EME1/CDC25B/AURKA/SGO1/CDC25A/CDC25C/FBXO5/FIGNL1/MYBL1/CCNE2",19,"BP"
"GO:0090329","regulation of DNA-templated DNA replication","13/126","43/12185",2.31212352118035e-16,1.77879369562808e-14,1.41972496914583e-14,"CDC7/CDK2/RFC5/TICRR/CDT1/MCM6/RFC4/GMNN/FBXO5/RFC2/DBF4/MCM7/MCM4",13,"BP"
"GO:0051321","meiotic cell cycle","21/126","189/12185",3.434825888667e-16,2.47736817220107e-14,1.97728463985765e-14,"RAD54L/NDC1/MASTL/NCAPD2/ESPL1/CDK2/BRCA2/PKMYT1/FANCA/PSMC3IP/EME1/SGO2/CDC25B/AURKA/SGO1/CDC25A/CDC25C/FBXO5/FIGNL1/MYBL1/CCNE2",21,"BP"
