"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0034470","ncRNA processing","388/10454","412/12185",3.33901561236773e-08,0.00018150888868831,0.00018150888868831,"PUSL1/INTS11/NOL9/EXOSC10/MRTO4/RPL11/YTHDF2/PUM1/ZBTB8OS/AGO4/AGO1/AGO3/SNIP1/YRDC/UTP11/TRIT1/ZMPSTE24/EBNA1BP2/ERI3/RPS8/TOE1/NSUN4/TUT4/TYW3/RPF1/ZNHIT6/RPL5/TRMT13/HENMT1/SARS1/WDR3/ANKRD34A/TDRKH/INTS3/RPS27/ADAR/METTL18/RNASEL/TSEN15/TRMT1L/RRP15/NVL/SDE2/TSNAX/TARBP1/RBM34/HEATR1/TFB2M/GTPBP4/ANKRD16/RPP38/TRDMT1/NSUN6/BMS1/DDX21/RPS24/RPP30/RRP12/EXOSC1/NPM3/PDCD11/TRUB1/H19/RRP8/METTL15/ELP4/NAT10/CLP1/TUT1/INTS5/WDR74/TRMT112/SART1/INTS4/PIWIL4/ALKBH8/FDXACB1/PIH1D2/RPS25/PUS3/RPUSD4/NOP2/EMG1/DDX47/WBP11/INTS13/BCDIN3D/TARBP2/PA2G4/ZC3H10/METTL1/KRR1/UTP20/PWP1/DDX54/POP5/ZCCHC8/DHX37/PUS1/DDX51/NOC4L/INTS6/UTP14C/DIS3/RPPH1/OSGEP/METTL3/NGDN/NOP9/PRORP/RTRAF/BMP4/TRMT5/FCF1/ALKBH1/GON7/DICER1/TRMT61A/AKT1/NOP10/FAM98B/RPUSD2/LCMT2/DTWD1/MTFMT/INTS14/SMAD3/RPP25/IMP3/RPS17/RPUSD1/TSR3/TBL3/ZC3H7A/RSL1D1/PARN/THUMPD1/ERI2/TENT4B/USB1/DUS2/UTP4/NOB1/EXOSC6/ADAT1/KARS1/MPHOSPH6/CTU2/GEMIN4/MRM3/TSR1/METTL16/PELP1/ELP5/TP53/RPL26/ELAC2/UTP6/ZNHIT3/MRM1/DDX52/STAT3/RPL27/UTP18/INTS2/METTL2A/FTSJ3/DDX5/NOL11/TSEN54/USP36/EIF4A3/SIRT7/DUS1L/RIOK3/ELP2/SMAD2/ELAC1/RBFA/WDR18/RPS15/ADAT3/DUS3L/RPS28/PPAN/KRI1/QTRT1/TRMT1/GTPBP3/DDX49/POP4/RPS16/FBL/EXOSC5/ERCC2/NOP53/PIH1D1/CTU1/TSEN34/RPS7/NOL10/DDX1/PUM2/TRMT61B/WDR43/FAM98A/THUMPD2/THADA/PNPT1/PUS10/C1D/MPHOSPH10/C2orf49/DDX18/NIFK/TSN/IMP4/SSB/METTL5/METTL8/PRKRA/WDR75/TYW5/NOP58/WDR12/MRPL44/MTERF4/NOP56/TRMT6/ESF1/XRN2/CDK5RAP1/EIF6/TP53RK/DDX27/MOCS3/RPS21/LOC102724159/URB1/WDR4/RRP1B/RRP1/PWP2/SLX9/YBEY/DGCR8/TRMT2A/PES1/RTCB/DDX17/ZC3H7B/SNU13/RRP7A/RRP7BP/TRMU/TRNT1/THUMPD3/METTL6/DPH3/KAT2B/TRIM71/RPL14/EXOSC7/WDR6/DALRD3/RRP9/RPP14/SHQ1/NSUN3/TRMT10C/NUDT16/NCBP2/RPL35A/NOP14/LYAR/TRMT44/SEPSECS/ZCCHC4/UTP3/GRSF1/TRMT10A/INTS12/GAR1/LARP7/SMAD1/LSM6/NAF1/FRG1/NSUN2/DROSHA/BRIX1/NUP155/MTREX/DIMT1/UTP15/NSA2/ANKRD34B/RIOK2/WDR36/DTWD2/SRFBP1/WDR55/RPS14/THG1L/FBLL1/NHP2/RIPK1/RPP40/FARS2/RIOK1/CDKAL1/ABT1/RPP21/WDR46/RPL10A/BYSL/RPL7L1/RRP36/MTO1/LIN28B/RPF2/TRMT11/ADAT2/TFB1M/GTF2H5/INTS1/MRM2/DDX56/SBDS/TYW1/TYW1B/NSUN5P2/NSUN5/BUD23/NSUN5P1/SRRT/PUS7/DUS4L/METTL2B/ERI1/TRMT9B/INTS10/ELP3/INTS9/MAK16/PRKDC/RRS1/RPL7/INTS8/POP1/DCAF13/UTP23/TRMT12/AGO2/EXOSC4/BOP1/RCL1/RPS6/NOL6/RPP25L/RMRP/TRMT10B/EXOSC3/TUT7/NOL8/TDRD7/NCBP1/TRMO/ELP1/RPL35/TRUB2/URM1/SPOUT1/EXOSC2/RPL7A/REXO4/DDX3X/FTSJ1/HSD17B10/TSR2/LAS1L/PIN4/TRMT2B/RNF113A/UTP14A/INTS6L/MECP2/LAGE3",388,"BP"
"GO:0042254","ribosome biogenesis","303/10454","320/12185",2.12977320442503e-07,0.000578872356962723,0.000578872356962723,"NOC2L/MRPL20/NOL9/EXOSC10/MRTO4/RPL11/ZNF593/YTHDF2/GNL2/AIRIM/UTP11/EBNA1BP2/ERI3/RPS8/NSUN4/SERBP1/RPF1/ZNHIT6/RPL5/DNTTIP2/WDR3/RPS27/ISG20L2/METTL18/GLUL/RNASEL/RRP15/NVL/SDE2/URB2/C1orf131/RBM34/HEATR1/TFB2M/GTPBP4/RPP38/BMS1/DDX21/RPS24/RPP30/RRP12/EXOSC1/NPM3/PDCD11/RRP8/RPS13/METTL15/NAT10/WDR74/TRMT112/SART1/LTO1/FDXACB1/PIH1D2/RPS25/RPUSD4/NOP2/EMG1/DDX47/WBP11/PA2G4/KRR1/UTP20/PWP1/RPL6/DDX54/RPLP0/POP5/DHX37/DDX51/NOC4L/GTF3A/UTP14C/DIS3/CUL4A/METTL17/NGDN/NOP9/FCF1/CINP/EIF5/NOP10/RPUSD2/AFG2B/RSL24D1/RPP25/IMP3/EFL1/RPS17/NGRN/RPUSD1/TSR3/TBL3/TRAF7/RSL1D1/RRN3/RPS15A/ERI2/HEATR3/TENT4B/DDX28/UTP4/NIP7/NOB1/EXOSC6/MPHOSPH6/GEMIN4/MRM3/TSR1/METTL16/MYBBP1A/PELP1/NUP88/RPL26/RPL23A/ERAL1/UTP6/NLE1/ZNHIT3/MRM1/AATF/DDX52/RPL27/UTP18/FTSJ3/NOL11/RPL38/MRPS7/USP36/EIF4A3/SIRT7/RIOK3/RBFA/WDR18/RPS15/RPS28/PPAN/KRI1/MPV17L2/DDX49/RPSA2/POP4/RPS16/FBL/EXOSC5/ERCC2/NOP53/GRWD1/PIH1D1/RPS11/RPS9/RPS5/RPS7/NOL10/TRMT61B/WDR43/XPO1/C1D/PNO1/MPHOSPH10/EIF5B/DDX18/NIFK/IMP4/METTL5/WDR75/NOP58/WDR12/FASTKD2/XRCC5/MRPL44/MTERF4/NOP56/ESF1/XRN2/EIF6/DDX27/MTG2/RPS21/LOC102724159/USP16/URB1/RRP1B/RRP1/PWP2/SLX9/YBEY/PES1/DDX17/RPS19BP1/SNU13/RRP7A/RRP7BP/KAT2B/RPSA/RPL14/EXOSC7/DHX30/RRP9/SHQ1/NSUN3/RIOX2/RPL24/NUDT16/EIF2A/NMD3/LSG1/RPL35A/NOP14/LYAR/ZCCHC4/NOA1/UTP3/SDAD1/GAR1/ABCE1/LSM6/RPS3A/NAF1/TMA16/FRG1/ZNF622/DROSHA/BRIX1/DHX29/MTREX/DIMT1/UTP15/NSA2/RPS23/RIOK2/WDR36/SRFBP1/WDR55/RPS14/FBLL1/NPM1/RPL26L1/NOP16/NHP2/RPP40/RIOK1/PAK1IP1/NOL7/ABT1/WDR46/RPL10A/BYSL/RPL7L1/RRP36/MDN1/RPF2/RPS12/LTV1/TFB1M/GTF2H5/MRM2/MALSU1/DDX56/SBDS/NSUN5P2/NSUN5/BUD23/NSUN5P1/GTPBP10/NOM1/ERI1/MAK16/PRKDC/RRS1/RPL7/RBIS/DCAF13/UTP23/EXOSC4/BOP1/RCL1/RPS6/NOL6/RMRP/EXOSC3/ZNF658/NOL8/HABP4/RPL35/EXOSC2/DDX31/TSC1/SURF6/RPL7A/REXO4/MRPS2/EIF1AX/DDX3X/TSR2/GNL3L/LAS1L/PIN4/RPS4X/TRMT2B/CUL4B/UTP14A/RPL10",303,"BP"
"GO:0022613","ribonucleoprotein complex biogenesis","432/10454","464/12185",4.33647278458969e-07,0.000785768868567652,0.000785768868567652,"NOC2L/MRPL20/NOL9/EXOSC10/MRTO4/RPL11/SRSF10/RSRP1/ZNF593/YTHDF2/EIF3I/AGO4/AGO1/AGO3/SNIP1/GNL2/AIRIM/SF3A3/UTP11/EBNA1BP2/ERI3/RPS8/NSUN4/SERBP1/RPF1/ZNHIT6/RPL5/DNTTIP2/PTBP2/WDR77/WDR3/SF3B4/PRPF3/RPS27/ADAR/KHDC4/ISG20L2/METTL18/GLUL/RNASEL/DHX9/CDC73/EIF2D/RRP15/NVL/SDE2/URB2/C1orf131/RBM34/HEATR1/TFB2M/GTPBP4/CELF2/PRPF18/RPP38/BMS1/DDX21/RPS24/RPP30/RRP12/EXOSC1/NPM3/PDCD11/EIF3A/TSSC4/RRP8/EIF3F/RPS13/METTL15/EIF3M/NAT10/CELF1/CLP1/PRPF19/CPSF7/WDR74/TRMT112/SART1/SF3B2/LTO1/CLNS1A/ATM/FDXACB1/PIH1D2/BUD13/RPS25/RPUSD4/NOP2/EMG1/DDX47/WBP11/STRAP/SCAF11/DDX23/TARBP2/PA2G4/PTGES3/CPSF6/KRR1/UTP20/PWP1/SART3/RPL6/DDX54/RPLP0/SRSF9/POP5/DENR/DHX37/SFSWAP/DDX51/NOC4L/GTF3A/NUFIP1/UTP14C/DIS3/CUL4A/METTL17/PRMT5/NGDN/NOP9/PRPF39/SRSF5/FCF1/DICER1/HSP90AA1/CINP/EIF5/NOP10/RPUSD2/EIF3J/AFG2B/RSL24D1/RPP25/IMP3/EFL1/RPS17/RAMAC/NGRN/LUC7L/RPUSD1/TSR3/TBL3/TRAF7/RSL1D1/RRN3/RPS15A/ERI2/EIF3CL/EIF3C/CD2BP2/HEATR3/TENT4B/NUDT21/NOL3/DDX28/PRMT7/UTP4/NIP7/NOB1/EXOSC6/MPHOSPH6/GEMIN4/MRM3/PRPF8/TSR1/METTL16/MYBBP1A/PELP1/NUP88/RPL26/RPL23A/ERAL1/UTP6/NLE1/ZNHIT3/MRM1/AATF/DDX52/RPL27/LUC7L3/UTP18/COIL/FTSJ3/NOL11/RPL38/MRPS7/USP36/EIF4A3/SIRT7/RIOK3/CELF4/TXNL4A/RBFA/WDR18/RPS15/SF3A2/CELF5/YJU2/XAB2/RPS28/PPAN/EIF3G/KRI1/MPV17L2/LSM4/DDX49/RPSA2/POP4/EIF3K/RPS16/FBL/EXOSC5/GEMIN7/ERCC2/SNRPD2/NOP53/GRWD1/PIH1D1/RPL13A/RPS11/PRPF31/RPS9/RPS5/RPS7/NOL10/DDX1/SF3B6/TRMT61B/WDR43/GEMIN6/XPO1/C1D/PNO1/MPHOSPH10/GCFC2/USP39/SNRNP200/EIF5B/DDX18/NIFK/POLR2D/IMP4/METTL5/PRKRA/WDR75/SF3B1/NOP58/WDR12/FASTKD2/XRCC5/MRPL44/MTERF4/SNRPB/NOP56/ESF1/SNRPB2/CRNKL1/XRN2/MCTS2/EIF2S2/EIF6/AAR2/SRSF6/DDX27/MTG2/RPS21/PRPF6/LOC102724159/USP16/URB1/RRP1B/RRP1/PWP2/SLX9/YBEY/SNRPD3/SF3A1/PES1/EIF3D/EIF3L/DDX17/RPS19BP1/PHF5A/SNU13/RRP7A/RRP7BP/KAT2B/RPSA/RPL14/EXOSC7/DHX30/USP4/RBM5/RRP9/SHQ1/NSUN3/RIOX2/RPL24/RUVBL1/ISY1/NUDT16/ATR/EIF2A/NMD3/LSG1/RPL35A/NOP14/LYAR/ZCCHC4/NOA1/YTHDC1/UTP3/SDAD1/GAR1/ABCE1/LSM6/RPS3A/NAF1/TMA16/FRG1/ZNF622/DROSHA/BRIX1/DHX29/MTREX/DIMT1/TAF9/SMN2/SMN1/UTP15/NSA2/RPS23/RIOK2/WDR36/SRFBP1/DDX46/WDR55/RPS14/GEMIN5/SLU7/FBLL1/NPM1/RPL26L1/NOP16/NHP2/RPP40/RIOK1/PAK1IP1/NOL7/ABT1/WDR46/SNRPC/RPL10A/SRPK1/BYSL/RPL7L1/RRP36/HSP90AB1/SRSF12/MDN1/RPF2/RPS12/LTV1/SF3B5/TFB1M/GTF2H5/MRM2/EIF3B/MALSU1/DDX56/SBDS/NSUN5P2/NSUN5/BUD23/NSUN5P1/GTPBP10/SRPK2/LUC7L2/NOM1/ERI1/MAK16/PRKDC/TGS1/RRS1/RPL7/RBIS/DCAF13/EIF3E/EIF3H/UTP23/AGO2/PUF60/EXOSC4/BOP1/RCL1/PSIP1/RPS6/NOL6/RMRP/EXOSC3/ZNF658/NOL8/HABP4/NCBP1/RPL35/EXOSC2/SETX/DDX31/TSC1/SURF6/RPL7A/REXO4/MRPS2/GEMIN8/ZRSR2/EIF1AX/EIF2S3/DDX3X/TSR2/GNL3L/LAS1L/PIN4/RPS4X/TRMT2B/CUL4B/MCTS1/UTP14A/RBMX2/HTATSF1/SRPK3/RPL10",432,"BP"
"GO:0140053","mitochondrial gene expression","157/10454","162/12185",1.97690587746343e-06,0.0026866150874728,0.0026866150874728,"AURKAIP1/MRPL20/SLC25A33/MRPS15/TRIT1/MRPL37/WARS2/MRPS21/TARS2/MRPL9/MRPL24/DARS2/MRPS14/IARS2/MRPL55/TFB2M/TFAM/SUPV3L1/MRPS16/CHCHD1/MRPL43/TWNK/MTG1/MRPL23/MRPL17/MRPL16/MRPL49/MRPL11/MRPL21/MRPL48/RPUSD4/MRPL51/MRPS35/YARS2/SHMT2/TSFM/MRPL42/MTERF2/GATC/PUS1/MRPL57/MTIF3/MRPS31/MTRF1/MRPL52/PRORP/TRMT5/ALKBH1/MRPL46/MRPS11/NGRN/MRPL28/MRPS34/EARS2/TUFM/THAP11/ELAC2/TEFM/MRPL45/COA3/MRPL10/MRPL27/MRPS23/TACO1/MRPL58/MRPS7/MRPL38/MRPL12/METTL4/POLRMT/MRPL54/MRPL4/GADD45GIP1/MRPL34/MPV17L2/SARS2/MRPS12/MRPL33/TRMT61B/LRPPRC/MTIF2/PNPT1/MRPL19/PTCD3/MRPL35/MRPS5/MRPL30/MRPS9/FASTKD1/METTL8/FASTKD2/MRPL44/MTERF4/MRPS26/FASTKD5/CDK5RAP1/MTG2/MRPL39/MRPS6/MRPL40/CHCHD10/TRNT1/RPUSD3/MRPS25/LARS2/NSUN3/TRMT10C/MRPL3/MRPS22/GFM1/MRPL47/MRPL1/MRPS18C/GATB/MRPL36/FASTKD3/PRKAA1/MRPS30/MRPS27/GFM2/HARS1/PPARGC1B/MRPL22/MRPS18B/UQCC2/MRPS10/MRPL2/MRPS18A/MRPL14/AARS2/MTO1/RARS2/QRSL1/MTRES1/FOXO3/RMND1/MTRF1L/TFB1M/MRPL18/MALSU1/GARS1/MRPL32/MRPS24/TBRG4/MRPS17/RCC1L/MTERF1/MRPS33/FASTK/MRPL15/MRPS28/MRPL13/MRPL50/TRUB2/MRPS2/MRPL41/HSD17B10",157,"BP"
"GO:0006413","translational initiation","108/10454","110/12185",8.25711428667481e-06,0.00897713465247285,0.00897713465247285,"MTOR/EIF4G3/YTHDF2/KHDRBS1/EIF3I/EIF2B3/CSDE1/UHMK1/TPR/PPP1R15B/EIF2D/CDC123/EIF4EBP2/EIF3A/EIF3F/EIF4G2/EIF3M/POLR2G/EIF1AD/RBM4/PPP1CA/RPS6KB2/LTO1/RPS3/EIF4B/DENR/TMED2/EIF2B1/MTIF3/DNAJC3/METTL3/EIF2S1/EIF2B2/ALKBH1/EIF5/EIF2AK4/EIF3J/MTFMT/RPS17/KLHL25/ZNF598/EIF3CL/EIF3C/DHX33/EIF1/RPS6KB1/MIF4GD/IMPACT/CTIF/FECH/EIF3G/EIF3K/RPL13A/RPS5/DDX1/EIF2B4/MTIF2/PAIP2B/EIF2AK3/EIF5B/NCK2/BZW1/EIF4E2/GIGYF2/MCTS2/EIF2S2/EIF6/YTHDF1/EIF3D/EIF3L/ATF4/EIF1B/EIF4E3/NCK1/EIF2A/EIF2B5/EIF4G1/EIF4A2/NCBP2/EIF4E/ABCE1/RPS3A/PAIP1/DHX29/PAIP2/LARP1/NPM1/EIF3B/EIF2AK1/BZW2/EIF4H/HSPB1/EIF4EBP1/YTHDF3/COPS5/C8orf88/EIF3E/EIF3H/AGO2/HABP4/NCBP1/EIF1AX/EIF2S3/DDX3X/SH3BGRL/MCTS1/FMR1/EIF1AY",108,"BP"
"GO:0006364","rRNA processing","212/10454","224/12185",1.68835566252741e-05,0.0152965023024983,0.0152965023024983,"NOL9/EXOSC10/MRTO4/RPL11/YTHDF2/UTP11/EBNA1BP2/ERI3/RPS8/NSUN4/RPF1/ZNHIT6/RPL5/WDR3/RPS27/METTL18/RNASEL/RRP15/NVL/SDE2/RBM34/HEATR1/TFB2M/GTPBP4/RPP38/BMS1/DDX21/RPS24/RPP30/RRP12/EXOSC1/NPM3/PDCD11/RRP8/METTL15/NAT10/WDR74/TRMT112/SART1/FDXACB1/PIH1D2/RPS25/RPUSD4/NOP2/EMG1/DDX47/WBP11/PA2G4/KRR1/UTP20/PWP1/DDX54/POP5/DHX37/DDX51/NOC4L/UTP14C/DIS3/NGDN/NOP9/FCF1/NOP10/RPUSD2/RPP25/IMP3/RPS17/RPUSD1/TSR3/TBL3/RSL1D1/ERI2/TENT4B/UTP4/NOB1/EXOSC6/MPHOSPH6/GEMIN4/MRM3/TSR1/METTL16/PELP1/RPL26/UTP6/ZNHIT3/MRM1/DDX52/RPL27/UTP18/FTSJ3/NOL11/USP36/EIF4A3/SIRT7/RIOK3/RBFA/WDR18/RPS15/RPS28/PPAN/KRI1/DDX49/POP4/RPS16/FBL/EXOSC5/ERCC2/NOP53/PIH1D1/RPS7/NOL10/TRMT61B/WDR43/C1D/MPHOSPH10/DDX18/NIFK/IMP4/METTL5/WDR75/NOP58/WDR12/MRPL44/MTERF4/NOP56/ESF1/XRN2/EIF6/DDX27/RPS21/LOC102724159/URB1/RRP1B/RRP1/PWP2/SLX9/YBEY/PES1/DDX17/SNU13/RRP7A/RRP7BP/KAT2B/RPL14/EXOSC7/RRP9/SHQ1/NSUN3/NUDT16/RPL35A/NOP14/LYAR/ZCCHC4/UTP3/GAR1/LSM6/NAF1/FRG1/DROSHA/BRIX1/MTREX/DIMT1/UTP15/NSA2/RIOK2/WDR36/SRFBP1/WDR55/RPS14/FBLL1/NHP2/RPP40/RIOK1/ABT1/WDR46/RPL10A/BYSL/RPL7L1/RRP36/RPF2/TFB1M/GTF2H5/MRM2/DDX56/SBDS/NSUN5P2/NSUN5/BUD23/NSUN5P1/ERI1/MAK16/PRKDC/RRS1/RPL7/DCAF13/UTP23/EXOSC4/BOP1/RCL1/RPS6/NOL6/RMRP/EXOSC3/NOL8/RPL35/EXOSC2/RPL7A/REXO4/TSR2/LAS1L/PIN4/TRMT2B/UTP14A",212,"BP"
"GO:0032543","mitochondrial translation","125/10454","129/12185",2.45680322913671e-05,0.0190788319336959,0.0190788319336959,"AURKAIP1/MRPL20/MRPS15/MRPL37/WARS2/MRPS21/TARS2/MRPL9/MRPL24/DARS2/MRPS14/IARS2/MRPL55/MRPS16/CHCHD1/MRPL43/MTG1/MRPL23/MRPL17/MRPL16/MRPL49/MRPL11/MRPL21/MRPL48/RPUSD4/MRPL51/MRPS35/YARS2/SHMT2/TSFM/MRPL42/GATC/MRPL57/MTIF3/MRPS31/MTRF1/MRPL52/ALKBH1/MRPL46/MRPS11/NGRN/MRPL28/MRPS34/EARS2/TUFM/MRPL45/COA3/MRPL10/MRPL27/MRPS23/TACO1/MRPL58/MRPS7/MRPL38/MRPL12/MRPL54/MRPL4/GADD45GIP1/MRPL34/MPV17L2/SARS2/MRPS12/MRPL33/LRPPRC/MTIF2/MRPL19/PTCD3/MRPL35/MRPS5/MRPL30/MRPS9/METTL8/FASTKD2/MRPL44/MRPS26/CDK5RAP1/MTG2/MRPL39/MRPS6/MRPL40/RPUSD3/MRPS25/LARS2/NSUN3/TRMT10C/MRPL3/MRPS22/GFM1/MRPL47/MRPL1/MRPS18C/GATB/MRPL36/FASTKD3/MRPS30/MRPS27/GFM2/HARS1/MRPL22/MRPS18B/UQCC2/MRPS10/MRPL2/MRPS18A/MRPL14/AARS2/RARS2/QRSL1/RMND1/MTRF1L/MRPL18/MALSU1/GARS1/MRPL32/MRPS24/MRPS17/RCC1L/MRPS33/MRPL15/MRPS28/MRPL13/MRPL50/TRUB2/MRPS2/MRPL41",125,"BP"
"GO:0048193","Golgi vesicle transport","258/10454","276/12185",4.13526655894391e-05,0.0280991362680239,0.0280991362680239,"RER1/VAMP3/RSC1A1/PEF1/TRAPPC3/MACF1/EPS15/PLPP3/SORT1/SEC22B/GOLPH3L/RAB13/SCAMP3/COPA/BLZF1/KLHL20/RABIF/RAB7B/MIA3/CNIH4/COG2/EXOC8/CNST/OPTN/ANK3/SAR1A/SEC24C/EXOC6/SEC31B/GBF1/ARL3/SORCS1/VTI1A/SEC23IP/BET1L/OSBPL5/COPB1/ARFGAP2/STX5/VPS51/SCYL1/RAB1B/YIF1A/BBS1/RAB6A/UVRAG/ZW10/ARCN1/TRAPPC4/HYOU1/SORL1/GOLT1B/CCDC91/ERGIC2/ARF3/KRT18/COPZ1/MON2/BLTP3B/TMED2/COG6/COG3/AP1G2/PRKD1/SCFD1/SEC23A/TRAPPC6B/MIA2/EXOC5/VTI1B/TMED10/TRIP11/GOLGA5/SNAP23/MYO5A/VPS13C/RAB8B/SNX1/CSK/SCAMP2/TMED3/WHAMM/AP3S2/RAB26/VPS35L/COG7/GGA2/CLN3/BBS2/PHAF1/COG8/COG4/AP1G1/GABARAPL2/TRAPPC2L/SPIRE2/SGSM2/ANKFY1/KIF1C/RABEP1/TRAPPC1/VAMP2/RANGRF/LLGL1/RAB34/MYO18A/GOSR1/NSF/GOSR2/COPZ2/WIPI1/GGA3/P4HB/CSNK1D/RAB12/RAB31/VAPA/NAPG/MPPE1/SPIRE1/CTAGE1/TRAPPC8/IER3IP1/LMAN1/ATP9B/AP3D1/TRAPPC5/DNM2/TMED1/RAB8A/USE1/COPE/YIF1B/NAPA/KDELR1/AP2A1/TRAPPC2B/TRAPPC12/NBAS/PREB/NRBP1/EHD3/SPAST/YIPF4/PKDCC/PREPL/SPTBN1/COMMD1/VPS54/RAB1A/TEX261/EXOC6B/VAMP5/LMAN2L/GCC2/CCDC93/RAB6C/RAB6D/PGAP1/ACSL3/CUL3/TBC1D20/KIF16B/SEC23B/ERGIC3/SYS1/ARFGEF2/ATP9A/VAPB/ARFRP1/TRAPPC10/PITPNB/GGA1/PICK1/KDELR3/ARFGAP3/SEC13/RBSN/GOLGA4/SEC22C/SCAP/TMEM115/ARF4/TFG/SEC22A/COPG1/ATP2C1/RAB6B/COPB2/CEP19/GAK/HTT/STX18/TBC1D14/EXOC1/USO1/SEC24B/AP1AR/SEC24D/RAB33B/SLC10A7/TRAPPC11/GOLPH3/TRAPPC13/SCAMP1/TMED7/AP3S1/SNX2/SAR1B/SEC24A/YIPF5/ERGIC1/BNIP1/LMAN2/TMED9/RACK1/EXOC2/KIF13A/VPS52/TAPBP/DOP1A/SNX3/GOPC/CYTH3/KDELR2/YKT6/TMED4/STEAP2/BET1/AP4M1/RINT1/COG5/ARF5/COPG2/EXOC4/CREB3L2/INSIG1/GOLGA7/LYPLA1/RNF139/TRAPPC9/MAPK15/VCP/VPS13A/BICD2/STX17/RAB14/PPP6C/GOLGA2/SEC16A/TRAPPC2/RP2/CCDC22/YIPF6/SNX12/STEEP1/BCAP31/VAMP7",258,"BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","94/10454","96/12185",5.54652341317171e-05,0.0335010014155571,0.0335010014155571,"SLC25A33/NDUFS5/OMA1/NDUFS2/COX20/TFAM/NDUFB8/NDUFS3/SDHAF2/UQCC3/TMEM223/NDUFS8/COA4/NDUFC2/TMEM126B/TMEM126A/FOXRED1/NDUFA9/COX14/NDUFA12/UQCC6/OXA1L/NUBPL/COX16/NDUFB1/COA8/NDUFAF1/UQCC4/NDUFB10/TMEM186/NDUFAB1/SCO1/TTC19/COA3/TACO1/TIMM21/NDUFS7/NDUFA11/PET100/ECSIT/NDUFB7/NDUFA13/UQCRFS1/SDHAF1/DMAC2/NDUFA3/NDUFAF7/COA5/NDUFB3/NDUFS1/BCS1L/NDUFA10/NDUFAF5/PET117/UQCC1/NDUFA6/SAMM50/SCO2/CHCHD4/NDUFAF3/UQCC5/COX17/NDUFB4/ACAD9/NDUFB5/SMIM20/COX18/NDUFC1/FASTKD3/NDUFS4/NDUFAF2/LYRM7/NDUFA2/UQCC2/SDHAF4/LYRM2/NDUFAF4/COX19/COA1/SDHAF3/IMMP2L/NDUFA5/STMP1/NDUFB2/CHCHD7/NDUFAF6/NDUFB9/DMAC1/NDUFB6/NDUFA8/NDUFB11/NDUFA1/AIFM1/TAFAZZIN",94,"BP"
"GO:0016072","rRNA metabolic process","243/10454","260/12185",7.20396957233225e-05,0.0391607785951981,0.0391607785951981,"NOL9/EXOSC10/MTOR/MRTO4/RPL11/YTHDF2/UTP11/EBNA1BP2/ERI3/RPS8/NSUN4/RPF1/ZNHIT6/RPL5/WDR3/RPS27/DEDD/METTL18/RNASEL/RRP15/NVL/SDE2/RBM34/HEATR1/TFB2M/GTPBP4/RPP38/BMS1/ERCC6/DDX21/MACROH2A2/RPS24/RPP30/RRP12/EXOSC1/NPM3/PDCD11/RRP8/METTL15/NAT10/WDR74/TRMT112/SART1/FDXACB1/PIH1D2/RPS25/RPUSD4/NOP2/EMG1/DDX47/WBP11/PA2G4/MARS1/KRR1/UTP20/PWP1/DDX54/POP5/DHX37/DDX51/NOC4L/GTF3A/UTP14C/DIS3/NGDN/NOP9/FCF1/BRF1/NOP10/RPUSD2/DIS3L/RPP25/IMP3/RPS17/RPUSD1/TSR3/TBL3/RSL1D1/ERI2/GTF3C1/TENT4B/UTP4/NOB1/EXOSC6/MPHOSPH6/GEMIN4/MRM3/TSR1/METTL16/PELP1/TP53/RPL26/UTP6/SLFN12/SLFN13/ZNHIT3/MRM1/DDX52/CAVIN1/RPL27/UTP18/FTSJ3/NOL11/USP36/EIF4A3/SIRT7/RIOK3/RBFA/WDR18/RPS15/RPS28/PPAN/KRI1/SMARCA4/TRIR/DDX49/POP4/RPS16/FBL/EXOSC5/DEDD2/ERCC2/POLR1G/NOP53/PIH1D1/RPS7/TAF1B/NOL10/GTF3C2/TRMT61B/WDR43/C1D/MPHOSPH10/POLR1B/DDX18/NIFK/IMP4/METTL5/WDR75/GTF3C3/NOP58/WDR12/MRPL44/NCL/MTERF4/NOP56/ESF1/XRN2/EIF6/DDX27/RPS21/LOC102724159/URB1/RRP1B/RRP1/PWP2/SLX9/YBEY/SMARCB1/PES1/DDX17/SNU13/RRP7A/RRP7BP/KAT2B/RPL14/EXOSC7/RRP9/SHQ1/NSUN3/NUDT16/XRN1/RPL35A/NOP14/LYAR/ZCCHC4/UTP3/GAR1/LSM6/NAF1/FRG1/DROSHA/BRIX1/MTREX/DIMT1/UTP15/NSA2/RIOK2/WDR36/SRFBP1/MACROH2A1/WDR55/RPS14/FBLL1/NHP2/RPP40/RIOK1/ABT1/WDR46/RPL10A/BYSL/RPL7L1/RRP36/GTF3C6/RPF2/TFB1M/GTF2H5/MRM2/DDX56/SBDS/NSUN5P2/NSUN5/BUD23/NSUN5P1/ERI1/MAK16/PRKDC/RRS1/RPL7/DCAF13/UTP23/EXOSC4/BOP1/RCL1/RPS6/NOL6/RMRP/ZCCHC7/EXOSC3/SPIN1/NOL8/IPPK/RPL35/EXOSC2/GTF3C4/GTF3C5/RPL7A/REXO4/TSR2/LAS1L/PIN4/TRMT2B/UTP14A",243,"BP"
