ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Category
GO:0060411,cardiac septum morphogenesis,12/476,68/12185,1.09E-05,0.018603977,0.016928991,3491/5629/657/4091/161882/2627/4092/3280/6659/10370/2626/23414,12,Biological Process
GO:0003007,heart morphogenesis,23/476,217/12185,1.33E-05,0.018603977,0.016928991,3491/5629/657/144165/196528/23768/4091/4088/161882/2627/4092/140628/3280/10427/10252/25836/324/1906/6659/10370/2626/10395/23414,23,Biological Process
GO:0060840,artery development,13/476,82/12185,1.59E-05,0.018603977,0.016928991,5629/657/144165/196528/1948/4091/4092/3280/10427/1906/6659/10370/4824,13,Biological Process
GO:0035270,endocrine system development,13/476,84/12185,2.08E-05,0.018603977,0.016928991,657/4088/2627/2736/1385/7428/2932/3280/1906/6659/10370/1021/673,13,Biological Process
GO:0030098,lymphocyte differentiation,25/476,259/12185,2.85E-05,0.018603977,0.016928991,359948/1316/8325/55626/10524/4297/196528/10193/3981/161882/5914/11143/4092/596/2736/9935/23598/2033/11334/27086/64332/6659/57492/1021/673,25,Biological Process
GO:0003279,cardiac septum development,14/476,99/12185,2.88E-05,0.018603977,0.016928991,3491/5629/657/4091/161882/7541/2627/4092/3280/9794/6659/10370/2626/23414,14,Biological Process
GO:0045165,cell fate commitment,18/476,156/12185,3.75E-05,0.020659226,0.018799198,57459/9181/5629/657/10253/23269/161882/5914/2627/596/2736/140628/3280/324/1906/9113/673/2626,18,Biological Process
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,22/476,219/12185,4.69E-05,0.020659226,0.018799198,3491/51742/25805/657/283149/10253/7057/4091/4088/1387/10140/2627/4092/9839/2033/3280/65997/10252/10370/9113/2626/23144,22,Biological Process
GO:0003281,ventricular septum development,11/476,67/12185,5.11E-05,0.020659226,0.018799198,3491/5629/657/4091/161882/4092/3280/6659/10370/2626/23414,11,Biological Process
GO:0048844,artery morphogenesis,10/476,56/12185,5.32E-05,0.020659226,0.018799198,5629/657/196528/1948/4092/3280/10427/1906/6659/10370,10,Biological Process
GO:0003151,outflow tract morphogenesis,11/476,69/12185,6.75E-05,0.021034576,0.019140754,657/144165/4091/161882/2627/3280/10427/25836/1906/10370/23414,11,Biological Process
GO:1903131,mononuclear cell differentiation,26/476,290/12185,6.97E-05,0.021034576,0.019140754,359948/1316/8325/55626/10524/4297/196528/10193/3981/161882/5914/11143/4092/596/2736/9935/140685/23598/2033/11334/27086/64332/6659/57492/1021/673,26,Biological Process
GO:0071559,response to transforming growth factor beta,22/476,225/12185,7.05E-05,0.021034576,0.019140754,3725/51742/25805/657/4297/283149/10253/7057/4091/4088/1387/4092/9475/9839/2033/64332/65997/10252/1906/2534/10370/9113,22,Biological Process
GO:0060419,heart growth,11/476,70/12185,7.74E-05,0.021445152,0.019514364,5999/5629/657/196528/2627/27086/205428/1906/10370/2626/23414,11,Biological Process
