"ENTREZID","SYMBOL","87.1_VEH_0.1_24","17.3_VEH_0.1_24","84.1_CX.5461_0.1_24","84.1_VEH_0.1_24","90.1_CX.5461_0.1_24","90.1_VEH_0.1_24","75.1_CX.5461_0.1_24","75.1_VEH_0.1_24","17.3_CX.5461_0.1_24","78.1_CX.5461_0.1_24","78.1_VEH_0.1_24","87.1_CX.5461_0.1_24"
653635,"WASH7P",3.63154728,3.844478399,3.798182079,3.690479836,4.101836162,4.277420579,4.261731176,4.359596691,3.702869995,3.520962975,3.354049742,3.821754522
729737,"LOC729737",3.63154728,4.393697482,3.500438115,3.414789365,3.461840245,3.763067635,4.488571332,4.198531003,3.906166408,3.973416407,3.735779885,4.190234142
102723897,"LOC102723897",3.707274995,3.86345,3.521617094,3.471148422,3.930917131,3.928325883,4.218190086,4.074461617,3.653520548,3.543245174,3.330447153,3.900802777
100132287,"LOC100132287",2.309607776,3.400806583,3.089806148,2.88504355,2.500886399,2.753470101,3.458278358,2.985664771,3.307701331,3.057061804,2.941292741,2.680029636
102465432,NA,5.581451254,6.592588455,6.050846294,5.78857974,5.471101388,5.271744295,5.94951066,6.612387704,6.78516729,6.221300231,5.653152957,5.551285241
100133331,NA,2.674100579,3.283624411,3.159019507,3.052713627,2.500886399,2.711388414,3.292602661,3.23011849,3.055626171,3.213452631,3.002313453,2.868813921
100288069,"LOC100288069",-0.292833268,0.387478378,0.570053561,0.52520075,-0.659664662,0.03512692,0.588459891,1.215910716,0.26133594,0.559399709,-0.281323744,0.092417718
79854,"LINC00115",0.335238713,1.003827997,0.486351167,0.183527039,0.04252942,0.03512692,0.817921126,0.217754144,0.758070153,-0.09289524,-0.489604648,-0.000305179
643837,"LINC01128",5.774543718,6.469006225,6.065341478,6.242798437,5.168179143,5.249861168,5.906515392,5.967858834,6.162812759,5.443646134,5.635605149,5.834069852
100130417,"LINC02593",-0.550653621,1.500438915,1.214990672,0.944631265,-0.053240395,0.285108659,0.189955111,0.448533735,1.688798322,-0.94137242,-0.872242338,0.136636118
148398,"SAMD11",0.480443783,1.965984517,2.114282639,1.533973445,0.700667662,0.848050807,0.588459891,0.780462492,1.915045462,-0.515790664,-0.016309425,0.261698311
26155,"NOC2L",6.585248515,6.504689595,6.608701064,6.50916085,6.879981064,6.772692891,6.419465596,6.380552373,6.716241361,6.590192073,6.474566284,6.60728974
339451,"KLHL17",3.793194439,4.615071452,4.599670276,4.59330641,4.156372517,4.552338434,4.020370563,3.8557059,4.59950424,4.032366228,3.488089019,4.011803431
57801,"HES4",6.285945311,6.011240024,6.049024113,5.969951148,6.454254691,6.917956908,5.629699909,5.616886284,5.835057855,5.713002982,5.894922571,6.19521648
9636,"ISG15",4.112031287,3.654230472,3.740640436,3.540518136,3.980125012,4.025979696,2.796458255,2.830656757,3.556178236,3.194806089,3.273824728,3.881443045
375790,"AGRN",9.883636622,9.816233878,10.40686992,10.19290051,10.15713389,10.33987783,9.790443786,9.594484481,9.928420302,10.35115783,10.10670406,10.02053473
54991,"C1orf159",3.551623303,3.88836352,3.828240952,3.776062017,3.678567366,4.08896335,3.537711799,3.621588468,3.696792844,3.354536219,3.59760385,3.538350942
51150,"SDF4",8.614882811,8.619827305,8.590581751,8.367044845,8.470835639,8.645175999,8.172246164,8.060933988,8.661771433,8.318911427,8.220999045,8.71973107
126792,"B3GALT6",6.392252799,6.235324937,6.334300755,6.182589406,6.338738448,6.511976878,6.201000468,6.110525165,6.345795304,6.388568483,6.454690123,6.495536603
388581,"C1QTNF12",-0.647960456,0.583281135,1.020418901,0.898403029,-0.053240395,0.546779286,-0.269407228,-0.304196743,0.503388052,-0.004050139,-1.198653695,-0.205805096
