"ENTREZID","SYMBOL","17.3_CX.5461_0.1_3","84.1_CX.5461_0.1_3","84.1_VEH_0.1_3","90.1_CX.5461_0.1_3","90.1_VEH_0.1_3","17.3_VEH_0.1_3","75.1_CX.5461_0.1_3","75.1_VEH_0.1_3","78.1_CX.5461_0.1_3","78.1_VEH_0.1_3","87.1_CX.5461_0.1_3","87.1_VEH_0.1_3"
653635,"WASH7P",3.499737351,3.688005815,3.615625542,4.348862585,4.005217358,3.629845121,3.953640007,3.999479866,3.425746907,3.53585907,3.683725311,3.788745072
729737,"LOC729737",4.01873929,3.558796069,3.28148334,3.259608361,3.075515152,3.861830757,3.958270195,3.921734864,4.160996924,4.101951225,3.739641035,3.487133313
102723897,"LOC102723897",3.581463588,3.551664126,3.289136601,4.073834357,3.745835807,3.534007553,3.832774941,3.970814204,3.519191732,3.4854732,3.695083174,3.788745072
100132287,"LOC100132287",3.229724983,3.032344458,2.856197729,2.468647945,2.275072095,3.224694609,2.93066304,2.936535673,3.346372918,3.081262752,2.559013723,2.15971007
102465432,NA,6.910838505,5.698762954,5.843189453,5.892567882,4.97561531,6.167149628,5.890536402,6.251708373,6.69625179,6.012195317,5.6948935,5.780592744
100133331,NA,3.044515034,3.241816076,2.866465503,2.609672615,2.275072095,3.102742261,2.986128002,2.97553509,3.247888904,3.365227296,2.958286158,2.624959934
100288069,"LOC100288069",-0.144977501,0.272573118,-0.571871964,-0.017389584,-0.231607659,0.396396443,1.067702618,0.446235783,0.624788654,0.533424576,-0.295497772,0.851404731
79854,"LINC00115",0.729322132,0.83921692,1.012522048,0.311087631,-0.231607659,0.266103434,0.676293112,0.603892262,0.532175581,0.261301857,0.162837125,-0.15623255
643837,"LINC01128",6.246434653,6.150933186,6.016863206,4.997041219,5.070711838,6.144921342,5.864873362,5.848858643,5.597699814,5.473792552,5.650368756,5.552195888
100130417,"LINC02593",1.47926142,1.670732942,1.218935019,0.6382337,-0.071878169,1.422310817,0.000506628,0.652835141,-0.459906243,-1.982129574,-0.388339216,0.015393123
148398,"SAMD11",1.596228122,2.119688118,2.296807841,0.450965301,0.764896884,1.733016669,0.070605945,0.137848305,0.021001235,-0.234060728,-0.126019483,0.493126554
26155,"NOC2L",6.463678219,6.667939445,6.611775014,6.836552991,6.816728127,6.584896059,6.368647907,6.211434572,6.493967454,6.549253485,6.564697579,6.665416029
339451,"KLHL17",4.511089257,4.625571186,3.984259585,4.3885548,4.186009504,4.424387822,3.689756459,3.331721099,3.875493475,4.072385618,3.723092687,3.794649732
57801,"HES4",5.830264703,6.209884128,6.194448883,6.830161045,6.671167931,6.124697121,5.417452395,5.834345547,5.799923574,6.015528238,5.955558181,6.113831932
9636,"ISG15",3.674854971,3.788500933,3.824908058,3.754128441,3.982645351,3.690373235,2.911690518,2.855224081,3.102476349,3.329966774,3.435489221,3.722146932
375790,"AGRN",9.737643238,10.17645597,9.861503081,10.1096884,9.97042211,9.773931493,9.65761393,9.544467476,10.13112262,10.13504911,9.595298831,9.890860794
54991,"C1orf159",3.747470478,3.853742239,3.633772304,3.990303727,3.772397438,3.75657478,3.352552619,3.361471518,3.747461291,3.682848171,3.683725311,3.606066449
51150,"SDF4",8.50734615,8.487383233,8.231408149,8.57459374,8.462461388,8.497123476,8.038548133,8.018366474,8.283805892,8.146384848,8.427981412,8.471601243
126792,"B3GALT6",6.130002975,6.106604945,5.931416044,6.311570714,6.426379888,6.313151099,6.03560851,6.09118295,6.317039584,6.320470173,6.238709138,6.409586926
388581,"C1QTNF12",-0.222124875,0.83921692,0.186771118,0.998927807,0.138773324,0.122864531,0.070605945,-0.006686777,0.151261425,0.430649644,-0.709195966,-1.171629481
118424,"UBE2J2",5.705624218,5.866213187,5.692630876,5.962910167,6.146704873,5.821590738,5.604815949,5.5860815,5.364116237,5.576653551,5.777352148,5.843180878
6339,"SCNN1D",3.027951661,2.775010292,2.738148722,2.668181643,2.289856559,3.003997473,2.181614082,2.121600098,2.663530609,2.440467708,2.224739665,2.379925829
116983,"ACAP3",6.828947649,6.657180962,6.526932709,6.659499562,6.438870236,6.731494571,6.118613094,6.130591934,6.185436962,6.300571697,6.197375244,6.021181531
126789,"PUSL1",3.069008908,3.408994227,3.258276906,3.471574096,3.462372278,3.242129858,3.188844052,3.013507951,2.866825531,3.038216319,2.49547363,2.890572714
54973,"INTS11",6.056370206,6.201934041,6.224695007,6.236219745,6.170866417,6.101003652,5.886898085,5.778927391,5.874906624,6.06032291,5.902655407,5.969918219
80772,"CPTP",4.611775564,5.010765697,4.928978153,5.455192921,5.497428985,4.919426263,4.635617106,4.671662268,4.715792202,4.813464562,4.686445976,5.025998197
83756,"TAS1R3",0.409492353,1.245007099,1.312029023,1.429337302,1.376661819,0.971069645,0.201345971,0.330665757,-0.367784237,0.200127115,-0.295497772,0.094111107
1855,"DVL1",5.695171801,6.146206083,5.983053257,6.478223406,6.408709714,5.883082262,5.665534373,5.696706754,5.866633359,5.942700341,5.93175167,6.086415499
54587,"MXRA8",4.373646801,4.523555753,4.266024124,5.327138138,5.236330288,4.119377901,4.268981779,4.12186158,4.694582189,4.602129774,4.847795504,5.318088959
54998,"AURKAIP1",5.886471359,5.947254417,5.942377828,6.199496881,6.12934227,6.002135619,5.858695236,5.812971499,5.359069879,5.647108296,5.955558181,5.903166287
81669,"CCNL2",8.054680986,7.782876977,7.691179144,7.665057159,7.313308196,7.632847236,7.380303074,7.274376503,7.448696082,7.396113176,7.104045319,7.425451632
148413,"MRPL20-AS1",3.690726075,3.882449328,3.698423237,3.949603446,3.819009758,3.75657478,3.689756459,3.683429139,3.903492807,3.905171343,3.739641035,3.869288949
55052,"MRPL20",5.660668777,5.607136376,5.688296319,5.672638602,5.695024832,5.615175644,5.568936753,5.753908448,5.314579182,5.499410205,5.587765553,5.606912678
64856,"VWA1",2.627293685,3.888122831,3.715563848,5.033663807,4.836529575,3.017560519,3.505902371,3.547679448,4.145449067,3.89555612,4.504752134,4.977506709
219293,"ATAD3C",-0.071746977,0.973364635,-0.185049458,0.9047363,0.764896884,0.695380414,0.534668404,1.031569457,0.980705187,0.9961884,0.346910569,0.493126554
83858,"ATAD3B",5.378219669,5.267377097,5.127731343,5.324866693,4.996044552,5.246136258,4.7548507,5.088939385,5.012141656,5.042012472,4.862980717,4.844365413
55210,"ATAD3A",5.71987375,5.613999936,5.550214982,5.772692911,5.665569107,5.664503707,5.410711485,5.387117977,5.362436078,5.556964712,5.687804387,5.613608636
339453,"TMEM240",1.090024476,2.157762781,1.916811968,2.366339616,2.482349616,1.648367583,1.40270234,1.746457151,1.708303962,1.802205205,1.316502327,1.498000475
29101,"SSU72",6.326498342,6.328339037,6.60412553,6.602506563,6.589124314,6.378991754,6.030121239,6.147767334,5.87372763,5.970443403,6.072302153,6.269274981
643988,"FNDC10",3.695977879,4.628963475,4.78484803,4.397228932,4.740241805,4.288344903,2.083305161,1.896248854,3.457572444,3.433263731,3.756001716,4.038074549
