"ENTREZID","SYMBOL","87.1_CX.5461_0.1_48","87.1_VEH_0.1_48","17.3_CX.5461_0.1_48","17.3_VEH_0.1_48","84.1_CX.5461_0.1_48","84.1_VEH_0.1_48","90.1_CX.5461_0.1_48","90.1_VEH_0.1_48","75.1_CX.5461_0.1_48","75.1_VEH_0.1_48","78.1_CX.5461_0.1_48","78.1_VEH_0.1_48"
653635,"WASH7P",3.982757968,3.457651004,3.545175784,3.630655739,3.484063346,3.520513861,4.129247196,3.953858255,4.093075113,3.862762005,3.468822872,3.473576145
729737,"LOC729737",4.292058631,3.451530948,4.286356404,4.030828519,3.530032521,3.638776395,3.570782396,3.537281364,3.975642809,3.780351219,3.77575217,3.916588935
102723897,"LOC102723897",4.047011983,3.254702931,3.616862479,3.31643653,3.346964367,3.427179187,3.933378327,3.73861363,3.828573218,3.765306573,3.715256184,3.651815976
100132287,"LOC100132287",2.748309081,1.825924088,3.34479811,3.054069029,3.076582611,3.071077945,2.371793976,2.744297877,3.069437374,2.989805212,3.046059663,3.233295074
102465432,NA,5.156084522,4.426061675,6.153771398,6.328823835,6.339197856,5.835267575,5.453639605,5.419675459,6.213256467,6.019381655,5.813941754,5.450632623
100133331,NA,2.90387588,2.483271593,3.138843908,3.129272688,3.000254018,3.025487327,2.93526574,2.340340017,3.019448497,3.145096331,3.148749217,3.240745778
100288069,"LOC100288069",0.583934474,0.23080836,0.831737131,0.207013671,-0.549042109,-0.171199671,0.150369248,-0.117093898,1.040803484,0.821163261,0.241092029,-0.102201001
79854,"LINC00115",0.708355736,0.172468909,0.309391158,0.207013671,-0.039053943,0.201039985,0.305218503,-0.379640396,1.106125618,0.369258419,0.763391872,0.774581064
643837,"LINC01128",6.006258935,6.065672392,6.036277093,6.323011108,6.00020219,6.129992726,5.061182948,5.145230887,5.9396548,5.937863158,5.5935944,5.651260615
100130417,"LINC02593",0.447761369,-0.497314882,1.373392582,1.242673673,0.49366966,0.901833854,0.762729291,0.756265726,-0.056662091,-0.060262244,-0.927738765,-0.883450721
148398,"SAMD11",0.49459514,0.23080836,1.145573868,1.49097697,0.991071141,1.334566326,0.930763458,0.756265726,-0.129988335,0.009496092,-0.395851475,-0.44057676
26155,"NOC2L",6.574864424,6.405869171,6.704396795,6.590701192,6.544627024,6.465964639,6.862733604,6.761088733,6.420858284,6.241293109,6.584311359,6.591957822
339451,"KLHL17",4.031214768,3.672842942,4.484028969,4.419260543,4.662097589,4.542574541,4.41089283,4.161875888,3.637433637,3.805082155,4.045178028,4.002372717
57801,"HES4",5.984889917,5.653381199,5.651782473,6.155683842,5.933354943,5.970729539,6.371679239,6.312338184,5.122618478,5.459657663,5.793361141,5.920772575
9636,"ISG15",3.50520635,3.656973451,3.597662153,3.89245821,3.493375107,3.409540899,3.783342967,3.710710926,2.877001974,2.683295609,2.890609596,3.262869764
375790,"AGRN",9.645134239,9.379857141,10.33770843,10.04662643,10.43763633,10.34055157,10.18879738,9.888817265,9.811133885,9.697685766,10.20784349,10.08887638
54991,"C1orf159",3.493724768,3.303089275,3.56508261,3.790838012,3.684356506,3.796378667,3.960823428,3.749625341,3.371279625,3.367283555,3.468822872,3.800387575
51150,"SDF4",8.503503148,8.209810362,8.653247015,8.561730016,8.79028403,8.597930085,8.48294989,8.306269888,8.157883668,8.101400566,8.388635206,8.420620146
126792,"B3GALT6",6.355341778,6.141763394,6.262413292,6.435709514,6.504894391,6.272189841,6.487410515,6.345377805,6.22892127,6.149643938,6.5464697,6.504910572
388581,"C1QTNF12",-0.129905678,-1.2196626,0.430085192,-0.070535252,1.232620364,0.797202352,0.832308564,0.297333485,0.079675926,0.259013828,0.12186859,-0.102201001
118424,"UBE2J2",5.829158144,5.608705136,5.79211518,5.75382278,5.739593478,5.618256776,5.990201838,5.857782806,5.674867562,5.450281214,5.676584306,5.627300473
6339,"SCNN1D",2.668860371,1.825924088,3.448462992,3.129272688,2.848879463,3.093344128,3.253271569,2.819382301,2.311461322,1.695890579,2.80611595,2.860298731
116983,"ACAP3",6.336986706,5.687631303,7.029176078,6.812266582,6.7910628,6.694349841,6.684305916,6.52274086,6.162338499,6.11148774,6.252166799,6.249149271
126789,"PUSL1",2.86875227,2.75580861,2.929557387,3.219644077,3.113284083,2.94206358,3.397977258,3.303224051,3.044659437,2.73569238,2.862991251,2.889032432
54973,"INTS11",6.103887186,5.831248271,6.135026538,6.132607745,6.129751169,5.961680511,6.257751689,6.165897641,5.824287637,5.715877959,6.097817291,6.111657981
80772,"CPTP",5.271518697,4.642989474,4.867422187,4.733775924,4.922078292,4.666557479,5.544550027,5.299310855,4.85926015,4.593711521,4.898235505,4.717017644
83756,"TAS1R3",0.708355736,0.392880932,0.831737131,0.942563992,0.881860825,1.25778619,1.342011837,1.17097021,0.318889097,0.369258419,0.351210556,0.600196067
1855,"DVL1",6.222533623,5.92588644,5.922573609,5.881910588,5.967165702,5.921798619,6.491448895,6.43933586,5.786179997,5.69220913,5.954696348,6.066251824
54587,"MXRA8",4.84201361,4.776279852,4.629772389,3.815887602,4.637110409,4.759994309,5.352178335,5.176167715,4.383914517,4.216209084,4.621629385,4.626067013
54998,"AURKAIP1",6.036247289,5.784540797,5.871530499,5.855979537,5.459806831,5.641109151,6.134910898,6.03587883,5.749595965,5.580614023,5.614448677,5.885558307
81669,"CCNL2",7.506060438,7.084465397,7.709652407,7.424362855,7.710295072,7.724269615,7.450036426,7.392230134,7.233871238,7.160616327,7.534039948,7.349850617
148413,"MRPL20-AS1",4.047011983,3.739662335,3.721086504,3.807585971,3.740178933,3.768974767,4.010447817,3.782164984,3.702241258,3.518499037,3.956489767,4.002372717
55052,"MRPL20",5.55173321,5.650712587,5.33176159,5.527386521,5.220064781,5.280205482,5.53935803,5.596281964,5.460566046,5.535511826,5.379629858,5.566340582
64856,"VWA1",4.868925854,4.185469303,3.009218203,3.207075327,3.950865262,3.755075112,4.648846136,4.424889346,3.749005257,3.599902264,3.8099044,4.099822622
219293,"ATAD3C",0.349270165,0.048196866,0.370999946,0.102310989,0.566061678,0.561991054,0.797938352,0.799295274,1.2575562,1.102283956,1.115163047,-0.44057676
83858,"ATAD3B",4.888785621,4.469109036,5.302414469,5.157783547,5.015525308,5.074534109,5.105770422,4.837322257,4.818427288,4.910984607,4.802132051,4.871387317
55210,"ATAD3A",5.63900818,5.395731064,5.620415595,5.696529165,5.428595759,5.28987848,5.543253778,5.517943107,5.386908794,5.412153869,5.565311326,5.569302593
