"ENTREZID","SYMBOL","17.3_CX.5461_0.5_3","84.1_CX.5461_0.5_3","84.1_VEH_0.5_3","90.1_CX.5461_0.5_3","90.1_VEH_0.5_3","75.1_CX.5461_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_CX.5461_0.5_3","78.1_VEH_0.5_3","87.1_CX.5461_0.5_3","87.1_VEH_0.5_3"
653635,"WASH7P",3.343133747,3.661565972,3.375291001,3.865030847,3.974852778,3.951354774,3.775725805,3.667632223,3.347306186,3.2884358,3.847414524,3.768641785
729737,"LOC729737",3.599682264,3.270062905,3.625160908,3.040492866,3.266218188,4.102389168,3.821187661,4.085040045,3.87272253,4.107062422,3.559183284,3.628416941
102723897,"LOC102723897",3.269065665,3.433442404,3.505628784,3.750410114,3.917211649,3.782639734,3.610767676,3.745294222,3.217809342,3.271644155,3.833349891,3.75906538
100132287,"LOC100132287",2.839430023,2.93028324,3.214164587,2.187539585,2.264998023,2.803895477,3.244298639,3.004007835,2.956400334,3.148289493,2.192976831,2.088023164
102465432,NA,6.595579402,6.175604025,6.530526103,5.382834552,5.779068215,5.927505262,6.110782306,5.746996475,5.672027505,5.891118489,4.941701198,5.021250112
100133331,NA,2.733249689,2.994510987,3.301205598,2.222361186,2.438922939,2.961006168,3.038354115,3.178404759,2.975380903,3.31326241,2.472486706,2.661192924
100288069,"LOC100288069",-0.0736061,-0.551729312,-0.554339536,-0.179779211,-0.5914384,0.816326891,0.050445109,0.548552473,0.362828745,0.601310291,0.539767685,0.071240077
79854,"LINC00115",0.845336874,0.398793724,0.51726774,0.070069496,-0.858013334,0.816326891,0.759828706,0.350722659,0.362828745,0.601310291,0.44428715,0.190032312
643837,"LINC01128",6.24363442,5.910211749,5.859175087,5.087057728,5.176238423,5.770476788,6.074869304,5.824189501,5.402585876,5.502333954,5.662643505,5.561253124
100130417,"LINC02593",1.239377988,0.195215463,0.920635392,0.409236147,-0.083747135,0.148123563,1.562616674,0.05786814,-0.579507757,-1.599651309,-0.404472096,-0.632953762
148398,"SAMD11",1.603172552,1.373404041,0.875965177,0.070069496,1.228490804,0.212061079,1.937657539,0.05786814,0.178563766,0.090651715,0.231982987,0.007962451
26155,"NOC2L",6.603135697,6.626891782,6.489415671,6.805946665,6.762905457,6.400270707,6.601627443,6.24630365,6.543571642,6.380530193,6.717129108,6.669813219
339451,"KLHL17",4.099731194,4.658941488,4.46171866,4.070110291,4.304103043,3.378210178,4.636763655,3.279325535,3.789372895,4.058941953,4.027036521,3.810965955
57801,"HES4",5.630376991,6.145274469,6.007616654,6.67929783,6.700594538,5.757143933,6.347666423,5.5804056,5.902702175,5.794508562,6.272911511,6.207656716
9636,"ISG15",3.495265085,4.163299441,3.982022748,3.785762511,3.425042975,2.864834376,3.710780296,2.862467695,3.160913459,2.908680268,3.852072429,4.029843158
375790,"AGRN",9.704783866,10.41583674,10.1185034,10.077591,10.00818723,9.747229926,10.02235469,9.51601395,10.09175571,9.937221402,10.04071095,9.74206896
