"ENTREZID","SYMBOL","87.1_VEH_0.1_24","17.3_VEH_0.1_24","84.1_DOX_0.1_24","84.1_VEH_0.1_24","90.1_DOX_0.1_24","90.1_VEH_0.1_24","75.1_DOX_0.1_24","75.1_VEH_0.1_24","78.1_DOX_0.1_24","78.1_VEH_0.1_24","17.3_DOX_0.1_24","87.1_DOX_0.1_24"
653635,"WASH7P",3.63154728,3.844478399,3.985945218,3.690479836,4.295232199,4.277420579,4.627284358,4.359596691,3.885912864,3.354049742,3.935641526,3.73331247
729737,"LOC729737",3.63154728,4.393697482,3.358867535,3.414789365,3.943472611,3.763067635,3.700620994,4.198531003,3.002975288,3.735779885,4.286805837,4.049943276
102723897,"LOC102723897",3.707274995,3.86345,3.700588414,3.471148422,4.013661728,3.928325883,4.536705169,4.074461617,3.839759739,3.330447153,3.8252358,3.94466008
100132287,"LOC100132287",2.309607776,3.400806583,2.880691185,2.88504355,2.613999393,2.753470101,2.569847948,2.985664771,2.11393559,2.941292741,3.114900136,2.400419011
102465432,NA,5.581451254,6.592588455,5.759740545,5.78857974,5.551269749,5.271744295,6.334155141,6.612387704,6.109826599,5.653152957,6.776393002,5.490575171
100133331,NA,2.674100579,3.283624411,2.995368704,3.052713627,2.796598787,2.711388414,2.84157073,3.23011849,2.250462335,3.002313453,3.072565925,2.789009614
100288069,"LOC100288069",-0.292833268,0.387478378,0.346780654,0.52520075,-0.655515687,0.03512692,-0.186697352,1.215910716,-0.001537387,-0.281323744,0.5672382,0.175883021
79854,"LINC00115",0.335238713,1.003827997,0.74669135,0.183527039,-0.016165753,0.03512692,1.224671958,0.217754144,0.948480105,-0.489604648,0.721325776,-0.402339982
643837,"LINC01128",5.774543718,6.469006225,5.419801038,6.242798437,4.88774782,5.249861168,5.194150797,5.967858834,4.841742385,5.635605149,5.72007642,5.235962856
100130417,"LINC02593",-0.550653621,1.500438915,0.095734521,0.944631265,-0.655515687,0.285108659,0.511486123,0.448533735,-0.350870129,-0.872242338,1.617438829,-0.316064179
148398,"SAMD11",0.480443783,1.965984517,0.949966757,1.533973445,0.859872387,0.848050807,1.594859948,0.780462492,1.194010316,-0.016309425,2.152555817,0.446570232
26155,"NOC2L",6.585248515,6.504689595,6.753612981,6.50916085,6.850408053,6.772692891,6.583504478,6.380552373,6.883158343,6.474566284,6.765361005,6.551206455
339451,"KLHL17",3.793194439,4.615071452,4.683456972,4.59330641,3.948994687,4.552338434,3.197442684,3.8557059,3.155686921,3.488089019,3.989726679,3.40533603
57801,"HES4",6.285945311,6.011240024,6.257842059,5.969951148,6.664046807,6.917956908,5.625582902,5.616886284,5.684003555,5.894922571,5.504806023,5.902906886
9636,"ISG15",4.112031287,3.654230472,4.281705093,3.540518136,4.130046759,4.025979696,4.406344833,2.830656757,4.511187187,3.273824728,3.927746859,4.074107774
375790,"AGRN",9.883636622,9.816233878,10.87635439,10.19290051,10.2894032,10.33987783,10.75107627,9.594484481,11.35358911,10.10670406,9.891570108,10.0019212
54991,"C1orf159",3.551623303,3.88836352,3.570976922,3.776062017,3.722702078,4.08896335,1.958501894,3.621588468,2.433713898,3.59760385,3.253991338,3.164012609
51150,"SDF4",8.614882811,8.619827305,8.860213784,8.367044845,8.582177105,8.645175999,8.381288899,8.060933988,8.662072601,8.220999045,8.495755222,8.688845058
126792,"B3GALT6",6.392252799,6.235324937,6.352324243,6.182589406,6.397442274,6.511976878,5.756621477,6.110525165,6.003538381,6.454690123,5.973079547,6.252621435
388581,"C1QTNF12",-0.647960456,0.583281135,1.534361523,0.898403029,0.658894143,0.546779286,0.764659885,-0.304196743,1.302698194,-1.198653695,0.439809717,-0.402339982
118424,"UBE2J2",5.824144307,5.702590465,5.841222521,5.593830919,5.962326399,5.998435135,6.371164238,5.606470301,6.445910754,5.629170836,5.833223476,5.854897463
