"ENTREZID","SYMBOL","84.1_DOX_0.1_3","84.1_VEH_0.1_3","17.3_DOX_0.1_3","90.1_DOX_0.1_3","90.1_VEH_0.1_3","17.3_VEH_0.1_3","75.1_DOX_0.1_3","75.1_VEH_0.1_3","78.1_DOX_0.1_3","78.1_VEH_0.1_3","87.1_DOX_0.1_3","87.1_VEH_0.1_3"
653635,"WASH7P",3.768006326,3.615625542,3.708306065,3.986159247,4.005217358,3.629845121,4.099689569,3.999479866,3.55383177,3.53585907,3.817342372,3.788745072
729737,"LOC729737",2.922711396,3.28148334,3.908736708,3.342021699,3.075515152,3.861830757,3.916661422,3.921734864,3.43941715,4.101951225,3.305197636,3.487133313
102723897,"LOC102723897",3.486337358,3.289136601,3.451581612,3.972659639,3.745835807,3.534007553,3.931985933,3.970814204,3.592140499,3.4854732,3.772041228,3.788745072
100132287,"LOC100132287",2.832375805,2.856197729,2.901147338,2.562966251,2.275072095,3.224694609,2.700633669,2.936535673,2.572930965,3.081262752,2.14183415,2.15971007
102465432,NA,5.991332358,5.843189453,6.29826809,5.330899124,4.97561531,6.167149628,6.206680859,6.251708373,5.635716029,6.012195317,4.935861474,5.780592744
100133331,NA,2.77290173,2.866465503,2.981187015,2.328735318,2.275072095,3.102742261,3.001092326,2.97553509,2.81889834,3.365227296,2.688599645,2.624959934
100288069,"LOC100288069",-0.048738774,-0.571871964,0.26262386,-0.335318555,-0.231607659,0.396396443,-0.052982669,0.446235783,-0.249460472,0.533424576,-0.889993356,0.851404731
79854,"LINC00115",0.825539135,1.012522048,0.754195783,-0.01537186,-0.231607659,0.266103434,0.533813518,0.603892262,1.109663478,0.261301857,0.164346391,-0.15623255
643837,"LINC01128",5.733456436,6.016863206,6.17847895,4.947323112,5.070711838,6.144921342,5.792319286,5.848858643,5.307650688,5.473792552,5.5146148,5.552195888
100130417,"LINC02593",1.042536323,1.218935019,1.476389102,0.703966425,-0.071878169,1.422310817,0.301850432,0.652835141,-1.252042176,-1.982129574,-1.025627914,0.015393123
148398,"SAMD11",1.429038862,2.296807841,1.62616325,0.566944534,0.764896884,1.733016669,-0.052982669,0.137848305,-0.929080845,-0.234060728,0.340184714,0.493126554
26155,"NOC2L",6.584186021,6.611775014,6.556139901,6.774408422,6.816728127,6.584896059,6.467275062,6.211434572,6.562057832,6.549253485,6.720634912,6.665416029
339451,"KLHL17",4.641353742,3.984259585,4.01033496,4.170882678,4.186009504,4.424387822,3.23323338,3.331721099,3.560287617,4.072385618,3.427105378,3.794649732
57801,"HES4",6.340707321,6.194448883,6.255223231,6.741620135,6.671167931,6.124697121,6.022103294,5.834345547,6.481012784,6.015528238,6.009118212,6.113831932
9636,"ISG15",4.141628917,3.824908058,3.596578776,3.850048232,3.982645351,3.690373235,3.351922422,2.855224081,3.592140499,3.329966774,3.730543527,3.722146932
375790,"AGRN",10.40663283,9.861503081,9.851851197,10.14209168,9.97042211,9.773931493,9.719861973,9.544467476,10.1017045,10.13504911,9.966662812,9.890860794
54991,"C1orf159",3.833512107,3.633772304,3.603821033,3.898447402,3.772397438,3.75657478,3.359498363,3.361471518,3.592140499,3.682848171,3.346988641,3.606066449
51150,"SDF4",8.634462826,8.231408149,8.587731689,8.451417577,8.462461388,8.497123476,8.220320691,8.018366474,8.317021061,8.146384848,8.490342908,8.471601243
126792,"B3GALT6",6.185150351,5.931416044,6.107647277,6.392087897,6.426379888,6.313151099,6.191904766,6.09118295,6.348347472,6.320470173,6.166194399,6.409586926
388581,"C1QTNF12",1.266051339,0.186771118,0.024349989,0.05463975,0.138773324,0.122864531,-0.766983209,-0.006686777,-0.665358026,0.430649644,-1.531422715,-1.171629481
118424,"UBE2J2",5.664766887,5.692630876,5.936082383,5.973414824,6.146704873,5.821590738,5.68485838,5.5860815,5.778216646,5.576653551,5.772765349,5.843180878
6339,"SCNN1D",2.855495505,2.738148722,3.118988196,2.241370099,2.289856559,3.003997473,2.320683482,2.121600098,2.598248395,2.440467708,2.440965609,2.379925829
116983,"ACAP3",6.816945529,6.526932709,6.855168258,6.542813417,6.438870236,6.731494571,6.258250523,6.130591934,6.298053478,6.300571697,6.118731238,6.021181531
126789,"PUSL1",3.107392205,3.258276906,3.025006137,3.592035922,3.462372278,3.242129858,3.165699531,3.013507951,3.228618591,3.038216319,2.793079075,2.890572714
54973,"INTS11",6.245466641,6.224695007,6.121590074,6.117362426,6.170866417,6.101003652,5.835061514,5.778927391,5.920498943,6.06032291,6.005860691,5.969918219
80772,"CPTP",4.762497795,4.928978153,4.900803978,5.364021478,5.497428985,4.919426263,4.671121404,4.671662268,4.641772954,4.813464562,5.241196561,5.025998197
83756,"TAS1R3",0.624876033,1.312029023,0.754195783,1.11779914,1.376661819,0.971069645,0.099570775,0.330665757,0.210674447,0.200127115,0.033959244,0.094111107
1855,"DVL1",5.965000388,5.983053257,5.89239215,6.347458991,6.408709714,5.883082262,5.668178439,5.696706754,5.987899863,5.942700341,6.102556728,6.086415499
54587,"MXRA8",4.76555238,4.266024124,4.246130317,5.362297025,5.236330288,4.119377901,4.317595709,4.12186158,4.647847834,4.602129774,5.198079957,5.318088959
54998,"AURKAIP1",5.809420897,5.942377828,5.9687045,6.157688842,6.12934227,6.002135619,6.141162433,5.812971499,6.018698201,5.647108296,6.026368514,5.903166287
81669,"CCNL2",8.100770547,7.691179144,7.931010805,7.504195444,7.313308196,7.632847236,7.128508086,7.274376503,7.293230825,7.396113176,7.439566522,7.425451632
148413,"MRPL20-AS1",3.907278367,3.698423237,3.849040082,3.69974527,3.819009758,3.75657478,3.78220079,3.683429139,3.813658249,3.905171343,3.913191762,3.869288949
55052,"MRPL20",5.498478558,5.688296319,5.529486428,5.637898292,5.695024832,5.615175644,5.92332875,5.753908448,5.805645879,5.499410205,5.43288452,5.606912678
64856,"VWA1",4.187902042,3.715563848,2.726372511,5.023494858,4.836529575,3.017560519,3.759474592,3.547679448,4.299900925,3.89555612,5.013606376,4.977506709
219293,"ATAD3C",0.871628333,-0.185049458,1.037006475,0.415529883,0.764896884,0.695380414,0.779498565,1.031569457,0.558999482,0.9961884,0.592654941,0.493126554
