"ENTREZID","SYMBOL","87.1_DOX_0.1_48","87.1_VEH_0.1_48","17.3_DOX_0.1_48","17.3_VEH_0.1_48","84.1_DOX_0.1_48","84.1_VEH_0.1_48","90.1_DOX_0.1_48","90.1_VEH_0.1_48","75.1_DOX_0.1_48","75.1_VEH_0.1_48","78.1_DOX_0.1_48","78.1_VEH_0.1_48"
653635,"WASH7P",3.730948276,3.457651004,3.875849966,3.630655739,4.059393767,3.520513861,4.000536048,3.953858255,4.284364848,3.862762005,3.716321849,3.473576145
729737,"LOC729737",3.335209055,3.451530948,4.247230104,4.030828519,4.070133468,3.638776395,3.211479763,3.537281364,2.967701415,3.780351219,3.389933609,3.916588935
102723897,"LOC102723897",3.849826497,3.254702931,3.812615817,3.31643653,3.713918853,3.427179187,3.851258553,3.73861363,4.130433635,3.765306573,3.7847762,3.651815976
100132287,"LOC100132287",1.751824381,1.825924088,3.414294422,3.054069029,3.268119977,3.071077945,2.41403195,2.744297877,2.355693679,2.989805212,2.454053938,3.233295074
102465432,NA,5.818077943,4.426061675,6.497834664,6.328823835,6.064772187,5.835267575,5.582632768,5.419675459,6.032591109,6.019381655,6.005392777,5.450632623
100133331,NA,2.446808559,2.483271593,3.269658988,3.129272688,3.323028195,3.025487327,2.530856557,2.340340017,2.462787082,3.145096331,2.686519032,3.240745778
100288069,"LOC100288069",0.171585031,0.23080836,0.340404107,0.207013671,0.432527041,-0.171199671,-0.079015553,-0.117093898,0.364065748,0.821163261,0.08662232,-0.102201001
79854,"LINC00115",0.811883051,0.172468909,-0.2683688,0.207013671,-0.232274986,0.201039985,0.004170035,-0.379640396,0.299484341,0.369258419,0.975778514,0.774581064
643837,"LINC01128",5.225877213,6.065672392,5.695579354,6.323011108,5.688004846,6.129992726,4.909472969,5.145230887,4.852764959,5.937863158,4.970245039,5.651260615
100130417,"LINC02593",-0.105211992,-0.497314882,1.128455887,1.242673673,1.508178937,0.901833854,-0.586953193,0.756265726,0.299484341,-0.060262244,-0.916933722,-0.883450721
148398,"SAMD11",0.403728128,0.23080836,1.468522911,1.49097697,1.869575998,1.334566326,-0.586953193,0.756265726,1.75350001,0.009496092,0.08662232,-0.44057676
26155,"NOC2L",6.750321727,6.405869171,6.656536911,6.590701192,6.552243079,6.465964639,6.771929732,6.761088733,6.908953807,6.241293109,6.749060069,6.591957822
339451,"KLHL17",3.143078182,3.672842942,4.33292939,4.419260543,4.644954385,4.542574541,4.040495828,4.161875888,3.308535094,3.805082155,3.562338171,4.002372717
57801,"HES4",5.285277741,5.653381199,5.775557008,6.155683842,6.141879424,5.970729539,5.980719193,6.312338184,4.135067421,5.459657663,4.742515235,5.920772575
9636,"ISG15",3.660909371,3.656973451,3.950054196,3.89245821,3.340876157,3.409540899,3.87907331,3.710710926,3.656734568,2.683295609,3.168701617,3.262869764
375790,"AGRN",9.823435059,9.379857141,10.3199749,10.04662643,10.34228124,10.34055157,10.26182374,9.888817265,10.77769955,9.697685766,10.51443833,10.08887638
54991,"C1orf159",3.218157164,3.303089275,3.533726435,3.790838012,3.761077209,3.796378667,3.684733323,3.749625341,1.601076036,3.367283555,2.548956923,3.800387575
51150,"SDF4",8.630904154,8.209810362,8.561644909,8.561730016,8.710130748,8.597930085,8.379780834,8.306269888,8.724958831,8.101400566,8.496789382,8.420620146
126792,"B3GALT6",6.218551167,6.141763394,6.179023408,6.435709514,6.312134269,6.272189841,6.247205238,6.345377805,6.028861102,6.149643938,6.06050665,6.504910572
388581,"C1QTNF12",0.171585031,-1.2196626,0.545794273,-0.070535252,1.268129872,0.797202352,0.839614173,0.297333485,0.485153523,0.259013828,0.012434797,-0.102201001
118424,"UBE2J2",5.789642339,5.608705136,5.792043042,5.75382278,5.777551014,5.618256776,5.847682208,5.857782806,6.051097847,5.450281214,5.703334193,5.627300473
6339,"SCNN1D",2.632098132,1.825924088,3.762015335,3.129272688,3.547129514,3.093344128,2.974202834,2.819382301,2.562477176,1.695890579,3.034567869,2.860298731
116983,"ACAP3",5.956984949,5.687631303,6.815714742,6.812266582,6.726134606,6.694349841,6.557163616,6.52274086,6.152851279,6.11148774,6.254021419,6.249149271
126789,"PUSL1",2.316198571,2.75580861,3.218034931,3.219644077,3.002596686,2.94206358,2.856013263,3.303224051,1.800927892,2.73569238,1.744396266,2.889032432
54973,"INTS11",6.109386151,5.831248271,6.334287453,6.132607745,6.17210282,5.961680511,6.155791538,6.165897641,6.066947204,5.715877959,6.053586964,6.111657981
80772,"CPTP",5.057210029,4.642989474,4.841794498,4.733775924,5.033103599,4.666557479,5.161293147,5.299310855,4.431000511,4.593711521,4.451063692,4.717017644
83756,"TAS1R3",1.049703469,0.392880932,1.308486214,0.942563992,1.41014764,1.25778619,1.623852432,1.17097021,0.843291656,0.369258419,1.051825705,0.600196067
1855,"DVL1",6.03086495,5.92588644,6.012607005,5.881910588,6.141879424,5.921798619,6.197259265,6.43933586,5.581444181,5.69220913,5.664499573,6.066251824
54587,"MXRA8",4.771727022,4.776279852,4.269136888,3.815887602,4.597489069,4.759994309,5.251305885,5.176167715,3.732074179,4.216209084,3.389933609,4.626067013
54998,"AURKAIP1",5.734233313,5.784540797,5.732841657,5.855979537,5.899984176,5.641109151,5.849089238,6.03587883,5.873928434,5.580614023,5.594711971,5.885558307
81669,"CCNL2",7.403616602,7.084465397,7.721157094,7.424362855,7.829437687,7.724269615,7.50016079,7.392230134,7.280239409,7.160616327,7.635887411,7.349850617
148413,"MRPL20-AS1",3.861583177,3.739662335,3.832369322,3.807585971,4.070133468,3.768974767,3.722070964,3.782164984,3.69489611,3.518499037,3.773590332,4.002372717
55052,"MRPL20",5.448780565,5.650712587,5.487082867,5.527386521,5.529725992,5.280205482,5.421739733,5.596281964,5.36380933,5.535511826,5.305364553,5.566340582
64856,"VWA1",3.918971031,4.185469303,2.909455107,3.207075327,3.492287549,3.755075112,4.131186824,4.424889346,2.037108278,3.599902264,2.226867704,4.099822622
219293,"ATAD3C",-0.232739181,0.048196866,0.682670646,0.102310989,1.024861144,0.561991054,0.360477382,0.799295274,0.749707663,1.102283956,0.288719368,-0.44057676
83858,"ATAD3B",4.179101666,4.469109036,5.056458868,5.157783547,5.272773863,5.074534109,4.797329448,4.837322257,4.5008796,4.910984607,4.622956857,4.871387317
55210,"ATAD3A",5.055504999,5.395731064,5.395441576,5.696529165,5.390990047,5.28987848,5.242767282,5.517943107,4.723352594,5.412153869,4.948028439,5.569302593
339453,"TMEM240",0.965047785,1.623057759,1.589535764,1.666490131,2.09664364,2.143168783,1.514604227,2.310905398,0.160942821,1.874755805,0.936196881,2.241729851
29101,"SSU72",6.60402456,6.332003213,6.336882783,6.410578014,6.522249687,6.250061971,6.659345606,6.763806915,6.603477248,6.104531078,6.476420899,6.346458571
643988,"FNDC10",3.696353806,3.640927455,3.66069234,4.016493553,4.586310155,4.550643579,4.131186824,4.650207898,0.542087901,1.893327065,2.87625242,3.902565397
142678,"MIB2",6.769689579,6.33117012,7.069296853,6.684922545,7.260518096,6.794577975,6.98466256,7.083420735,7.177294766,6.367866746,6.929972338,6.787773307
8510,"MMP23B",2.068214985,3.426787754,4.789700981,5.714401534,5.40802156,5.470850821,4.45325565,4.900438974,2.791062487,5.124501056,3.043908703,5.567822347
984,"CDK11B",6.077816807,5.934688536,5.877713934,5.815152658,5.772628071,5.720146585,6.102517368,6.25069667,6.031348844,5.787124992,5.931829421,6.141817167
728661,"SLC35E2B",6.743984009,6.791079079,7.173640381,7.061266232,7.037897778,6.949839839,7.097288607,7.04650467,6.346089878,6.559558527,7.004226338,7.166412211
8511,"MMP23A",3.212047675,4.54292289,5.584941007,6.39680891,6.224718574,6.342428772,5.26190856,5.847569268,3.7919847,5.855018477,3.568823637,6.367030492
728642,"CDK11A",5.258849725,5.279620558,5.830611952,5.73971127,5.814745646,5.627822628,5.860296348,5.83081649,5.464812542,5.254089682,6.052430449,6.110641735
9906,"SLC35E2A",5.154399012,5.099562423,6.063638124,5.994985419,5.701882575,5.641109151,5.414155046,5.438511419,5.701895549,6.035146841,6.048955333,6.136834216
65220,"NADK",5.51479373,5.669290036,5.646211507,5.478545339,5.478242872,5.659880117,5.570742561,5.585567285,5.395052809,5.310453133,5.478963398,5.413205788
2782,"GNB1",8.512079407,8.538510495,8.190684307,8.289366,8.14346895,8.246102808,8.682508464,8.696564282,8.391692454,8.336283128,8.419954946,8.17903911
105378949,"GNB1-DT",0.640504683,-0.087797498,0.44675117,-0.266944921,0.432527041,-1.011676343,0.696882197,1.069163704,0.160942821,-1.766642497,0.720150253,-0.348256875
5590,"PRKCZ",4.947492318,5.274429338,5.224716302,5.220097489,4.894959646,4.821309483,5.427402195,5.597806157,3.999340664,5.106706509,4.61671075,5.26214251
100506504,"PRKCZ-AS1",1.049703469,0.867570579,1.844250189,1.360857802,1.658073265,1.334566326,1.675523109,1.56927839,0.59686047,0.821163261,0.810486807,1.198497402
199990,"FAAP20",4.699325901,4.788470353,4.875507005,4.930093863,5.154129437,4.93355355,5.016032094,5.308648351,4.490068605,4.716119684,4.555983761,4.997691486
6497,"SKI",6.291345961,6.361678612,6.557651308,6.472932641,6.38383343,6.397152444,6.579374504,6.617452595,6.464036638,6.364542917,6.369966714,6.430304592
79906,"MORN1",2.269895167,2.162041356,2.402080463,2.284310437,2.54456745,2.581555924,2.473626439,2.62976586,2.095334047,1.911662299,2.322076362,2.595584854
100129534,"LOC100129534",1.15536444,0.23080836,0.767201049,0.60209335,1.068362319,0.280816688,0.157402123,0.841078513,0.42587965,-0.788422805,0.720150253,0.504404033
11079,"RER1",7.026676318,6.940035557,7.088931677,7.073435188,7.163561604,7.143667672,6.854109654,6.883610597,7.357117368,7.040788021,7.198145583,7.207391958
5192,"PEX10",4.219252862,3.63013011,4.175579087,3.752428744,3.958959635,3.544954646,4.288800895,4.081359398,4.259115991,3.553949999,3.972572449,3.511029371
55229,"PANK4",5.477078679,5.492796183,5.584941007,5.746241431,5.700155142,5.625914525,5.648758728,5.911475068,5.571222442,5.603352332,5.422789636,5.723503642
127281,"PRXL2B",3.722377117,4.540041721,3.677171416,3.888527908,3.993220446,4.181262479,4.521908518,4.880540463,2.447966199,4.353315134,3.142854032,4.538094233
440556,"PRDM16-DT",2.729411001,3.41425518,2.973122798,3.011334163,4.021162438,3.698097322,3.15799027,3.792850456,2.988334849,3.713993548,3.015702786,4.784844037
63976,"PRDM16",4.475345876,4.916178024,4.875507005,4.908907686,5.206176153,5.275344554,5.147636503,5.304920602,3.809483234,5.55167771,4.619837183,6.054673425
27237,"ARHGEF16",2.258083326,1.334677042,4.120409029,3.373791733,2.745530776,2.50056514,3.415188302,3.303224051,3.170902673,2.537428119,3.062410872,2.652556126
1953,"MEGF6",6.17367224,6.097376185,6.862096968,6.456433732,6.866747055,6.866641216,6.845676301,6.41187197,6.254301677,6.105526943,6.974615451,6.965228121
127262,"TPRG1L",5.65425421,5.561180903,5.820756969,5.806846785,5.521924111,5.348908214,5.823550326,5.669136016,5.654269297,5.545820144,5.415611595,5.411556301
49856,"WRAP73",3.610706214,3.356471014,3.847008959,3.836435061,3.887896096,3.561021463,3.613665474,3.803457366,3.860740329,3.353936625,3.650584293,3.428615223
