"ENTREZID","SYMBOL","17.3_DOX_0.5_24","87.1_DOX_0.5_24","87.1_VEH_0.5_24","17.3_VEH_0.5_24","84.1_DOX_0.5_24","84.1_VEH_0.5_24","90.1_DOX_0.5_24","90.1_VEH_0.5_24","75.1_DOX_0.5_24","75.1_VEH_0.5_24","78.1_DOX_0.5_24","78.1_VEH_0.5_24"
653635,"WASH7P",3.777757579,4.051059733,3.758154877,3.589908534,4.163995637,3.690736109,4.555097079,4.3179918,4.056824608,4.322033542,3.122966624,3.309292239
729737,"LOC729737",3.087263425,2.799033319,4.399175564,3.898579955,2.876597513,3.39521767,2.85472702,3.713029655,3.710437465,4.355106219,2.89911968,3.758926575
102723897,"LOC102723897",3.765087364,4.210150938,3.679165737,3.574530024,4.002931985,3.560313436,4.401334859,4.119660772,4.272144463,4.078431122,3.015380284,3.213048982
100132287,"LOC100132287",2.970709898,1.422529603,2.55361613,3.349076463,2.774609312,2.831788888,2.151771933,2.343922546,2.790233014,3.236722135,2.26275634,3.055457731
102465432,NA,6.89642684,5.596077658,5.117157432,6.027171548,5.728298796,5.66094634,5.437887174,5.182738485,6.701196959,5.872602197,6.208977677,5.990853696
100133331,NA,2.902929013,1.971919122,2.86151576,2.806973239,2.843396138,3.096700292,2.201235089,2.718914657,2.353918199,3.285575247,2.353913492,3.073842375
100288069,"LOC100288069",-0.084158897,-0.101496902,0.709951516,0.652664246,-0.090407435,0.155328395,-0.813944915,0.011513888,-0.317131814,0.58041352,0.060577701,0.575200342
79854,"LINC00115",1.687945048,0.569703748,-0.277995767,0.08593968,1.93937229,0.464064285,0.895659642,0.273743908,-0.216082809,0.439499247,0.262302373,-0.327602077
643837,"LINC01128",5.679573244,5.216848114,5.98453938,6.356529149,5.408969355,5.78294256,4.849489941,5.214314303,5.373341929,6.148288532,5.008449797,5.561616375
100130417,"LINC02593",3.338832123,1.026001218,-0.359046558,1.302041694,2.726859034,0.084779489,1.608225179,-0.847040276,1.893148693,-0.021683939,0.986906878,-1.43290925
148398,"SAMD11",4.622297771,2.54977582,0.496173635,2.271340946,3.871861355,1.1569232,3.390748694,1.178755857,2.286634181,0.58041352,2.837276163,0.159264025
26155,"NOC2L",7.595208938,7.088222174,6.465470131,6.542890968,7.326973841,6.666275891,7.50834559,6.78480207,7.142283021,6.378042453,7.270722434,6.522038879
339451,"KLHL17",4.572265141,3.559624138,3.855669948,4.341707165,4.225421514,4.910738912,4.237134632,4.439864348,4.154412705,4.013623451,3.873722464,3.7758699
57801,"HES4",6.911596275,6.639166899,6.087540506,5.942849677,6.836406246,6.378103033,7.040498475,6.599188034,5.899150985,5.642812893,5.749160793,5.959062808
