"ENTREZID","SYMBOL","84.1_DOX_0.5_3","84.1_VEH_0.5_3","17.3_DOX_0.5_3","90.1_DOX_0.5_3","90.1_VEH_0.5_3","75.1_DOX_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_DOX_0.5_3","78.1_VEH_0.5_3","87.1_DOX_0.5_3","87.1_VEH_0.5_3"
653635,"WASH7P",3.691687415,3.375291001,3.519165727,4.044757575,3.974852778,3.831640285,3.775725805,3.667632223,3.256103184,3.2884358,3.920662152,3.768641785
729737,"LOC729737",3.627513435,3.625160908,3.303539376,3.002626722,3.266218188,3.763763977,3.821187661,4.085040045,3.579071613,4.107062422,3.8170672,3.628416941
102723897,"LOC102723897",3.504275755,3.505628784,3.381587526,3.740798248,3.917211649,3.562741776,3.610767676,3.745294222,3.304025723,3.271644155,4.040498165,3.75906538
100132287,"LOC100132287",3.369519272,3.214164587,2.644074177,1.895904956,2.264998023,2.689516148,3.244298639,3.004007835,2.640368854,3.148289493,2.309429488,2.088023164
102465432,NA,6.385197676,6.530526103,6.190730812,5.435470954,5.779068215,6.011031859,6.110782306,5.746996475,6.157282691,5.891118489,5.661111967,5.021250112
100133331,NA,3.131144073,3.301205598,2.425670374,1.986496368,2.438922939,2.614426761,3.038354115,3.178404759,2.820624231,3.31326241,2.454576696,2.661192924
100288069,"LOC100288069",-0.361337461,-0.554339536,0.32931688,0.095668173,-0.5914384,0.028451299,0.050445109,0.548552473,0.219210637,0.601310291,-0.670043392,0.071240077
79854,"LINC00115",1.126889811,0.51726774,-0.290993347,-0.114267177,-0.858013334,0.953077457,0.759828706,0.350722659,-0.249122016,0.601310291,0.501277513,0.190032312
643837,"LINC01128",5.963302295,5.859175087,6.063907598,5.102303987,5.176238423,5.892084559,6.074869304,5.824189501,5.656587586,5.502333954,5.757538376,5.561253124
100130417,"LINC02593",0.422895267,0.920635392,1.017784364,0.540473818,-0.083747135,-0.06720965,1.562616674,0.05786814,-0.710952251,-1.599651309,0.149804554,-0.632953762
148398,"SAMD11",0.53908415,0.875965177,1.093950039,0.953684317,1.228490804,0.202618872,1.937657539,0.05786814,-0.606001612,0.090651715,-0.482109856,0.007962451
26155,"NOC2L",6.365659877,6.489415671,6.738027396,6.97562693,6.762905457,6.352273119,6.601627443,6.24630365,6.468689057,6.380530193,6.737949525,6.669813219
339451,"KLHL17",4.446501127,4.46171866,3.981936422,3.884368621,4.304103043,3.221889896,4.636763655,3.279325535,3.617508787,4.058941953,3.381560195,3.810965955
57801,"HES4",6.055204962,6.007616654,6.218643207,6.98938453,6.700594538,5.890494088,6.347666423,5.5804056,6.236155336,5.794508562,6.331039068,6.207656716
9636,"ISG15",3.829278219,3.982022748,4.001843402,3.874913024,3.425042975,3.271613139,3.710780296,2.862467695,3.407930517,2.908680268,4.189671569,4.029843158
375790,"AGRN",10.24762618,10.1185034,10.23395346,10.11335723,10.00818723,9.519538762,10.02235469,9.51601395,9.93469156,9.937221402,9.918798227,9.74206896
54991,"C1orf159",3.863113151,3.631893075,3.60626619,3.745994297,3.74116211,3.402358741,3.843392417,3.468296716,3.493087033,3.642005962,3.748327151,3.591122584
51150,"SDF4",8.499295628,8.425127941,8.801928477,8.575203857,8.474361877,8.11078719,8.612641557,7.866325733,8.133617668,8.012464513,8.528929506,8.31756993
126792,"B3GALT6",6.149621345,6.093037957,5.775292852,6.175230205,6.526670138,5.95430703,6.300292564,5.959607297,5.972636051,6.052185256,5.820280335,6.400928363
388581,"C1QTNF12",1.126889811,0.963963921,0.264876769,0.720186587,0.533528045,-0.529604155,0.050445109,-0.58621093,-0.249122016,-0.354391635,-1.140495862,-0.535457725
118424,"UBE2J2",5.54037757,5.62280148,5.598646116,6.04427478,6.005896901,5.577128585,5.821630216,5.484016473,5.58079925,5.606440024,5.870737991,6.021947849
6339,"SCNN1D",3.064843849,2.777429344,3.638414296,2.570565068,2.746315417,2.056849465,2.959225339,1.963124235,2.371461118,2.525284412,2.897040798,2.147954877
116983,"ACAP3",6.795412705,6.485704077,7.00231094,6.597195919,6.538882729,6.162363374,7.045903256,6.077404077,6.2493287,6.157621621,6.361276009,5.965816811
126789,"PUSL1",2.98514256,3.140541328,3.059454047,3.581345303,3.454812614,3.061528617,3.371987357,2.795891662,2.857796581,3.13906134,2.800752455,3.023070229
54973,"INTS11",6.118441631,6.195433162,6.168886138,6.175230205,6.177517012,5.825393199,6.035630729,5.693139952,5.955590936,5.986816228,6.077278701,6.128984372
