Conc,Trt,Ind,Ratio,Indv
0,CX-5461,1,1.102349087,87-1
0,CX-5461,2,0.760768828,75-1
0,CX-5461,3,0.599196954,78-1
0.1,CX-5461,1,1.067625343,87-1
0.1,CX-5461,2,0.985178871,75-1
0.1,CX-5461,3,0.62654165,78-1
0.5,CX-5461,1,1.018081809,87-1
0.5,CX-5461,2,0.935047411,75-1
0.5,CX-5461,3,0.730320218,78-1
1,CX-5461,1,1.116996744,87-1
1,CX-5461,2,0.840642275,75-1
1,CX-5461,3,0.629608579,78-1
5,CX-5461,1,0.919070939,87-1
5,CX-5461,2,0.787219813,75-1
5,CX-5461,3,0.470720948,78-1
10,CX-5461,1,0.624058966,87-1
10,CX-5461,2,0.482839502,75-1
10,CX-5461,3,0.428777559,78-1
50,CX-5461,1,0.284511914,87-1
50,CX-5461,2,0.260146665,75-1
50,CX-5461,3,0.231905269,78-1
