"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0007059","chromosome segregation","88/262","373/12185",3.88732907096653e-69,7.16046014872036e-66,5.98648676928846e-66,"55143/991/11004/6491/163786/29899/84722/83540/55732/91687/259266/9928/4751/1063/11130/983/3832/4288/81930/3619/113130/9918/29127/9700/9735/221150/55835/9787/701/90417/57082/11339/51203/9133/55055/9493/9055/116028/5347/81620/9212/10615/990/7153/672/146909/83990/332/10403/220134/147841/79172/23397/699/57405/151246/55355/22974/79980/81610/4605/11065/6790/79019/2177/151648/10051/1894/10460/64151/1062/4085/84057/79682/9319/64105/891/64946/9232/54908/3833/7272/387103/54892/157313/157570/24137/2491",88,"Biological Process"
"GO:0000280","nuclear division","80/262","350/12185",3.05146547536728e-61,2.81039970281327e-58,2.34962841603281e-58,"55143/991/11004/8438/84722/83540/259266/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/1111/10635/9918/29127/9700/9735/675/79866/9787/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/5347/81620/2175/9212/10615/7153/146909/146956/83990/332/10403/147841/27338/23397/699/57405/22974/79980/4605/11065/6790/2177/151648/10051/64151/1062/4085/84057/9319/64105/891/995/9232/54908/3833/7272/54443/63979/54892/157313/25788/24137/2491",80,"Biological Process"
"GO:0048285","organelle fission","80/262","393/12185",5.33163777738687e-57,3.27362559531554e-54,2.73690739239193e-54,"55143/991/11004/8438/84722/83540/259266/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/1111/10635/9918/29127/9700/9735/675/79866/9787/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/5347/81620/2175/9212/10615/7153/146909/146956/83990/332/10403/147841/27338/23397/699/57405/22974/79980/4605/11065/6790/2177/151648/10051/64151/1062/4085/84057/9319/64105/891/995/9232/54908/3833/7272/54443/63979/54892/157313/25788/24137/2491",80,"Biological Process"
"GO:0098813","nuclear chromosome segregation","68/262","268/12185",6.58576138075954e-55,3.03274311583977e-52,2.53551813159242e-52,"55143/991/11004/84722/83540/259266/9928/4751/1063/11130/983/3832/81930/3619/113130/9918/29127/9700/9735/9787/701/90417/57082/51203/9133/55055/9493/9055/116028/5347/81620/9212/10615/990/7153/146909/83990/332/10403/147841/23397/699/57405/22974/79980/81610/4605/11065/6790/2177/151648/10051/1894/10460/64151/1062/4085/84057/9319/64105/891/9232/54908/3833/7272/54892/24137/2491",68,"Biological Process"
"GO:0140014","mitotic nuclear division","64/262","250/12185",7.98857936486186e-52,2.94299263801511e-49,2.46048244437745e-49,"55143/991/11004/84722/83540/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/1111/9918/29127/9700/9735/79866/9787/701/90417/57082/51203/55055/9493/9055/9088/5347/81620/9212/10615/146909/332/10403/147841/27338/23397/699/57405/22974/79980/4605/11065/6790/10051/64151/1062/4085/9319/64105/891/995/54908/3833/7272/54443/54892/157313/24137/2491",64,"Biological Process"
"GO:0044770","cell cycle phase transition","81/262","496/12185",7.25316060267558e-50,2.2267203050214e-47,1.86164455468673e-47,"1870/63967/55143/991/6491/1031/4998/8317/163786/128239/83540/9928/51514/1063/11130/983/1763/6240/3619/113130/3014/1111/2305/9700/8914/9735/5426/55835/675/1033/9787/701/57082/5888/79968/9133/51065/54962/55055/90381/641/899/9088/5347/81620/9212/990/672/146956/83990/332/10403/5932/147841/27338/6241/4436/699/57405/1869/5933/81610/11065/6790/8318/51512/2177/11073/10460/1062/4085/890/9319/891/995/54908/1026/7272/54443/10926/9833",81,"Biological Process"
"GO:0000819","sister chromatid segregation","58/262","215/12185",2.87655191096767e-48,7.07207622917129e-46,5.91259359007806e-46,"55143/991/11004/84722/83540/9928/4751/1063/11130/983/3832/81930/3619/113130/9918/29127/9700/9735/9787/701/90417/57082/51203/55055/9493/9055/116028/5347/81620/9212/10615/990/7153/146909/332/10403/147841/23397/699/57405/22974/79980/4605/11065/10051/10460/64151/1062/4085/9319/64105/891/54908/3833/7272/54892/24137/2491",58,"Biological Process"
"GO:0000070","mitotic sister chromatid segregation","54/262","176/12185",3.07147718965094e-48,7.07207622917129e-46,5.91259359007806e-46,"55143/991/11004/84722/83540/9928/4751/1063/11130/983/3832/81930/3619/113130/9918/29127/9700/9735/9787/701/90417/57082/51203/55055/9493/9055/5347/81620/9212/10615/146909/332/10403/147841/23397/699/57405/22974/79980/4605/11065/10051/64151/1062/4085/9319/64105/891/54908/3833/7272/54892/24137/2491",54,"Biological Process"
"GO:1901987","regulation of cell cycle phase transition","70/262","388/12185",1.0068099338214e-45,2.06060433122114e-43,1.72276366453885e-43,"63967/55143/991/6491/1031/4998/8317/163786/83540/9928/51514/1063/11130/983/1763/6240/3619/113130/3014/1111/9700/8914/9735/55835/675/9787/701/57082/5888/79968/51065/54962/55055/90381/641/9088/5347/81620/9212/990/672/146956/83990/332/10403/5932/147841/6241/4436/699/57405/1869/5933/81610/11065/6790/8318/51512/2177/11073/1062/4085/9319/891/995/54908/1026/7272/54443/10926",70,"Biological Process"
"GO:0006260","DNA replication","58/262","260/12185",4.06530658359737e-43,7.48829472698635e-41,6.26057213873994e-41,"4678/4998/8317/51514/55388/983/1763/6240/374393/23649/10714/1111/1663/8914/5557/5985/5426/675/5983/5427/11169/5888/9768/80119/54962/90381/641/63922/116028/51659/81620/990/672/146956/7083/5932/10036/6241/4175/9837/8208/8318/4174/10293/10721/4171/11073/5984/890/51053/4172/253714/5982/10926/4176/157570/4173/79075",58,"Biological Process"
"GO:0000075","cell cycle checkpoint signaling","50/262","185/12185",1.51248422433886e-41,2.53272358293835e-39,2.11747791407441e-39,"63967/55143/991/4998/83540/51514/1063/11130/983/1763/3619/3014/1111/8914/9735/675/701/57082/5888/79968/51065/54962/55055/90381/641/5347/81620/9212/990/672/146956/83990/332/10403/5932/147841/4436/699/57405/1869/8318/51512/2177/11073/4085/9319/891/54908/1026/7272",50,"Biological Process"
"GO:0044772","mitotic cell cycle phase transition","67/262","409/12185",7.3149759330246e-41,1.12284880571928e-38,9.38755244738157e-39,"1870/63967/55143/991/6491/1031/4998/8317/163786/128239/83540/9928/51514/1063/11130/983/6240/3619/113130/1111/2305/9700/9735/5426/55835/1033/9787/701/57082/9133/51065/55055/90381/641/899/9088/5347/9212/990/672/332/10403/5932/147841/27338/6241/699/57405/1869/5933/11065/6790/51512/11073/10460/1062/4085/890/9319/891/995/54908/1026/7272/54443/10926/9833",67,"Biological Process"
"GO:0006261","DNA-templated DNA replication","45/262","153/12185",3.35612249762456e-39,4.75536741586495e-37,3.97571434333986e-37,"4998/8317/55388/1763/6240/23649/10714/1663/8914/5557/5985/5426/675/5983/5427/11169/5888/54962/90381/641/63922/51659/81620/990/672/146956/7083/5932/4175/9837/8318/4174/10293/10721/4171/11073/5984/51053/4172/253714/5982/10926/4176/4173/79075",45,"Biological Process"
"GO:0007346","regulation of mitotic cell cycle","67/262","439/12185",7.7479679012516e-39,1.01941120529325e-36,8.52276469137676e-37,"63967/55143/991/6491/1031/4998/8317/163786/83540/9928/4751/51514/1063/11130/983/9585/4288/6240/3619/113130/1111/9700/9735/55835/675/79866/9787/701/57082/51203/51065/54962/55055/90381/641/9088/5347/9212/990/672/146956/332/10403/5932/147841/6241/4436/699/57405/1869/5933/11065/6790/51512/2177/11073/1062/4085/9319/891/995/54908/51053/1026/7272/54443/157313",67,"Biological Process"
"GO:0010948","negative regulation of cell cycle process","55/262","273/12185",2.63550899545252e-38,3.20481576404061e-36,2.6793790861143e-36,"63967/55143/991/4998/83540/4751/51514/1063/11130/983/1763/3619/3014/1111/9700/8914/9735/675/701/57082/5888/79968/51065/54962/55055/90381/641/899/9088/5347/81620/9212/990/672/146956/83990/332/10403/5932/147841/4436/699/57405/1869/5933/8318/51512/2177/11073/4085/9319/891/54908/1026/7272",55,"Biological Process"
"GO:1901988","negative regulation of cell cycle phase transition","52/262","236/12185",2.78377047907979e-38,3.20481576404061e-36,2.6793790861143e-36,"63967/55143/991/4998/83540/51514/1063/11130/983/1763/3619/3014/1111/8914/9735/675/701/57082/5888/79968/51065/54962/55055/90381/641/9088/5347/81620/9212/990/672/146956/83990/332/10403/5932/147841/4436/699/57405/1869/5933/8318/51512/2177/11073/4085/9319/891/54908/1026/7272",52,"Biological Process"
"GO:1901990","regulation of mitotic cell cycle phase transition","54/262","303/12185",1.12183022885603e-34,1.21553604797223e-32,1.01624620731663e-32,"63967/55143/991/6491/1031/4998/8317/163786/83540/9928/51514/1063/11130/983/6240/3619/113130/1111/9700/9735/55835/9787/701/57082/51065/55055/90381/641/5347/9212/990/672/332/10403/5932/147841/6241/699/57405/1869/5933/11065/6790/51512/11073/1062/4085/9319/891/995/54908/1026/7272/54443",54,"Biological Process"
"GO:0007093","mitotic cell cycle checkpoint signaling","40/262","138/12185",1.40947278616018e-34,1.44236048450392e-32,1.20588227260371e-32,"63967/55143/991/4998/83540/51514/1063/11130/983/3619/1111/9735/701/57082/51065/54962/55055/90381/641/5347/9212/990/672/146956/332/10403/5932/147841/4436/699/57405/51512/2177/11073/4085/9319/891/54908/1026/7272",40,"Biological Process"
"GO:0045786","negative regulation of cell cycle","56/262","334/12185",1.65874974423268e-34,1.60811422572453e-32,1.34446031900965e-32,"63967/55143/991/4998/83540/4751/51514/1063/11130/983/1763/3619/3014/1111/9700/8914/9735/675/701/57082/5888/79968/51065/54962/55055/90381/641/899/9088/5347/81620/9212/990/672/146956/83990/332/10403/5932/147841/4436/699/57405/1869/5933/8318/51512/2177/11073/4085/9319/891/54908/51053/1026/7272",56,"Biological Process"
"GO:0051983","regulation of chromosome segregation","38/262","122/12185",3.35901132724448e-34,3.09364943239216e-32,2.58643872197825e-32,"55143/991/11004/83540/1063/11130/983/4288/3619/9918/9700/9735/9787/701/57082/55055/116028/5347/9212/990/332/10403/147841/23397/699/57405/11065/10051/10460/64151/1062/4085/9319/891/54908/7272/54892/157313",38,"Biological Process"
"GO:0007088","regulation of mitotic nuclear division","35/262","102/12185",3.14336785179295e-33,2.75718265857267e-31,2.30513642464816e-31,"55143/991/83540/4751/1063/11130/9585/4288/3619/1111/9700/9735/79866/9787/701/57082/51203/55055/9088/5347/9212/332/10403/147841/699/57405/11065/6790/4085/9319/891/995/54908/7272/157313",35,"Biological Process"
"GO:0051783","regulation of nuclear division","36/262","118/12185",4.65080564717262e-32,3.89399272822362e-30,3.25556395302084e-30,"55143/991/83540/4751/1063/11130/9585/4288/3619/1111/10635/9700/9735/79866/9787/701/57082/51203/55055/9088/5347/9212/332/10403/147841/699/57405/11065/6790/4085/9319/891/995/54908/7272/157313",36,"Biological Process"
"GO:1905818","regulation of chromosome separation","30/262","71/12185",7.74874310844228e-32,6.20573252423943e-30,5.18828886391353e-30,"55143/991/83540/1063/11130/3619/9918/9700/9735/9787/701/57082/55055/5347/9212/332/10403/147841/23397/699/57405/11065/10051/64151/4085/9319/891/54908/7272/54892",30,"Biological Process"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","39/262","154/12185",3.22237088245564e-31,2.4731696522847e-29,2.06768798290903e-29,"55143/991/6491/163786/29899/84722/83540/4751/983/3832/3619/29127/9700/55835/79866/9787/51203/9493/9055/5347/9212/332/10403/284403/1058/57405/22974/4605/6790/10460/1062/4085/891/64946/54908/3833/7272/89958/24137",39,"Biological Process"
"GO:0051304","chromosome separation","30/262","77/12185",1.52945469124116e-30,1.12690221650649e-28,9.42144089804557e-29,"55143/991/83540/1063/11130/3619/9918/9700/9735/9787/701/57082/55055/5347/9212/332/10403/147841/23397/699/57405/11065/10051/64151/4085/9319/891/54908/7272/54892",30,"Biological Process"
"GO:0090068","positive regulation of cell cycle process","43/262","208/12185",2.13067449208581e-30,1.50950092862387e-28,1.26201489146621e-28,"55143/991/6491/8317/163786/29899/9928/51514/983/9585/6240/3619/113130/10635/9918/1663/29127/9700/11113/55835/9787/51203/9493/9212/10615/990/332/10403/6241/23397/699/81610/11065/6790/10051/1894/64151/4085/10733/891/995/10926/54892",43,"Biological Process"
"GO:0045787","positive regulation of cell cycle","46/262","265/12185",5.59805239730193e-29,3.81911574660376e-27,3.19296321920184e-27,"55143/991/6491/8317/163786/29899/84722/9928/51514/983/9585/6240/3619/113130/1111/10635/9918/1663/29127/9700/11113/55835/675/9787/51203/9493/9212/10615/990/332/10403/6241/23397/699/81610/11065/6790/10051/1894/64151/4085/10733/891/995/10926/54892",46,"Biological Process"
"GO:0045930","negative regulation of mitotic cell cycle","41/262","209/12185",4.8469159218501e-28,3.1885782600171e-26,2.66580375701756e-26,"63967/55143/991/4998/83540/51514/1063/11130/983/3619/1111/9735/701/57082/51065/54962/55055/90381/641/5347/9212/990/672/146956/332/10403/5932/147841/4436/699/57405/5933/51512/2177/11073/4085/9319/891/54908/1026/7272",41,"Biological Process"
"GO:0051310","metaphase chromosome alignment","30/262","92/12185",8.13409024262592e-28,5.16654973341964e-26,4.3194824047048e-26,"55143/11004/84722/83540/9928/4751/1063/81930/3619/113130/29127/9735/90417/57082/55055/81620/9212/10615/332/10403/147841/57405/79980/81610/151648/1894/1062/891/54908/3833",30,"Biological Process"
"GO:1901991","negative regulation of mitotic cell cycle phase transition","37/262","165/12185",1.44418626768104e-27,8.86730368356156e-26,7.41348950742932e-26,"63967/55143/991/4998/83540/51514/1063/11130/983/3619/1111/9735/701/57082/51065/55055/90381/641/5347/9212/990/672/332/10403/5932/147841/699/57405/5933/51512/11073/4085/9319/891/54908/1026/7272",37,"Biological Process"
"GO:0010965","regulation of mitotic sister chromatid separation","25/262","57/12185",3.49014868185317e-27,2.07382382966889e-25,1.73381579679158e-25,"55143/991/83540/1063/11130/3619/9700/9735/9787/701/57082/55055/5347/9212/332/10403/147841/699/57405/11065/4085/9319/891/54908/7272",25,"Biological Process"
"GO:0050000","chromosome localization","31/262","106/12185",4.61031096171734e-27,2.65381024733855e-25,2.21871215032647e-25,"55143/11004/84722/83540/9928/4751/1063/81930/3619/113130/29127/9735/9787/90417/57082/55055/81620/9212/10615/332/10403/147841/57405/79980/81610/151648/1894/1062/891/54908/3833",31,"Biological Process"
"GO:0051303","establishment of chromosome localization","30/262","98/12185",6.99167870160215e-27,3.90262792980338e-25,3.262783394081e-25,"55143/11004/84722/83540/9928/4751/1063/81930/3619/113130/29127/9735/90417/57082/55055/81620/9212/10615/332/10403/147841/57405/79980/81610/151648/1894/1062/891/54908/3833",30,"Biological Process"
"GO:0033045","regulation of sister chromatid segregation","30/262","100/12185",1.38041351934011e-26,7.47859324301317e-25,6.25246123465813e-25,"55143/991/83540/1063/11130/983/3619/9700/9735/9787/701/57082/55055/116028/5347/9212/990/332/10403/147841/699/57405/11065/10460/1062/4085/9319/891/54908/7272",30,"Biological Process"
"GO:0051306","mitotic sister chromatid separation","25/262","60/12185",1.72394993759002e-26,9.07290224297374e-25,7.58537972539607e-25,"55143/991/83540/1063/11130/3619/9700/9735/9787/701/57082/55055/5347/9212/332/10403/147841/699/57405/11065/4085/9319/891/54908/7272",25,"Biological Process"
