Symbol,logFC
TSPAN6,-0.154730731
DPM1,-0.159060807
SCYL3,-0.307813573
C1orf112,-0.050019686
FUCA2,0.04433437
GCLC,-0.034799019
NFYA,-0.282320656
C1orf201,0.442147796
NIPAL3,0.243780934
LAS1L,-0.048101001
ENPP4,0.096348523
SEMA3F,0.124517246
CFTR,-0.18127196
ANKIB1,0.315158369
KRIT1,0.27585872
RAD52,-0.035378671
MYH16,0.128238204
BAD,0.451466985
LAP3,-0.857984719
CD99,-0.26913418
HS3ST1,0.151963607
ABP1,-0.250643739
HECW1,-0.30275247
MAD1L1,-0.680196621
LASP1,-0.120427756
SNX11,0.09231995
M6PR,-0.312461378
KLHL13,-0.117133301
ICA1,-0.482032075
DBNDD1,0.024294056
ALS2,-0.056902812
CASP10,-0.411475451
CFLAR,-0.13067327
C2orf56,0.001279331
RBM5,0.109110892
MTMR7,0.260487018
SARM1,0.538376048
POLDIP2,-0.288836332
PLXND1,0.726699505
AK2,-0.72862451
FKBP4,-0.399234245
KDM1A,-0.674180758
RBM6,0.215757624
CAMKK1,-0.191929551
RECQL,0.101277904
CCDC132,-0.128624426
ARHGAP33,0.349283195
NDUFAB1,0.32510842
ABCB5,0.347012
SLC25A13,-0.208582122
ST7,0.220527924
CDC27,0.154042307
HCCS,-0.524565391
DVL2,-0.104734628
PRSS22,-0.422820658
UPF1,-0.347147213
SKAP2,0.041574036
SLC25A5,-0.205965543
CCDC109B,0.172365845
HOXA11,-0.393346417
POLR2J,0.062951633
DHX33,0.686211699
THSD7A,0.64976326
LIG3,-0.542897641
RPAP3,0.394532081
ACSM3,0.199547207
CIAPIN1,-0.092989272
SPPL2B,-0.363437667
FAM214B,-0.683012871
MSL3,0.664869721
CREBBP,0.489385398
BZRAP1,-0.03923572
GCFC2,-0.333085369
WDR54,0.576041815
CROT,0.457306145
MLL5,0.500247862
RHBDD2,-0.153421545
IBTK,-0.130205247
ZNF195,0.222769334
MYCBP2,0.611081331
FBXL3,0.177077962
PDK2,-0.326693299
ITGA3,-0.14888838
ZFX,0.030468541
LAMP2,0.102057375
GGNBP2,0.173997066
ASB4,-0.120678238
GDE1,-0.202883221
C19orf60,0.1026184
OSBPL7,0.310263432
YBX2,0.060719987
MAP3K14,0.368008628
SYNRG,0.054349116
CACNG3,-0.68511484
TMEM132A,-0.540142795
AP2B1,0.185333638
ZNF263,-0.317589179
SPATA20,-0.289611481
TNFRSF12A,-0.360460665
MAP3K9,0.225610024
RALA,0.103544114
BAIAP2L1,0.156782658
JHDM1D,0.18370611
AGK,0.389068833
TTC22,0.343419518
PHTF2,0.425491791
CCL26,0.88835263
FARP2,0.084328243
USH1C,-0.271601882
GGCT,-0.090717495
DBF4,0.337353596
IFRD1,-0.052576755
COX10,-0.261377041
GTF2IRD1,0.260351086
PAF1,-0.374006996
VPS41,-0.02217417
ARHGAP44,0.099581464
ELAC2,-0.182337278
SCIN,0.319793197
ARSD,-0.131828329
PNPLA4,0.202681488
MYH13,0.069917874
ADIPOR2,0.104346716
CDKL3,0.266373156
UPP2,0.826798295
MARK4,0.215025386
PROM1,0.290739011
CCDC124,-0.427200817
PAFAH1B1,-0.026043948
NOS2,1.274344591
DNAH9,0.506960879
KIAA0100,0.136817979
GAS7,0.514262484
TRAPPC6A,-0.756919542
CD79B,-1.063984903
ST7L,0.219920243
PAX6,0.166362882
RPUSD1,-0.820861187
RHBDF1,-0.126093383
LUC7L,0.07795275
CACNA2D2,0.376082444
BAIAP3,1.289384717
C16orf42,-0.835209356
PIGQ,-0.96125088
TEAD3,0.164479736
DNAJC11,-0.238736818
MYLIP,0.130628132
NOX1,-0.378329675
E2F2,-0.038576956
PSMB1,0.00704577
JARID2,0.224143329
CDKL5,0.597802769
CDK11A,0.165855631
NADK,-0.331255673
DLEC1,0.227214544
CYTH3,0.126005231
ADAM22,0.467415876
SYPL1,-0.198212053
CYB561,-0.04997731
SPAG9,0.159637103
CELSR3,0.513827836
AASS,0.426366374
PLEKHG6,0.446872304
MPND,0.240927358
MGST1,-0.081830014
CRY1,-0.163796228
NFIX,-0.005980882
ST3GAL1,0.350589538
IL32,-0.441335689
PKD1,-0.587796706
MED24,-0.138783737
RHOBTB2,0.362589771
HEATR5B,0.009293606
SEC62,0.008143931
RPS20,-0.012844373
CSDE1,0.058253034
UBE3C,-0.146258923
REV3L,0.514357345
ODZ1,0.425356688
MASP2,0.476434721
IYD,0.029369876
FAM76A,-0.038142089
TRAF3IP3,-0.097783043
POMT2,0.058732281
VTA1,0.02576982
MLXIPL,0.415666256
BAZ1B,0.474747826
RANBP9,0.427954311
ETV7,0.520623447
C1orf124,0.251283187
METTL13,-0.064516399
ZNF207,0.170457722
UQCRC1,-0.304044212
CD9,-0.052665689
NCAPD2,0.035893273
GIPR,0.193799564
PHF7,0.056498254
SEMA3G,-0.605718742
NISCH,0.021769475
IDS,0.117110964
PRSS3,0.867862144
