"Sample","Timepoint","Category","Count","Percentage"
"CX_0.1_3","6hr","No",1,100
"CX_0.1_3","24hr","No",1,100
"CX_0.1_3","72hr","No",1,100
"CX_0.1_24","6hr","No",1,100
"CX_0.1_24","24hr","Yes",1,50
"CX_0.1_24","24hr","No",1,50
"CX_0.1_24","72hr","Yes",1,50
"CX_0.1_24","72hr","No",1,50
"CX_0.1_48","6hr","No",1,100
"CX_0.1_48","24hr","Yes",1,50
"CX_0.1_48","24hr","No",1,50
"CX_0.1_48","72hr","Yes",1,50
"CX_0.1_48","72hr","No",1,50
"CX_0.5_3","6hr","No",1,100
"CX_0.5_3","24hr","No",1,100
"CX_0.5_3","72hr","No",1,100
"CX_0.5_24","6hr","No",1,100
"CX_0.5_24","24hr","Yes",1,50
"CX_0.5_24","24hr","No",1,50
"CX_0.5_24","72hr","Yes",1,50
"CX_0.5_24","72hr","No",1,50
"CX_0.5_48","6hr","No",1,100
"CX_0.5_48","24hr","Yes",1,50
"CX_0.5_48","24hr","No",1,50
"CX_0.5_48","72hr","Yes",1,50
"CX_0.5_48","72hr","No",1,50
