"Sample","Sample_Type","Category","Count","Percentage"
"CX_0.1_24","CX-5461","No",64,31.219512195122
"CX_0.1_24","CX-5461","Yes",141,68.780487804878
"CX_0.1_3","CX-5461","No",1,100
"CX_0.1_48","CX-5461","No",152,47.7987421383648
"CX_0.1_48","CX-5461","Yes",166,52.2012578616352
"CX_0.5_24","CX-5461","No",116,41.726618705036
"CX_0.5_24","CX-5461","Yes",162,58.273381294964
"CX_0.5_3","CX-5461","No",2,100
"CX_0.5_48","CX-5461","No",195,52.7027027027027
"CX_0.5_48","CX-5461","Yes",175,47.2972972972973
"DOX_0.1_24","DOX","No",4822,95.2211690363349
"DOX_0.1_24","DOX","Yes",242,4.77883096366509
"DOX_0.1_3","DOX","No",2,100
"DOX_0.1_48","DOX","No",3223,93.1233747471829
"DOX_0.1_48","DOX","Yes",238,6.8766252528171
"DOX_0.5_24","DOX","No",9609,97.7716727716728
"DOX_0.5_24","DOX","Yes",219,2.22832722832723
"DOX_0.5_3","DOX","No",530,99.437148217636
"DOX_0.5_3","DOX","Yes",3,0.562851782363977
"DOX_0.5_48","DOX","No",9871,97.4624802527646
"DOX_0.5_48","DOX","Yes",257,2.53751974723539
