Sample_ID,Sample_det,Total,Mapping,Ind,Individual,Drug,Conc.,Time,Sample_name,Condition,Time,Treat_Cond
MCW_SP_JT_R31_R1,84-1_CX-5461_0.1然_48hr,57896,Unmapped_Reads,Male_2,Ind_5_84-1_Male-2,CX-5461,0.1,48hr,84-1_CX-5461_0.1_48,CX-5461_0.1,48hr,CX-5461_0.1_48hr
MCW_SP_JT_R43_R1,90-1_CX-5461_0.1然_24hr,73650,Unmapped_Reads,Male_3,Ind_6_90-1_Male_3,CX-5461,0.1,24hr,90-1_CX-5461_0.1_24,CX-5461_0.1,24hr,CX-5461_0.1_24hr
MCW_SP_JT_R58_R1,75-1_DOX_0.5然_3hr,75514,Unmapped_Reads,female_1,Ind_1_75-1_female-1,DOX,0.5,03hr,75-1_DOX_0.5_3,DOX_0.5,03hr,DOX_0.5_03hr
MCW_SP_JT_R80_R1,78-1_CX-5461_0.5然_24hr,77312,Unmapped_Reads,female_2,Ind_2_78-1_female-2,CX-5461,0.5,24hr,78-1_CX-5461_0.5_24,CX-5461_0.5,24hr,CX-5461_0.5_24hr
MCW_SP_JT_R29_R1,84-1_VEH_0.1然_24hr,80623,Unmapped_Reads,Male_2,Ind_5_84-1_Male-2,VEH,0.1,24hr,84-1_VEH_0.1_24,VEH_0.1,24hr,VEH_0.1_24hr
MCW_SP_JT_R12_R1,17-3_VEH_0.5然_24hr,82760,Unmapped_Reads,Male_1,Ind_4_17-3_Male-1,VEH,0.5,24hr,17-3_VEH_0.5_24,VEH_0.5,24hr,VEH_0.5_24hr
MCW_SP_JT_R37_R1,90-1_CX-5461_0.1然_3hr,82782,Unmapped_Reads,Male_3,Ind_6_90-1_Male_3,CX-5461,0.1,03hr,90-1_CX-5461_0.1_3,CX-5461_0.1,03hr,CX-5461_0.1_03hr
MCW_SP_JT_R62_R1,75-1_CX-5461_0.5然_24hr,82818,Unmapped_Reads,female_1,Ind_1_75-1_female-1,CX-5461,0.5,24hr,75-1_CX-5461_0.5_24,CX-5461_0.5,24hr,CX-5461_0.5_24hr
MCW_SP_JT_R79_R1,78-1_CX-5461_0.1然_24hr,83190,Unmapped_Reads,female_2,Ind_2_78-1_female-2,CX-5461,0.1,24hr,78-1_CX-5461_0.1_24,CX-5461_0.1,24hr,CX-5461_0.1_24hr
MCW_SP_JT_R35_R1,84-1_VEH_0.1然_48hr,85862,Unmapped_Reads,Male_2,Ind_5_84-1_Male-2,VEH,0.1,48hr,84-1_VEH_0.1_48,VEH_0.1,48hr,VEH_0.1_48hr
MCW_SP_JT_R3_R1,17-3_DOX_0.1然_3hr,88398,Unmapped_Reads,Male_1,Ind_4_17-3_Male-1,DOX,0.1,03hr,17-3_DOX_0.1_3,DOX_0.1,03hr,DOX_0.1_03hr
MCW_SP_JT_R69_R1,75-1_DOX_0.1然_48hr,88492,Unmapped_Reads,female_1,Ind_1_75-1_female-1,DOX,0.1,48hr,75-1_DOX_0.1_48,DOX_0.1,48hr,DOX_0.1_48hr
MCW_SP_JT_R78_R1,78-1_VEH_0.5然_3hr,89961,Unmapped_Reads,female_2,Ind_2_78-1_female-2,VEH,0.5,03hr,78-1_VEH_0.5_3,VEH_0.5,03hr,VEH_0.5_03hr
MCW_SP_JT_R20_R1,84-1_CX-5461_0.5然_3hr,90326,Unmapped_Reads,Male_2,Ind_5_84-1_Male-2,CX-5461,0.5,03hr,84-1_CX-5461_0.5_3,CX-5461_0.5,03hr,CX-5461_0.5_03hr
MCW_SP_JT_R83_R1,78-1_VEH_0.1然_24hr,91175,Unmapped_Reads,female_2,Ind_2_78-1_female-2,VEH,0.1,24hr,78-1_VEH_0.1_24,VEH_0.1,24hr,VEH_0.1_24hr
MCW_SP_JT_R14_R1,17-3_CX-5461_0.5然_48hr,92250,Unmapped_Reads,Male_1,Ind_4_17-3_Male-1,CX-5461,0.5,48hr,17-3_CX-5461_0.5_48,CX-5461_0.5,48hr,CX-5461_0.5_48hr
MCW_SP_JT_R86_R1,78-1_CX-5461_0.5然_48hr,92271,Unmapped_Reads,female_2,Ind_2_78-1_female-2,CX-5461,0.5,48hr,78-1_CX-5461_0.5_48,CX-5461_0.5,48hr,CX-5461_0.5_48hr
MCW_SP_JT_R74_R1,78-1_CX-5461_0.5然_3hr,92699,Unmapped_Reads,female_2,Ind_2_78-1_female-2,CX-5461,0.5,03hr,78-1_CX-5461_0.5_3,CX-5461_0.5,03hr,CX-5461_0.5_03hr
MCW_SP_JT_R21_R1,84-1_DOX_0.1然_3hr,92824,Unmapped_Reads,Male_2,Ind_5_84-1_Male-2,DOX,0.1,03hr,84-1_DOX_0.1_3,DOX_0.1,03hr,DOX_0.1_03hr
MCW_SP_JT_R107_R1,87-1_VEH_0.1然_48hr,92852,Unmapped_Reads,female_3,Ind_3_87-1_female-3,VEH,0.1,48hr,87-1_VEH_0.1_48,VEH_0.1,48hr,VEH_0.1_48hr
MCW_SP_JT_R38_R1,90-1_CX-5461_0.5然_3hr,92991,Unmapped_Reads,Male_3,Ind_6_90-1_Male_3,CX-5461,0.5,03hr,90-1_CX-5461_0.5_3,CX-5461_0.5,03hr,CX-5461_0.5_03hr
MCW_SP_JT_R75_R1,78-1_DOX_0.1然_3hr,93654,Unmapped_Reads,female_2,Ind_2_78-1_female-2,DOX,0.1,03hr,78-1_DOX_0.1_3,DOX_0.1,03hr,DOX_0.1_03hr
MCW_SP_JT_R11_R1,17-3_VEH_0.1然_24hr,94286,Unmapped_Reads,Male_1,Ind_4_17-3_Male-1,VEH,0.1,24hr,17-3_VEH_0.1_24,VEH_0.1,24hr,VEH_0.1_24hr
MCW_SP_JT_R84_R1,78-1_VEH_0.5然_24hr,94305,Unmapped_Reads,female_2,Ind_2_78-1_female-2,VEH,0.5,24hr,78-1_VEH_0.5_24,VEH_0.5,24hr,VEH_0.5_24hr
MCW_SP_JT_R54_R1,90-1_VEH_0.5然_48hr,94883,Unmapped_Reads,Male_3,Ind_6_90-1_Male_3,VEH,0.5,48hr,90-1_VEH_0.5_48,VEH_0.5,48hr,VEH_0.5_48hr
MCW_SP_JT_R4_R1,17-3_DOX_0.5然_3hr,95710,Unmapped_Reads,Male_1,Ind_4_17-3_Male-1,DOX,0.5,03hr,17-3_DOX_0.5_3,DOX_0.5,03hr,DOX_0.5_03hr
MCW_SP_JT_R51_R1,90-1_DOX_0.1然_48hr,95871,Unmapped_Reads,Male_3,Ind_6_90-1_Male_3,DOX,0.1,48hr,90-1_DOX_0.1_48,DOX_0.1,48hr,DOX_0.1_48hr
MCW_SP_JT_R44_R1,90-1_CX-5461_0.5然_24hr,96207,Unmapped_Reads,Male_3,Ind_6_90-1_Male_3,CX-5461,0.5,24hr,90-1_CX-5461_0.5_24,CX-5461_0.5,24hr,CX-5461_0.5_24hr
