ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Category
GO:0007059,chromosome segregation,109/389,373/12185,5.04E-77,1.20E-73,1.03E-73,55143/991/11004/6491/55706/163786/29899/84722/83540/55732/91687/259266/9928/4751/1063/11130/983/3832/4288/81930/3619/113130/23310/9918/29127/9700/9735/387893/221150/55835/440145/10426/9787/701/90417/57082/11339/51203/9133/55055/9493/9055/116028/54820/5347/3835/55839/81620/83903/9212/10615/990/7153/29893/672/146909/348235/83990/332/10403/220134/147841/93323/8193/348654/79172/23397/699/57405/151246/55355/22974/79980/81610/4605/11065/6790/54069/11200/79019/2177/151648/10051/1894/10460/64151/1062/4085/84057/79682/9319/64105/891/64946/9232/54908/203068/3833/55166/7272/387103/26271/54892/157313/157570/9134/10592/24137/2491,109,BP
GO:0000280,nuclear division,100/389,350/12185,3.20E-69,3.80E-66,3.27E-66,55143/991/11004/8438/55706/84722/83540/259266/9928/4751/1063/84930/11130/983/9585/3832/4288/81930/3619/113130/9633/1111/23310/10635/9918/29127/9700/9735/387893/675/440145/79866/9787/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/54820/5347/3835/81620/2175/83903/9212/10615/7153/29893/146909/146956/83990/332/10403/147841/27338/348654/23397/699/57405/994/22974/79980/4605/11065/6790/5902/11200/2177/151648/10051/64151/1062/4085/84057/9319/64105/891/995/9232/54908/3833/7272/26271/54443/54892/157313/4603/25788/9134/27085/80010/1164/10592/24137/2491,100,BP
GO:0048285,organelle fission,101/389,393/12185,5.82E-65,4.61E-62,3.97E-62,55143/991/11004/8438/55706/84722/83540/259266/9928/4751/1063/84930/11130/983/9585/3832/4288/81930/3619/113130/9633/1111/23310/10635/9918/29127/9700/9735/387893/675/440145/79866/9787/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/54820/5347/3835/81620/2175/83903/9212/10615/7153/29893/146909/146956/83990/332/10403/147841/27338/348654/23397/699/57405/994/22974/79980/4605/11065/6790/5902/11200/2177/151648/10051/64151/1062/4085/84057/9319/64105/891/995/9232/54908/3833/7272/113115/26271/54443/54892/157313/4603/25788/9134/27085/80010/1164/10592/24137/2491,101,BP
GO:0098813,nuclear chromosome segregation,82/389,268/12185,6.23E-59,3.70E-56,3.19E-56,55143/991/11004/55706/84722/83540/259266/9928/4751/1063/11130/983/3832/81930/3619/113130/23310/9918/29127/9700/9735/387893/440145/9787/701/90417/57082/51203/9133/55055/9493/9055/116028/5347/3835/81620/83903/9212/10615/990/7153/29893/146909/83990/332/10403/147841/8193/348654/23397/699/57405/22974/79980/81610/4605/11065/6790/11200/2177/151648/10051/1894/10460/64151/1062/4085/84057/9319/64105/891/9232/54908/3833/55166/7272/26271/54892/9134/10592/24137/2491,82,BP
GO:0140014,mitotic nuclear division,76/389,250/12185,2.92E-54,1.39E-51,1.19E-51,55143/991/11004/84722/83540/9928/4751/1063/11130/983/9585/3832/4288/81930/3619/113130/1111/23310/9918/29127/9700/9735/387893/440145/79866/9787/701/90417/57082/51203/55055/9493/9055/9088/54820/5347/3835/81620/83903/9212/10615/146909/332/10403/147841/27338/348654/23397/699/57405/22974/79980/4605/11065/6790/5902/11200/10051/64151/1062/4085/9319/64105/891/995/54908/3833/7272/26271/54443/54892/157313/27085/10592/24137/2491,76,BP
GO:0006260,DNA replication,76/389,260/12185,7.67E-53,3.04E-50,2.61E-50,4678/4998/8317/51514/55388/983/1763/6240/374393/2237/23649/10714/1111/1017/8914/5557/5985/5426/675/5983/5427/11169/5888/1854/9768/80119/54962/90381/641/63922/116028/23594/64785/55159/51659/81620/79915/990/672/146956/7083/10036/10535/3978/5424/6241/348654/4175/5111/84515/9837/8208/8318/4174/10293/10721/4171/11073/5984/890/51053/4172/5558/253714/26271/5982/10926/4176/157570/84296/4173/9134/50484/79075/9401/80010,76,BP
GO:0044770,cell cycle phase transition,99/389,496/12185,1.78E-52,6.04E-50,5.20E-50,1870/63967/55143/991/6491/1031/4998/8317/163786/1163/128239/83540/9928/51514/1063/84930/11130/983/1763/6240/3619/113130/3014/1111/2305/9700/1017/8914/4193/9735/5426/55835/675/7027/1033/9787/701/57082/5888/79968/9133/54962/55055/90381/641/899/9088/5347/55159/81620/83903/9212/79915/990/672/146956/83990/332/10403/147841/8193/27338/6241/348654/4436/699/57405/994/1869/5933/81610/11065/6790/8318/11200/51512/2177/993/11073/10460/1062/4085/890/9319/891/995/54908/9656/1026/7272/26271/54443/10926/2146/9134/50484/27085/9833/1164,99,BP
GO:0006261,DNA-templated DNA replication,60/389,153/12185,2.80E-50,8.33E-48,7.17E-48,4998/8317/55388/1763/6240/2237/23649/10714/1017/8914/5557/5985/5426/675/5983/5427/11169/5888/54962/90381/641/63922/23594/64785/55159/51659/81620/79915/990/672/146956/7083/3978/5424/348654/4175/5111/84515/9837/8318/4174/10293/10721/4171/11073/5984/51053/4172/5558/253714/26271/5982/10926/4176/84296/4173/9134/50484/79075/9401,60,BP
GO:0000070,mitotic sister chromatid segregation,63/389,176/12185,7.09E-50,1.87E-47,1.61E-47,55143/991/11004/84722/83540/9928/4751/1063/11130/983/3832/81930/3619/113130/23310/9918/29127/9700/9735/387893/440145/9787/701/90417/57082/51203/55055/9493/9055/5347/3835/81620/83903/9212/10615/146909/332/10403/147841/348654/23397/699/57405/22974/79980/4605/11065/11200/10051/64151/1062/4085/9319/64105/891/54908/3833/7272/26271/54892/10592/24137/2491,63,BP
GO:0000819,sister chromatid segregation,68/389,215/12185,9.85E-50,2.34E-47,2.01E-47,55143/991/11004/84722/83540/9928/4751/1063/11130/983/3832/81930/3619/113130/23310/9918/29127/9700/9735/387893/440145/9787/701/90417/57082/51203/55055/9493/9055/116028/5347/3835/81620/83903/9212/10615/990/7153/146909/332/10403/147841/8193/348654/23397/699/57405/22974/79980/4605/11065/11200/10051/10460/64151/1062/4085/9319/64105/891/54908/3833/7272/26271/54892/10592/24137/2491,68,BP
GO:1901987,regulation of cell cycle phase transition,84/389,388/12185,4.17E-47,9.02E-45,7.76E-45,63967/55143/991/6491/1031/4998/8317/163786/83540/9928/51514/1063/11130/983/1763/6240/3619/113130/3014/1111/9700/1017/8914/4193/9735/55835/675/7027/9787/701/57082/5888/79968/54962/55055/90381/641/9088/5347/55159/81620/83903/9212/79915/990/672/146956/83990/332/10403/147841/8193/6241/348654/4436/699/57405/994/1869/5933/81610/11065/6790/8318/11200/51512/2177/993/11073/1062/4085/9319/891/995/54908/9656/1026/7272/26271/54443/10926/2146/50484/27085,84,BP
GO:0044772,mitotic cell cycle phase transition,84/389,409/12185,3.48E-45,6.89E-43,5.93E-43,1870/63967/55143/991/6491/1031/4998/8317/163786/1163/128239/83540/9928/51514/1063/84930/11130/983/6240/3619/113130/1111/2305/9700/1017/4193/9735/5426/55835/7027/1033/9787/701/57082/9133/55055/90381/641/899/9088/5347/55159/83903/9212/79915/990/672/332/10403/147841/8193/27338/6241/348654/699/57405/994/1869/5933/11065/6790/11200/51512/993/11073/10460/1062/4085/890/9319/891/995/54908/1026/7272/26271/54443/10926/2146/9134/50484/27085/9833/1164,84,BP
GO:0007346,regulation of mitotic cell cycle,83/389,439/12185,1.06E-41,1.93E-39,1.66E-39,63967/55143/991/6491/1031/4998/8317/163786/1163/83540/9928/4751/51514/1063/11130/983/9585/4288/6240/3619/113130/1111/9700/1017/4193/9735/55835/675/79866/7027/9787/701/57082/51203/54962/55055/90381/641/9088/5347/55159/83903/9212/79915/990/672/146956/332/10403/147841/8193/6241/348654/4436/699/57405/994/1869/5933/11065/6790/11200/51512/2177/993/11073/1062/4085/9319/891/995/54908/51053/9656/1026/7272/26271/54443/2146/157313/50484/27085/1164,83,BP
GO:0000075,cell cycle checkpoint signaling,55/389,185/12185,1.53E-38,2.59E-36,2.23E-36,63967/55143/991/4998/83540/51514/1063/11130/983/1763/3619/3014/1111/1017/8914/4193/9735/675/701/57082/5888/79968/54962/55055/90381/641/5347/55159/81620/83903/9212/990/672/146956/83990/332/10403/147841/348654/4436/699/57405/1869/8318/11200/51512/2177/11073/4085/9319/891/54908/9656/1026/7272,55,BP
GO:1901990,regulation of mitotic cell cycle phase transition,67/389,303/12185,5.67E-38,8.98E-36,7.73E-36,63967/55143/991/6491/1031/4998/8317/163786/83540/9928/51514/1063/11130/983/6240/3619/113130/1111/9700/1017/4193/9735/55835/7027/9787/701/57082/55055/90381/641/5347/55159/83903/9212/79915/990/672/332/10403/147841/8193/6241/348654/699/57405/994/1869/5933/11065/6790/11200/51512/993/11073/1062/4085/9319/891/995/54908/1026/7272/26271/54443/2146/50484/27085,67,BP
