"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0007186","G protein-coupled receptor signaling pathway","216/5454","389/12185",9.58516018091962e-06,0.0277281649442285,0.0257116834593813,"375790/83756/387509/57085/4879/576/5142/64123/23266/2787/8412/1901/1952/6272/2780/10768/5999/8490/23432/5997/134/493/88/9397/8325/5660/3363/51196/22986/150/26033/60626/3784/7275/55366/8525/1132/747/156/51083/5029/408/6653/334/27239/5744/112/11247/10818/8549/55188/1407/1240/84876/160851/115207/160897/1880/1241/54331/64582/51109/9628/624/207/6447/11245/5330/7301/29767/4828/11214/8786/283869/5579/23322/9289/54550/4157/51763/124976/136/51655/28964/8851/6347/10266/2535/4836/3690/11248/84687/8526/10672/8787/55890/9368/256933/2774/2788/2767/6915/3643/5141/5566/976/10755/9002/333/9138/2931/2696/56848/94027/57191/109/7349/51542/2840/7852/11249/10203/8324/2825/7855/9427/57007/2859/146/5332/6714/7052/100/2778/10287/1399/2781/9620/3708/5468/1238/51304/2771/57406/2596/111/5291/9934/53836/5028/59345/9718/152/202018/166647/386617/23284/5910/1909/2743/9693/4886/1363/92255/10788/2150/84059/4888/57528/147/3274/2870/1906/2550/3710/221395/221391/112609/5350/9590/7430/3482/115330/2852/1607/4852/107/8326/2770/2791/2845/54329/4233/2861/2918/1129/23516/2185/8601/760/9699/114/2843/340481/22844/2776/19/2790/10868/4935/10149/139189/54328/29978/367/8862",216,"BP"
"GO:0009084","glutamine family amino acid biosynthetic process","14/5454","14/12185",1.28365053680638e-05,0.0277281649442285,0.0257116834593813,"2752/29920/2746/5832/4942/27165/1201/162417/5831/2744/435/65263/445/2747",14,"BP"
"GO:0048738","cardiac muscle tissue development","122/5454","206/12185",1.8330764723584e-05,0.0277281649442285,0.0257116834593813,"6497/4879/6548/1901/2702/4000/5999/5997/7139/88/6262/10529/657/4892/2263/80313/3767/4607/26011/10413/5318/144165/2065/10818/376132/6910/6926/5457/1948/113622/10038/4624/4625/9472/60485/652/51676/7528/26585/70/7168/11214/8131/91807/79191/23135/6416/93649/90410/8557/10052/9241/6909/4729/80206/115701/9150/811/7040/2931/3276/7137/3398/6546/2274/129446/4036/7273/8324/2066/23363/2280/57158/655/140628/861/150094/84700/5600/859/5915/6331/11277/7134/7474/56999/27086/4487/3516/5156/84525/10611/2247/4086/1909/8470/79810/4090/9421/6444/1482/4488/2296/1906/1432/5292/653/11149/5350/2697/23493/10370/28514/57057/58498/137814/3084/5339/2022/4851/6901/2539",122,"BP"
"GO:0014706","striated muscle tissue development","128/5454","218/12185",2.06469323920991e-05,0.0277281649442285,0.0257116834593813,"6497/4879/6548/1901/2702/4000/5999/5997/7139/88/6262/10529/657/4892/2263/80313/3767/4607/26011/10413/5318/144165/2065/10818/376132/6910/6926/5457/1948/113622/10038/4624/4625/9472/60485/652/51676/7528/26585/70/7168/4088/11214/8131/91807/79191/23135/6416/93649/90410/8557/10052/9241/6909/4729/80206/115701/9150/811/22933/7040/2931/3276/7137/3398/6546/2274/129446/4036/7273/8324/2066/23363/2280/57158/655/140628/861/150094/84700/5600/859/5915/6331/11277/7134/7474/56999/27086/4487/3516/5156/84525/10611/51176/2247/4086/1909/8470/79810/4090/9421/6444/1482/4488/2296/1906/1432/5292/653/11149/5350/2697/23493/10370/28514/7291/57057/58498/3475/137814/3084/5339/5239/2022/4851/6901/2539",128,"BP"
"GO:0099084","postsynaptic specialization organization","26/5454","32/12185",2.55182817451026e-05,0.0277281649442285,0.0257116834593813,"389941/5728/6712/78999/1398/57555/8506/3690/1000/5802/94030/50944/1399/85358/2596/66000/22871/3556/1739/8831/64101/2185/5789/84885/23229/4983",26,"BP"
"GO:0099173","postsynapse organization","95/5454","156/12185",3.3230470547558e-05,0.0300901910808137,0.0279019354457215,"11079/2048/26052/375/389941/58504/5728/9118/4076/1072/6712/78999/2017/65981/9026/10160/26037/5663/9252/207/58489/23184/3480/55737/1398/1742/57555/1140/22899/9912/4763/8851/8506/3690/26115/10458/71/5881/1000/5802/3643/94030/50944/653269/653781/445582/85461/8828/547/5621/3911/23181/1399/4744/85358/7476/8292/6405/7474/378/25978/2596/66000/22871/3556/1739/10611/23657/2743/1501/345651/1627/8831/11329/2045/7430/60/8326/4897/64101/1020/51201/4747/2185/50807/5789/51104/4920/84885/22866/11141/23229/4983/158866/80823",95,"BP"
"GO:0045598","regulation of fat cell differentiation","67/5454","104/12185",3.95576366158935e-05,0.0307023771048785,0.0284696013298747,"252995/80149/6272/9580/11221/83643/22852/23411/406/4041/10413/55885/25946/1649/1240/59341/2308/115825/688/60485/10979/122953/207/4088/8312/7041/79068/2874/201163/9572/8313/201501/51320/10498/1050/22933/7538/7040/54795/3398/55252/678/57761/6789/1051/655/7494/5468/7474/2624/1040/166379/25819/6423/4488/3400/1432/5292/65989/5167/2852/222236/4023/6422/169200/94056/7030",67,"BP"
"GO:0046486","glycerolipid metabolic process","168/5454","300/12185",4.96022795797994e-05,0.0336861481196313,0.0312363829038053,"5293/11313/55650/2170/2166/126969/51205/5298/93183/9588/55224/5287/9926/10380/3707/5305/253430/23411/5728/51196/55361/57678/57104/114879/27315/84188/5286/8525/114971/747/9600/1374/3636/7405/472/6653/10162/55500/79837/10677/114882/56994/949/9107/160851/90809/63874/5106/122809/22863/5283/145567/5330/9488/11057/64788/283871/21/8651/1201/10423/23659/51763/9487/10400/25979/30837/8396/8678/8526/284161/9021/9663/171586/5289/9388/9306/23396/440503/10908/57153/3949/376497/5296/80271/79143/255043/26751/22979/151056/5281/57217/51141/1622/55627/3628/1373/80025/8760/56261/54675/26090/128869/64900/128486/51604/8813/8867/150094/56894/27440/375133/27124/23761/8398/5155/80339/859/64419/132001/114884/5333/51099/2876/57406/51365/5291/256356/5359/5337/79718/131118/80235/54872/1040/2247/8821/55294/2180/64924/256987/6583/7920/56895/221955/1607/222236/50640/55750/9108/4023/23259/137964/2171/9791/5168/8733/8694/84720/8395/23446/5277/9468/9104/139189/4534/8776/6901",168,"BP"
"GO:0003013","circulatory system process","237/5454","440/12185",5.89792558443936e-05,0.0356038107780656,0.0330145869557038,"6339/388591/56998/57085/4879/27129/6548/80149/6536/2166/1573/5142/51086/23576/2730/6566/2702/477/5999/481/5997/7139/134/493/6262/783/196740/29119/387700/3363/143282/30819/150/3784/5286/4607/3177/156/4041/5029/10413/6330/6327/55800/3762/775/4973/10059/5318/112/9498/9194/27345/490/59341/488/6910/6541/23428/4624/4625/10979/6547/624/7082/70/7168/4088/10391/585/11214/28232/18/2013/487/91807/79191/7442/5023/489/6517/482/29098/136/5606/6532/40/91608/8557/7067/125111/3728/10266/10052/4635/8714/6909/1636/10672/5608/9368/2548/7525/1824/2767/6915/3643/5566/376497/6324/57731/7040/478/2931/6510/54795/7137/3398/2281/7349/6546/2034/7852/27347/4036/7273/6772/1373/1674/6508/23704/8864/146/8195/57419/6640/6714/100/64849/81031/102724560/6647/3753/875/6573/6523/5155/859/6529/5468/80852/8850/7068/23171/6331/54716/11277/2876/10991/2771/7134/64091/5028/2257/7037/1739/152/10699/84525/8671/5910/128/287/817/1909/2982/4886/6507/2150/153396/51752/6558/4090/6444/147/3779/1482/3274/2296/1906/2030/2729/11149/5350/2697/10345/23493/6446/9590/28514/2852/4852/57057/58498/948/5243/6717/10142/8985/10467/3751/1129/3757/4846/6542/2171/83988/284/2131/5339/6505/340481/6456/7010/9414/5125/23446/2934/5742/1756/10159/367/6567/27035/8862/5973/6901",237,"BP"
"GO:0045444","fat cell differentiation","110/5454","187/12185",6.89329816630755e-05,0.0374512889375489,0.0347277105515242,"51150/63976/2170/252995/80149/84230/6272/5997/9580/3914/11221/83643/22852/1959/23411/1488/406/582/4041/595/10413/55885/3164/25946/1649/114882/1240/59341/144404/2308/115825/688/60485/10979/122953/123016/207/4088/585/8312/8651/7041/79068/6517/2874/201163/25979/9572/8313/201501/51320/9658/51341/10498/1050/25999/22933/7538/7040/54795/3398/55252/2355/678/4929/8864/57761/8195/6789/1051/655/7494/80339/5468/2876/7474/2624/79718/10891/5156/1040/55212/166379/25819/6423/54463/2255/51752/4488/3400/5696/1432/5292/65989/221395/5167/2852/10124/27241/10603/222236/4023/6422/1052/169200/392255/8013/9314/94056/7030",110,"BP"
"GO:0046620","regulation of organ growth","48/5454","71/12185",8.27253340856266e-05,0.0408587945533827,0.0378874113812258,"5999/5997/3142/657/5728/2263/10413/8531/1848/32/6910/26524/10038/4624/9472/60485/7528/207/6532/9241/6909/9150/2931/10018/2066/6789/6647/861/5600/859/27086/3516/2247/10409/23286/1482/2296/1906/1432/5292/23493/10370/57057/3574/2395/4851/55841/2539",48,"BP"
