Symbol,ENTREZID
RAD50,10111
CDK2,1017
CDK4,1019
CDK5,1020
CDK6,1021
CDKN1A,1026
CDKN1B,1027
GADD45G,10912
TLK2,11011
CHEK1,1111
CHEK2,11200
CREB1,1385
DDB2,1643
GADD45A,1647
E2F1,1869
AKT1,207
FANCD2,2177
ABL1,25
BBC3,27113
SESN1,27244
H2AX,3014
APAF1,317
FAS,355
MDM2,4193
MRE11,4361
MYC,4609
GADD45B,4616
NBN,4683
ATM,472
RRM2B,50484
PMAIP1,5366
PML,5371
CYCS,54205
ATR,545
PIDD1,55367
PRKDC,5591
BAX,581
RAD1,5810
RAD9A,5883
RAD17,5884
RAD51,5888
RAD52,5893
RB1,5925
CCND1,595
RFC1,5981
RPA2,6118
BID,637
BRCA1,672
TP53,7157
SMC1A,8243
CASP3,836
CASP8,841
ATRIP,84126
CASP9,842
TNFRSF10B,8795
CCNB1,891
CCND2,894
CCND3,896
CCNE1,898
CCNB2,9133
CCNE2,9134
CDK1,983
TLK1,9874
CDC25A,993
CDC25C,995
