Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
653635,0.017972075,3.815911356,0.169990212,0.865378862,0.999868675,-6.585795092
729737,0.09122136,3.611066469,0.53666463,0.592752301,0.999868675,-6.461254457
102723897,0.07834693,3.738780581,0.743334359,0.459111351,0.999868675,-6.310174891
100132287,0.163118966,2.716250327,1.03930267,0.30129864,0.999868675,-5.910998992
102465432,0.102070467,5.876734289,0.4996795,0.618454675,0.999868675,-6.729875989
100133331,0.047730162,2.814028681,0.358833732,0.72051473,0.999868675,-6.387312485
100288069,0.000696461,0.005686323,0.002569394,0.997955303,0.999868675,-5.969257526
79854,0.144554279,0.308362635,0.495270638,0.621551314,0.999868675,-5.857611426
643837,-0.101563525,5.622428419,-0.837514015,0.404403131,0.999868675,-6.496387059
100130417,0.138897295,0.252866454,0.399090057,0.690721437,0.999868675,-5.905659636
148398,-0.059649073,0.908646859,-0.176692324,0.860125743,0.999868675,-6.059219813
26155,0.110794557,6.684079437,1.315223444,0.19159655,0.999868675,-6.023326824
339451,0.109274588,4.054823131,0.653380327,0.515087425,0.999868675,-6.439624606
57801,-0.126129318,5.979831384,-0.672048748,0.503181781,0.999868675,-6.635184586
9636,-0.036401472,3.745990772,-0.166192808,0.868357969,0.999868675,-6.533839248
375790,0.131731124,10.0974329,0.879523674,0.381333994,0.999868675,-6.361672365
54991,-0.130052811,3.399961785,-0.892830737,0.374201081,0.999868675,-6.176706785
51150,0.07727763,8.49081391,0.753163185,0.453211977,0.999868675,-6.551153511
126792,0.048297083,6.211809478,0.490679716,0.624783076,0.999868675,-6.753893488
388581,0.249293921,0.144455397,0.869733205,0.386635688,0.999868675,-5.58445694
118424,0.034101712,5.841288127,0.27200504,0.786207678,0.999868675,-6.801011933
6339,0.339126812,2.956464716,1.302330239,0.195948107,0.999868675,-5.594063544
116983,0.099554481,6.48234446,0.702571736,0.484038528,0.999868675,-6.630867409
126789,-0.085282283,2.929654571,-0.515907835,0.60711594,0.999868675,-6.340228507
54973,0.017407158,6.071405357,0.230855269,0.817923064,0.999868675,-6.835999397
80772,0.178872879,4.871429268,1.638765579,0.104565751,0.999868675,-5.43281183
83756,-0.128159063,0.750659252,-0.404059757,0.687075808,0.999868675,-5.924529727
1855,0.055498515,5.987221876,0.5710707,0.569298523,0.999868675,-6.700112786
54587,-0.034949017,4.562730098,-0.207793135,0.835834743,0.999868675,-6.709414539
54998,0.02646351,5.907405796,0.261285913,0.794436933,0.999868675,-6.817045868
81669,0.113840287,7.542892876,0.750805776,0.454622945,0.999868675,-6.5936157
148413,0.017883093,3.813907526,0.20231554,0.840102145,0.999868675,-6.571606039
55052,-0.12504817,5.565462683,-1.284033723,0.202249004,0.999868675,-6.00900004
64856,0.080912518,3.882356854,0.341240973,0.733674825,0.999868675,-6.577490721
219293,0.3511806,0.494230169,1.642809094,0.103724322,0.999868675,-4.752508559
83858,0.087048244,4.936205678,0.698119361,0.486805723,0.999868675,-6.522010899
55210,0.022604305,5.373485937,0.213156472,0.831661105,0.999868675,-6.797629633
339453,0.019308307,1.619327343,0.112910125,0.910339763,0.999868675,-6.286480463
29101,-0.113803645,6.363927195,-1.16155461,0.248322906,0.999868675,-6.204924702
643988,-0.103588119,3.64730375,-0.329898905,0.742201781,0.999868675,-6.540212436
142678,0.182632684,6.956657996,1.236570266,0.219291238,0.999868675,-6.123772142
8510,0.046977526,4.907379689,0.21024195,0.833928535,0.999868675,-6.769356284
984,-0.045795084,5.97212873,-0.662129929,0.509488988,0.999868675,-6.635794835
728661,0.030369883,6.783076798,0.371696093,0.710945847,0.999868675,-6.813611999
8511,-0.097258034,5.722070765,-0.422677992,0.673484204,0.999868675,-6.770921692
728642,-0.01605997,5.692710846,-0.175267108,0.86124231,0.999868675,-6.813977026
9906,0.039770476,5.611413743,0.363804439,0.716811428,0.999868675,-6.773728873
65220,-0.089329494,5.606149128,-1.10073066,0.273791658,0.999868675,-6.219204381
2782,-0.068391067,8.266836187,-0.545031479,0.587007549,0.999868675,-6.694212793
105378949,0.073828296,-0.054421449,0.29069437,0.771917943,0.999868675,-5.864967474
5590,0.009666129,5.003162108,0.071341078,0.943276088,0.999868675,-6.792590898
100506504,0.123091059,1.05872996,0.568930106,0.5707445,0.999868675,-5.983120845
199990,-0.078278046,4.994265242,-0.752051586,0.453876983,0.999868675,-6.48653987
6497,-0.017525567,6.537220044,-0.131870385,0.89536535,0.999868675,-6.8694119
79906,0.092917833,2.367761166,0.595313961,0.55304735,0.999868675,-6.161294839
100129534,-0.098121502,0.349211782,-0.355025602,0.7233564,0.999868675,-5.930343977
11079,0.068090865,7.07464537,1.069759721,0.287434598,0.999868675,-6.312860311
5192,0.04316272,3.818259888,0.278032767,0.781590661,0.999868675,-6.555057186
55229,0.095320079,5.663331141,1.215936458,0.227018159,0.999868675,-6.107066648
127281,-0.160539243,4.181960775,-0.747106585,0.456842064,0.999868675,-6.411431913
440556,0.07712289,3.585987856,0.33090101,0.741447085,0.999868675,-6.559915857
63976,0.008801547,4.893051649,0.042377615,0.966286502,0.999868675,-6.810312772
27237,0.054920612,2.931263642,0.296962636,0.767142547,0.999868675,-6.405992619
1953,0.063785935,6.502576921,0.395970216,0.6930138,0.999868675,-6.801631301
127262,0.048325491,5.665550175,0.298453248,0.766008257,0.999868675,-6.776861241
49856,-0.047741823,3.66726967,-0.356332137,0.72238101,0.999868675,-6.51267608
57212,0.020926147,5.171007961,0.258123854,0.79686899,0.999868675,-6.749729111
148870,0.328375204,0.664607878,1.328894694,0.187061712,0.999868675,-5.22841819
388588,-0.013720832,0.697325379,-0.049595439,0.960548775,0.999868675,-6.079722287
57470,0.115849758,6.60264376,1.52488692,0.13060543,0.999868675,-5.732007746
9731,0.029939787,5.259901229,0.21444232,0.830661195,0.999868675,-6.757673048
1677,-0.007502752,1.613902447,-0.044063364,0.964946266,0.999868675,-6.232388263
339448,-0.167809724,3.542317134,-1.576353476,0.118264554,0.999868675,-5.341374588
261734,-0.213382111,2.802430162,-1.372502287,0.173134795,0.999868675,-5.52316224
8514,0.165765818,1.442144245,0.421529574,0.674319497,0.999868675,-6.073157851
6146,-0.078485036,6.660572584,-0.748749971,0.455855446,0.999868675,-6.601749166
102724450,0.208241398,0.032539094,0.630145494,0.530110305,0.999868675,-5.804676871
388591,0.094479194,7.170939156,0.259374434,0.795906882,0.999868675,-6.832967945
23463,-0.066536816,7.167551661,-0.503842095,0.615537309,0.999868675,-6.753321081
387509,-0.164531308,3.921804624,-0.68581948,0.494495147,0.999868675,-6.317444518
11332,-0.145257218,5.156441133,-0.712892127,0.477657758,0.999868675,-6.510940511
83715,-0.077143807,0.308292765,-0.129452179,0.897273209,0.999868675,-5.932615101
8718,0.122904219,3.709641478,0.646241872,0.519678898,0.999868675,-6.391754703
57449,0.192883669,6.114606222,1.316092741,0.191305775,0.999868675,-6.011589522
79707,0.013356111,5.071203798,0.169909709,0.865441998,0.999868675,-6.754302133
