Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
653635,0.437200114,3.815911356,4.11961213,8.10E-05,0.000174945,0.717248422
729737,-1.355642026,3.611066469,-6.725699153,1.30E-09,6.26E-09,11.53794238
102723897,0.332876275,3.738780581,3.20874014,0.001817613,0.003164312,-2.21419645
100132287,-0.911757439,2.716250327,-5.281798045,8.08E-07,2.39E-06,5.345182966
102465432,0.19667264,5.876734289,0.956083416,0.341453723,0.394307942,-6.913427514
100133331,-0.747581451,2.814028681,-5.14545811,1.43E-06,4.06E-06,4.781458028
100288069,-0.888980324,0.005686323,-3.02183259,0.003227863,0.005414785,-2.115783549
79854,1.34241234,0.308362635,4.738357301,7.53E-06,1.91E-05,3.429374802
643837,-0.726339141,5.622428419,-5.770501129,9.84E-08,3.40E-07,7.022855126
100130417,0.915529355,0.252866454,2.764367429,0.006849604,0.010884209,-2.901834106
148398,2.450136811,0.908646859,8.106923393,1.78E-12,1.51E-11,18.05466897
26155,0.817799307,6.684079437,9.692028235,7.43E-16,1.38E-14,25.43713919
339451,0.047604962,4.054823131,0.28102672,0.779300294,0.810807723,-7.120920835
57801,-0.623169889,5.979831384,-3.189475902,0.001930509,0.003344951,-2.482011931
9636,1.364137926,3.745990772,6.620618378,2.11E-09,9.78E-09,10.94620488
375790,0.406724401,10.0974329,2.719693097,0.007768341,0.012223046,-3.688739458
54991,-1.526136973,3.399961785,-8.708611377,9.39E-14,1.05E-12,20.89522361
51150,0.522074185,8.49081391,5.049544768,2.13E-06,5.89E-06,4.011879242
126792,-0.281387897,6.211809478,-2.838179977,0.005546517,0.008952041,-3.499196093
388581,1.339961669,0.144455397,5.049630189,2.13E-06,5.88E-06,4.620972361
118424,0.631018376,5.841288127,5.110265558,1.66E-06,4.66E-06,4.231533905
6339,1.733774298,2.956464716,7.170353763,1.61E-10,9.19E-10,13.54842588
116983,0.405992571,6.48234446,2.871867481,0.005030923,0.008178113,-3.422126837
126789,-0.870243256,2.929654571,-4.810229442,5.65E-06,1.46E-05,3.446750242
54973,0.03574856,6.071405357,0.473328537,0.637063287,0.683032488,-7.272195553
80772,-0.53939138,4.871429268,-4.72452199,7.96E-06,2.01E-05,2.842051996
83756,1.492424285,0.750659252,5.423014479,4.44E-07,1.37E-06,6.05480007
1855,-0.419340261,5.987221876,-4.221625529,5.55E-05,0.000122776,0.853393387
54587,-1.22392088,4.562730098,-6.359932861,7.01E-09,2.94E-08,9.778896217
54998,0.053975189,5.907405796,0.531904595,0.596032224,0.645486851,-7.230808132
81669,0.211947348,7.542892876,1.397169549,0.165613386,0.205526989,-6.425344265
148413,0.352386744,3.813907526,4.034403113,0.000110572,0.000233669,0.414162615
55052,-0.061101615,5.565462683,-0.62378666,0.534260786,0.586192543,-7.147664282
64856,-1.176814272,3.882356854,-4.265868982,4.70E-05,0.000105068,1.332541219
219293,-0.531491846,0.494230169,-2.402992879,0.018201568,0.026935453,-3.72579779
83858,-0.237989745,4.936205678,-1.844441348,0.068231174,0.091343797,-5.57301266
55210,-1.047746438,5.373485937,-9.177825327,9.36E-15,1.33E-13,23.00833249
339453,-1.201148449,1.619327343,-5.943558897,4.58E-08,1.67E-07,8.238579459
29101,0.184972716,6.363927195,1.896674645,0.060905178,0.082315668,-5.625740302
643988,-0.767283726,3.64730375,-2.232042232,0.027959265,0.040135755,-4.591571576
142678,1.191607421,6.956657996,7.977882636,3.33E-12,2.67E-11,17.10712585
8510,-1.610364213,4.907379689,-6.182219592,1.57E-08,6.17E-08,8.957053998
984,0.331431907,5.97212873,4.843269868,4.94E-06,1.29E-05,3.160529098
728661,-0.367462378,6.783076798,-4.497952303,1.94E-05,4.60E-05,1.824486406
8511,-1.476741597,5.722070765,-5.784702259,9.25E-08,3.21E-07,7.127818791
728642,0.522313511,5.692710846,5.812301801,8.19E-08,2.87E-07,7.168050436
9906,-0.316633421,5.611413743,-2.850733764,0.005348966,0.008657661,-3.424271231
65220,0.322392212,5.606149128,4.034976336,0.000110342,0.000233281,0.201283219
2782,-0.690918819,8.266836187,-5.571881932,2.34E-07,7.55E-07,6.137040729
105378949,1.191356021,-0.054421449,4.932839366,3.44E-06,9.16E-06,4.194518555
5590,-1.436422893,5.003162108,-9.337036313,4.27E-15,6.62E-14,23.82782843
100506504,0.394624667,1.05872996,1.839388862,0.06897732,0.092273483,-5.007217874
199990,-0.093980715,4.994265242,-0.889805605,0.37581522,0.429369941,-6.879778122
6497,0.635699468,6.537220044,4.788849903,6.15E-06,1.58E-05,2.935383531
79906,1.097895357,2.367761166,7.502841183,3.29E-11,2.16E-10,15.15239877
100129534,1.461295444,0.349211782,5.830271544,7.56E-08,2.66E-07,7.776539741
11079,0.268399362,7.07464537,4.21059863,5.78E-05,0.000127695,0.777389798
5192,-0.06771063,3.818259888,-0.423994887,0.672526874,0.715948053,-6.996471917
55229,-0.322641098,5.663331141,-4.021040909,0.000116067,0.000244298,0.170764101
127281,-1.427606708,4.181960775,-5.810668561,8.25E-08,2.88E-07,7.402845249
440556,-0.702125049,3.585987856,-2.724550889,0.007663266,0.012069687,-3.452987691
63976,-2.638456151,4.893051649,-9.730937657,6.14E-16,1.16E-14,25.79651765
27237,0.181137534,2.931263642,0.928250807,0.355627024,0.408856544,-6.486345047
1953,-0.486597579,6.502576921,-2.97492746,0.0037146,0.006157509,-3.129787971
127262,0.739368575,5.665550175,4.693854259,8.99E-06,2.25E-05,2.597228384
49856,0.163350711,3.66726967,1.220117029,0.2254369,0.271440551,-6.356097913
57212,-0.346795959,5.171007961,-4.18944182,6.25E-05,0.000137393,0.812076632
148870,-0.195710555,0.664607878,-0.771330791,0.442422799,0.496530311,-6.255610184
388588,-1.589682298,0.697325379,-5.046038381,2.16E-06,5.97E-06,4.630242375
57470,0.322661518,6.60264376,4.250851565,4.97E-05,0.000110675,0.920412251
9731,0.561875303,5.259901229,4.144488193,7.39E-05,0.00016071,0.608843818
1677,0.047606427,1.613902447,0.283465086,0.777436387,0.809170797,-6.721737686
339448,-0.567074409,3.542317134,-5.025683893,2.35E-06,6.45E-06,4.19882329
261734,-0.392802659,2.802430162,-2.455786083,0.015872773,0.023747624,-4.00691978
8514,1.807729774,1.442144245,5.024741213,2.36E-06,6.47E-06,4.386654887
6146,-0.336414685,6.660572584,-3.204617856,0.00184124,0.003201433,-2.495248296
102724450,-2.188950873,0.032539094,-5.929501089,4.87E-08,1.77E-07,8.238784063
388591,-3.626934647,7.170939156,-8.709066653,9.37E-14,1.05E-12,20.73579454
23463,-0.633720374,7.167551661,-4.802763018,5.82E-06,1.50E-05,2.987912691
387509,1.927265816,3.921804624,9.064447762,1.63E-14,2.19E-13,22.50176738
11332,0.668348304,5.156441133,3.404305509,0.000972571,0.001766838,-1.823291835
83715,6.106901001,0.308292765,11.37138132,1.98E-19,1.08E-17,33.4086078
8718,-0.491060878,3.709641478,-2.368156395,0.019900159,0.029264096,-4.302365809
57449,-0.825961218,6.114606222,-5.35967985,5.81E-07,1.76E-06,5.280136025
79707,0.307524401,5.071203798,3.947718569,0.000151186,0.000313503,-0.044044982
3104,0.330498721,4.047796761,3.43453167,0.000881053,0.00161062,-1.575471616
9903,0.255468171,7.522509658,2.128645241,0.03586734,0.050507865,-5.168088289
148479,0.369624607,5.257957818,2.526797441,0.013161032,0.019958196,-4.221778267
90326,0.021891806,3.042683943,0.180028115,0.857513474,0.880008257,-6.978114571
55735,-0.51536805,5.786721332,-4.912134983,3.74E-06,9.92E-06,3.467498233
23261,0.385037859,5.072636377,3.392286607,0.001011389,0.00183037,-1.842458541
9341,0.348920835,6.30730214,3.730960979,0.000324432,0.000638798,-0.862755478
8863,-1.165772963,2.8278315,-3.34706879,0.001170867,0.002101145,-1.59592798
3604,-2.517837086,2.620756676,-6.040774812,2.97E-08,1.11E-07,8.673008423
11315,-0.133431707,7.024625729,-1.37176288,0.173364191,0.214289065,-6.468985639
54206,0.623827548,6.215762357,3.640919112,0.000441942,0.000851848,-1.147147976
50651,0.432787711,1.743749038,1.806365361,0.074023618,0.098433902,-5.178560068
473,0.145816465,7.519682698,2.022667021,0.045914814,0.063504226,-5.378031549
2023,-0.97748883,9.84273038,-4.648156728,1.08E-05,2.66E-05,2.484850954
80045,0.398343834,1.8013328,1.42666028,0.156952027,0.195765024,-5.784680679
9563,-0.532439469,6.674507579,-6.580030411,2.55E-09,1.16E-08,10.54990944
80176,1.524427936,3.063682563,5.070200531,1.96E-06,5.44E-06,4.345731254
84275,0.068859653,2.521912619,0.423823063,0.672651752,0.716027611,-6.814973764
199953,0.039700442,5.364520406,0.326478662,0.744779493,0.78093012,-7.273731432
5293,1.595722777,3.606993429,9.530595269,1.65E-15,2.82E-14,24.81171184
22883,-0.620035494,8.220823754,-6.465954364,4.31E-09,1.89E-08,10.04675541
56998,0.402511684,5.10383406,3.809552623,0.000246747,0.000494706,-0.514235572
84328,-0.109126598,4.359647132,-1.019447293,0.310576587,0.362550939,-6.680204578
64802,0.272521557,4.927795676,3.505067817,0.000698037,0.001296303,-1.465790374
10277,-0.656733231,6.593101261,-8.535037785,2.20E-13,2.29E-12,19.79802435
23095,-0.069124287,7.879850428,-0.727249453,0.468859343,0.522259346,-7.12060701
5226,1.490162161,7.222903366,11.4645594,1.26E-19,7.41E-18,34.0751447
378708,0.200186266,0.188708444,0.885212485,0.378274336,0.431764928,-6.150068178
1676,0.317653425,5.253206456,2.542986049,0.012604324,0.019170977,-4.168089963
5195,-0.532223039,4.859777638,-3.548031246,0.000604822,0.001137547,-1.305704016
54897,-0.84412311,7.406850738,-5.089206411,1.81E-06,5.05E-06,4.124136126
148345,1.05320806,0.189157829,3.640165551,0.000443078,0.000853461,-0.415338219
23435,-0.108509093,7.053283958,-1.275486991,0.20524319,0.249545939,-6.594779921
10747,0.739439953,1.644724915,3.704682915,0.000355237,0.000693943,-0.357997623
6723,0.098158364,5.404966833,0.735991055,0.463547266,0.51722993,-7.065066595
5394,-0.391083565,6.200835265,-6.158064148,1.75E-08,6.82E-08,8.666630254
2475,-0.433025603,7.265192143,-5.616270048,1.93E-07,6.31E-07,6.30176416
29914,0.024264036,4.942607455,0.170475064,0.864998629,0.885843465,-7.268607032
26232,3.334223563,4.198873845,11.54783855,8.43E-20,5.26E-18,34.54822592
93611,0.912230762,5.473426016,5.960236655,4.25E-08,1.56E-07,7.829391146
26270,0.291513026,1.601393922,2.09720135,0.038628265,0.054102305,-4.585735382
10459,0.257795163,4.063683717,2.129075023,0.035830819,0.050466391,-4.953260757
57085,1.175030604,4.336693839,6.920526672,5.22E-10,2.70E-09,12.24464948
4524,-0.345945455,6.350449778,-3.168935452,0.002058068,0.003551747,-2.587735898
1185,-0.119993432,5.952364773,-1.487541887,0.140179361,0.176696777,-6.274433064
4878,-0.564553735,12.40377392,-2.422959794,0.017287251,0.025688902,-4.283744023
4879,-1.893699115,10.30969113,-5.39016336,5.11E-07,1.56E-06,5.435825914
90231,0.341954246,6.949641062,3.830507132,0.000229241,0.000461619,-0.538534734
5351,-0.796022541,8.830168839,-5.472961525,3.58E-07,1.12E-06,5.738285648
9927,-0.755968123,8.860908113,-8.534931027,2.20E-13,2.29E-12,19.8262714
60672,-0.680764434,4.558353813,-4.176182398,6.57E-05,0.000143907,0.861196311
55187,-0.646815915,6.476002608,-4.788799131,6.16E-06,1.58E-05,2.944176663
9249,2.557862992,4.105883732,8.786029056,6.42E-14,7.54E-13,21.14432088
126755,1.346641923,-0.013765345,2.48439375,0.014725365,0.022149319,-3.477702293
10630,-1.378009242,6.181088485,-7.786125184,8.42E-12,6.19E-11,16.23675855
7799,0.578046429,5.784537766,3.866725385,0.000201742,0.000409593,-0.387232981
23254,0.370231576,3.333282542,2.945370967,0.004055227,0.006681042,-2.865524049
55092,-0.196339737,3.863452878,-1.14810005,0.253806484,0.30228566,-6.45041423
79180,-0.023065693,3.496865787,-0.14256451,0.886935678,0.905192949,-7.0218435
