"query","significant","p.adjust","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Category"
"query_1",TRUE,0.00220138371167876,4951,9701,3621,0.373260488609422,0.731367400525146,"GO:0051716","GO:BP","cellular response to stimulus",13751,14364,"GO:0009987, GO:0050896","Biological Process"
"query_1",TRUE,0.00220138371167876,5753,9701,4190,0.43191423564581,0.728315661394055,"GO:0050896","GO:BP","response to stimulus",13751,13774,"GO:0008150","Biological Process"
"query_1",TRUE,0.00304547121449427,4205,9701,3084,0.317905370580353,0.733412604042806,"GO:0023052","GO:BP","signaling",13751,6877,"GO:0050789","Biological Process"
"query_1",TRUE,0.00304547121449427,12121,9701,8636,0.89021750335017,0.712482468443198,"GO:0008150","GO:BP","biological_process",13751,3158,"","Biological Process"
"query_1",TRUE,0.00377540545265338,4270,9701,3126,0.322234821152458,0.732084309133489,"GO:0007154","GO:BP","cell communication",13751,2749,"GO:0009987","Biological Process"
"query_1",TRUE,0.00377540545265338,8079,9701,5821,0.600041232862591,0.720509964104468,"GO:0050789","GO:BP","regulation of biological process",13751,13687,"GO:0008150, GO:0065007","Biological Process"
"query_1",TRUE,0.00377540545265338,11520,9701,8219,0.847232244098547,0.713454861111111,"GO:0009987","GO:BP","cellular process",13751,3849,"GO:0008150","Biological Process"
"query_1",TRUE,0.00377540545265338,8322,9701,5994,0.617874445933409,0.720259552992069,"GO:0065007","GO:BP","biological regulation",13751,16384,"GO:0008150","Biological Process"
"query_1",TRUE,0.00634512285304178,207,9701,174,0.0179362952272962,0.840579710144927,"GO:0048738","GO:BP","cardiac muscle tissue development",13751,13420,"GO:0007507, GO:0014706","Biological Process"
"query_1",TRUE,0.00652503464533963,591,9701,464,0.0478301206061231,0.785109983079526,"GO:0019725","GO:BP","cellular homeostasis",13751,6234,"GO:0042592","Biological Process"
"query_1",TRUE,0.00652503464533963,219,9701,183,0.0188640346356046,0.835616438356164,"GO:0014706","GO:BP","striated muscle tissue development",13751,4701,"GO:0060537","Biological Process"
"query_1",TRUE,0.0340499838604368,4844,9701,3519,0.362746108648593,0.726465730800991,"GO:0032501","GO:BP","multicellular organismal process",13751,7883,"GO:0008150","Biological Process"
"query_1",TRUE,0.0340499838604368,84,9701,75,0.00773116173590352,0.892857142857143,"GO:0006942","GO:BP","regulation of striated muscle contraction",13751,2610,"GO:0006937, GO:0006941","Biological Process"
