Symbol,ENTREZID
SORT1,6272
CUBN,8029
POLR3A,11128
PRR5L,79899
PLEKHA5,54477
SPPL3,121665
PCCA,5095
ATG14,22863
PELI2,57161
NDN,4692
DGCR6,8214
GRAMD4,23151
SLC2A9,56606
ADCY2,108
RIMS1,22999
AGPAT4,56895
NFE2L3,9603
HNRNPA2B1,3181
LPL,4023
NCOA2,10499
ADAMTSL1,92949
ABCC1,4363
ABCC5,10057
ABCB1,5243
ABCB4,5244
RAC2,5880
CYBA,1535
GSTP1,2950
CAT,847
POR,5447
HAS3,3038
HFE,3077
NOS3,4846
LGALS3,3958
NEDD4L,23327
GPSM2,29899
CLCC1,23155
LNPK,80856
TTC38,55020
CYREN,78996
CDPF1,150383
NSUN7,79730
DUBR,344595
RSU1,6251
IGF2R,3482
PPIP5K2,23262
PRDX6,9588
GGACT,87769
SIRT4,23409
ANKRD45,339416
TNFSF4,7292
DARS2,55157
C4A,720
PAM,5066
HLA-C,3107
CCHCR1,54535
CYP21A1P,1590
LRRTM4,80059
TUSC3,7991
PLAAT1,57110
SUCLA2,8803
CELSR1,9620
APBB2,323
GIN1,54826
RARG,5916
TNS2,23371
ZNF740,283337
SLC28A3,64078
RMI1,80010
EEF1B2,1933
FRS2,10818
HDDC2,51020
CBR1,873
ERBB2,2064
GPX3,2878
GSTM1,2944
PLCE1,51196
SPG7,6687
PRDM2,7799
MLH1,4292
SLC22A17,51310
SLC28A1,9154
ABCC9,10060
ABCC10,89845
CELF4,56853
MYH7,4625
CYP2J2,1573
RIN3,79890
