"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0060218","hematopoietic stem cell differentiation","1/1","30/12185",0.00246204349610168,0.0123102174805084,NA,"1106",1,"Biological Process"
"GO:0034728","nucleosome organization","1/1","83/12185",0.0068116536725481,0.0144987005881547,NA,"1106",1,"Biological Process"
"GO:0002244","hematopoietic progenitor cell differentiation","1/1","106/12185",0.00869922035289283,0.0144987005881547,NA,"1106",1,"Biological Process"
"GO:0048863","stem cell differentiation","1/1","195/12185",0.0160032827246613,0.0200041034058267,NA,"1106",1,"Biological Process"
"GO:0007517","muscle organ development","1/1","278/12185",0.0228149363972097,0.0228149363972097,NA,"1106",1,"Biological Process"
"GO:0140658","ATP-dependent chromatin remodeler activity","1/1","35/12494",0.00280134464542992,0.0224107571634393,NA,"1106",1,"Molecular Function"
"GO:0008094","ATP-dependent activity, acting on DNA","1/1","116/12494",0.0092844565391389,0.0294541379862338,NA,"1106",1,"Molecular Function"
"GO:0004386","helicase activity","1/1","140/12494",0.0112053785817192,0.0294541379862338,NA,"1106",1,"Molecular Function"
"GO:0140097","catalytic activity, acting on DNA","1/1","226/12494",0.0180886825676325,0.0294541379862338,NA,"1106",1,"Molecular Function"
"GO:0042393","histone binding","1/1","230/12494",0.0184088362413961,0.0294541379862338,NA,"1106",1,"Molecular Function"
"GO:0016887","ATP hydrolysis activity","1/1","346/12494",0.0276932927805348,0.0369243903740464,NA,"1106",1,"Molecular Function"
"GO:0140657","ATP-dependent activity","1/1","470/12494",0.0376180566672002,0.0387385945253722,NA,"1106",1,"Molecular Function"
"GO:0003682","chromatin binding","1/1","484/12494",0.0387385945253722,0.0387385945253722,NA,"1106",1,"Molecular Function"
