"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0060411","cardiac septum morphogenesis","12/476","68/12185",1.09163260648809e-05,0.0186039767719335,0.0169289906480525,"3491/5629/657/4091/161882/2627/4092/3280/6659/10370/2626/23414",12,"Biological Process"
"GO:0003007","heart morphogenesis","23/476","217/12185",1.33220642053912e-05,0.0186039767719335,0.0169289906480525,"3491/5629/657/144165/196528/23768/4091/4088/161882/2627/4092/140628/3280/10427/10252/25836/324/1906/6659/10370/2626/10395/23414",23,"Biological Process"
"GO:0060840","artery development","13/476","82/12185",1.58831110438309e-05,0.0186039767719335,0.0169289906480525,"5629/657/144165/196528/1948/4091/4092/3280/10427/1906/6659/10370/4824",13,"Biological Process"
"GO:0035270","endocrine system development","13/476","84/12185",2.07502137734159e-05,0.0186039767719335,0.0169289906480525,"657/4088/2627/2736/1385/7428/2932/3280/1906/6659/10370/1021/673",13,"Biological Process"
"GO:0030098","lymphocyte differentiation","25/476","259/12185",2.8477506001984e-05,0.0186039767719335,0.0169289906480525,"359948/1316/8325/55626/10524/4297/196528/10193/3981/161882/5914/11143/4092/596/2736/9935/23598/2033/11334/27086/64332/6659/57492/1021/673",25,"Biological Process"
"GO:0003279","cardiac septum development","14/476","99/12185",2.87616234557076e-05,0.0186039767719335,0.0169289906480525,"3491/5629/657/4091/161882/7541/2627/4092/3280/9794/6659/10370/2626/23414",14,"Biological Process"
"GO:0045165","cell fate commitment","18/476","156/12185",3.74772877371946e-05,0.0206592264488373,0.0187991984528809,"57459/9181/5629/657/10253/23269/161882/5914/2627/596/2736/140628/3280/324/1906/9113/673/2626",18,"Biological Process"
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","22/476","219/12185",4.68758885453556e-05,0.0206592264488373,0.0187991984528809,"3491/51742/25805/657/283149/10253/7057/4091/4088/1387/10140/2627/4092/9839/2033/3280/65997/10252/10370/9113/2626/23144",22,"Biological Process"
"GO:0003281","ventricular septum development","11/476","67/12185",5.10574538980834e-05,0.0206592264488373,0.0187991984528809,"3491/5629/657/4091/161882/4092/3280/6659/10370/2626/23414",11,"Biological Process"
"GO:0048844","artery morphogenesis","10/476","56/12185",5.32317094790964e-05,0.0206592264488373,0.0187991984528809,"5629/657/196528/1948/4092/3280/10427/1906/6659/10370",10,"Biological Process"
"GO:0003151","outflow tract morphogenesis","11/476","69/12185",6.75375951816538e-05,0.0210345759606906,0.0191407538339595,"657/144165/4091/161882/2627/3280/10427/25836/1906/10370/23414",11,"Biological Process"
"GO:1903131","mononuclear cell differentiation","26/476","290/12185",6.9710456701194e-05,0.0210345759606906,0.0191407538339595,"359948/1316/8325/55626/10524/4297/196528/10193/3981/161882/5914/11143/4092/596/2736/9935/140685/23598/2033/11334/27086/64332/6659/57492/1021/673",26,"Biological Process"
"GO:0071559","response to transforming growth factor beta","22/476","225/12185",7.0458512622772e-05,0.0210345759606906,0.0191407538339595,"3725/51742/25805/657/4297/283149/10253/7057/4091/4088/1387/4092/9475/9839/2033/64332/65997/10252/1906/2534/10370/9113",22,"Biological Process"
"GO:0060419","heart growth","11/476","70/12185",7.73594769947393e-05,0.0214451521583274,0.0195143643095752,"5999/5629/657/196528/2627/27086/205428/1906/10370/2626/23414",11,"Biological Process"
"GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","15/476","125/12185",0.000105322921379059,0.0254293779169826,0.0231398752116185,"51742/25805/283149/10253/7057/4091/4088/1387/4092/9839/2033/65997/10252/10370/9113",15,"Biological Process"
"GO:1903844","regulation of cellular response to transforming growth factor beta stimulus","15/476","126/12185",0.00011536023331468,0.0254293779169826,0.0231398752116185,"51742/25805/283149/10253/7057/4091/4088/1387/4092/9839/2033/65997/10252/10370/9113",15,"Biological Process"
"GO:0035019","somatic stem cell population maintenance","9/476","50/12185",0.000117940943701543,0.0254293779169826,0.0231398752116185,"607/657/283149/3981/3280/25836/6659/673/22882",9,"Biological Process"
"GO:0035904","aorta development","9/476","50/12185",0.000117940943701543,0.0254293779169826,0.0231398752116185,"5629/657/144165/1948/4091/3280/10427/6659/4824",9,"Biological Process"
"GO:0014706","striated muscle tissue development","21/476","218/12185",0.000126682126617642,0.0258764912317404,0.0235467332300381,"5999/5629/657/144165/196528/1948/4088/161882/5914/10052/2627/4092/1385/140628/27086/205428/9794/1906/10370/2626/23414",21,"Biological Process"
"GO:0030217","T cell differentiation","19/476","188/12185",0.000140770939894131,0.0265823739683403,0.0241890626842734,"8325/55626/10524/4297/196528/3981/161882/5914/4092/596/2736/9935/23598/27086/64332/6659/57492/1021/673",19,"Biological Process"
