ID,significant,p.adjust,term_size,query_size,intersection_size,precision,recall,source,term_name,effective_domain_size,source_order,parents,Category
GO:0051716,TRUE,0.002201384,4951,9701,3621,0.373260489,0.731367401,GO:BP,cellular response to stimulus,13751,14364,"GO:0009987, GO:0050896",Biological Process
GO:0050896,TRUE,0.002201384,5753,9701,4190,0.431914236,0.728315661,GO:BP,response to stimulus,13751,13774,GO:0008150,Biological Process
GO:0023052,TRUE,0.003045471,4205,9701,3084,0.317905371,0.733412604,GO:BP,signaling,13751,6877,GO:0050789,Biological Process
GO:0008150,TRUE,0.003045471,12121,9701,8636,0.890217503,0.712482468,GO:BP,biological_process,13751,3158,,Biological Process
GO:0007154,TRUE,0.003775405,4270,9701,3126,0.322234821,0.732084309,GO:BP,cell communication,13751,2749,GO:0009987,Biological Process
GO:0050789,TRUE,0.003775405,8079,9701,5821,0.600041233,0.720509964,GO:BP,regulation of biological process,13751,13687,"GO:0008150, GO:0065007",Biological Process
GO:0009987,TRUE,0.003775405,11520,9701,8219,0.847232244,0.713454861,GO:BP,cellular process,13751,3849,GO:0008150,Biological Process
GO:0065007,TRUE,0.003775405,8322,9701,5994,0.617874446,0.720259553,GO:BP,biological regulation,13751,16384,GO:0008150,Biological Process
GO:0048738,TRUE,0.006345123,207,9701,174,0.017936295,0.84057971,GO:BP,cardiac muscle tissue development,13751,13420,"GO:0007507, GO:0014706",Biological Process
GO:0019725,TRUE,0.006525035,591,9701,464,0.047830121,0.785109983,GO:BP,cellular homeostasis,13751,6234,GO:0042592,Biological Process
GO:0014706,TRUE,0.006525035,219,9701,183,0.018864035,0.835616438,GO:BP,striated muscle tissue development,13751,4701,GO:0060537,Biological Process
GO:0032501,TRUE,0.034049984,4844,9701,3519,0.362746109,0.726465731,GO:BP,multicellular organismal process,13751,7883,GO:0008150,Biological Process
GO:0006942,TRUE,0.034049984,84,9701,75,0.007731162,0.892857143,GO:BP,regulation of striated muscle contraction,13751,2610,"GO:0006937, GO:0006941",Biological Process
GO:0055082,TRUE,0.034049984,505,9701,396,0.040820534,0.784158416,GO:BP,intracellular chemical homeostasis,13751,14700,"GO:0019725, GO:0048878",Biological Process
GO:0072359,TRUE,0.036912067,898,9701,685,0.070611277,0.762806236,GO:BP,circulatory system development,13751,17886,GO:0048731,Biological Process
GO:0003015,TRUE,0.036912067,211,9701,174,0.017936295,0.82464455,GO:BP,heart process,13751,1473,GO:0003013,Biological Process
GO:0050794,TRUE,0.039138531,7697,9701,5534,0.570456654,0.718981421,GO:BP,regulation of cellular process,13751,13691,"GO:0009987, GO:0050789",Biological Process
GO:0060047,TRUE,0.041567243,201,9701,166,0.017111638,0.825870647,GO:BP,heart contraction,13751,14775,"GO:0003015, GO:0008015",Biological Process
GO:0051128,TRUE,0.043489438,2001,9701,1482,0.152767756,0.740629685,GO:BP,regulation of cellular component organization,13751,13953,"GO:0016043, GO:0050794",Biological Process
GO:0071214,TRUE,0.043489438,264,9701,213,0.021956499,0.806818182,GO:BP,cellular response to abiotic stimulus,13751,16974,"GO:0009628, GO:0104004",Biological Process
GO:0070887,TRUE,0.043489438,1845,9701,1370,0.141222554,0.742547425,GO:BP,cellular response to chemical stimulus,13751,16854,"GO:0042221, GO:0051716",Biological Process
GO:0104004,TRUE,0.043489438,264,9701,213,0.021956499,0.806818182,GO:BP,cellular response to environmental stimulus,13751,19754,GO:0051716,Biological Process
GO:0051179,TRUE,0.043489438,4000,9701,2914,0.300381404,0.7285,GO:BP,localization,13751,14002,GO:0008150,Biological Process
