"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0015075","monoatomic ion transmembrane transporter activity","438/12173","438/12494",9.10008778390517e-06,0.00879712295940408,0.00879712295940408,"6339/8514/50651/1185/126755/1187/1188/23400/57185/25932/7780/6548/84879/9132/533/6536/7388/57685/55283/23507/84230/55144/148867/23155/3749/515/3752/6566/476/653519/51463/8416/6277/27173/3782/57657/477/54499/343450/779/493/85414/254428/115019/7779/55248/9725/3775/6262/509/783/90550/7417/3778/27069/2894/81894/1355/81855/30819/118980/54805/51063/6571/119559/79751/3784/3767/54503/203859/159963/3739/6506/91252/79073/7439/6520/1351/10312/219931/7351/24145/8065/6330/6327/10632/55800/3762/6540/775/3742/3741/3764/10060/3709/114134/196527/81539/54407/55089/784/41/4891/9498/6334/517/506/144453/27345/55117/490/5250/121601/84102/59341/488/53373/80024/5025/84876/23545/121260/432369/283537/7223/540/728215/55002/22821/27109/51382/55334/6547/5663/57156/56659/123606/81614/2562/6263/9990/11261/117155/7782/54822/302/9187/10021/9377/1138/1136/9154/8912/1186/5310/527/2903/79905/487/93129/6524/6530/55238/6553/9114/6560/114780/1327/9780/162514/7442/1497/5026/5023/489/1140/9196/51393/125206/55244/3768/113235/6532/40/3927/782/125111/535/10052/516/8913/9256/27092/3759/201266/94015/10476/11322/147138/284129/9123/63895/25800/498/1528/610/116444/513/29985/57192/80131/79041/57719/3780/57130/7386/6324/5348/1340/9424/478/2901/2906/3770/3743/54795/3748/59283/59285/245973/3754/2281/3777/8884/7781/55676/6546/9167/90423/6509/94097/57835/30818/26504/1329/6549/6574/140738/3760/90134/6326/6335/8604/1134/518/3685/30061/57181/6508/23704/50636/83959/9962/6616/57419/26133/57468/64849/81031/23315/3755/514/522/2897/539/6526/3753/6573/83733/529/9127/29796/6523/3761/3708/491/6529/6533/9497/6331/55129/54716/79714/7384/65010/10991/9254/776/55799/523/6565/84561/54946/29927/27032/7220/285195/7881/27094/23200/1181/79572/521/84286/10861/3954/56606/80333/10568/57620/10463/10396/152519/55858/8671/441027/5311/64116/133308/7222/256471/2743/1182/2823/291/6550/10723/51151/6507/23530/348980/64924/3781/6558/7416/1836/309/206358/2890/348938/2561/3779/8992/662/94081/57380/534/1192/7922/3710/55362/2030/53405/9481/56479/26503/3351/2570/2898/254228/2697/116843/80727/222962/358/168507/1364/83862/781/10165/9551/56996/80228/375611/3751/9296/26266/155066/3757/9311/6522/7991/526/23516/51312/2185/7419/6575/51606/79815/528/27012/3786/57210/1537/55630/6505/304/64078/116443/55151/1318/1317/9550/56262/23413/6834/57582/774/357/1183/84679/3750/5355/1184/27112/84061/1349/538/27035/292/2892/9016/93380/10479/2564/6535/8273",438,"MF"
"GO:0015318","inorganic molecular entity transmembrane transporter activity","415/12173","415/12494",1.69175441527002e-05,0.00879712295940408,0.00879712295940408,"6339/8514/50651/1185/126755/1187/1188/57185/25932/7780/6548/84879/9132/533/6536/7388/57685/55283/148867/29957/23155/3749/515/3752/6566/476/8416/27173/89872/3782/57657/477/54499/9213/343450/779/493/85414/254428/115019/7779/55248/9725/3775/6262/509/783/90550/3778/27069/81894/1355/30819/54805/6571/79751/3784/3767/54503/203859/159963/3739/6506/91252/7439/6520/1351/10312/219931/7351/282679/24145/8065/6330/6327/10632/2542/55800/3762/11095/6540/775/3742/3741/3764/10060/3709/114134/196527/81539/54407/55089/784/41/4891/9498/6334/84975/517/506/144453/27345/55117/490/5250/121601/84102/59341/488/53373/80024/5025/84876/23545/121260/432369/283537/7223/253512/540/10257/728215/55002/22821/27109/51382/55334/6547/5663/57156/56659/123606/81614/2562/6263/9990/11261/117155/7782/54822/302/9187/10021/9377/9154/8912/1186/5310/527/2903/4363/368/487/93129/6524/6530/55238/6553/9114/6560/114780/1327/162514/7442/1497/489/8402/9196/51393/125206/55244/3768/113235/6532/40/782/535/516/8913/8714/9256/27092/3759/201266/94015/10476/284129/1468/9123/25800/498/1528/610/116444/513/29985/79085/57192/439/79041/57719/3780/57130/7386/6324/5348/1340/9424/478/2901/2906/3770/3743/54795/3748/59283/59285/245973/3754/2281/3777/8884/7781/55676/6546/9167/90423/6509/57835/30818/26504/1329/6549/6574/140738/3760/90134/6326/6335/8604/518/3685/30061/57181/6508/23704/50636/83959/9962/6616/57419/26133/57468/64849/81031/23315/3755/514/522/2897/539/6526/3753/54020/83733/529/29796/6523/3761/3708/491/6529/6533/9497/6331/55129/54716/79714/7384/65010/10991/9254/776/55799/523/6565/84561/54946/29927/27032/7220/285195/7881/27094/10057/1181/521/84286/10861/3954/56606/80333/10568/57620/10463/152519/55858/8671/5311/64116/133308/7222/256471/2743/1182/2823/291/6550/10723/56172/51151/6507/23530/348980/64924/3781/6558/1836/309/206358/2890/348938/2561/3779/8992/662/57380/534/1192/7922/3710/89845/55362/2030/53405/9481/56479/26503/3351/2570/2898/116843/80727/358/168507/1364/781/10165/9551/56996/80228/375611/3751/9296/26266/155066/3757/9311/6522/7991/526/23516/51312/2185/6575/51606/79815/528/27012/3786/57210/1537/55630/6505/360/304/64078/116443/55151/1318/1317/9550/114789/23413/6834/57582/774/357/1183/84679/3750/1184/27112/84061/1349/538/292/23439/2892/9016/93380/10479/2564/6535/8273",415,"MF"
"GO:0008324","monoatomic cation transmembrane transporter activity","367/12173","367/12494",6.14705820138769e-05,0.0213098017648106,0.0213098017648106,"6339/8514/50651/126755/23400/57185/7780/6548/84879/9132/533/6536/7388/57685/55283/148867/3749/515/3752/6566/476/8416/27173/3782/57657/477/54499/343450/779/493/85414/254428/7779/9725/3775/6262/509/783/90550/3778/27069/81894/1355/30819/54805/51063/6571/79751/3784/3767/54503/159963/3739/6506/91252/79073/6520/1351/10312/219931/7351/24145/8065/6330/6327/10632/55800/3762/6540/775/3742/3741/3764/10060/3709/114134/196527/81539/54407/55089/784/41/4891/9498/6334/517/506/27345/55117/490/5250/84102/59341/488/53373/80024/5025/84876/23545/121260/432369/283537/7223/540/728215/55002/22821/27109/51382/55334/6547/5663/57156/56659/123606/81614/6263/9990/11261/117155/7782/54822/302/9187/10021/9377/1138/1136/9154/8912/5310/527/2903/487/93129/6524/6530/55238/6553/9114/6560/114780/1327/9780/162514/7442/1497/5026/5023/489/1140/9196/51393/125206/55244/3768/113235/6532/40/782/535/516/8913/9256/27092/3759/201266/10476/9123/63895/25800/498/1528/610/116444/513/29985/57192/79041/3780/57130/7386/6324/1340/9424/478/2901/2906/3770/3743/54795/3748/59283/59285/245973/3754/2281/3777/8884/7781/55676/6546/9167/90423/57835/30818/26504/1329/6549/6574/140738/3760/90134/6326/6335/8604/1134/518/3685/30061/57181/23704/83959/9962/6616/57419/26133/57468/64849/81031/23315/3755/514/522/2897/539/6526/3753/83733/529/9127/29796/6523/3761/3708/491/6529/6533/9497/6331/55129/54716/79714/7384/10991/9254/776/55799/523/6565/84561/54946/29927/27032/7220/285195/7881/27094/79572/521/84286/3954/56606/80333/10568/57620/10463/10396/152519/55858/8671/5311/64116/133308/7222/2823/291/6550/10723/51151/6507/23530/348980/64924/3781/6558/309/206358/348938/3779/8992/662/57380/534/7922/3710/55362/2030/9481/56479/26503/3351/2898/254228/116843/222962/358/168507/781/10165/9551/56996/80228/3751/9296/26266/155066/3757/9311/7991/526/23516/51312/6575/51606/79815/528/27012/3786/57210/1537/55630/6505/304/64078/116443/55151/1318/1317/9550/23413/6834/57582/774/357/84679/3750/27112/84061/1349/538/292/9016/93380/10479/6535/8273",367,"MF"
"GO:0022890","inorganic cation transmembrane transporter activity","353/12173","353/12494",8.94691989251787e-05,0.0232619917205465,0.0232619917205465,"6339/8514/50651/126755/57185/7780/6548/84879/9132/533/6536/7388/57685/55283/148867/3749/515/3752/6566/476/8416/27173/3782/57657/477/54499/343450/779/493/85414/254428/7779/9725/3775/6262/509/783/90550/3778/27069/81894/1355/30819/54805/6571/79751/3784/3767/54503/159963/3739/6506/91252/6520/1351/10312/219931/7351/24145/8065/6330/6327/10632/55800/3762/6540/775/3742/3741/3764/10060/3709/114134/81539/54407/55089/784/41/4891/9498/6334/517/506/27345/55117/490/5250/84102/59341/488/53373/80024/5025/84876/23545/121260/432369/283537/7223/540/728215/55002/22821/27109/51382/55334/6547/5663/57156/56659/123606/81614/6263/9990/11261/117155/7782/54822/302/9187/10021/9377/9154/8912/5310/527/2903/487/93129/6524/6530/55238/6553/9114/6560/114780/1327/162514/7442/1497/489/9196/51393/125206/55244/3768/113235/6532/40/782/535/516/8913/9256/27092/3759/201266/10476/9123/25800/498/1528/610/116444/513/29985/57192/79041/3780/57130/7386/6324/1340/9424/478/2901/2906/3770/3743/54795/3748/59283/59285/245973/3754/2281/3777/8884/7781/55676/6546/9167/90423/57835/30818/26504/1329/6549/6574/140738/3760/90134/6326/6335/8604/518/3685/30061/57181/23704/83959/9962/6616/57419/26133/57468/64849/81031/23315/3755/514/522/2897/539/6526/3753/83733/529/29796/6523/3761/3708/491/6529/6533/9497/6331/54716/79714/7384/10991/9254/776/55799/523/6565/84561/54946/29927/27032/7220/285195/7881/27094/521/84286/3954/56606/80333/10568/57620/10463/152519/55858/8671/5311/64116/133308/7222/2823/291/6550/10723/51151/6507/23530/348980/64924/3781/6558/309/206358/2890/348938/3779/8992/662/57380/534/7922/3710/55362/2030/9481/56479/26503/3351/2898/116843/358/168507/781/10165/9551/56996/80228/3751/9296/26266/155066/3757/9311/7991/526/23516/51312/2185/6575/51606/79815/528/27012/3786/57210/1537/55630/6505/304/64078/116443/55151/1318/1317/9550/23413/6834/57582/774/357/84679/3750/27112/84061/1349/538/292/23439/2892/9016/93380/10479/6535/8273",353,"MF"
"GO:1901702","salt transmembrane transporter activity","338/12173","338/12494",0.000133693968430582,0.0278083454335611,0.0278083454335611,"6339/8514/1185/126755/1187/1188/54896/25932/7780/6548/84879/9132/6536/57685/204962/55283/126969/148867/29957/23155/3749/3752/6566/476/8416/27173/89872/3782/57657/477/54499/25874/343450/779/493/254428/115019/7779/55248/3775/6262/783/90550/3778/27069/30819/6571/79751/3784/3767/203859/159963/3739/6506/91252/7439/6520/219931/7351/282679/24145/8065/6330/6327/55800/3762/6540/775/3742/3741/3764/10060/3709/196527/81539/54407/55089/784/41/9498/6334/84975/9194/144453/27345/55117/490/121601/59341/488/53373/80024/5025/84876/6541/7223/10166/540/10257/728215/55002/22821/145389/55334/6547/5663/56659/123096/2562/6263/9990/11261/117155/7782/54822/302/9187/10021/9154/8912/1186/5310/2903/487/93129/6524/6530/55238/6553/6560/9057/114780/162514/7442/489/8402/9196/51393/125206/3768/113235/6532/40/782/10237/8913/9256/27092/3759/201266/94015/60386/284129/1468/9123/25800/610/116444/29985/79085/57192/57153/79041/57719/3780/284439/6324/5348/9424/478/2901/2906/3770/3743/54795/3748/59283/59285/3754/2281/3777/8884/7781/55676/6546/6509/94097/57835/30818/26504/6549/6574/140738/3760/90134/6326/6335/8604/3685/57181/6508/23704/50636/83959/9962/6616/57419/26133/57468/64849/23315/3755/2897/6526/3753/6573/83733/6576/6523/23539/3761/10478/3708/491/6529/6533/9497/6331/55129/54716/79714/65010/10991/9254/776/55799/84561/54946/29927/27032/7220/285195/7881/27094/1181/84286/10861/3954/56606/80333/10568/57620/10463/55858/8671/5311/9429/64116/133308/7222/256471/23657/2743/1182/2823/291/6550/10723/56172/6507/348980/64924/3781/6558/6583/1836/309/2561/3779/662/1192/7922/3710/2030/53405/9481/56479/3351/2570/2898/117247/51660/80727/358/168507/1364/781/10165/56996/80228/375611/3751/26266/3757/9311/6522/6542/23516/6575/27012/3786/79581/55630/6505/360/304/64078/116443/23446/55151/114789/23413/57582/774/293/357/1183/84679/3750/1184/27112/538/292/9016/10479/2564/6535/8273",338,"MF"
"GO:0038023","signaling receptor activity","492/12173","494/12494",0.000212594543464993,0.0312970752091219,0.0312970752091219,"83756/387509/8718/3604/80045/57085/1969/2048/3352/163702/164091/2827/10076/576/653160/7075/5792/8643/7804/83941/4919/3953/5733/64123/23266/23566/7049/2152/1901/1952/6272/83873/2780/4853/11126/148738/2209/405/8416/3570/1945/1944/79957/375033/4921/6258/23432/51094/134/10446/1939/4179/5362/2104/9725/4811/1131/23596/343171/8029/57512/3688/8829/8325/100996758/6865/219699/2894/657/355/3363/22986/114815/150/153/2674/2263/5791/85363/55366/960/1408/1132/10062/2101/4041/51083/2348/5029/8322/5241/114908/8065/1813/5818/6653/79602/7132/27239/5777/4074/10219/29121/4040/9052/5139/10060/55716/91/3164/5916/269/2065/4035/5787/8549/10154/7181/1407/1240/59341/5025/949/283383/55504/2321/26512/1910/1880/51222/51310/1241/2287/64582/55334/2103/57156/9369/624/2562/11245/4058/7301/283659/6095/22801/54852/4756/64220/1464/1138/1136/1512/4916/11057/290/56963/7026/3480/55829/5310/2903/51704/3566/6693/267/9289/55697/4157/51763/8578/146760/7442/5026/5023/2811/22861/57555/1140/1949/136/6720/27077/2064/7067/9572/5914/6774/2826/8506/10266/2535/3690/4804/23531/9902/55890/8811/8877/23210/81035/5797/4864/8792/116444/10347/6915/3643/100507588/5032/9294/3383/2057/9466/22859/976/4854/9002/2063/9170/8425/558/2901/5329/5817/4059/5819/2696/6510/22900/2906/56848/7376/5794/57191/4052/51232/9378/10936/2202/84168/3554/10461/6574/2840/2863/7852/92/4929/90/22925/64135/1134/3676/3685/10203/8324/659/8828/2825/7855/10314/2066/2043/92737/57007/10267/2859/5786/8455/146/5621/6238/7056/10544/6385/11054/4987/2897/3455/3588/3454/3460/23765/65078/9127/706/5465/9620/23654/5021/132014/84818/3269/5468/7182/9975/7068/5915/7048/93/7433/1238/5745/5364/1951/51368/55540/54756/5793/2850/6092/6091/2042/131566/961/5361/131601/23129/6259/344838/9934/53836/5028/7095/22871/2049/3556/53834/2261/152/57537/202018/166647/5156/3815/3791/23284/2044/950/152559/118429/8633/10424/1909/4306/2982/2983/2743/4886/57491/4883/3977/9180/2690/3673/133396/3572/2151/2149/2150/84059/285704/4163/4888/9499/2676/2908/154/5159/972/2890/147/2561/1812/3274/2264/8878/2550/8449/780/177/4855/6257/5467/2740/222643/5754/55362/221395/221391/85315/79627/3351/6785/2570/2045/81491/2898/11231/285761/5796/53832/3459/57211/3482/115330/2852/196/4852/10392/1956/27297/8326/1365/1364/948/8321/79037/2050/2845/54329/4233/5803/2861/2918/6608/91584/1129/2051/64327/7434/5157/8795/8794/8793/8797/4824/2185/7976/2137/137970/25960/2260/6575/23471/8323/93035/4982/79139/11236/2843/79581/7436/5789/7010/23586/1271/10280/3590/4882/8434/4915/1903/10507/4920/5727/7046/8013/116443/19/7099/2649/2022/6256/4851/3563/57502/4935/10149/10159/54328/367/54413/154796/3597/2892/2564/5365/3897/55558/22829",492,"MF"
"GO:0060089","molecular transducer activity","492/12173","494/12494",0.000212594543464993,0.0312970752091219,0.0312970752091219,"83756/387509/8718/3604/80045/57085/1969/2048/3352/163702/164091/2827/10076/576/653160/7075/5792/8643/7804/83941/4919/3953/5733/64123/23266/23566/7049/2152/1901/1952/6272/83873/2780/4853/11126/148738/2209/405/8416/3570/1945/1944/79957/375033/4921/6258/23432/51094/134/10446/1939/4179/5362/2104/9725/4811/1131/23596/343171/8029/57512/3688/8829/8325/100996758/6865/219699/2894/657/355/3363/22986/114815/150/153/2674/2263/5791/85363/55366/960/1408/1132/10062/2101/4041/51083/2348/5029/8322/5241/114908/8065/1813/5818/6653/79602/7132/27239/5777/4074/10219/29121/4040/9052/5139/10060/55716/91/3164/5916/269/2065/4035/5787/8549/10154/7181/1407/1240/59341/5025/949/283383/55504/2321/26512/1910/1880/51222/51310/1241/2287/64582/55334/2103/57156/9369/624/2562/11245/4058/7301/283659/6095/22801/54852/4756/64220/1464/1138/1136/1512/4916/11057/290/56963/7026/3480/55829/5310/2903/51704/3566/6693/267/9289/55697/4157/51763/8578/146760/7442/5026/5023/2811/22861/57555/1140/1949/136/6720/27077/2064/7067/9572/5914/6774/2826/8506/10266/2535/3690/4804/23531/9902/55890/8811/8877/23210/81035/5797/4864/8792/116444/10347/6915/3643/100507588/5032/9294/3383/2057/9466/22859/976/4854/9002/2063/9170/8425/558/2901/5329/5817/4059/5819/2696/6510/22900/2906/56848/7376/5794/57191/4052/51232/9378/10936/2202/84168/3554/10461/6574/2840/2863/7852/92/4929/90/22925/64135/1134/3676/3685/10203/8324/659/8828/2825/7855/10314/2066/2043/92737/57007/10267/2859/5786/8455/146/5621/6238/7056/10544/6385/11054/4987/2897/3455/3588/3454/3460/23765/65078/9127/706/5465/9620/23654/5021/132014/84818/3269/5468/7182/9975/7068/5915/7048/93/7433/1238/5745/5364/1951/51368/55540/54756/5793/2850/6092/6091/2042/131566/961/5361/131601/23129/6259/344838/9934/53836/5028/7095/22871/2049/3556/53834/2261/152/57537/202018/166647/5156/3815/3791/23284/2044/950/152559/118429/8633/10424/1909/4306/2982/2983/2743/4886/57491/4883/3977/9180/2690/3673/133396/3572/2151/2149/2150/84059/285704/4163/4888/9499/2676/2908/154/5159/972/2890/147/2561/1812/3274/2264/8878/2550/8449/780/177/4855/6257/5467/2740/222643/5754/55362/221395/221391/85315/79627/3351/6785/2570/2045/81491/2898/11231/285761/5796/53832/3459/57211/3482/115330/2852/196/4852/10392/1956/27297/8326/1365/1364/948/8321/79037/2050/2845/54329/4233/5803/2861/2918/6608/91584/1129/2051/64327/7434/5157/8795/8794/8793/8797/4824/2185/7976/2137/137970/25960/2260/6575/23471/8323/93035/4982/79139/11236/2843/79581/7436/5789/7010/23586/1271/10280/3590/4882/8434/4915/1903/10507/4920/5727/7046/8013/116443/19/7099/2649/2022/6256/4851/3563/57502/4935/10149/10159/54328/367/54413/154796/3597/2892/2564/5365/3897/55558/22829",492,"MF"
"GO:0022804","active transmembrane transporter activity","316/12173","316/12494",0.000240746732377861,0.0312970752091219,0.0312970752091219,"728661/9906/50651/1185/23400/7780/6548/4725/84879/533/6536/7388/23169/204962/5825/23443/29957/284613/388662/9122/6566/476/477/4720/493/85414/254428/115019/7779/23456/9804/220963/8034/55315/90550/27069/387700/1355/4714/6571/79751/5002/3767/159963/6506/55343/4722/220002/6520/1351/4723/4728/10312/7351/4718/120103/2542/64137/6540/4704/3764/10060/114134/81539/54407/55089/4891/9498/506/9194/55508/55117/490/55967/5250/488/80024/23457/23545/121260/283537/10166/253512/540/10257/55002/23428/89874/51382/6547/5826/4707/9990/11261/7782/9187/9377/9154/28232/1186/4716/21/527/4363/368/487/6524/6530/55238/6553/9114/6560/9057/1327/8140/1497/489/8402/201232/6517/125206/55244/113235/6532/535/10237/8714/9120/10351/23461/9121/60386/284129/1468/9123/4729/10928/85019/25800/1528/10347/374291/126321/79085/4701/57153/4713/79939/57130/7386/1340/478/6510/28968/4696/245973/8884/7781/6546/9167/90423/6509/57835/1329/6549/6574/79901/8604/57181/4709/4719/26154/10058/6508/151473/4705/83959/9962/57419/57468/51006/64849/81031/23315/6526/9619/54020/4731/6573/83733/529/6576/29796/339665/6523/23539/10478/4700/491/6529/6533/9497/54716/7384/65010/10991/11068/115286/55032/523/4710/6565/84561/54946/27032/6578/285195/4711/10057/79572/10861/3954/56606/10568/10463/10396/8671/9429/64116/133308/23657/4717/84068/1182/291/6550/10723/4726/56172/51151/6507/4724/64924/6558/6583/6584/4695/1836/206358/8992/51000/534/6891/6890/89845/2030/347734/26503/10559/117247/91749/116843/154091/340146/6581/222962/4697/5244/5243/10165/56996/375611/4698/9296/26266/4708/155066/11194/6522/526/23516/6575/51606/81796/528/4715/57210/1537/55630/6505/4712/64078/11046/19/23446/9550/4702/114789/6834/20/293/1183/84679/7355/1184/6567/22/1349/538/292/4694/9016/10479/6535/215/8273",316,"MF"
"GO:0098794","postsynapse","496/12378","497/12707",2.46612619309211e-05,0.00886643366490108,0.00832009008695113,"339451/1855/5590/22883/26232/832/55450/400745/998/2048/23673/23154/6536/2060/9829/5142/57554/1266/388662/3749/3752/476/6232/23623/23208/477/26052/134/23380/7779/149111/375/5867/54583/88/1131/8516/57512/10006/3688/8829/288/347731/1305/1979/3778/9231/2894/84896/5728/22849/5662/9118/9148/22986/120/150/8661/642938/664/161/6207/55327/3739/1132/4038/25921/1500/6809/747/10313/5331/254263/6712/78999/156/5499/8500/2017/6188/1740/8301/8898/1410/1813/23705/53826/6230/51399/3312/9743/22997/775/11331/9746/2059/54477/8082/1272/23109/6334/160622/5094/3678/9194/23426/8825/8411/5501/6128/6175/9921/5025/9026/10810/9201/5100/27253/115207/10160/1948/8874/25983/382/6252/9495/6710/10243/6547/26037/5663/53981/10858/207/23191/2562/321/56924/3706/399694/9101/4734/102/145773/8766/27020/388135/1138/1136/58489/64506/9455/6457/10509/9727/7249/5170/9093/2903/729993/29904/112476/6810/55737/81831/869/6553/999/29/7442/5026/5023/409/50488/1742/57555/1140/9513/1949/22899/9912/140775/124925/28964/6532/8851/40/163/80725/9572/9001/4355/4137/4905/3690/10642/4804/3675/201191/84687/140735/6198/26115/8787/27092/3759/6169/9775/10458/9229/1000/56853/81832/5064/116444/10297/81926/8943/9546/5802/1994/5300/9294/1785/5566/10755/3337/4218/5864/9454/115703/79414/57622/6223/2901/2931/29888/1175/11133/2906/64130/57479/126129/160/3748/94030/50944/59283/1838/6801/6546/9419/6711/57142/53335/5534/5093/119/10505/80059/347730/54910/3631/8440/22930/3800/8502/85461/29081/1134/25843/57679/659/10152/8828/2066/2043/8452/64284/9762/5621/23236/6616/23767/79953/9371/6640/22839/6714/23613/10564/5688/351/2897/7074/23181/54487/1399/9127/613/157/4744/9463/3761/23542/85358/3708/7428/491/6529/9922/6533/80852/5868/9045/1499/10675/387/1605/8927/7474/26060/378/57406/25978/25945/2596/152404/2932/3836/8997/66000/64084/5217/5028/23043/22871/8087/1173/1981/200933/5062/1739/10815/1609/118/3064/27065/57537/386617/55752/3184/6622/10611/1977/5530/287/2743/2823/11076/1501/7204/1008/29102/348980/401190/55914/4131/2149/9456/4208/9867/3781/8572/6695/5813/56123/57528/815/6208/11346/2890/2561/57451/80315/1812/1212/10636/80758/1627/84062/10486/2550/177/6222/8831/2030/57231/2570/2898/8936/2534/57120/3908/7402/23345/5071/5575/2852/60/5879/1607/28988/58498/107/8326/3092/9863/27445/10142/55607/5577/4897/83992/3751/64101/4289/1129/9162/1020/83590/6009/51201/23362/11178/2039/4741/4747/2185/286/4067/6129/2171/793/6156/25897/3646/50807/114/5747/23513/6132/6505/3717/8777/203228/10280/1211/320/51104/4915/1612/4920/116443/6136/6812/23413/25/7248/26012/57502/94056/6792/22866/11141/1756/10159/6853/3750/56850/23229/55906/4983/1741/54413/158866/57692/538/1821/3188/2892/2332/2564/4204/2316/22829",496,"CC"
"GO:0030425","dendrite","470/12378","471/12707",4.75886547230805e-05,0.00886643366490108,0.00832009008695113,"339451/1855/23095/2475/26232/55450/57576/5909/998/2048/3352/10236/10772/84065/113451/23154/5538/1263/4898/7804/5563/5142/257194/79739/1266/22911/57463/3749/3752/4803/9939/9900/57657/23208/55243/57549/477/127933/26052/27252/339479/51022/23046/134/23380/4139/824/149111/5664/3775/88/1131/3192/8516/3799/3688/5599/288/657/5728/3363/22849/55361/118813/30819/5662/9148/6571/22876/10539/664/3632/85442/10612/627/3739/4076/9479/1132/4038/25921/1500/6809/747/2011/254263/256472/5499/8500/2017/4926/4135/5058/8322/120114/8898/1410/1813/23705/23621/51399/7070/5818/3312/9638/9743/775/4908/2784/9746/55605/54407/23109/10445/57609/9498/25946/3798/23426/117177/5501/5025/9026/26278/5100/10160/84945/25983/29966/51199/114088/30001/23034/6252/9495/4149/10243/6547/26037/5663/79882/79890/51218/10858/3320/4140/23191/321/2644/3706/4130/80208/9101/5873/4734/102/10021/1136/58489/64506/9455/23162/115/79641/2903/729993/29904/112476/9344/6810/267/80262/6553/1728/794/342371/54550/10381/29/7442/50488/10749/1742/57555/9513/22899/6416/9912/90410/23098/2319/124925/4763/8851/4642/40/80725/9572/22794/5914/9001/8678/4355/4137/4905/10642/4804/201191/84687/5414/26115/2186/3759/9775/57521/10458/91978/610/5064/81926/9546/3643/22983/5566/10755/3337/4218/55201/9454/8725/115703/79414/2931/348/57787/1762/29888/3770/114783/4909/126129/3748/50944/5518/6158/1838/56896/7349/6801/6546/9419/10505/274/3800/130574/85461/4036/6772/25843/66008/57679/659/10152/7855/4133/2043/92737/26058/64284/547/9762/5621/79953/26090/9371/6714/51098/57468/23613/57580/10564/6780/23394/351/7074/6647/1859/23181/10587/1312/65078/9127/2781/613/23762/27124/25828/468/5905/25814/23774/85358/491/3269/6533/80852/5868/22906/387/8927/2771/378/2042/214/55081/25945/2596/2932/3836/28976/66000/64084/54464/5028/170506/4311/22871/8087/1181/2049/4976/3064/6002/27065/7466/57537/80333/2044/22902/55752/306/8633/5530/8492/2743/2823/8470/108/1501/5562/348980/3572/10769/401190/4131/1393/9456/3781/8572/5813/80762/815/11346/2890/900/57451/80315/1812/3274/10636/80758/1627/23138/10399/84062/2550/720/721/8831/3326/23607/60481/9532/3351/7162/57231/2045/2898/2534/57120/3908/23345/2852/392617/5879/28988/58498/10652/23242/27342/9863/10371/10142/8910/55607/81628/5649/5577/83992/3751/64101/6608/1129/9162/2051/26047/1020/11178/2185/1191/7976/27257/27067/793/4856/50807/114/27161/5747/66004/5339/81858/6505/8777/6194/203228/320/51104/4915/4920/5727/54942/1620/153090/23413/8939/25/26012/57502/94056/6792/11141/10159/6853/2002/5935/10013/3750/56850/4983/57692/538/1821/2892/2258/2332/84548/2564/3897/2316",470,"CC"
