"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0034470","ncRNA processing","386/10341","412/12185",1.62639134089856e-08,7.13561538368817e-05,7.13561538368817e-05,"126789/54973/79707/5394/51154/6135/51441/9698/339487/192670/26523/192669/79753/79693/51118/54802/10269/10969/79033/6202/114034/387338/23318/127253/80135/54680/6125/54482/113802/6301/10885/284615/11022/65123/6232/103/92342/6041/116461/81627/51018/4931/163859/7257/6894/23029/55127/64216/23560/54522/10557/1787/221078/9790/9188/6229/10556/23223/51013/10360/22984/283120/23378/196074/55226/10978/64852/80789/54663/51504/9092/92105/143689/91801/91893/120379/6230/83480/84881/4839/10436/51202/51729/55726/144233/6895/5036/84872/4234/11103/27340/11137/79039/51367/55596/57647/80324/317781/79050/26512/9724/22894/85495/55644/56339/25983/161424/9692/51637/652/57570/51077/8846/84520/23405/115708/207/55505/283742/27079/9836/56986/123263/81556/4088/54913/55272/6218/113000/115939/10607/29066/26156/5073/55623/112479/64282/79650/54920/84916/28987/118460/23536/3735/10200/348180/50628/55178/55720/79066/27043/23587/7157/6154/60528/55813/9326/79922/11056/6774/6155/57508/339175/117246/1655/25926/283989/57602/9775/51547/64118/8780/55250/4087/55520/79863/57418/6209/113179/56931/6234/56342/65095/81890/55621/84705/54555/10775/6217/2091/56915/2068/29997/55011/90353/79042/6201/79954/1653/23369/55006/23160/25940/80745/63892/87178/150962/10438/10199/79074/8886/84365/7247/92856/6741/29081/79828/8575/84128/129450/51602/55759/65080/130916/10528/51605/51575/22803/51654/3692/112858/55661/27304/6227/102724159/9875/10785/23076/8568/5822/85395/54059/54487/27037/23481/51493/10521/23264/4809/27341/91695/55687/51095/25917/131965/285381/8850/131405/9045/23016/11180/55152/9136/11102/55164/63899/54931/131870/22916/6165/8602/55646/152992/51091/29063/57050/2926/93587/57117/54433/51574/4086/11157/92345/2483/54888/29102/55299/9631/23517/27292/84135/10412/340120/55781/134430/285605/153443/54853/6208/54974/345630/55651/8737/10799/10667/83732/54901/29777/79897/9277/4736/705/285855/88745/25821/389421/84154/60487/134637/51106/404672/26173/29960/54606/51119/55253/441250/260294/55695/114049/155400/10248/51593/54517/11062/55798/90459/57604/55174/55140/55756/84549/5591/23212/6129/55656/10940/25879/84294/55039/27161/54512/23246/10171/6194/65083/138716/6023/158234/51010/79670/55035/23424/4686/51531/8518/11224/26995/81605/51490/23404/6130/57109/1654/24140/3028/90121/81887/5303/79979/7737/10813/203522/4204/8270",386,"BP"
"GO:0022613","ribonucleoprotein complex biogenesis","432/10341","464/12185",2.62531838987792e-08,7.13561538368817e-05,7.13561538368817e-05,"26155/55052/79707/5394/51154/6135/10772/57035/51042/51441/8668/192670/26523/192669/79753/29889/54955/10946/51118/10969/79033/6202/387338/26135/80135/54680/6125/30836/58155/79084/10885/10262/9129/6232/103/22889/81875/92342/2752/6041/1660/79577/1939/51018/4931/163859/9816/128061/23029/55127/64216/23560/10659/8559/10557/9790/9188/6229/10556/23223/51013/10360/22984/8661/10078/23378/8665/6207/196074/10480/55226/10658/10978/27339/79869/54663/51504/9092/10992/1207/472/91893/120379/84811/6230/84881/4839/10436/51202/51729/11171/9169/9416/6895/5036/10728/11052/11103/27340/11137/9733/6128/79039/6175/8683/51367/8562/57647/6433/317781/79050/2971/26747/9724/22894/8451/64745/10419/25983/161424/55015/6430/51077/23405/3320/51550/1983/55505/27079/8669/79029/51187/54913/55272/79631/6218/83640/51335/55692/113000/115939/10607/84231/26156/54700/6210/112479/728689/8663/10421/55027/64282/11051/8996/55794/54496/84916/51388/28987/118460/10200/50628/55178/10594/55720/79066/10514/27043/4927/6154/6147/26284/55813/54475/9326/79922/26574/11056/6155/51747/8161/117246/25926/6169/51081/57602/9775/51547/8780/56853/10907/79863/57418/6209/8175/60680/55702/56949/6234/56342/8666/65095/84769/25804/54555/388524/10775/27335/6217/2091/56915/79760/2068/6633/29997/83743/55011/23521/6205/26121/6203/6193/6201/79954/1653/51639/55006/23160/79833/7514/10438/56902/6637/10199/6936/10713/23020/9669/8886/84365/5433/92856/29081/8575/84128/23451/51602/55759/22868/7520/65080/130916/6628/10528/51575/6629/51340/22803/100101490/8894/3692/25980/6431/55661/26164/6227/24148/102724159/10600/9875/23076/8568/5822/85395/54059/6634/10291/23481/8664/51386/10521/91582/84844/4809/27341/91695/8850/3921/9045/23016/22907/7375/10181/9136/55164/63899/84864/6152/8607/57461/131870/545/83939/51068/55341/6165/8602/55646/29063/84273/91746/57050/55153/54433/6059/11157/6189/92345/55319/2483/90441/29102/55299/54505/23517/27292/6880/6607/6606/84135/10412/6228/55781/134430/153443/9879/54853/6208/25929/10569/345630/4869/51121/51491/55651/10799/83732/55003/51406/29777/9277/6631/4736/6732/705/285855/88745/3326/135295/23195/84154/6206/84946/83443/51106/404672/29960/8662/115416/54606/51119/260294/55695/114049/155400/85865/10248/6733/51631/64434/90459/84549/5591/96764/23212/6129/401466/25879/3646/8667/84294/27161/22827/54512/23246/10171/11168/6194/65083/6023/51010/26149/55035/22927/4686/11224/23404/23064/64794/7248/6838/6130/57109/51116/54960/8233/1964/1968/1654/90121/54552/81887/5303/6191/79979/8450/28985/10813/51634/27336/26576/6134",432,"BP"
"GO:0042254","ribosome biogenesis","302/10341","320/12185",6.75724432342321e-08,0.000122441267140429,0.000122441267140429,"26155/55052/79707/5394/51154/6135/51042/51441/29889/54955/51118/10969/79033/6202/387338/26135/80135/54680/6125/30836/10885/6232/81875/92342/2752/6041/51018/4931/163859/9816/128061/23029/55127/64216/23560/10557/9790/9188/6229/10556/23223/51013/10360/22984/23378/6207/196074/55226/54663/51504/9092/91893/120379/6230/84881/4839/10436/51202/51729/5036/11103/27340/11137/6128/79039/6175/51367/57647/317781/79050/2971/9724/22894/8451/64745/25983/161424/51077/51550/1983/55505/27079/79029/51187/54913/55272/79631/6218/51335/113000/115939/10607/84231/26156/54700/6210/112479/55027/64282/55794/84916/51388/28987/118460/10200/50628/55178/55720/79066/10514/27043/4927/6154/6147/26284/55813/54475/9326/79922/26574/11056/6155/117246/25926/6169/51081/57602/9775/51547/8780/79863/57418/6209/6234/56342/65095/84769/54555/388524/10775/6217/2091/56915/2068/29997/83743/55011/6205/6203/6193/6201/79954/55006/23160/7514/10438/56902/10199/9669/8886/84365/92856/29081/84128/51602/55759/22868/7520/65080/130916/10528/51575/22803/3692/55661/26164/6227/102724159/10600/9875/23076/8568/5822/85395/54059/23481/10521/91582/4809/27341/91695/8850/3921/9045/23016/22907/9136/55164/63899/84864/6152/131870/83939/51068/55341/6165/8602/55646/29063/84273/57050/55153/54433/6059/11157/6189/92345/55319/2483/90441/29102/55299/54505/23517/27292/84135/10412/6228/55781/134430/153443/54853/6208/345630/4869/51121/51491/55651/10799/83732/55003/51406/29777/9277/4736/705/285855/88745/23195/84154/6206/84946/51106/404672/29960/115416/54606/51119/260294/55695/114049/155400/85865/10248/64434/90459/84549/5591/23212/6129/401466/25879/84294/54512/23246/10171/6194/65083/6023/51010/26149/55035/22927/11224/23404/64794/7248/6838/6130/57109/51116/1964/1654/90121/54552/81887/5303/6191/79979/8450/10813/6134",302,"BP"
"GO:0006364","rRNA processing","212/10341","224/12185",3.41359872734967e-06,0.00463908067046821,0.00463908067046821,"79707/5394/51154/6135/51441/51118/10969/79033/6202/387338/80135/54680/6125/10885/6232/92342/6041/51018/4931/163859/23029/55127/64216/23560/10557/9790/9188/6229/10556/23223/51013/10360/22984/23378/196074/55226/54663/51504/9092/91893/120379/6230/84881/4839/10436/51202/51729/5036/11103/27340/11137/79039/51367/57647/317781/79050/9724/22894/25983/161424/51077/55505/27079/54913/55272/6218/113000/115939/10607/26156/112479/64282/84916/28987/118460/10200/50628/55178/55720/79066/27043/6154/55813/9326/79922/11056/6155/117246/25926/57602/9775/51547/8780/79863/57418/6209/6234/56342/65095/54555/10775/6217/2091/56915/2068/29997/55011/6201/79954/55006/23160/10438/10199/8886/84365/92856/29081/84128/51602/55759/65080/130916/10528/51575/22803/3692/55661/6227/102724159/9875/23076/8568/5822/85395/54059/23481/10521/4809/27341/91695/8850/9045/23016/9136/55164/63899/131870/6165/8602/55646/29063/57050/54433/11157/92345/2483/29102/55299/23517/27292/84135/10412/55781/134430/153443/54853/6208/345630/55651/10799/83732/29777/9277/4736/705/285855/88745/84154/51106/404672/29960/54606/51119/260294/55695/114049/155400/10248/90459/84549/5591/23212/6129/25879/84294/54512/23246/10171/6194/65083/6023/51010/55035/11224/23404/6130/57109/90121/81887/5303/79979/10813",212,"BP"
"GO:0140053","mitochondrial gene expression","155/10341","162/12185",9.93061738838593e-06,0.0107965672246532,0.0107965672246532,"54998/55052/64960/54802/51253/10352/54460/80222/65005/79590/55157/63931/55699/128308/64216/7019/6832/51021/118487/84545/56652/92170/6150/63875/54948/65003/219927/51642/84881/51258/60488/51067/6472/10102/28977/80298/283459/80324/78988/219402/10240/9617/122704/9692/57570/8846/26589/64963/51335/10573/65993/124454/7284/57215/60528/79736/84311/28958/124995/51264/51649/51204/3396/51081/64978/6182/64863/5442/116541/51073/90480/64981/84769/54938/6183/9553/55006/10128/4528/87178/9801/55037/51318/64969/51263/64965/79675/79828/22868/65080/130916/64949/60493/51654/26164/54148/64968/64976/400916/51095/285367/64432/23395/63899/54931/11222/56945/85476/57129/65008/51023/5188/64979/79072/5562/10884/23107/84340/3035/133522/29093/28973/84300/55173/51069/55168/64928/57505/25821/57038/55278/51250/2309/55005/54516/51106/29074/115416/2617/64983/64951/9238/51373/81554/7978/51650/10922/29088/28957/28998/54534/26995/51116/64975/3028",155,"BP"
"GO:0016072","rRNA metabolic process","243/10341","260/12185",1.40222455599753e-05,0.0127041544773376,0.0127041544773376,"79707/5394/2475/51154/6135/51441/51118/10969/79033/6202/387338/80135/54680/6125/10885/6232/9191/92342/6041/51018/4931/163859/23029/55127/64216/23560/10557/9790/2074/9188/55506/6229/10556/23223/51013/10360/22984/23378/196074/55226/54663/51504/9092/91893/120379/6230/84881/4839/10436/51202/51729/5036/4141/11103/27340/11137/79039/51367/57647/317781/79050/2971/9724/22894/25983/161424/51077/2972/55505/27079/115752/54913/55272/6218/113000/115939/10607/26156/112479/2975/64282/84916/28987/118460/10200/50628/55178/55720/79066/27043/7157/6154/55813/55106/146857/9326/79922/11056/284119/6155/117246/25926/57602/9775/51547/8780/79863/57418/6209/6234/56342/65095/6597/79002/54555/10775/6217/2091/56915/162989/2068/10849/29997/55011/6201/9014/79954/2976/55006/23160/10438/10199/84172/8886/84365/92856/29081/84128/9330/51602/55759/65080/4691/130916/10528/51575/22803/3692/55661/6227/102724159/9875/23076/8568/5822/85395/54059/6598/23481/10521/4809/27341/91695/8850/9045/23016/9136/55164/63899/131870/54464/6165/8602/55646/29063/57050/54433/11157/92345/2483/29102/55299/23517/27292/84135/10412/55781/134430/153443/9555/54853/6208/345630/55651/10799/83732/29777/9277/4736/705/285855/88745/112495/84154/51106/404672/29960/54606/51119/260294/55695/114049/155400/10248/90459/84549/5591/23212/6129/25879/84294/54512/23246/10171/6194/65083/6023/84186/51010/10927/55035/64768/11224/23404/9329/9328/6130/57109/90121/81887/5303/79979/10813",243,"BP"
"GO:0006413","translational initiation","107/10341","110/12185",1.95829002790176e-05,0.0152075208452485,0.0152075208452485,"2475/8672/51441/10657/8668/8891/7812/127933/7175/84919/1939/8872/1979/8661/8665/1982/10480/5436/84285/5936/5499/6199/6188/1975/8562/10959/1967/219402/5611/56339/1965/8892/8846/1983/440275/8669/123263/6218/64410/90850/728689/8663/56919/10209/6198/57409/55364/9811/2235/8666/27335/23521/6193/1653/8890/4528/9451/9669/8440/9689/9470/26058/100101490/8894/3692/54915/8664/51386/468/10289/317649/4690/83939/8893/1981/1974/22916/7884/1977/6059/6189/10605/54505/51247/23367/4869/8662/27102/28969/7458/3315/1978/253943/10987/100127983/3646/8667/27161/22927/4686/1964/1968/1654/6451/28985/2332/9086",107,"BP"
"GO:0032543","mitochondrial translation","124/10341","129/12185",3.77460315952544e-05,0.0256484284689754,0.0256484284689754,"54998/55052/64960/51253/10352/54460/80222/65005/79590/55157/63931/55699/128308/51021/118487/84545/92170/6150/63875/54948/65003/219927/51642/84881/51258/60488/51067/6472/10102/28977/283459/78988/219402/10240/9617/122704/8846/26589/64963/51335/10573/65993/124454/7284/84311/28958/124995/51264/51649/51204/3396/51081/64978/6182/116541/51073/90480/64981/84769/54938/6183/9553/10128/4528/9801/55037/51318/64969/51263/64965/79828/22868/65080/64949/51654/26164/54148/64968/64976/285367/64432/23395/63899/54931/11222/56945/85476/57129/65008/51023/5188/64979/79072/10884/23107/84340/3035/29093/28973/84300/55173/51069/55168/64928/57505/57038/55278/55005/54516/29074/115416/2617/64983/64951/51373/81554/51650/29088/28957/28998/54534/26995/51116/64975",124,"BP"
"GO:0003735","structural constituent of ribosome","150/10627","157/12494",2.37380876760798e-05,0.0154293459208829,0.0154293459208829,"55052/6146/6135/64960/6202/51253/6125/54460/65005/6232/79590/63931/128308/51021/6229/84545/6181/6150/63875/6157/6207/54948/2197/65003/219927/6188/6230/51258/60488/6231/6171/28977/6128/6175/78988/6144/10240/122704/6235/6166/51187/6124/6176/55272/6218/26589/64963/10573/65993/6187/6210/6137/6154/6147/9349/6143/6155/124995/51264/51649/6169/51081/6182/6139/6209/116541/25873/6234/51073/64981/6142/7311/388524/6183/6217/6141/23521/6205/6203/6158/6193/6201/9553/55133/6233/9801/51318/64969/51263/6160/64965/6168/6227/64968/6122/6161/64432/6138/3921/9045/6159/6152/11222/56945/57129/6165/6133/65008/51023/6164/6189/64979/6167/10884/6228/6208/29093/51121/28973/6222/6204/4736/285855/51069/55168/64928/6206/29074/64983/64951/51373/100216546/51650/29088/6224/6129/6156/28998/6132/6194/11224/6136/6130/51116/64975/6191/6173/6170/6134/6192",150,"MF"
"GO:0008135","translation factor activity, RNA binding","80/10627","81/12494",2.96718190786209e-05,0.0154293459208829,0.0154293459208829,"8672/8668/8891/1939/143244/8661/8665/1982/10480/1937/84285/1975/10102/10985/8562/91574/1967/219402/9617/1965/8892/1983/8669/79631/64506/2935/29904/728689/8663/7284/1984/10209/9343/3396/1938/8666/27335/8890/4528/9669/1933/9470/8894/3692/1917/8664/51386/9567/10289/317649/80325/60678/83939/85476/56648/8893/1981/1974/132864/1977/54505/2107/80315/23/54676/1915/10767/54516/8662/7458/10987/3646/8667/27161/1936/1964/1968/23708/28985/9086",80,"MF"
