,CX.5461_0.1_3,CX.5461_0.1_24,CX.5461_0.1_48,CX.5461_0.5_3,CX.5461_0.5_24,CX.5461_0.5_48,DOX_0.1_3,DOX_0.1_24,DOX_0.1_48,DOX_0.5_3,DOX_0.5_24,DOX_0.5_48
653635,0.004014353,0.017972075,0.184356917,0.027203638,0.016727469,0.058096722,0.082472667,0.220004826,0.281544144,0.115454181,0.158141738,0.437200114
729737,0.175440414,0.09122136,0.221254983,-0.180058736,-0.118896719,-0.031696053,-0.135640622,-0.140759206,-0.206488414,-0.195284631,-0.909626634,-1.355642026
102723897,0.078881609,0.07834693,0.278649497,-0.087651737,0.104141655,-0.11362867,0.092881805,0.254693634,0.331328004,0.006547797,0.289193895,0.332876275
100132287,0.17816706,0.163118966,0.157760721,-0.171994198,-0.145788999,-0.212855409,-0.132236669,-0.268435084,-0.233883178,-0.192421781,-0.515555224,-0.911757439
102465432,0.303563222,0.102070467,0.305324636,-0.065739526,0.497011054,-0.378779277,-0.090452642,0.101405932,0.419731176,0.177886764,0.437143933,0.19667264
100133331,0.152614389,0.047730162,0.173222616,-0.264683038,-0.092508073,-0.083891161,-0.09231344,-0.210451852,-0.124396501,-0.375429448,-0.550269206,-0.747581451
100288069,0.031853554,0.000696461,0.306197402,0.146984714,-0.532774973,0.367602385,-0.473978897,-0.22668267,0.066923881,-0.056035625,-0.726086856,-0.888980324
79854,0.274442653,0.144554279,0.383311621,0.249529698,-0.055778246,0.449979023,0.300504399,0.366809582,0.06069009,0.098066946,0.833815124,1.34241234
643837,0.074089463,-0.101563525,-0.069318077,0.010488705,-0.290555671,-0.181947436,-0.094503078,-0.664640878,-0.66046401,0.115288507,-0.58918126,-0.726339141
100130417,0.320758026,0.138897295,0.162293321,0.168070314,0.595566046,-0.16562616,0.007000822,-0.096256232,-0.039338456,0.28637056,2.299953346,0.915529355
148398,-0.199137308,-0.059649073,-0.016350274,-0.082574937,-0.287652814,-0.323681274,-0.402283522,0.328089005,0.264935193,-0.399715504,2.358896174,2.450136811
26155,-0.001955842,0.110794557,0.145421007,0.089109041,0.093292422,0.162895185,0.056639479,0.199985016,0.217381646,0.127854374,0.753800731,0.817799307
339451,0.164408642,0.109274588,0.146290001,-0.083066689,0.014636992,-0.017472153,-0.119074707,-0.431182803,-0.284773279,-0.28371883,-0.12524512,0.047604962
57801,-0.152173846,-0.126129318,-0.062996787,-0.042430106,-0.073668091,-0.20245891,0.168129383,-0.180418865,-0.582920243,0.229866173,0.429955754,-0.623169889
9636,-0.125001008,-0.036401472,-0.048574319,0.058529879,0.265650138,0.131713516,0.159056691,0.658450122,0.164883529,0.322804916,1.527813911,1.364137926
375790,0.045377801,0.131731124,0.238946314,0.11862599,0.117216525,0.359259338,0.186449191,0.540817079,0.427461744,0.147525544,0.660513785,0.406724401
54991,0.094593291,-0.130052811,-0.00060145,-0.015715779,-0.186741867,-0.140463296,-0.013057557,-0.771052207,-0.587386033,0.040069178,-1.275027183,-1.526136973
51150,0.089721326,0.07727763,0.171834668,0.085984426,0.158563632,0.141803992,0.165585488,0.198618634,0.211740454,0.202149168,0.463581008,0.522074185
126792,-0.052840604,0.048297083,0.127332883,-0.034949127,0.081998669,0.07446029,0.002953434,-0.189655091,-0.140122519,-0.203007474,-0.796596299,-0.281387897
388581,0.237079442,0.249293921,0.514543926,0.054978574,0.157672631,0.423633963,-0.266321908,0.824218889,0.612105581,0.057220032,0.894995595,1.339961669
118424,-0.061272464,0.034101712,0.170579856,0.027627088,0.075745177,0.077747472,0.042646387,0.33418958,0.168191849,-0.011341983,0.488159986,0.631018376
6339,0.094525209,0.339126812,0.379030985,-0.026199033,-0.069767171,0.19976305,0.108848331,0.739730394,0.51715285,0.306792898,2.050624022,1.733774298
116983,0.087429611,0.099554481,0.236271854,-0.002926174,-0.073545883,0.12321821,0.140693444,0.098644003,0.059868575,0.197448172,0.577882485,0.405992571
