Symbol,logFC
AABR07000147,-3.540107853
AABR07000385,4.177603345
AABR07000629,-5.727318262
AABR07000658,-5.229857064
AABR07001512,-1.401403545
AABR07002775,-2.147218369
AABR07004112,1.172287176
AABR07008568,2.493809486
AABR07018078,1.554243661
AABR07019086,1.008113105
AABR07025284,-2.173475588
AABR07027753,1.646742922
AABR07027811,2.459843274
AABR07028352,-1.645654405
AABR07028998,-3.172674151
AABR07031674,3.271306308
AABR07034729,-5.446694682
AABR07036007,-3.840707963
AABR07036087,1.358134255
AABR07043287,-5.824649898
AABR07044364,-3.847849384
AABR07049064,-1.30757791
AABR07049223,-1.234268759
AABR07049960,-6.878094522
AABR07051326,3.030127456
AABR07054554,-2.466218306
AABR07055801,-6.593330329
AABR07057438,-2.608493564
AABR07064099,-2.867425028
AABR07064503,2.532042187
AABR07064613,1.100845796
AABR07066944,-3.276603038
AABR07068799,-5.943505241
AABR07069282,-2.681300414
AABR07070310,-3.432854113
Abcb11,1.449252425
Abcb4,1.59070116
AC095390,-2.856968368
AC097183,-1.701514217
AC110315,-2.813338616
AC117058,-5.244999032
AC123346,-1.732441278
AC130741,-5.748364509
AC136010,-3.34356473
Adgrg5,1.919415634
Alk,-3.442090734
Alox5,1.510293501
Aloxe3,-4.395876227
Amph,-1.031617172
Ankle1,-3.737247536
Anln,-1.95070539
Ano3,2.246801768
Apol9a,1.239010343
Arhgap11a,-1.329365355
Arhgap19,-1.471057143
Asb12,-2.304983957
Asf1b,-3.775538504
Aspm,-3.553871613
Ass1,1.700141421
Atad5,-1.457078174
Atp13a5,-3.998418745
Atp8a2,-6.766824703
Aunip,-3.563288796
Aurka,-1.699422289
Aurkb,-1.99329434
Bard1,-2.787861079
Birc5,-3.494640167
Bok,-1.090855015
Brca1,-1.140603539
Brip1,-2.285290729
Bub1,-3.546932643
Bub1b,-5.113454405
Ca12,-1.499220126
Cadps2,-3.98861874
Caps2,-1.622156455
Catsperz,1.118975479
Cby3,-1.646941268
Ccdc141,-5.331203157
Ccdc150,-2.149237325
Ccdc18,-1.521683417
Ccna2,-4.054857939
Ccnb1,-4.220438204
Ccne1,-1.268438911
Ccne2,-1.651652876
Ccnf,-2.344575064
