Sample,Sample_bam,Counts,Ind,Sex,Drug,Conc.,Time,Sample_name,Sample_name_alt,Condition,Sample_ID,Drug_time
MCW_SP_JT_R1_R1,MCW_SP_JT_R1_R1.bam,33084169,4,Male,CX-5461,0.1,3,17-3_CX-5461_0.1_3,17.3_CX.5461_0.1_3,CX-5461_0.1,CX-5461_0.1_3_17-3,CX-5461_0.1_3
MCW_SP_JT_R10_R1,MCW_SP_JT_R10_R1.bam,25345827,4,Male,DOX,0.5,24,17-3_DOX_0.5_24,17.3_DOX_0.5_24,DOX_0.5,DOX_0.5_24_17-3,DOX_0.5_24
MCW_SP_JT_R100_R1,MCW_SP_JT_R100_R1.bam,28098918,3,Female,DOX,0.5,24,87-1_DOX_0.5_24,87.1_DOX_0.5_24,DOX_0.5,DOX_0.5_24_87-1,DOX_0.5_24
MCW_SP_JT_R101_R1,MCW_SP_JT_R101_R1.bam,28580787,3,Female,VEH,0.1,24,87-1_VEH_0.1_24,87.1_VEH_0.1_24,VEH_0.1,VEH_0.1_24_87-1,VEH_0.1_24
MCW_SP_JT_R102_R1,MCW_SP_JT_R102_R1.bam,28144482,3,Female,VEH,0.5,24,87-1_VEH_0.5_24,87.1_VEH_0.5_24,VEH_0.5,VEH_0.5_24_87-1,VEH_0.5_24
MCW_SP_JT_R103_R1,MCW_SP_JT_R103_R1.bam,28976075,3,Female,CX-5461,0.1,48,87-1_CX-5461_0.1_48,87.1_CX.5461_0.1_48,CX-5461_0.1,CX-5461_0.1_48_87-1,CX-5461_0.1_48
MCW_SP_JT_R104_R1,MCW_SP_JT_R104_R1.bam,26543883,3,Female,CX-5461,0.5,48,87-1_CX-5461_0.5_48,87.1_CX.5461_0.5_48,CX-5461_0.5,CX-5461_0.5_48_87-1,CX-5461_0.5_48
MCW_SP_JT_R105_R1,MCW_SP_JT_R105_R1.bam,32969323,3,Female,DOX,0.1,48,87-1_DOX_0.1_48,87.1_DOX_0.1_48,DOX_0.1,DOX_0.1_48_87-1,DOX_0.1_48
MCW_SP_JT_R106_R1,MCW_SP_JT_R106_R1.bam,26987891,3,Female,DOX,0.5,48,87-1_DOX_0.5_48,87.1_DOX_0.5_48,DOX_0.5,DOX_0.5_48_87-1,DOX_0.5_48
MCW_SP_JT_R107_R1,MCW_SP_JT_R107_R1.bam,27058790,3,Female,VEH,0.1,48,87-1_VEH_0.1_48,87.1_VEH_0.1_48,VEH_0.1,VEH_0.1_48_87-1,VEH_0.1_48
MCW_SP_JT_R108_R1,MCW_SP_JT_R108_R1.bam,26179388,3,Female,VEH,0.5,48,87-1_VEH_0.5_48,87.1_VEH_0.5_48,VEH_0.5,VEH_0.5_48_87-1,VEH_0.5_48
MCW_SP_JT_R11_R1,MCW_SP_JT_R11_R1.bam,23996454,4,Male,VEH,0.1,24,17-3_VEH_0.1_24,17.3_VEH_0.1_24,VEH_0.1,VEH_0.1_24_17-3,VEH_0.1_24
MCW_SP_JT_R12_R1,MCW_SP_JT_R12_R1.bam,22196312,4,Male,VEH,0.5,24,17-3_VEH_0.5_24,17.3_VEH_0.5_24,VEH_0.5,VEH_0.5_24_17-3,VEH_0.5_24
MCW_SP_JT_R13_R1,MCW_SP_JT_R13_R1.bam,27032313,4,Male,CX-5461,0.1,48,17-3_CX-5461_0.1_48,17.3_CX.5461_0.1_48,CX-5461_0.1,CX-5461_0.1_48_17-3,CX-5461_0.1_48
MCW_SP_JT_R14_R1,MCW_SP_JT_R14_R1.bam,23948060,4,Male,CX-5461,0.5,48,17-3_CX-5461_0.5_48,17.3_CX.5461_0.5_48,CX-5461_0.5,CX-5461_0.5_48_17-3,CX-5461_0.5_48
MCW_SP_JT_R15_R1,MCW_SP_JT_R15_R1.bam,30284553,4,Male,DOX,0.1,48,17-3_DOX_0.1_48,17.3_DOX_0.1_48,DOX_0.1,DOX_0.1_48_17-3,DOX_0.1_48
MCW_SP_JT_R16_R1,MCW_SP_JT_R16_R1.bam,28756111,4,Male,DOX,0.5,48,17-3_DOX_0.5_48,17.3_DOX_0.5_48,DOX_0.5,DOX_0.5_48_17-3,DOX_0.5_48
MCW_SP_JT_R17_R1,MCW_SP_JT_R17_R1.bam,34193048,4,Male,VEH,0.1,48,17-3_VEH_0.1_48,17.3_VEH_0.1_48,VEH_0.1,VEH_0.1_48_17-3,VEH_0.1_48
MCW_SP_JT_R18_R1,MCW_SP_JT_R18_R1.bam,24564863,4,Male,VEH,0.5,48,17-3_VEH_0.5_48,17.3_VEH_0.5_48,VEH_0.5,VEH_0.5_48_17-3,VEH_0.5_48
MCW_SP_JT_R19_R1,MCW_SP_JT_R19_R1.bam,23596812,5,Male,CX-5461,0.1,3,84-1_CX-5461_0.1_3,84.1_CX.5461_0.1_3,CX-5461_0.1,CX-5461_0.1_3_84-1,CX-5461_0.1_3
MCW_SP_JT_R2_R1,MCW_SP_JT_R2_R1.bam,25930597,4,Male,CX-5461,0.5,3,17-3_CX-5461_0.5_3,17.3_CX.5461_0.5_3,CX-5461_0.5,CX-5461_0.5_3_17-3,CX-5461_0.5_3
MCW_SP_JT_R20_R1,MCW_SP_JT_R20_R1.bam,24164670,5,Male,CX-5461,0.5,3,84-1_CX-5461_0.5_3,84.1_CX.5461_0.5_3,CX-5461_0.5,CX-5461_0.5_3_84-1,CX-5461_0.5_3
MCW_SP_JT_R21_R1,MCW_SP_JT_R21_R1.bam,24576654,5,Male,DOX,0.1,3,84-1_DOX_0.1_3,84.1_DOX_0.1_3,DOX_0.1,DOX_0.1_3_84-1,DOX_0.1_3
MCW_SP_JT_R22_R1,MCW_SP_JT_R22_R1.bam,25255418,5,Male,DOX,0.5,3,84-1_DOX_0.5_3,84.1_DOX_0.5_3,DOX_0.5,DOX_0.5_3_84-1,DOX_0.5_3
MCW_SP_JT_R23_R1,MCW_SP_JT_R23_R1.bam,25819215,5,Male,VEH,0.1,3,84-1_VEH_0.1_3,84.1_VEH_0.1_3,VEH_0.1,VEH_0.1_3_84-1,VEH_0.1_3
MCW_SP_JT_R24_R1,MCW_SP_JT_R24_R1.bam,24849849,5,Male,VEH,0.5,3,84-1_VEH_0.5_3,84.1_VEH_0.5_3,VEH_0.5,VEH_0.5_3_84-1,VEH_0.5_3
MCW_SP_JT_R25_R1,MCW_SP_JT_R25_R1.bam,33715044,5,Male,CX-5461,0.1,24,84-1_CX-5461_0.1_24,84.1_CX.5461_0.1_24,CX-5461_0.1,CX-5461_0.1_24_84-1,CX-5461_0.1_24
MCW_SP_JT_R26_R1,MCW_SP_JT_R26_R1.bam,26594390,5,Male,CX-5461,0.5,24,84-1_CX-5461_0.5_24,84.1_CX.5461_0.5_24,CX-5461_0.5,CX-5461_0.5_24_84-1,CX-5461_0.5_24
MCW_SP_JT_R27_R1,MCW_SP_JT_R27_R1.bam,26879580,5,Male,DOX,0.1,24,84-1_DOX_0.1_24,84.1_DOX_0.1_24,DOX_0.1,DOX_0.1_24_84-1,DOX_0.1_24
MCW_SP_JT_R28_R1,MCW_SP_JT_R28_R1.bam,25661544,5,Male,DOX,0.5,24,84-1_DOX_0.5_24,84.1_DOX_0.5_24,DOX_0.5,DOX_0.5_24_84-1,DOX_0.5_24
MCW_SP_JT_R29_R1,MCW_SP_JT_R29_R1.bam,22713170,5,Male,VEH,0.1,24,84-1_VEH_0.1_24,84.1_VEH_0.1_24,VEH_0.1,VEH_0.1_24_84-1,VEH_0.1_24
MCW_SP_JT_R3_R1,MCW_SP_JT_R3_R1.bam,24308481,4,Male,DOX,0.1,3,17-3_DOX_0.1_3,17.3_DOX_0.1_3,DOX_0.1,DOX_0.1_3_17-3,DOX_0.1_3
MCW_SP_JT_R30_R1,MCW_SP_JT_R30_R1.bam,26164243,5,Male,VEH,0.5,24,84-1_VEH_0.5_24,84.1_VEH_0.5_24,VEH_0.5,VEH_0.5_24_84-1,VEH_0.5_24
MCW_SP_JT_R31_R1,MCW_SP_JT_R31_R1.bam,19033496,5,Male,CX-5461,0.1,48,84-1_CX-5461_0.1_48,84.1_CX.5461_0.1_48,CX-5461_0.1,CX-5461_0.1_48_84-1,CX-5461_0.1_48
MCW_SP_JT_R32_R1,MCW_SP_JT_R32_R1.bam,27372658,5,Male,CX-5461,0.5,48,84-1_CX-5461_0.5_48,84.1_CX.5461_0.5_48,CX-5461_0.5,CX-5461_0.5_48_84-1,CX-5461_0.5_48
MCW_SP_JT_R33_R1,MCW_SP_JT_R33_R1.bam,22840419,5,Male,DOX,0.1,48,84-1_DOX_0.1_48,84.1_DOX_0.1_48,DOX_0.1,DOX_0.1_48_84-1,DOX_0.1_48
MCW_SP_JT_R34_R1,MCW_SP_JT_R34_R1.bam,22824045,5,Male,DOX,0.5,48,84-1_DOX_0.5_48,84.1_DOX_0.5_48,DOX_0.5,DOX_0.5_48_84-1,DOX_0.5_48
MCW_SP_JT_R35_R1,MCW_SP_JT_R35_R1.bam,21077512,5,Male,VEH,0.1,48,84-1_VEH_0.1_48,84.1_VEH_0.1_48,VEH_0.1,VEH_0.1_48_84-1,VEH_0.1_48
MCW_SP_JT_R36_R1,MCW_SP_JT_R36_R1.bam,23783420,5,Male,VEH,0.5,48,84-1_VEH_0.5_48,84.1_VEH_0.5_48,VEH_0.5,VEH_0.5_48_84-1,VEH_0.5_48
MCW_SP_JT_R37_R1,MCW_SP_JT_R37_R1.bam,21729878,6,Male,CX-5461,0.1,3,90-1_CX-5461_0.1_3,90.1_CX.5461_0.1_3,CX-5461_0.1,CX-5461_0.1_3_90-1,CX-5461_0.1_3
MCW_SP_JT_R38_R1,MCW_SP_JT_R38_R1.bam,24155026,6,Male,CX-5461,0.5,3,90-1_CX-5461_0.5_3,90.1_CX.5461_0.5_3,CX-5461_0.5,CX-5461_0.5_3_90-1,CX-5461_0.5_3
MCW_SP_JT_R39_R1,MCW_SP_JT_R39_R1.bam,27090451,6,Male,DOX,0.1,3,90-1_DOX_0.1_3,90.1_DOX_0.1_3,DOX_0.1,DOX_0.1_3_90-1,DOX_0.1_3
MCW_SP_JT_R4_R1,MCW_SP_JT_R4_R1.bam,26548523,4,Male,DOX,0.5,3,17-3_DOX_0.5_3,17.3_DOX_0.5_3,DOX_0.5,DOX_0.5_3_17-3,DOX_0.5_3
MCW_SP_JT_R40_R1,MCW_SP_JT_R40_R1.bam,27368981,6,Male,DOX,0.5,3,90-1_DOX_0.5_3,90.1_DOX_0.5_3,DOX_0.5,DOX_0.5_3_90-1,DOX_0.5_3
MCW_SP_JT_R41_R1,MCW_SP_JT_R41_R1.bam,26235186,6,Male,VEH,0.1,3,90-1_VEH_0.1_3,90.1_VEH_0.1_3,VEH_0.1,VEH_0.1_3_90-1,VEH_0.1_3
