Symbol,logFC
GTSE1,2.789123356
CDCA3,2.579282045
CKAP2,2.50071609
KIF20A,2.474846125
TNFRSF18,2.407388747
ZFP930,2.312954187
CISD3,2.084985375
KIF11,1.873600721
ANLN,1.562915087
ZWILCH,1.423097372
INCENP,1.398061037
SERPINB8,1.378212214
ZBP1,1.374802828
TPX2,1.350683451
CDCA8,1.347965479
SPC25,1.315127611
KNSTRN,1.289564371
ATAD2,1.217653513
KIF15,1.200033903
ACAD11,1.19080615
PRC1,1.186473608
BIRC5,1.144026995
NUSAP1,1.106452703
HMMR,1.083957911
CCNB1,1.081236601
IFITM3,1.061506033
RRM2,0.98912406
CAST,0.987612486
KIFC1,0.95878768
AURKB,0.949976683
BCAP31,0.922424078
NDC80,0.909063578
AHNAK,0.906716108
ETFDH,0.902391672
RETSAT,0.89885211
PBXIP1,0.897991419
ARL6,0.884788275
KIF22,0.874017
BUB1B,0.861786127
TP53,0.860336065
MT1,0.84875226
GBP9,0.841747522
DNAJB6,0.839444399
NUF2,0.838648617
SUB1,0.819705725
HIP1R,0.816312551
CAPG,0.814475775
MRPL40,0.8119452
NSRP1,0.798068285
KIF23,0.797281504
TOP2A,0.796041727
ASRGL1,0.783581018
PLK1,0.776428938
UBE2S,0.761440039
RGS3,0.759951353
ZC3H18,0.757311583
NDE1,0.746948421
MGEA5,0.745341063
THBD,0.741441488
PPWD1,0.738299131
NME1,0.735570669
TACC3,0.726124525
YWHAG,0.710174322
IAP,0.704841852
ATPIF1,0.702883005
ICAM1,0.702709913
STIM1,0.696003199
LSM8,0.691751719
ACSL4,0.688688517
ZC3H4,0.688037634
WASL,0.681182146
PMF1,0.674338579
COX2,0.669244051
ZMPSTE24,0.657182455
BASP1,0.655549288
ATL2,0.650714159
PURB,0.648096323
TAP1,0.647617579
HDGFRP2,0.645780325
SMPDL3B,0.635281324
RNF2,0.635104418
ANXA4,0.628647566
CTCF,0.628364801
TUBB6,0.628325224
TJP2,0.627109766
RAB10,0.625636816
ARPC3,0.620784521
ENDOG,0.619040251
NCSTN,0.618996382
KRI1,0.61302495
CD74,0.610839605
PTPRC,0.609589338
DDX58,0.602538824
RACGAP1,0.601361513
MARCKSL1,0.598086119
HMCES,0.597663641
NA,0.593889952
AIFM1;PDCD8,0.592837572
BCL2L13,0.592735052
NDUFA4,0.59256196
LMNA,0.58855319
MPST,0.588189363
RAB1B,0.586047888
EMG1,-0.589269876
UFL1,-0.589679003
RPL13A,-0.590914011
SUGP1,-0.591626406
IRF3,-0.59480834
RPS24,-0.595877409
RPS12,-0.597902536
TBL3,-0.60023427
CLNS1A,-0.600271463
RPL13,-0.602127314
PON2,-0.60433507
EIF5,-0.606557131
SEC16A,-0.606783628
MUT,-0.607762098
RPL27A,-0.608412504
UCK2,-0.608680964
EXTL2,-0.611501932
ASNS,-0.61322093
MRPL11,-0.61401391
RPL8,-0.615918398
PSMG2,-0.61764884
GNE,-0.621336222
RRP15,-0.623731852
RPL14,-0.624427557
EIF4EBP1,-0.63192153
RBM28,-0.632693052
TUBG1,-0.633224726
NUP205,-0.633418322
UFC1,-0.634208918
CDKN2A,-0.634344816
UBA5,-0.639027834
MORF4L1,-0.642377138
RPS27L,-0.64360404
ADRBK1,-0.644001245
PWP2,-0.650066137
UBE2G2,-0.651924372
PFKL,-0.653753996
GALNS,-0.65711236
METAP2,-0.664106131
CDK5RAP3,-0.668777704
RPL9,-0.674665689
SLC2A1,-0.675256014
IGHV1-54,-0.680441618
FTSJ1,-0.682214975
COPZ1,-0.684713125
RPL35A,-0.686038256
RPL4,-0.686932325
NIP7,-0.689316511
SPCS1,-0.689792395
RRS1,-0.690185785
MTHFD2,-0.69148469
UBE3A,-0.692130327
UTP14A,-0.69875741
TTC27,-0.700889826
USP10,-0.713107347
MRPL4,-0.714989901
ILF2,-0.715033293
RPS3,-0.719717741
NKRF,-0.72465539
HSPBP1,-0.731876612
RPS6,-0.740005255
CD81,-0.74010396
RPSA,-0.742876291
RPL27,-0.746522188
WDR74,-0.762035608
SRA1,-0.762964487
XPOT,-0.763321638
RPL18A,-0.764147043
RPL23A,-0.764439344
IMP4,-0.764985323
PGK2,-0.770516634
RPLP2,-0.792949438
GPT2,-0.794782817
WDR3,-0.802520514
RPL36,-0.807066679
NUP54,-0.810819864
PLOD1,-0.81150794
RPS8,-0.813434839
RPL39,-0.813676596
FKBP11,-0.814112425
HIST1H1C,-0.816204309
RPL10A,-0.82213378
RBM42,-0.825773478
WDR36,-0.827290773
IMPDH1,-0.848185778
RPP25L,-0.857567072
PDCD4,-0.862788439
FAU;FAU,-0.870312452
SEC24D,-0.87519908
PPAN,-0.89150691
LOC100046793,-0.894860029
BAP18,-0.899744749
EDF1,-0.904103041
RPL24,-0.906945944
RPLP0,-0.907853365
UTP18,-0.908125162
RPL7L1,-0.909050226
RPL23,-0.912919283
RPL17,-0.927712202
UTP3,-0.931025743
DDX52,-0.953425646
UBE4B,-0.95862031
PWP1,-0.96226573
PDCD11,-0.968508959
FTSJ3,-0.971065283
ADI1,-0.974670649
RPL12,-0.985497713
MPHOSPH10,-0.986585855
RPL38,-0.995369196
RPF2,-1.021498442
RBM19,-1.02335763
RRP7A,-1.030879915
AUP1,-1.03901881
RPS28,-1.048005342
NOP14,-1.051169157
KIAA0020,-1.062754869
LDLR,-1.081582308
DOHH,-1.083858728
DDX27,-1.090168238
NACA,-1.123361826
TNS3,-1.12448287
DDX56,-1.128987551
DDX10,-1.140353918
SURF6,-1.144210577
RSL24D1,-1.152854681
MORF4L2,-1.157483995
IGHG,-1.227701902
DDX24,-1.229819536
KRR1,-1.231198072
DNTTIP2,-1.248663664
GTPBP4,-1.292414427
GNL3,-1.312392473
DIMT1,-1.403562307
STRBP,-1.429350138
BMS1,-1.447652578
GNL2,-1.448289633
IMP3,-1.449234903
NOL7,-1.468381226
BRIX1,-1.471326113
EBNA1BP2,-1.498359919
PNO1,-1.540735483
NIFK,-1.557342768
BYSL,-1.606616735
NA,-1.701324224
RRP12,-1.73745513
NOP16,-1.751087904
CCDC86,-1.810429811
UTP11L,-1.882652044
WDR46,-1.969673395
UTP6,-2.268771887
