"Symbol","Entrez_ID"
"CDKN1A","1026"
"RRM2B","50484"
"MDM2","4193"
"SUSD6","9766"
"GDF15","9518"
"BTG2","7832"
"DDB2","1643"
"GADD45A","1647"
"PLK3","1263"
"TIGAR","57103"
"RPS27L","51065"
"TNFRSF10B","8795"
"TRIAP1","51499"
"ZMAT3","64393"
"BAX","581"
"PGF","5228"
"POLH","5429"
"PPM1D","8493"
"SULF2","55959"
"XPC","7508"
"AEN","64782"
"BLOC1S2","282991"
"FAS","355"
"GPR87","53836"
"NINJ1","4814"
"PLK2","10769"
"PSTPIP2","9050"
"SESN1","27244"
"TP53I3","9540"
"TP53INP1","94241"
"ABCA12","26154"
"ANKRA2","57763"
"CCNG1","900"
"CYFIP2","26999"
"DRAM1","55332"
"FBXO22","26263"
"ISCU","23479"
"PHLDA3","23612"
"SERTAD1","29950"
"TRAF4","9618"
"TRIM22","10346"
"CES2","8824"
"CMBL","134147"
"FBXW7","55294"
"HSPA4L","22824"
"KITLG","4254"
"SLC12A4","6560"
"ATF3","467"
"BBC3","27113"
"CCDC90B","60492"
"DYRK3","8444"
"EDA2R","60401"
"EPHA2","1969"
"FAM13C","220965"
"FDXR","2232"
"LIF","3976"
"NADSYN1","55191"
"NTPCR","84284"
"ORAI3","93129"
"PRKAB1","5564"
"PTP4A1","7803"
"SESN2","83667"
"SLC30A1","7779"
"SPATA18","132671"
"TGFA","7039"
"TM7SF3","51768"
"TMEM68","137695"
"ZNF561","93134"
"ZNF79","7633"
"ASCC3","10973"
"ACER2","340485"
"ANXA4","307"
"APOBEC3C","27350"
"ASTN2","23245"
"CD82","3732"
"CDIP1","29965"
"CPE","1363"
"CSF1","1435"
"DCP1B","196513"
"ENC1","8507"
"FOSL1","8061"
"FUCA1","2517"
"IER5","51278"
"PANK1","53354"
"PGPEP1","54858"
"PLCL2","23228"
"PMAIP1","5366"
"RAP2B","5912"
"RRAD","6236"
"ZNF219","51222"
"ZNF337","26152"
"ACTA2","59"
"EDN2","1907"
"ARHGEF3","50650"
"CERS5","91012"
"DDR1","780"
"DHRS3","9249"
"DUSP14","11072"
"E2F7","144455"
"EPS8L2","64787"
"FAM210B","116151"
"GLS2","27165"
"GPX1","2876"
"GRHL3","57822"
"HHAT","55733"
"IGDCC4","57722"
"IKBIP","121457"
"MAST4","375449"
"MICALL1","85377"
"NOTCH1","4851"
"RABGGTA","5875"
"RNF19B","127544"
"SAC3D1","29901"
"SYTL1","84958"
"TNFRSF10A","8797"
"TNFRSF10D","8793"
"TSPAN11","441631"
"VWCE","220001"
"DDIT4","54541"
"RAD51C","5889"
"SERPINE1","5054"
"TNFAIP8","25816"
"TSKU","25987"
"PCNA","5111"
"ACYP2","98"
"APAF1","317"
"BCL2L1","598"
"BCL6","604"
"BLCAP","10904"
"COL7A1","1294"
"CPEB4","80315"
"CSNK1G1","53944"
"DGKA","1606"
"GNAI1","2770"
"INPP1","3628"
"ITGA3","3675"
"LIMK2","3985"
"LRP1","4035"
"MCC","4163"
"PARD6G","84552"
"PHPT1","29085"
"PIDD1","55367"
"PML","5371"
"PTPRE","5791"
"RETSAT","54884"
"REV3L","5980"
"TNFRSF10C","8794"
"VCAN","1462"
"AK3","50808"
"ALDH1A3","220"
"BBS2","583"
"BTG1","694"
"CEL","1056"
"CLDN1","9076"
"CLP1","10978"
"CROT","54677"
"DAPK1","1612"
"EPN3","55040"
"FBXO32","114907"
"FHL2","2274"
"KLHDC7A","127707"
"LMNA","4000"
