Symbol,Entrez_ID
KIAA0319,9856
MTRNR2L2,100462981
MSH3,4437
DHFR,1719
MAMDC2,256691
MTRNR2L1,100462977
MTRNR2L8,100463486
COL23A1,91522
DGCR6,8214
TDP2,51567
ACOT13,55856
KIF5C,3800
PLXDC2,84898
RGPD2,729857
RGPD1,400966
ADAMTS9,56999
UBA1,7317
TMEM242,729515
RABL6,55684
CCDC183,84960
UBE3A,7337
RANBP17,64901
DYNLL2,140735
SLC35A3,23443
MTRNR2L9,100463487
CHMP6,79643
GTF3C2,2976
YIF1B,90522
KCNK6,9424
KANK1,23189
TRIM16L,147166
FOXO3B,2310
CTNNA3,29119
OSGIN1,29948
PMF1,11243
ARMCX1,51309
PLBD2,196463
RAB36,9609
ZMYM2,7750
PDIA6,10130
IQCB1,9657
ARHGAP39,80728
TAF12,6883
ZNF584,201514
DDX11,1663
OSBP,5007
CLCN5,1184
POLR3H,171568
COL21A1,81578
GLIS3,169792
ZNF343,79175
LINGO1,84894
RANBP2,5903
RAP1GAP2,23108
EXOC1,55763
CNOT3,4849
PCBD2,84105
STAT1,6772
MASP2,10747
ALDH9A1,223
UQCRHL,440567
ZNF484,83744
ZNF286A,57335
MKI67,4288
PPIP5K1,9677
CKMT1B,1159
CEP20,123811
SEMA7A,8482
MAN2C1,4123
PGK1,5230
SF3A3,10946
NEK2,4751
EP300,2033
PEAR1,375033
MTRNR2L10,100463488
OXTR,5021
MAP2,4133
B4GALNT3,283358
TMEM234,56063
IQCC,55721
EIF3I,8668
CCDC61,729440
NBPF1,55672
TMEM167B,56900
TAF13,6884
PLS1,5357
ATR,545
RFX5,5993
KCNQ1,3784
ADPRS,54936
PTPN9,5780
UBL7,84993
TMED9,54732
B4GALT7,11285
PAXBP1,94104
RPL26L1,51121
PAIP2B,400961
RPL5,6125
GNAI2,2771
CYP11A1,1583
WDR74,54663
STX5,6811
LRRTM4,80059
OSR1,130497
MYCL,4610
CKMT1A,548596
ARID3B,10620
ALG3,10195
TBL3,10607
RPS2,6187
NOXO1,124056
ARHGEF3,50650
POLR2H,5437
CLCN2,1181
CHRD,8646
SATB2,23314
PLK3,1263
GUK1,2987
BTBD19,149478
SLC25A34,284723
EFR3B,22979
MANEAL,149175
COMMD2,51122
THADA,63892
ATAD3B,83858
PCARE,388939
EAPP,55837
MECOM,2122
ADGRL2,23266
PDGFRA,5156
HDLBP,3069
CCDC150,284992
ZBTB18,10472
TRAIP,10293
WDR54,84058
RBBP5,5929
IQSEC1,9922
HSPA6,3310
C2orf81,388963
SFPQ,6421
NAV1,89796
CFLAR,8837
C1orf159,54991
MAB21L2,10586
CFAP36,112942
THUMPD3,25917
MDM4,4194
TMBIM1,64114
RTN4,57142
KDM1A,23028
THEM4,117145
RAB17,64284
NCEH1,57552
KIF2C,11004
IRF2BP2,359948
PHRF1,57661
PAFAH2,5051
NIBAN1,116496
ZBTB20,26137
CSPG4,1464
CPOX,1371
ARHGEF2,9181
PHC2,1912
SPAG16,79582
SNX33,257364
PHACTR4,65979
IMP3,55272
COMMD1,150684
CCT4,10575
RRP9,9136
PARP3,10039
GTF3C3,9330
AMOTL2,51421
PARL,55486
NUP93,9688
BSDC1,55108
ZNF326,284695
PCBP3,54039
IGF2BP2,10644
TOMM40L,84134
