"Symbol","Entrez_ID"
"ZMIZ1","57178"
"POPDC3","64208"
"FOS","2353"
"RBPMS","11030"
"CORO2B","10391"
"DTNA","1837"
"ARHGAP44","9912"
"STARD13","90627"
"FMC1","154791"
"TSPAN5","10098"
"NSD1","64324"
"SGF29","112869"
"CNTLN","54875"
"ITGA9","3680"
"PDIK1L","149420"
"EDN2","1907"
"PLCXD3","345557"
"DAB2IP","153090"
"DYNC1H1","1778"
"DAGLB","221955"
"GRTP1","79774"
"FIGNL2","401720"
"STOX2","56977"
"PLLP","51090"
"CEP162","22832"
"ADCY5","111"
"AKAP10","11216"
"SMYD3","64754"
"ZNF692","55657"
"MITF","4286"
"RBM20","282996"
"MIS18BP1","55320"
"GATA4","2626"
"CALM1","801"
"PRSS42P","339906"
"RIN2","54453"
"CDC42EP1","11135"
"RHOBTB2","23221"
"RBBP7","5931"
"ADGRG2","10149"
"NOCT","25819"
"SHD","56961"
"COL4A2","1284"
"EPS15L1","58513"
"B4GALNT3","283358"
"EMILIN2","84034"
"BRI3","25798"
"TMEM44-AS1","100507297"
"CUX1","1523"
"PDGFRA","5156"
"DOP1B","9980"
"SP6","80320"
"RHOQ","23433"
"ZFHX3","463"
"FBXL14","144699"
"WIPI1","55062"
"NSRP1","84081"
"MAPKAPK3","7867"
"MTSS1","9788"
"EEF2K","29904"
"MKNK2","2872"
"MEIS2","4212"
"GCNT2","2651"
"CELSR1","9620"
"NKX2-5","1482"
"UBC","7316"
"AMOTL1","154810"
"ANKRD1","27063"
"CCDC88C","440193"
"CRCP","27297"
"CPNE5","57699"
"ID3","3399"
"MAN1C1","57134"
"LINC00880","339894"
"SMARCC2","6601"
"LAMA5","3911"
"FRMD5","84978"
"PKIG","11142"
"NUAK1","9891"
"PRKN","5071"
"COL16A1","1307"
"RASL11B","65997"
"MAP2K3","5606"
"MSL1","339287"
"METAP1","23173"
"LAMB1","3912"
"NFATC2","4773"
"PMVK","10654"
"PIEZO2","63895"
"CDC42EP3","10602"
"SERPINH1","871"
"PMEPA1","56937"
"SDC3","9672"
"BCOR","54880"
"ZNF407","55628"
"CSF1","1435"
"ZDHHC11B","653082"
"USP10","9100"
"PCDH17","27253"
"MYH7","4625"
"ANKRD11","29123"
"LDB3","11155"
"TSC22D3","1831"
"PADI2","11240"
"LARP4B","23185"
"KCNJ4","3761"
"SNTA1","6640"
"HEATR5B","54497"
"ZNF747","65988"
"MMP15","4324"
"JUP","3728"
"HDHD5","27440"
"HEBP2","23593"
"HCN4","10021"
"TRAPPC9","83696"
"BDH2","56898"
"MAP7D1","55700"
"KANK4","163782"
"BMP10","27302"
"TLE2","7089"
"FOXJ2","55810"
"AKAP13","11214"
"ERCC1","2067"
"QTRT1","81890"
"ZNF77","58492"
"RILPL1","353116"
"COA7","65260"
"ST3GAL2","6483"
"MAPK4","5596"
"ARHGAP35","2909"
"MSI2","124540"
"CTSV","1515"
"PAG1","55824"
"SOX4","6659"
"CLDN9","9080"
"TRIM41","90933"
"NR4A1","3164"
"LAMA4","3910"
"ALPK2","115701"
"IGF2BP3","10643"
"HACD1","9200"
"SETD1A","9739"
"DISC2","27184"
"ECE1","1889"
"NCOR2","9612"
"NFIA","4774"
"ZMYND8","23613"
"DENND5A","23258"
"NCALD","83988"
"PLD1","5337"
"KANSL2","54934"
"OSR1","130497"
"SEPTIN9","10801"
"CXXC5","51523"
"AGAP1","116987"
"LINC01405","100131138"
"KCNN1","3780"
"HMGXB3","22993"
"FOXC2","2303"
"LYRM4","57128"
"CDC42BPG","55561"
"ARHGAP22","58504"
"IGSF9","57549"
"MICAL2","9645"
"GOLIM4","27333"
"MYOZ1","58529"
"PARP12","64761"
"ERI3","79033"
"CYP26B1","56603"
"MALAT1","378938"
"LINC00324","284029"
"SEMA4B","10509"
"NXN","64359"
"HJV","148738"
"HAND2-AS1","79804"
"PLCB2","5330"
"TEX2","55852"
"PLEKHH3","79990"
"DUSP5","1847"
"SEC14L5","9717"
"HDHD3","81932"
"A4GALT","53947"
"LTBP4","8425"
"SMAD3","4088"
"IGF2","3481"
"HDAC5","10014"
"BRF2","55290"
"FBXO46","23403"
"WIPF3","644150"
"NNMT","4837"
"CTDSP1","58190"
"CASZ1","54897"
"RHOD","29984"
"BAHCC1","57597"
"SCAP","22937"
"IL17RD","54756"
"KCNQ5","56479"
"MTFP1","51537"
"PIK3R1","5295"
"TLE3","7090"
"POLQ","10721"
"SPRY2","10253"
"MYH9","4627"
"PNKP","11284"
"KIF26B","55083"
"KCTD1","284252"
"CHST13","166012"
"TNS1","7145"
"PCDH7","5099"
"SMG1P3","100271836"
"HS3ST3B1","9953"
"C8orf58","541565"
"TRERF1","55809"
"ABTB2","25841"
"KCNK13","56659"
"KSR1","8844"
"ZNF462","58499"
"CCND2","894"
"SSBP3","23648"
"PHIP","55023"
"NCS1","23413"
"WNT5A","7474"
"GABPA","2551"
"HES7","84667"
"PCBD1","5092"
"MIDN","90007"
"NCOA4","8031"
"KCNIP2","30819"
"FNDC3B","64778"
"KMT2B","9757"
"PLXNA1","5361"
"FOXP1","27086"
"MYL12A","10627"
"VSTM2L","128434"
"FARP2","9855"
"BCL6","604"
"PPP1R1C","151242"
"CSMD3","114788"
"LINC01503","100506119"
"ZNF532","55205"
"ABLIM1","3983"
"MYL4","4635"
"DCP1B","196513"
"TRIM8","81603"
"SMG6","23293"
"TMEM200B","399474"
"DDIT4","54541"
"DAAM1","23002"
"SFRP1","6422"
"GSK3B","2932"
"MACF1","23499"
"TNNT2","7139"
"KAZALD1","81621"
"CMTM5","116173"
"ETV6","2120"
"ADGRL1","22859"
"FIGN","55137"
"YY1","7528"
"RAB27A","5873"
"TSC22D2","9819"
"SERTAD3","29946"
"NLGN1","22871"
"TACC1","6867"
"FOXC1","2296"
"GTDC1","79712"
"STIM1","6786"
"LARGE1","9215"
"ZBED4","9889"
"TOP1MT","116447"
"DUSP7","1849"
"RAP1GDS1","5910"
"LRP3","4037"
"STT3B","201595"
"MED13","9969"
"SOS2","6655"
"FLVCR2","55640"
"TMTC2","160335"
"BMP2K","55589"
"USP9X","8239"
"DAB1","1600"
"C6orf62","81688"
"UBTF","7343"
"ZBTB7C","201501"
"ZBTB18","10472"
"RAC3","5881"
"DACT1","51339"
"NRP2","8828"
"ZNF432","9668"
"STX3","6809"
"MPPE1","65258"
"FSTL1","11167"
"RAP2B","5912"
"BMPR1A","657"
"HSPA6","3310"
"LINGO1","84894"
"KIAA1671","85379"
"BICD2","23299"
"MAPK10","5602"
"SLC22A4","6583"
"RCOR1","23186"
"CYTH1","9267"
"TMEM179B","374395"
"KIF13A","63971"
"INPP5A","3632"
"PER1","5187"
"PAN3","255967"
"FASN","2194"
"SMAD7","4092"
"SERINC5","256987"
"HIVEP3","59269"
"CLCN3","1182"
"TBC1D31","93594"
"TBC1D2","55357"
"TESK1","7016"
"PCCA","5095"
"GPCPD1","56261"
"SERTAD2","9792"
"NDUFS8","4728"
"ID1","3397"
"PDE5A","8654"
"ZBTB7B","51043"
"CXCL12","6387"
"DRD1","1812"
"TMEM127","55654"
"MSH6","2956"
"CACNA1G","8913"
"SATB2","23314"
"UBE2J1","51465"
"SFRP5","6425"
"EFNA5","1946"
"SCN5A","6331"
"POU2F1","5451"
"VSIG10L","147645"
"MXD1","4084"
"DENND4C","55667"
"SELENOW","6415"
"SLC2A8","29988"
"ULK4","54986"
"CTNNAL1","8727"
"URI1","8725"
"SCML1","6322"
"HOMER1","9456"
"PPRC1","23082"
"EPHB3","2049"
"MBOAT2","129642"
"PIM1","5292"
"ACACB","32"
"ERVK13-1","100507321"
"SLC2A4","6517"
"CAND1","55832"
"USP24","23358"
"SUV39H2","79723"
"RUNX1T1","862"
"ADRA1D","146"
"LINGO2","158038"
"MYL3","4634"
"TRIM45","80263"
"ECT2","1894"
"BICRAL","23506"
"LZTS3","9762"
"SRP72","6731"
"DCTN6","10671"
"UQCR11","10975"
"PA2G4","5036"
"MTMR9","66036"
"HMGCS1","3157"
"FDXR","2232"
