Entrez_ID,Symbol,Heart_Atrial,Heart_Ventricle
7105,TSPAN6,-0.48,-1
8813,DPM1,1.27,1.48
57147,SCYL3,-1.1,-1.21
2268,FGR,0.12,0.8
3075,CFH,1.01,-0.58
2519,FUCA2,0.79,0.38
2729,GCLC,-0.56,0.01
4800,NFYA,-0.89,-0.14
57185,NIPAL3,0.94,0.97
81887,LAS1L,-0.88,-0.36
22875,ENPP4,1.63,1.05
1080,CFTR,-0.89,0.25
54467,ANKIB1,-1.1,-0.74
1595,CYP51A1,0.37,-0.39
889,KRIT1,0.48,0.3
572,BAD,1.64,-0.12
51056,LAP3,0.51,0.77
4267,CD99,0.01,-0.16
26,AOC1,0.65,0.67
23072,HECW1,-1.11,-2.83
8379,MAD1L1,0.49,0.04
3927,LASP1,-0.81,-1
29916,SNX11,-0.98,-0.5
55365,TMEM176A,0.92,-0.8
4074,M6PR,1.3,0.81
90293,KLHL13,0.53,0.3
3382,ICA1,1.26,1.28
57679,ALS2,4.07,5.38
843,CASP10,-0.46,-0.47
8837,CFLAR,4.39,4.11
7035,TFPI,0.23,-0.51
55471,NDUFAF7,2.1,3.47
10181,RBM5,-0.68,-0.84
6542,SLC7A2,0.57,0.74
381,ARF5,-0.74,0.3
23098,SARM1,-1.52,-1.57
26073,POLDIP2,3.14,5.45
23129,PLXND1,0.66,0.43
204,AK2,0.82,0.53
952,CD38,0.68,1.09
2288,FKBP4,-1.12,-1.01
23028,KDM1A,-0.46,-0.38
10180,RBM6,-1.02,-1.09
84254,CAMKK1,-0.79,-1.73
5965,RECQL,0.55,0.95
55610,CCDC132,-0.93,0.64
126393,HSPB6,-0.2,0.89
4706,NDUFAB1,5.93,6.16
5166,PDK4,0.89,0.76
51364,ZMYND10,-1.46,-1.21
170302,ARX,-0.98,0.39
10165,SLC25A13,-0.26,-0.11
7982,ST7,0.85,0.65
996,CDC27,0.93,1.32
6521,SLC4A1,-0.07,0.28
3052,HCCS,3.34,3.93
1856,DVL2,-1.07,-1.34
5976,UPF1,-1.63,-0.35
8935,SKAP2,-0.61,-1.77
292,SLC25A5,0.34,0.8
55013,CCDC109B,0.41,-1.35
56919,DHX33,-0.23,-0.36
221981,THSD7A,-0.24,-1.37
3980,LIG3,0.31,-0.79
79657,RPAP3,0.79,1.14
6296,ACSM3,0.41,0.91
81691,AC004381.6,0.7,1.61
57019,CIAPIN1,3.07,3.3
51226,COPZ2,0.68,0.3
5577,PRKAR2B,1.32,0.62
1387,CREBBP,-0.72,-0.73
4353,MPO,0.19,0.08
5444,PON1,-0.18,-0.62
6936,GCFC2,0.16,1.09
84058,WDR54,-2.14,-2.31
54677,CROT,-0.8,-0.67
5244,ABCB4,0.78,1.31
55904,KMT2E,-1.07,-1.62
57414,RHBDD2,0.23,0.07
25998,IBTK,1.23,1.44
23077,MYCBP2,0.79,-0.86
26224,FBXL3,-0.22,-0.47
3683,ITGAL,-0.82,-1.3
5164,PDK2,2.81,3.96
3675,ITGA3,-0.68,-1.4
7543,ZFX,-0.02,0.21
3920,LAMP2,-0.69,-0.98
3674,ITGA2B,1,-0.83
51573,GDE1,1.94,2.5
9244,CRLF1,1.28,1.16
114881,OSBPL7,-0.42,-0.45
51087,YBX2,0.47,0.18
3883,KRT33A,0.79,-0.24
6833,ABCC8,0.44,0.91
10368,CACNG3,-0.06,0.87
54972,TMEM132A,-0.32,0.15
163,AP2B1,0.62,0.46
10127,ZNF263,-1.43,-1.68
64847,SPATA20,0.74,0.83
8913,CACNA1G,2.24,0.07
51330,TNFRSF12A,0.36,0.94
5898,RALA,-0.15,0.84
55971,BAIAP2L1,-0.48,-0.41
80853,JHDM1D,0.12,0.32
55750,AGK,1.8,2.55
221,ALDH3B1,-0.55,-0.45
55001,TTC22,-1.33,-0.88
9855,FARP2,-0.52,-0.79
10083,USH1C,0.55,0.12
79017,GGCT,-0.07,-0.13
10926,DBF4,-0.98,-2.18
3475,IFRD1,-0.43,-1.2
1352,COX10,4.21,5.77
9569,GTF2IRD1,-0.09,-0.12
54623,PAF1,0.56,0.43
27072,VPS41,-0.06,0.27
9912,ARHGAP44,0.17,-0.38
60528,ELAC2,0.89,2.31
85477,SCIN,-1.38,-1.15
414,ARSD,-0.81,-0.41
8228,PNPLA4,2.59,3.19
8735,MYH13,0.71,0.23
10942,PRSS21,-0.33,-1.7
57787,MARK4,0.18,-0.23
8842,PROM1,0.44,-0.16
115098,CCDC124,0.42,0.74
5048,PAFAH1B1,0.69,0.99
4843,NOS2,-1.57,-0.68
1770,DNAH9,-0.69,-1.32
9703,KIAA0100,0.63,0.12
8522,GAS7,1.26,0.18
1087,CEACAM7,-0.05,-0.5
974,CD79B,-0.17,0.58
8277,TKTL1,3.34,3.84
5080,PAX6,-0.27,-0.15
64285,RHBDF1,0.65,0.34
55692,LUC7L,-1.6,-1.61
9254,CACNA2D2,4.89,-0.18
8938,BAIAP3,-0.33,0.11
115939,TSR3,0.72,1.18
57585,CRAMP1L,0.06,-0.23
7005,TEAD3,0.04,-0.12
55735,DNAJC11,2.59,3.42
2328,FMO3,-0.35,0.73
5689,PSMB1,1,1.39
6853,SYN1,1.78,1.93
3720,JARID2,1.52,2.2
6792,CDKL5,2.69,2.48
728642,CDK11A,-1,-0.9
65220,NADK,-0.68,-1.55
83741,TFAP2D,NA;all_tissues_tpm_less_1,NA;all_tissues_tpm_less_1
9940,DLEC1,-0.92,-0.44
9265,CYTH3,0.89,0.62
53616,ADAM22,0.35,-0.01
6856,SYPL1,0.34,1.33
1534,CYB561,-0.09,-1.55
9043,SPAG9,0.15,0.21
10157,AASS,0.38,1.56
84954,MPND,1.18,1.17
4257,MGST1,0.28,-1.04
8993,PGLYRP1,0.08,-2.05
4784,NFIX,0.44,0.21
6482,ST3GAL1,1.58,2.14
64386,MMP25,1.14,2.03
5310,PKD1,0.09,0.02
9862,MED24,1.36,1.73
54497,HEATR5B,0.69,1.62
7095,SEC62,-0.6,-0.63
6224,RPS20,-0.42,-0.49
7812,CSDE1,1.2,2.05
9690,UBE3C,2.1,1.62
5980,REV3L,0.07,-0.66
10747,MASP2,-0.07,0.03
389434,IYD,0.13,0.06
