"Symbol","TS_Score","Entrez_ID"
"ABCA2",8,"20"
"ABCB4",16,"5244"
"ABCC8",5,"6833"
"ABLIM2",4,"84448"
"ACAA1",4,"30"
"ACAD11",4,"84129"
"ACADSB",4,"36"
"ACAT2",5,"39"
"ACER2",5,"340485"
"ACHE",8,"43"
"ACOX2",4,"8309"
"ACSM5",11,"54988"
"ACTA1",6,"58"
"ACTC1",21,"70"
"ACTN2",38,"88"
"ACTRT3",17,"84517"
"ACY1",7,"95"
"ADA",8,"100"
"ADAM11",9,"4185"
"ADAM22",5,"53616"
"ADAMTS7",4,"11173"
"ADCY1",4,"107"
"ADCYAP1R1",4,"117"
"ADGRB2",9,"576"
"ADGRB3",4,"577"
"ADGRG2",8,"10149"
"ADGRG3",5,"222487"
"ADH1C",21,"126"
"ADIPOQ",28,"9370"
"ADORA2A",4,"135"
"ADPRHL1",31,"113622"
"ADSL",6,"158"
"ADSS1",9,"122622"
"AGAP2",10,"116986"
"AGBL5",4,"60509"
"AGER",19,"177"
"AGFG2",5,"3268"
"AGL",5,"178"
"AGPAT4",5,"56895"
"AGT",6,"183"
"AHSP",63,"51327"
"AK1",6,"203"
"AKAP3",23,"10566"
"AKAP6",5,"9472"
"AKR1B1",8,"231"
"AKR1E2",6,"83592"
"ALAS1",4,"211"
"ALAS2",14,"212"
"ALB",136,"213"
"ALCAM",5,"214"
"ALDH1L2",5,"160428"
"ALDH6A1",5,"4329"
"ALDOA",9,"226"
"ALDOC",4,"230"
"ALOX5AP",4,"241"
"ALPK2",4,"115701"
"ALPK3",4,"57538"
"ALS2",5,"57679"
"AMPH",5,"273"
"AMY2A",4638,"279"
"AMY2B",128,"280"
"ANG",52,"283"
"ANGPTL8",12,"55908"
"ANK1",8,"286"
"ANKRD1",11,"27063"
"ANKRD2",62,"26287"
"ANKRD23",39,"200539"
"ANKRD33B",5,"651746"
"ANKS1B",4,"56899"
"ANO2",22,"57101"
"ANO5",7,"203859"
"ANPEP",6,"290"
"ANXA8L1",5,"728113"
"AOX1",6,"316"
"AP1S2",7,"8905"
"AP5B1",4,"91056"
"APH1B",6,"83464"
"APLP1",8,"333"
"APOA1",5,"335"
"APOA2",1343,"336"
"APOB",143,"338"
"APOBEC3A",4,"200315"
"APOC1",9,"341"
"APOC3",25,"345"
"APOE",4,"348"
"APOM",4,"55937"
"AQP2",91,"359"
"AQP4",4,"361"
"AQP7B",11,"100509620"
"AQP9",10,"366"
"ARHGAP15",5,"55843"
"ARHGAP22",6,"58504"
"ARHGAP28",4,"79822"
"ARHGAP45",6,"23526"
"ARHGDIB",5,"397"
"ARHGDIG",7,"398"
"ARMC6",5,"93436"
"ARNT2",5,"9915"
"ART3",10,"419"
"ASB11",14,"140456"
"ASB12",21,"142689"
"ASB14",6,"142686"
"ASB16",5,"92591"
"ASB18",6,"401036"
"ASB2",4,"51676"
"ASB5",6,"140458"
"ASGR1",41,"432"
"ASIC1",6,"41"
"ASIP",5,"434"
"ASL",6,"435"
"ASPRV1",17,"151516"
"ASS1",6,"445"
"ATF5",21,"22809"
"ATP1A2",5,"477"
"ATP1A3",8,"478"
"ATP1B2",9,"482"
"ATP1B4",28,"23439"
"ATP2A1",85,"487"
