Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
653635,0.004014353,3.815911356,0.037466776,0.970191351,0.999979288,-4.864362832
729737,0.175440414,3.611066469,1.003932834,0.31795809,0.999979288,-4.652449225
102723897,0.078881609,3.738780581,0.739714527,0.46129498,0.999979288,-4.745650686
100132287,0.17816706,2.716250327,1.116670154,0.266948208,0.999979288,-4.590784823
102465432,0.303563222,5.876734289,1.492459752,0.138888092,0.999979288,-4.385720604
100133331,0.152614389,2.814028681,1.137239934,0.258294699,0.999979288,-4.583971779
100288069,0.031853554,0.005686323,0.117630732,0.906608287,0.999979288,-4.684475635
79854,0.274442653,0.308362635,0.966137999,0.336425141,0.999979288,-4.609400073
643837,0.074089463,5.622428419,0.607209645,0.545158579,0.999979288,-4.886612667
100130417,0.320758026,0.252866454,0.923296161,0.358189085,0.999979288,-4.615539276
148398,-0.199137308,0.908646859,-0.579082902,0.563902085,0.999979288,-4.669539821
26155,-0.001955842,6.684079437,-0.023252505,0.981497567,0.999979288,-5.011293384
339451,0.164408642,4.054823131,0.964458221,0.337261862,0.999979288,-4.679547483
57801,-0.152173846,5.979831384,-0.814127252,0.417605528,0.999979288,-4.816130271
9636,-0.125001008,3.745990772,-0.567801102,0.57150786,0.999979288,-4.782101302
375790,0.045377801,10.0974329,0.305585874,0.760587732,0.999979288,-4.918898496
54991,0.094593291,3.399961785,0.651771862,0.516120123,0.999979288,-4.771299666
51150,0.089721326,8.49081391,0.87842499,0.381926682,0.999979288,-4.776372409
126792,-0.052840604,6.211809478,-0.535613019,0.593476195,0.999979288,-4.924712464
388581,0.237079442,0.144455397,0.829106874,0.409119702,0.999979288,-4.626405555
118424,-0.061272464,5.841288127,-0.490380314,0.624994094,0.999979288,-4.922583172
6339,0.094525209,2.956464716,0.344612271,0.731146651,0.999979288,-4.765051792
116983,0.087429611,6.48234446,0.617844584,0.538154251,0.999979288,-4.901081565
126789,-0.071870639,2.929654571,-0.435772948,0.663988818,0.999979288,-4.784949054
54973,-0.02054904,6.071405357,-0.272448855,0.785867469,0.999979288,-4.979556117
80772,-0.125661298,4.871429268,-1.153564679,0.251569063,0.999979288,-4.609386393
83756,-0.327251456,0.750659252,-1.055348174,0.293939299,0.999979288,-4.594216584
1855,-0.033695808,5.987221876,-0.345328104,0.730610221,0.999979288,-4.965077711
54587,0.072412964,4.562730098,0.42562722,0.67134098,0.999979288,-4.88111722
54998,-0.03659078,5.907405796,-0.361725235,0.718359671,0.999979288,-4.958442872
81669,0.123359696,7.542892876,0.811633425,0.419028421,0.999979288,-4.820377583
148413,0.024931798,3.813907526,0.282301566,0.77832563,0.999979288,-4.850210474
55052,-0.069165033,5.565462683,-0.713144645,0.477502222,0.999979288,-4.844192124
64856,-0.044187095,3.882356854,-0.183557185,0.854751573,0.999979288,-4.871738024
219293,-0.027603552,0.494230169,-0.131137147,0.895943778,0.999979288,-4.695636199
83858,0.04517561,4.936205678,0.366229241,0.715007334,0.999979288,-4.918624884
55210,0.025469745,5.373485937,0.241987586,0.809310735,0.999979288,-4.965319596
339453,-0.190850807,1.619327343,-1.044585748,0.298861889,0.999979288,-4.603101791
29101,-0.117219394,6.363927195,-1.194914449,0.235091334,0.999979288,-4.60631159
643988,-0.21849089,3.64730375,-0.690137145,0.491788413,0.999979288,-4.764487127
142678,-0.068202116,6.956657996,-0.462202616,0.644991507,0.999979288,-4.951185557
8510,-0.110427562,4.907379689,-0.487765217,0.626838542,0.999979288,-4.893444159
984,0.033063464,5.97212873,0.478781404,0.633192911,0.999979288,-4.932916935
728661,0.023255844,6.783076798,0.28489787,0.776341761,0.999979288,-4.989205224
8511,0.035651425,5.722070765,0.154334686,0.877672841,0.999979288,-4.990314486
728642,0.070172348,5.692710846,0.764940635,0.446200598,0.999979288,-4.82306386
9906,0.028043706,5.611413743,0.252303796,0.80135064,0.999979288,-4.96163541
65220,-0.080974701,5.606149128,-1.006804833,0.316582907,0.999979288,-4.708253378
2782,-0.091486681,8.266836187,-0.728464713,0.468118815,0.999979288,-4.843273938
105378949,-0.133070426,-0.054421449,-0.526595241,0.59970054,0.999979288,-4.654651177
5590,-0.087384204,5.003162108,-0.639987016,0.5237196,0.999979288,-4.852942087
100506504,0.081068917,1.05872996,0.364704732,0.716141407,0.999979288,-4.699871469
199990,-0.056276786,4.994265242,-0.535578046,0.593500276,0.999979288,-4.871957177
6497,0.021215618,6.537220044,0.159989705,0.873228443,0.999979288,-5.003224564
79906,0.135647301,2.367761166,0.842448749,0.401650103,0.999979288,-4.661564832
100129534,0.006841013,0.349211782,0.02423217,0.980718181,0.999979288,-4.6855808
11079,0.065191247,7.07464537,1.0254023,0.307774056,0.999979288,-4.713867671
5192,-0.034689727,3.818259888,-0.22430758,0.822999092,0.999979288,-4.858252989
55229,-0.023769043,5.663331141,-0.303995527,0.761795312,0.999979288,-4.96388702
127281,-0.049731485,4.181960775,-0.23232778,0.816782575,0.999979288,-4.899208405
440556,-0.154299287,3.585987856,-0.621031769,0.536064094,0.999979288,-4.772337037
63976,-0.155796141,4.893051649,-0.715749843,0.47589922,0.999979288,-4.81748551
27237,-0.047880203,2.931263642,-0.262385643,0.793591564,0.999979288,-4.803123702
1953,0.000626155,6.502576921,0.003873401,0.996917593,0.999979288,-5.008347528
127262,-0.144247379,5.665550175,-0.894249678,0.37344547,0.999979288,-4.764269758
49856,-0.043022884,3.66726967,-0.321085691,0.748849873,0.999979288,-4.838398616
57212,0.006570406,5.171007961,0.080760946,0.93580175,0.999979288,-4.953853169
148870,-0.223543977,0.664607878,-0.875464383,0.383526642,0.999979288,-4.626356965
388588,-0.241891897,0.697325379,-0.889162568,0.376158891,0.999979288,-4.628794436
57470,-0.037197496,6.60264376,-0.490191914,0.625126894,0.999979288,-4.942874916
9731,0.008854524,5.259901229,0.063647102,0.949384788,0.999979288,-4.956917287
1677,0.274968753,1.613902447,1.559802716,0.122127598,0.999979288,-4.441811135
339448,0.077709987,3.542317134,0.752614705,0.453540031,0.999979288,-4.745621083
