Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
653635,0.082472667,3.815911356,0.771477341,0.442336379,0.999922817,-4.708812425
729737,-0.135640622,3.611066469,-0.752793001,0.453433375,0.999922817,-4.704467972
102723897,0.092881805,3.738780581,0.868165915,0.387488624,0.999922817,-4.676842416
100132287,-0.132236669,2.716250327,-0.80278144,0.424102406,0.999922817,-4.665196345
102465432,-0.090452642,5.876734289,-0.437779696,0.662538471,0.999922817,-4.876589646
100133331,-0.09231344,2.814028681,-0.669934724,0.50452253,0.999922817,-4.696094485
100288069,-0.473978897,0.005686323,-1.671449591,0.097919796,0.999922817,-4.492177955
79854,0.300504399,0.308362635,1.056891584,0.293237918,0.999922817,-4.592366269
643837,-0.094503078,5.622428419,-0.767283606,0.444813294,0.999922817,-4.776340151
100130417,0.007000822,0.252866454,0.019598538,0.984404683,0.999922817,-4.664426928
148398,-0.402283522,0.908646859,-1.144855588,0.255141525,0.999922817,-4.578306369
26155,0.056639479,6.684079437,0.673604443,0.502196355,0.999922817,-4.828084246
339451,-0.119074707,4.054823131,-0.680101827,0.498091947,0.999922817,-4.736867763
57801,0.168129383,5.979831384,0.90659055,0.366914262,0.999922817,-4.732891401
9636,0.159056691,3.745990772,0.738181195,0.462221722,0.999922817,-4.711871985
375790,0.186449191,10.0974329,1.251835512,0.213699425,0.999922817,-4.540523886
54991,-0.013057557,3.399961785,-0.088757734,0.929461057,0.999922817,-4.803749864
51150,0.165585488,8.49081391,1.619840336,0.108577425,0.999922817,-4.299450762
126792,0.002953434,6.211809478,0.029952789,0.976167462,0.999922817,-4.93727737
388581,-0.266321908,0.144455397,-0.890980973,0.375187553,0.999922817,-4.610671321
118424,0.042646387,5.841288127,0.342245984,0.732920848,0.999922817,-4.895025033
6339,0.108848331,2.956464716,0.395931123,0.693042541,0.999922817,-4.725417041
116983,0.140693444,6.48234446,0.994636452,0.322436651,0.999922817,-4.693209679
126789,0.019485386,2.929654571,0.118577883,0.905859847,0.999922817,-4.7754024
54973,0.007955188,6.071405357,0.105440242,0.916248521,0.999922817,-4.929603128
80772,-0.024441429,4.871429268,-0.225117295,0.822370957,0.999922817,-4.872254541
83756,-0.242541587,0.750659252,-0.783314502,0.435388482,0.999922817,-4.629233522
1855,0.014323877,5.987221876,0.146831557,0.883575735,0.999922817,-4.925563523
54587,0.180425207,4.562730098,1.064556431,0.289771648,0.999922817,-4.629539535
54998,0.132758167,5.907405796,1.318652407,0.190451496,0.999922817,-4.506945216
81669,0.130782106,7.542892876,0.861002221,0.391401997,0.999922817,-4.753030172
148413,0.058639602,3.813907526,0.663341984,0.508716014,0.999922817,-4.737166112
55052,0.014013497,5.565462683,0.144786089,0.885186109,0.999922817,-4.912352353
64856,0.221813052,3.882356854,0.935461427,0.35191943,0.999922817,-4.666683233
219293,0.097140182,0.494230169,0.46440327,0.643420049,0.999922817,-4.660262136
83858,0.035643052,4.936205678,0.288055109,0.773931271,0.999922817,-4.871067381
55210,0.005622286,5.373485937,0.053253524,0.957641594,0.999922817,-4.913510963
339453,-0.058580463,1.619327343,-0.322758623,0.74758645,0.999922817,-4.702530104
29101,-0.045147861,6.363927195,-0.460653051,0.646098998,0.999922817,-4.8853269
643988,-0.046722683,3.64730375,-0.149008491,0.881862397,0.999922817,-4.813692421
142678,0.082890399,6.956657996,0.562064368,0.575394276,0.999922817,-4.863366042
8510,0.001984637,4.907379689,0.008808251,0.992990571,0.999922817,-4.894780779
984,0.023802437,5.97212873,0.344042686,0.731573582,0.999922817,-4.899352199
728661,-0.034446899,6.783076798,-0.421859374,0.674079578,0.999922817,-4.897982095
8511,0.079683823,5.722070765,0.345086623,0.730791167,0.999922817,-4.900366374
728642,0.074916019,5.692710846,0.815232634,0.41697576,0.999922817,-4.757173681
9906,-0.045548268,5.611413743,-0.407590924,0.684489924,0.999922817,-4.871764861
65220,0.056510803,5.606149128,0.70592915,0.481957606,0.999922817,-4.79913049
2782,0.002659065,8.266836187,0.021146932,0.983172744,0.999922817,-4.921601335
105378949,0.107850668,-0.054421449,0.433476049,0.665650437,0.999922817,-4.648467626
5590,-0.065784123,5.003162108,-0.480928329,0.631671837,0.999922817,-4.843236209
100506504,-0.232469379,1.05872996,-1.013043422,0.313609397,0.999922817,-4.600378434
199990,0.091367487,4.994265242,0.874988141,0.383784399,0.999922817,-4.716663318
6497,-0.049331398,6.537220044,-0.371473787,0.711110843,0.999922817,-4.906006976
79906,0.076600073,2.367761166,0.471169548,0.638598502,0.999922817,-4.701347327
100129534,-0.317975338,0.349211782,-1.091266669,0.277912078,0.999922817,-4.587531308
11079,0.092447401,7.07464537,1.45437237,0.149134995,0.999922817,-4.416030602
5192,0.138839807,3.818259888,0.907337939,0.366521054,0.999922817,-4.671410392
55229,-0.035710497,5.663331141,-0.455655904,0.649675938,0.999922817,-4.871430439
127281,0.024544927,4.181960775,0.114831791,0.908820506,0.999922817,-4.85315203
440556,-0.235197452,3.585987856,-0.934639188,0.352340953,0.999922817,-4.651810373
63976,-0.373006585,4.893051649,-1.681532428,0.095940159,0.999922817,-4.274618862
27237,-0.091436071,2.931263642,-0.496955272,0.620367275,0.999922817,-4.733726651
1953,0.21142637,6.502576921,1.311523711,0.192837786,0.999922817,-4.512858991
127262,-0.076213399,5.665550175,-0.473151158,0.637189358,0.999922817,-4.861675119
49856,-0.019226431,3.66726967,-0.143200646,0.886434642,0.999922817,-4.80615439
57212,0.023129931,5.171007961,0.283852455,0.777140399,0.999922817,-4.874167382
148870,-0.152921547,0.664607878,-0.599324051,0.550381666,0.999922817,-4.649041241
388588,-0.084550201,0.697325379,-0.313983957,0.754220799,0.999922817,-4.679659779
57470,-0.001192484,6.60264376,-0.015717539,0.987492655,0.999922817,-4.942253477
9731,-0.073704192,5.259901229,-0.525815219,0.600240343,0.999922817,-4.829466041
1677,-0.100513702,1.613902447,-0.549095913,0.584226359,0.999922817,-4.670370176
339448,0.025927405,3.542317134,0.249192296,0.803749341,0.999922817,-4.800478392
261734,-0.032907718,2.802430162,-0.202420606,0.840020247,0.999922817,-4.7486035
8514,-0.170674374,1.442144245,-0.416963313,0.67764476,0.999922817,-4.675398048
6146,-0.011075112,6.660572584,-0.105902576,0.915882669,0.999922817,-4.94029559
102724450,-0.2385993,0.032539094,-0.723869159,0.47092261,0.999922817,-4.633336831
388591,-0.037909238,7.170939156,-0.104631706,0.916888369,0.999922817,-4.934521697
23463,0.02947526,7.167551661,0.223216588,0.823845611,0.999922817,-4.928850809
387509,-0.005121331,3.921804624,-0.021667906,0.982758254,0.999922817,-4.806447561
11332,0.169849703,5.156441133,0.845676204,0.399855741,0.999922817,-4.731382814
83715,0.160660844,0.308292765,0.254560424,0.79961216,0.999922817,-4.651668174
8718,-0.095135876,3.709641478,-0.483625763,0.629762977,0.999922817,-4.766157906
57449,0.139982618,6.114606222,0.954079786,0.342461605,0.999922817,-4.71007383
79707,-0.019814785,5.071203798,-0.251229736,0.802178435,0.999922817,-4.872669615
3104,0.080963699,4.047796761,0.822539271,0.41282729,0.999922817,-4.699583338
9903,0.02516374,7.522509658,0.209841132,0.834240473,0.999922817,-4.926820382
148479,-0.165316881,5.257957818,-1.119714391,0.265654908,0.999922817,-4.614221492
90326,-0.034826822,3.042683943,-0.278735385,0.781052986,0.999922817,-4.757178884
55735,-0.072565154,5.786721332,-0.705511098,0.482216445,0.999922817,-4.802978052
23261,-0.022852805,5.072636377,-0.201549557,0.84069928,0.999922817,-4.885542135
9341,0.030112878,6.30730214,0.321203339,0.748761001,0.999922817,-4.912716016
8863,-0.208844529,2.8278315,-0.680480815,0.497853101,0.999922817,-4.710136389
3604,0.27000174,2.620756676,1.013457207,0.313412837,0.999922817,-4.62439837
11315,0.066142228,7.024625729,0.679417012,0.498523689,0.999922817,-4.826098797
54206,0.110330533,6.215762357,0.650468433,0.516957774,0.999922817,-4.834397248
50651,0.241331932,1.743749038,0.931910555,0.353742118,0.999922817,-4.618744291
473,-0.145760586,7.519682698,-2.037517797,0.044375701,0.999922817,-3.927557897
2023,-0.090705306,9.84273038,-0.414592923,0.67937346,0.999922817,-4.838955887
80045,0.015863543,1.8013328,0.054166889,0.956915806,0.999922817,-4.711646858
9563,0.057203191,6.674507579,0.712890599,0.477658699,0.999922817,-4.814668598
80176,-0.151305951,3.063682563,-0.451803519,0.652439076,0.999922817,-4.73409468
84275,-0.092826505,2.521912619,-0.560143626,0.576698334,0.999922817,-4.7046057
199953,-0.069952896,5.364520406,-0.574939851,0.566689418,0.999922817,-4.827341835
5293,0.060453873,3.606993429,0.344810392,0.730998171,0.999922817,-4.77615807
22883,0.117630516,8.220823754,1.208956926,0.229675971,0.999922817,-4.572066459
56998,-0.00927816,5.10383406,-0.087288505,0.930625687,0.999922817,-4.890295417
84328,-0.139079949,4.359647132,-1.29932026,0.196974511,0.999922817,-4.514129789
64802,0.017356241,4.927795676,0.219668867,0.826599779,0.999922817,-4.863280704
10277,-0.045697244,6.593101261,-0.601305214,0.549067076,0.999922817,-4.851298991
23095,-0.111257775,7.879850428,-1.166736436,0.246233605,0.999922817,-4.598097133
5226,0.085684259,7.222903366,0.67395248,0.50197604,0.999922817,-4.827424979
378708,0.08315933,0.188708444,0.345164646,0.730732701,0.999922817,-4.658124504
1676,-0.049990192,5.253206456,-0.398523713,0.691137356,0.999922817,-4.86050839
5195,-0.044919616,4.859777638,-0.304182463,0.761653338,0.999922817,-4.855579415
54897,-0.256011468,7.406850738,-1.542742096,0.126213831,0.999922817,-4.351810708
148345,-0.220590331,0.189157829,-0.656221164,0.513266162,0.999922817,-4.631743096
23435,0.006016659,7.053283958,0.070660226,0.943816525,0.999922817,-4.941085118
10747,-0.188948785,1.644724915,-0.9100644,0.365088906,0.999922817,-4.622652788
6723,0.037629005,5.404966833,0.283514514,0.777398617,0.999922817,-4.892071231
5394,-0.048249466,6.200835265,-0.766881123,0.445051432,0.999922817,-4.7907492
2475,-0.082974738,7.265192143,-1.07647365,0.284438185,0.999922817,-4.651549348
29914,-0.029432261,4.942607455,-0.207654471,0.835942711,0.999922817,-4.876669216
26232,0.056909634,4.198873845,0.183067811,0.855134456,0.999922817,-4.813627271
93611,0.119220571,5.473426016,0.758953677,0.4497569,0.999922817,-4.769509275
26270,-0.140906534,1.601393922,-0.982690693,0.328252642,0.999922817,-4.60907424
10459,-0.056378881,4.063683717,-0.45991293,0.646628253,0.999922817,-4.795031621
57085,0.071656828,4.336693839,0.394518932,0.694081133,0.999922817,-4.804925933
4524,-0.144674473,6.350449778,-1.33526111,0.184977616,0.999922817,-4.497266088
1185,-0.014265514,5.952364773,-0.176689801,0.860127719,0.999922817,-4.919126235
4878,0.147651404,12.40377392,0.616481947,0.539049135,0.999922817,-4.748862214
4879,0.090335188,10.30969113,0.235007139,0.814708368,0.999922817,-4.846282503
90231,0.101161948,6.949641062,1.134720168,0.259343996,0.999922817,-4.620195596
5351,0.16511607,8.830168839,1.107226511,0.270988167,0.999922817,-4.622460486
9927,-0.106091982,8.860908113,-1.17105964,0.2445001,0.999922817,-4.588768034
60672,-0.009613267,4.558353813,-0.061240386,0.95129626,0.999922817,-4.855589464
55187,-0.148697652,6.476002608,-1.106558925,0.271275361,0.999922817,-4.634129853
9249,0.119218241,4.105883732,0.363917652,0.716727159,0.999922817,-4.782328775
126755,0.259379801,-0.013765345,0.475084945,0.635815505,0.999922817,-4.644511075
10630,0.088720032,6.181088485,0.538117789,0.591752672,0.999922817,-4.867812725
7799,-0.073802917,5.784537766,-0.490613331,0.624829861,0.999922817,-4.865285703
23254,-0.176284295,3.333282542,-1.373217612,0.172913089,0.999922817,-4.490280821
55092,0.065574446,3.863452878,0.370377422,0.71192477,0.999922817,-4.778815165
79180,0.100026098,3.496865787,0.653213647,0.515194389,0.999922817,-4.732809869
842,0.091754832,4.360899036,0.849596472,0.397682794,0.999922817,-4.702376027
23341,-0.023534363,5.903169708,-0.233292621,0.816035499,0.999922817,-4.907746936
84301,-0.05040152,2.378614136,-0.258184333,0.796822455,0.999922817,-4.728001591
6248,-0.231637402,1.961539624,-1.329975314,0.186706727,0.999922817,-4.525752961
23207,-0.022648001,7.133299669,-0.208825416,0.835031074,0.999922817,-4.931460921
284723,-0.118245474,0.850540013,-0.41422175,0.679644307,0.999922817,-4.669084994
54751,-0.032998949,7.241216256,-0.217177855,0.8285349,0.999922817,-4.92905879
440567,0.004666913,4.988788428,0.035323761,0.9718956,0.999922817,-4.892549564
729614,-0.071397481,3.862381685,-0.417922053,0.67694605,0.999922817,-4.778974273
23013,-0.106138505,6.46693197,-0.877745744,0.382293389,0.999922817,-4.747276298
7709,0.013081277,4.902487238,0.119835021,0.904866585,0.999922817,-4.881444839
27129,-0.217114904,10.30959429,-0.828943783,0.409211527,0.999922817,-4.71993324
1187,0.019758815,2.132582246,0.068374545,0.945631012,0.999922817,-4.716187935
1188,-0.04578755,2.594995768,-0.259540568,0.795779093,0.999922817,-4.759871034
348487,-0.127191905,0.829825674,-0.611463107,0.542351677,0.999922817,-4.656323797
1969,0.229640648,8.708575265,1.332985233,0.185720629,0.999922817,-4.496715553
128272,0.097039783,0.742703013,0.252290564,0.801360836,0.999922817,-4.678528871
79363,0.066727912,2.376087449,0.382506189,0.702939295,0.999922817,-4.71940262
54455,-0.149307705,5.138869667,-1.249349804,0.214602773,0.999922817,-4.542487473
26099,-0.034022113,7.057133272,-0.419330359,0.675920218,0.999922817,-4.898191228
55707,0.087062645,4.609452224,0.595990817,0.552596963,0.999922817,-4.789325649
114819,-0.072972909,2.803284654,-0.363507847,0.717032208,0.999922817,-4.73162362
55672,0.069887481,4.491095566,0.632209502,0.52876669,0.999922817,-4.776596555
84809,0.023698563,3.555375608,0.171845752,0.863923873,0.999922817,-4.801360292
11209,0.202651448,1.648187097,0.972873296,0.333083835,0.999922817,-4.611398837
11223,0.03883296,1.491289222,0.124458647,0.901214782,0.999922817,-4.68975365
9696,0.128308591,3.873284205,0.559767851,0.576953626,0.999922817,-4.74584024
4237,0.08063806,4.341736037,0.402697778,0.688074186,0.999922817,-4.813111147
23400,0.08982583,6.328850884,0.735446756,0.463877027,0.999922817,-4.802896379
6390,0.016852583,6.163201132,0.15665453,0.875849144,0.999922817,-4.932851039
11240,-0.022522297,1.089689215,-0.08863899,0.929555178,0.999922817,-4.676394683
55920,0.074793142,6.470165588,0.451472673,0.652676604,0.999922817,-4.888985571
55160,-0.063322609,6.173102235,-0.401743444,0.688774076,0.999922817,-4.897232841
127707,0.842126369,2.539583631,1.995283454,0.048872729,0.999922817,-4.237053733
8659,0.057854817,6.447858049,0.35872611,0.720594985,0.999922817,-4.909173327
126917,0.102741469,4.54643766,0.604079149,0.547229093,0.999922817,-4.773824473
23352,-0.06146424,8.637204382,-0.557126191,0.578749829,0.999922817,-4.843931866
23065,0.131181254,7.313316601,1.426510267,0.156995186,0.999922817,-4.435746045
51154,0.034691947,4.930442694,0.232802329,0.81641511,0.999922817,-4.873730552
100506730,-0.342558659,1.826645794,-1.985174882,0.050004968,0.999922817,-4.313547407
8574,0.034039833,4.709945673,0.279293953,0.780625621,0.999922817,-4.853090715
54896,0.046575477,5.000178623,0.361792382,0.718309652,0.999922817,-4.858047622
832,-0.042701737,7.284356119,-0.459097821,0.647211341,0.999922817,-4.887097071
440574,0.081495126,5.928109855,0.818851463,0.414917994,0.999922817,-4.767904731
644068,0.170966919,0.744641701,0.930958083,0.354232058,0.999922817,-4.612177787
255104,0.028424178,2.158360284,0.149179479,0.881727846,0.999922817,-4.718577144
23252,0.026933414,4.464559616,0.18770221,0.851509926,0.999922817,-4.845563789
55450,0.067135992,1.643001938,0.203665495,0.839049994,0.999922817,-4.70340532
79594,-0.008055578,6.220078916,-0.087906845,0.930135523,0.999922817,-4.935800576
163933,-0.286135693,-0.01100288,-0.660566773,0.510486795,0.999922817,-4.631294803
65018,0.003550824,5.906538073,0.036141656,0.971245147,0.999922817,-4.922876933
100861548,0.200969553,3.802786516,1.457768591,0.148198121,0.999922817,-4.444712814
1650,0.160418055,8.865915718,1.655792883,0.101059376,0.999922817,-4.275876809
57576,0.322446938,0.515154653,0.829114095,0.409115637,0.999922817,-4.620209583
400745,0.076871407,1.584818661,0.182650196,0.855461224,0.999922817,-4.69402062
50809,-0.022458032,6.560836743,-0.356860741,0.721986512,0.999922817,-4.909727532
8672,-0.073648248,7.596987447,-0.520934055,0.60362334,0.999922817,-4.869812941
1889,0.195016765,8.778869068,1.366513182,0.174999514,0.999922817,-4.475694196
84224,-0.258629096,1.920933723,-1.463120956,0.146730909,0.999922817,-4.483771806
249,0.09984418,0.238329245,0.358589692,0.720696718,0.999922817,-4.655346826
5909,-0.093515385,3.759533564,-0.636397239,0.526046004,0.999922817,-4.750898033
84196,0.008380048,6.415243583,0.094103308,0.925225035,0.999922817,-4.937100711
401944,0.025846979,0.571667963,0.095272554,0.924298766,0.999922817,-4.675342701
3339,0.051112112,10.73708213,0.26938762,0.788214917,0.999922817,-4.845867986
29092,-0.036790819,2.582754265,-0.251855683,0.80169598,0.999922817,-4.730916598
998,-0.032869571,7.405534287,-0.421871855,0.674070499,0.999922817,-4.894475042
54361,0.191085583,2.614869791,0.539900477,0.590527436,0.999922817,-4.689907607
