Sample,Counts,Ind,Drug,Conc.,Time,Sample_name,Condition
MCW_SP_JT_R55_R1,28709959,1,CX-5461,0.1,3,75-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R73_R1,30178899,2,CX-5461,0.1,3,78-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R91_R1,26462107,3,CX-5461,0.1,3,87-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R1_R1,33273772,4,CX-5461,0.1,3,17-3_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R19_R1,23760079,5,CX-5461,0.1,3,84-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R37_R1,21855581,6,CX-5461,0.1,3,90-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R61_R1,27620497,1,CX-5461,0.1,24,75-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R79_R1,23481422,2,CX-5461,0.1,24,78-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R97_R1,39723129,3,CX-5461,0.1,24,87-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R7_R1,27177389,4,CX-5461,0.1,24,17-3_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R25_R1,33930794,5,CX-5461,0.1,24,84-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R43_R1,19917840,6,CX-5461,0.1,24,90-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R67_R1,29252097,1,CX-5461,0.1,48,75-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R85_R1,29122070,2,CX-5461,0.1,48,78-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R103_R1,29169174,3,CX-5461,0.1,48,87-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R13_R1,27231268,4,CX-5461,0.1,48,17-3_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R31_R1,19125016,5,CX-5461,0.1,48,84-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R49_R1,31974469,6,CX-5461,0.1,48,90-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R57_R1,26039907,1,DOX,0.1,3,75-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R75_R1,26066599,2,DOX,0.1,3,78-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R93_R1,26522163,3,DOX,0.1,3,87-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R3_R1,24443467,4,DOX,0.1,3,17-3_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R21_R1,24717449,5,DOX,0.1,3,84-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R39_R1,27254636,6,DOX,0.1,3,90-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R63_R1,32595062,1,DOX,0.1,24,75-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R81_R1,39526843,2,DOX,0.1,24,78-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R99_R1,28145002,3,DOX,0.1,24,87-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R9_R1,36515432,4,DOX,0.1,24,17-3_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R27_R1,27046365,5,DOX,0.1,24,84-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R45_R1,23596499,6,DOX,0.1,24,90-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R69_R1,25061916,1,DOX,0.1,48,75-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R87_R1,26012477,2,DOX,0.1,48,78-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R105_R1,33160744,3,DOX,0.1,48,87-1_DOX_0.1_48,DOX_0.1
