ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Category
GO:0007059,chromosome segregation,72/211,373/12185,9.14E-57,1.76E-53,1.44E-53,991/11004/163786/29899/83540/55732/259266/9928/4751/1063/11130/3832/4288/81930/3619/23310/29127/221150/55835/10426/9787/701/90417/57082/9133/55055/9493/9055/5347/3835/9212/10615/990/7153/672/146909/83990/332/10403/220134/147841/23354/8193/23397/699/57405/55355/22974/79980/4605/11065/54069/11200/79019/2177/10051/1894/1062/4085/84057/9319/64105/891/9232/54908/7272/54892/401541/10592/24137/2491/55559,72,BP
GO:0000280,nuclear division,65/211,350/12185,9.39E-50,9.03E-47,7.38E-47,991/11004/83540/259266/9928/4751/1063/11130/9585/3832/4288/81930/3619/9633/1111/23310/10635/29127/79866/9787/701/90417/57082/5888/9133/55055/9493/9055/5347/3835/9212/10615/7153/146909/83990/332/10403/147841/27338/23397/699/57405/22974/79980/4605/11065/11200/3976/2177/10051/1062/4085/84057/9319/64105/891/9232/54908/7272/54443/54892/25788/10592/24137/2491,65,BP
GO:0098813,nuclear chromosome segregation,57/211,268/12185,7.41E-47,4.75E-44,3.88E-44,991/11004/83540/259266/9928/4751/1063/11130/3832/81930/3619/23310/29127/9787/701/90417/57082/9133/55055/9493/9055/5347/3835/9212/10615/990/7153/146909/83990/332/10403/147841/8193/23397/699/57405/22974/79980/4605/11065/11200/2177/10051/1894/1062/4085/84057/9319/64105/891/9232/54908/7272/54892/10592/24137/2491,57,BP
GO:0048285,organelle fission,65/211,393/12185,2.17E-46,1.04E-43,8.51E-44,991/11004/83540/259266/9928/4751/1063/11130/9585/3832/4288/81930/3619/9633/1111/23310/10635/29127/79866/9787/701/90417/57082/5888/9133/55055/9493/9055/5347/3835/9212/10615/7153/146909/83990/332/10403/147841/27338/23397/699/57405/22974/79980/4605/11065/11200/3976/2177/10051/1062/4085/84057/9319/64105/891/9232/54908/7272/54443/54892/25788/10592/24137/2491,65,BP
GO:0000070,mitotic sister chromatid segregation,47/211,176/12185,1.88E-43,7.19E-41,5.88E-41,991/11004/83540/9928/4751/1063/11130/3832/81930/3619/23310/29127/9787/701/90417/57082/55055/9493/9055/5347/3835/9212/10615/146909/332/10403/147841/23397/699/57405/22974/79980/4605/11065/11200/10051/1062/4085/9319/64105/891/54908/7272/54892/10592/24137/2491,47,BP
GO:0140014,mitotic nuclear division,53/211,250/12185,2.24E-43,7.19E-41,5.88E-41,991/11004/83540/9928/4751/1063/11130/9585/3832/4288/81930/3619/1111/23310/29127/79866/9787/701/90417/57082/55055/9493/9055/5347/3835/9212/10615/146909/332/10403/147841/27338/23397/699/57405/22974/79980/4605/11065/11200/10051/1062/4085/9319/64105/891/54908/7272/54443/54892/10592/24137/2491,53,BP
GO:0000819,sister chromatid segregation,50/211,215/12185,5.32E-43,1.46E-40,1.20E-40,991/11004/83540/9928/4751/1063/11130/3832/81930/3619/23310/29127/9787/701/90417/57082/55055/9493/9055/5347/3835/9212/10615/990/7153/146909/332/10403/147841/8193/23397/699/57405/22974/79980/4605/11065/11200/10051/1062/4085/9319/64105/891/54908/7272/54892/10592/24137/2491,50,BP
GO:0000075,cell cycle checkpoint signaling,40/211,185/12185,5.92E-33,1.42E-30,1.16E-30,991/83540/51514/1063/11130/3619/3014/1111/8914/4193/701/57082/5888/79968/54962/55055/641/5347/9212/990/672/83990/332/10403/147841/4436/699/57405/1869/8318/11200/51512/2177/4085/9319/891/54908/9656/1026/7272,40,BP
GO:1901987,regulation of cell cycle phase transition,51/211,388/12185,5.76E-31,1.23E-28,1.01E-28,991/163786/83540/9928/51514/1063/11130/3619/3014/1111/8914/4193/55835/9787/701/57082/5888/79968/54962/55055/641/5347/9212/990/672/83990/332/10403/147841/8193/6241/4436/699/57405/1869/5933/11065/8318/11200/51512/2177/1062/4085/9319/891/54908/9656/1026/7272/54443/50484,51,BP
GO:0044770,cell cycle phase transition,56/211,496/12185,1.43E-30,2.75E-28,2.24E-28,991/163786/128239/83540/9928/51514/1063/11130/3619/3014/1111/8914/4193/55835/1033/9787/701/57082/5888/79968/9133/54962/55055/641/5347/9212/990/672/83990/332/10403/147841/8193/27338/6241/4436/699/57405/1869/5933/11065/8318/11200/51512/2177/1062/4085/9319/891/54908/9656/1026/7272/54443/50484/9833,56,BP
