"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0002181","cytoplasmic translation","107/6009","151/12185",5.28465586469824e-08,0.000286956813453115,0.000286956813453115,"6146/2475/6135/51441/6202/6125/6301/7812/6232/1660/23057/1939/3192/22849/8661/6181/8665/6157/6207/5936/6188/6230/6171/6128/6175/8562/6144/56339/6235/440275/8669/6124/6176/6218/6187/6210/728689/8663/6137/6154/9349/6143/6155/6169/57409/6139/25873/6234/8666/6142/27335/6217/6141/23521/6205/6203/6158/6193/6201/6233/6160/55854/6168/8894/6227/8664/51386/6122/6161/6138/3921/9045/6159/6152/7555/4690/170506/1981/6165/6164/6167/6228/6208/51121/80315/221662/6222/4736/10492/51389/6206/6129/6156/26986/3646/6132/6194/4686/11224/6130/1968/24140/6191/6451/6170/28985/6134",107,"BP"
"GO:0003735","structural constituent of ribosome","109/6137","157/12494",1.72325862391413e-07,0.000179046571024678,0.000179046571024678,"55052/6146/6135/64960/6202/51253/6125/54460/65005/6232/63931/128308/51021/84545/6181/6150/6157/6207/65003/219927/6188/6230/51258/6171/28977/6128/6175/6144/122704/6235/6166/51187/6124/6176/6218/26589/64963/6187/6210/6137/6154/9349/6143/6155/124995/51264/51649/6169/51081/6139/116541/25873/6234/64981/6142/388524/6183/6217/6141/23521/6205/6203/6158/6193/6201/6233/64969/6160/6168/6227/6122/6161/6138/3921/9045/6159/6152/56945/57129/6165/51023/6164/64979/6167/10884/6228/6208/51121/6222/4736/285855/51069/55168/64928/6206/64983/64951/51650/6129/6156/28998/6132/6194/11224/6130/6191/6170/6134/6192",109,"MF"
"GO:0022626","cytosolic ribosome","83/6252","110/12707",1.44717236348075e-08,9.92760241347796e-06,9.42947045257459e-06,"6146/6135/6202/6125/6232/6181/6157/6207/6188/6230/6171/6128/10985/6175/9921/6144/6235/6166/440275/6124/6176/6218/6187/90850/2935/6210/6137/6154/9349/6143/6155/6169/6139/25873/6234/6142/388524/6217/6141/23521/6205/6203/6158/6193/6201/6233/6160/6168/6227/26046/84164/6122/4809/6161/6138/3921/9045/6159/6152/6165/6164/6167/53918/6228/9604/6208/51121/6222/4736/285855/1915/6206/10767/6129/6156/6132/6194/11224/6130/6191/6170/6134/6192",83,"CC"
"GO:0022625","cytosolic large ribosomal subunit","46/6252","55/12707",1.11961508085089e-07,3.84027972731856e-05,3.64758807919317e-05,"6146/6135/6125/6181/6157/6171/6128/6175/6144/6166/6124/6176/6137/6154/9349/6143/6155/6169/6139/25873/6142/6141/23521/6158/6160/6168/6122/4809/6161/6138/9045/6159/6152/6165/6164/6167/51121/4736/285855/6129/6156/6132/11224/6130/6170/6134",46,"CC"
"GO:0044391","ribosomal subunit","123/6252","181/12707",2.14899909275642e-07,4.91404459210301e-05,4.66747522251306e-05,"54998/55052/6146/6135/64960/6202/51253/6125/54460/65005/6232/63931/128308/51021/118487/84545/6181/6150/6157/6207/65003/219927/51642/6188/6230/51258/6171/28977/6128/6175/6144/122704/6235/6166/6124/6176/6218/26589/64963/6187/6210/6137/6154/84311/9349/6143/6155/124995/51264/51649/6169/3396/51081/64978/6139/116541/25873/6234/90480/64981/6142/84769/388524/6183/6217/6141/23521/6205/6203/6158/6193/6201/6233/64969/6160/6168/64949/6227/54148/6122/4809/6161/6138/3921/9045/6159/6152/56945/57129/6165/51023/6164/64979/6167/10884/6228/6208/4869/51121/6222/4736/55173/285855/51069/55168/64928/6206/64983/64951/51650/6129/28957/6156/28998/6132/6194/54534/11224/6130/6191/6170/6134/6192",123,"CC"
"GO:0005840","ribosome","146/6252","222/12707",3.76636138810888e-07,6.45930978060673e-05,6.13520447168262e-05,"54998/55052/6146/6135/64960/6202/51253/6125/54460/65005/6232/63931/1660/128308/51182/51021/118487/84545/92170/6181/6150/6157/6207/65003/219927/51642/6188/6230/51258/6171/28977/6128/10985/6175/9921/6144/122704/6235/6166/440275/51187/6124/6176/6218/26589/64963/6187/90850/2935/6210/6137/6154/57532/84311/9349/6143/6155/124995/51264/51649/6169/3396/51081/64978/6730/6139/116541/25873/6234/90480/64981/6142/84769/388524/6183/6217/6141/23521/6205/6203/6158/6193/6201/5610/6233/87178/64969/6160/6168/64949/6238/6227/54148/26046/84164/6122/4809/6161/6138/3921/9045/6159/6152/4690/56945/27230/57129/6165/51023/6164/64979/6167/10884/53918/689/6228/9604/6208/4869/51121/6222/4736/55173/285855/51069/55168/64928/1915/6206/10767/64983/64951/51650/6129/28957/6156/28998/6132/6194/54534/11224/6130/6191/6170/6134/6192",146,"CC"
"GO:0015934","large ribosomal subunit","79/6252","112/12707",3.45973761545412e-06,0.000474676000840305,0.000450858438729705,"55052/6146/6135/51253/6125/65005/128308/84545/6181/6150/6157/65003/219927/51642/51258/6171/28977/6128/6175/6144/122704/6166/6124/6176/26589/6137/6154/84311/9349/6143/6155/124995/51264/6169/3396/64978/6139/116541/25873/90480/64981/6142/84769/6141/23521/6158/6160/6168/54148/6122/4809/6161/6138/9045/6159/6152/57129/6165/6164/64979/6167/10884/4869/51121/4736/285855/51069/55168/64928/64983/6129/6156/28998/6132/54534/11224/6130/6170/6134",79,"CC"
"GO:0005844","polysome","47/6252","63/12707",3.35086382287413e-05,0.00383115430415276,0.00363892053747208,"6135/1660/7431/6188/6171/6311/6128/10985/4440/5687/6235/1965/440275/55323/9513/4628/57532/6143/124540/6169/1938/25873/6234/6142/6141/87178/6160/3069/6227/6161/6152/8087/1981/689/6228/4736/51389/7458/6156/27161/6132/6194/6130/6191/6170/7411/6192",47,"CC"
"GO:0019866","organelle inner membrane","277/6252","481/12707",0.00010394591565744,0.0101866997344291,0.00967556718676019,"54998/55052/83858/55735/84275/199953/284723/440567/6390/440574/64960/4725/10269/7388/51253/515/54460/65005/4580/4720/6391/25874/63931/26092/10440/28982/5664/128308/23456/116228/100287932/100652748/8034/10367/90550/51021/118487/81894/1355/4714/84545/118980/84833/92170/79751/6150/26515/4722/26519/790955/1351/65003/4723/219927/51642/7351/6188/55863/6392/10632/51258/25900/11331/3945/93058/506/283417/23592/28977/728568/80024/23409/84274/221154/29103/253512/5018/122704/27109/51241/51004/57143/4707/123096/84334/9556/51103/1159/548596/2628/58472/10845/1583/1543/26589/64963/7190/283951/25880/10229/7385/4706/83985/57017/10204/6687/29928/1352/54902/8834/26284/84311/124995/5245/51264/1353/51649/2081/3396/51081/60386/64978/9489/2235/10975/26517/116541/126328/79085/90480/4713/64981/84769/284439/51079/7386/147991/1340/6183/92609/10452/54958/4696/3030/3032/64969/1329/25972/205251/151188/2820/10651/100131211/80219/4709/1593/4705/666/64949/598/6676/140823/55969/514/54148/522/4731/6576/29796/51537/150290/25777/91689/25813/9997/79188/25994/7384/788/25915/440957/55349/115286/51300/54946/28976/84129/56945/55186/57129/4711/23200/55486/4976/521/3954/10227/389203/60558/285521/441024/27235/51023/133308/113612/55013/4717/2110/6389/64979/4726/10884/91942/26049/345778/1350/27089/9782/134266/94081/192286/51522/63933/221496/55173/51069/55168/64928/9481/1347/29078/51805/4697/54205/11335/64983/64951/84277/83862/10165/9551/83943/4698/647087/4708/51650/11194/51312/4067/54968/28957/286148/7381/1345/81034/28998/157378/4715/90871/4712/10280/30968/158234/92014/54534/2356/51117/2021/293/3052/1349/139322/401612/292/4694/23439/2010",277,"CC"
"GO:0042788","polysomal ribosome","24/6252","29/12707",0.000196567121280278,0.0168556306497839,0.0160098747463806,"6135/1660/6171/6128/6235/57532/6143/6169/25873/6234/6142/6141/87178/6160/6227/6161/6152/689/6228/4736/6156/6132/6130/6170",24,"CC"
