"","CX_0.1_3","CX_0.1_24","CX_0.1_48","CX_0.5_3","CX_0.5_24","CX_0.5_48","DOX_0.1_3","DOX_0.1_24","DOX_0.1_48","DOX_0.5_3","DOX_0.5_24","DOX_0.5_48"
"chromosome segregation",NA,70.9014006735524,71.105506511797,NA,68.4103486938283,70.7335837036861,NA,12.2227899009511,18.2605500339939,0.0614266591918475,1.49661366301388,1.16013954309167
"nuclear division",NA,61.84012094498,66.1956058097006,NA,60.5154915393375,63.8285439081168,NA,9.43680704937949,17.3621296349074,0.0296894998220183,2.36661850764261,2.00829422722099
"nuclear chromosome segregation",NA,59.1122601268925,55.9632569600878,NA,54.1813940089561,54.8538194962388,NA,9.23734369210174,13.1937711347903,0.139502876330286,2.42420972416036,1.55171256947302
"organelle fission",NA,57.9506851408941,61.4171269658707,NA,56.2731393635016,60.0636344923414,NA,6.65267610294631,14.4142232810114,0.023619379533361,2.22690652190996,1.40492519925556
"mitotic nuclear division",NA,55.4006728156889,55.7677619326407,NA,51.0975304458246,54.8584892177891,NA,7.31032341654028,12.8529744889597,0.0643850697224642,1.9130819024839,1.75794869173726
"hematopoietic stem cell differentiation",NA,0.410445613199683,NA,2.6087042788011,0.319252998426032,0.23568894341728,NA,0.260786924003868,0.0175745276464313,1.54982886001562,0.161970028662258,0.295868670073352
"nucleosome organization",NA,3.40498066734281,2.35101609605684,2.16674744114468,2.69332156965904,3.91711297345162,NA,2.58975213895073,2.75223164086252,0.650331438857768,1.18038973981134,0.983999827077403
"hematopoietic progenitor cell differentiation",NA,1.02632376735453,0.308921589790478,2.06051966825598,0.711806151783841,0.444951696084224,NA,0.10539547752643,0.0430922316140143,3.06434529310414,0.617963204088027,0.0827666435814451
"stem cell differentiation",NA,0.0812700935634735,0.00313791967925604,1.79579092215823,0.0336961191767888,0.0359808550187717,NA,1.70892176365841,0.170553576788883,2.38596869527723,0.8594683673857,1.95813619270109
"muscle organ development",NA,0.0254307631894774,0.000373684875715361,1.64178073760267,0.00702972018757463,0.00117695917878097,NA,0.789093372598389,0.338948957325692,1.34191896546318,0.381951503953505,1.49561284996994
"regulation of cellular response to heat",NA,NA,NA,NA,NA,0.430424970071481,2.580942972431,0.0521981180012704,0.0985345277546261,2.54099751832751,0.38184418659166,0.537461713668102
"cellular response to heat",NA,NA,NA,NA,0.17345569795296,0.36645321085213,2.07811739362545,0.0563985522206764,0.198026926153133,1.31864498923464,0.3280264679724,1.58540598060056
"response to heat",NA,NA,0.063897350706706,NA,0.0854313415714831,0.405056828351464,1.88856081775316,0.382984999532342,0.104633985830669,0.708489477013744,0.629339068990653,0.981453492809513
"response to temperature stimulus",NA,NA,0.0194531110308388,NA,0.0299288671656949,0.159756331771337,1.69357155023495,0.220443411263701,0.0919467994383899,0.675307179338474,0.104117178961079,0.534043451057972
"negative regulation of mitotic cell cycle",NA,19.4866201547588,25.8769620551503,NA,27.3145345138017,30.630282521278,NA,9.5693724885324,8.38354518455046,0.521638222872279,2.03372701255782,1.68730234903588
"DNA-templated DNA replication",NA,28.7167320060971,35.6085741029452,NA,38.474162195915,45.6400826794152,NA,9.33243455252019,14.9727081049294,0.000940774166539469,0.150271298003509,0.628145949230799
"DNA replication",NA,35.610018043107,39.8286105807341,NA,42.3909066966766,49.8269487492972,NA,8.76608148958019,17.1794537454631,0.0521302394862944,0.183956702683703,0.733942896220228
"cardiac septum morphogenesis",NA,NA,0.0865149251921952,NA,0.111898070643462,0.0648171088752457,NA,0.95866772043468,0.379781918357715,4.96192350066212,1.16796006535004,1.54651190648735
"heart morphogenesis",NA,0.012188172976431,0.0119605197031936,NA,0.0223610761652789,0.00575516939095626,NA,0.883817427715138,0.197956302477114,4.87542847760155,1.2722366340704,2.04845829536577
"artery development",NA,0.130638476235649,0.0589015363759422,NA,0.0794736958813805,0.0419991304354461,NA,0.288537533794727,0.17261618778266,4.79906442780071,0.216824633395393,0.608387094540693
"endocrine system development",NA,NA,NA,NA,NA,NA,NA,0.0605252757145131,0.0122040810582179,4.68297742472843,1.23870264675533,1.75601907119551
"lymphocyte differentiation",NA,0.00599836286200494,0.11146762721483,NA,0.0360760303770064,0.0621140441286915,NA,1.08510730679585,0.0618890712561828,4.5454980479356,0.587269326527004,1.36712413854433
